book,model,theta,P_unflagged,n_gold,n_flag,n_raw_accept,n_accept,huy_trung_hop,huy_khong_don_dieu,sua_dung,sua_sai,sua_chua_xd,lam_hong_o_dung,doi_hop_van_dung,ha_o_sai,ha_o_dung,prec_fix,khe_sua_dung,khe_sua_sai,khe_lam_hong,khe_doi_van_dung,khe_ha_o_sai,khe_ha_o_dung,prec_fix_khe,prec_fix_chi_mau
LucVanTien1916,T,0.6,0.9802,11587,234,3,2,1,0,2,0,0,0,0,193,39,1.0,2,0,0,0,189,43,1.0,1.0
LucVanTien1916,T,0.65,0.9802,11587,234,1,1,0,0,1,0,0,0,0,194,39,1.0,1,0,0,0,190,43,1.0,1.0
LucVanTien1916,T,0.7,0.9802,11587,234,0,0,0,0,0,0,0,0,0,195,39,,0,0,0,0,191,43,,
LucVanTien1916,T,0.75,0.9802,11587,234,0,0,0,0,0,0,0,0,0,195,39,,0,0,0,0,191,43,,
LucVanTien1916,T,0.8,0.9802,11587,234,0,0,0,0,0,0,0,0,0,195,39,,0,0,0,0,191,43,,
TruyenKieu1872,L,-0.2,0.9871,18550,162,103,82,19,2,66,1,2,4,9,34,46,0.9146,66,2,5,9,32,48,0.9146,0.9512
TruyenKieu1872,L,-0.15,0.9871,18550,162,100,80,18,2,65,1,2,3,9,35,47,0.925,65,2,4,9,33,49,0.925,0.9625
TruyenKieu1872,L,-0.1,0.9871,18550,162,89,64,23,2,52,1,2,3,6,48,50,0.9062,52,2,4,6,46,52,0.9062,0.9531
TruyenKieu1872,L,-0.05,0.9871,18550,162,85,59,24,2,48,1,2,3,5,52,51,0.8983,48,2,4,5,50,53,0.8983,0.9492
TruyenKieu1872,L,-0.0,0.9871,18550,162,77,54,23,0,44,1,1,3,5,57,51,0.9074,44,1,4,5,55,53,0.9074,0.963
TruyenKieu1872,L,0.05,0.9871,18550,162,64,39,25,0,33,1,0,2,3,69,54,0.9231,33,0,3,3,67,56,0.9231,0.9487
TruyenKieu1872,L,0.1,0.9871,18550,162,58,33,25,0,27,1,0,2,3,75,54,0.9091,27,0,3,3,73,56,0.9091,0.9394
TruyenKieu1872,L,0.15,0.9871,18550,162,49,26,23,0,22,1,0,1,2,80,56,0.9231,22,0,2,2,78,58,0.9231,0.9615
TruyenKieu1872,L,0.2,0.9871,18550,162,43,23,20,0,20,0,0,1,2,83,56,0.9565,20,0,1,2,80,59,0.9565,1.0
TruyenKieu1872,L,0.25,0.9871,18550,162,33,13,20,0,12,0,0,0,1,91,58,1.0,12,0,0,1,88,61,1.0,1.0
TruyenKieu1872,L,0.3,0.9871,18550,162,23,6,17,0,6,0,0,0,0,97,59,1.0,6,0,0,0,94,62,1.0,1.0
TruyenKieu1872,L,0.35,0.9871,18550,162,17,5,12,0,5,0,0,0,0,98,59,1.0,5,0,0,0,95,62,1.0,1.0
TruyenKieu1872,L,0.4,0.9871,18550,162,10,2,8,0,2,0,0,0,0,101,59,1.0,2,0,0,0,98,62,1.0,1.0
TruyenKieu1872,L,0.45,0.9871,18550,162,5,0,5,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.5,0.9871,18550,162,1,0,1,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.55,0.9871,18550,162,1,0,1,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.6,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.65,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.7,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.75,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
TruyenKieu1872,L,0.8,0.9871,18550,162,0,0,0,0,0,0,0,0,0,103,59,,0,0,0,0,100,62,,
