book,page,column,nom_idx,syl_idx,bbox_cu,bbox_truoc_lock,iou,box_source_truoc_lock,count_source,n_ocr,n_qn,n_det,same,dy,h,dy_pitch
stt11,page_0126,8,11,9,"[411, 1291, 507, 1409]","[410, 1440, 507, 1552]",0.0,detector,equal_ocr,23,22,23,False,146.0,118,1.2372881355932204
stt11,page_0140,8,16,17,"[423, 1846, 536, 1954]","[429, 1883, 530, 1989]",0.456,detector,equal_qn,23,24,24,False,36.0,108,0.3333333333333333
stt11,page_0142,3,9,9,"[1150, 1256, 1263, 1372]","[1148, 1209, 1261, 1323]",0.401,detector,equal_qn,21,22,22,False,-48.0,116,-0.41379310344827586
stt11,page_0156,7,14,14,"[575, 1751, 685, 1864]","[576, 1656, 685, 1768]",0.081,detector,equal_qn,22,23,23,False,-95.5,113,-0.8451327433628318
stt11,page_0156,9,11,10,"[264, 1422, 362, 1534]","[272, 1328, 372, 1440]",0.079,detector,equal_qn,22,22,22,False,-94.0,112,-0.8392857142857143
stt11,page_0162,3,9,9,"[1286, 1363, 1390, 1480]","[1228, 1343, 1339, 1465]",0.266,detector,equal_qn,21,21,21,False,-17.5,117,-0.14957264957264957
stt11,page_0162,4,9,9,"[1084, 1293, 1198, 1404]","[1138, 1284, 1237, 1391]",0.339,midpoint,conflict,23,23,18,False,-11.0,111,-0.0990990990990991
stt11,page_0162,7,17,17,"[683, 2018, 775, 2128]","[727, 2056, 834, 2171]",0.182,detector,equal_qn,22,22,22,False,40.5,110,0.36818181818181817
stt11,page_0162,7,20,20,"[683, 2294, 775, 2404]","[713, 2318, 826, 2434]",0.298,detector,equal_qn,22,22,22,False,27.0,110,0.24545454545454545
stt11,page_0196,3,3,3,"[1177, 788, 1282, 902]","[1177, 696, 1284, 807]",0.091,detector,equal_qn,19,23,23,False,-93.5,114,-0.8201754385964912
stt11,page_0208,5,17,17,"[927, 2070, 1031, 2182]","[925, 1973, 1033, 2087]",0.08,detector,equal_qn,22,23,23,False,-96.0,112,-0.8571428571428571
stt11,page_0210,4,9,9,"[1159, 1356, 1259, 1474]","[1092, 1329, 1203, 1449]",0.195,detector,equal_qn,21,21,21,False,-26.0,118,-0.22033898305084745
stt11,page_0228,5,13,12,"[861, 1574, 968, 1681]","[875, 1529, 984, 1645]",0.378,detector,equal_qn,23,22,22,False,-40.5,107,-0.37850467289719625
stt11,page_0238,7,21,21,"[556, 2222, 657, 2324]","[570, 2184, 666, 2287]",0.389,detector,equal_ocr,24,25,24,False,-37.5,102,-0.36764705882352944
stt11,page_0266,7,14,14,"[577, 1869, 680, 1990]","[547, 1742, 653, 1860]",0.0,detector,equal_qn,20,22,22,False,-128.5,121,-1.06198347107438
stt11,page_0272,1,8,9,"[1524, 1176, 1630, 1289]","[1524, 1272, 1630, 1386]",0.081,detector,equal_qn,22,23,23,False,96.5,113,0.8539823008849557
stt2,page_0034,1,6,7,"[1410, 1019, 1513, 1136]","[1408, 1105, 1513, 1222]",0.151,detector,equal_qn,21,22,22,False,86.0,117,0.7350427350427351
stt2,page_0038,6,9,10,"[690, 1396, 803, 1520]","[692, 1502, 801, 1626]",0.077,detector,equal_qn,20,21,21,False,106.0,124,0.8548387096774194
stt2,page_0038,6,11,12,"[692, 1601, 800, 1723]","[693, 1699, 799, 1819]",0.109,detector,equal_qn,20,21,21,False,97.0,122,0.7950819672131147
stt2,page_0054,3,5,5,"[1125, 944, 1239, 1060]","[1129, 1048, 1238, 1169]",0.052,detector,equal_qn,21,20,20,False,106.5,116,0.9181034482758621
stt2,page_0056,5,14,14,"[822, 1668, 922, 1768]","[816, 1723, 921, 1829]",0.267,detector,equal_qn,24,23,23,False,58.0,100,0.58
stt2,page_0080,3,15,15,"[1144, 1890, 1252, 2000]","[1143, 1796, 1252, 1904]",0.068,detector,equal_qn,22,23,23,False,-95.0,110,-0.8636363636363636
stt2,page_0080,8,10,10,"[374, 1544, 481, 1672]","[367, 1385, 476, 1503]",0.0,detector,equal_qn,19,22,22,False,-164.0,128,-1.28125
stt2,page_0080,9,1,2,"[218, 574, 328, 696]","[218, 679, 327, 802]",0.074,detector,equal_qn,19,20,20,False,105.5,122,0.8647540983606558
stt2,page_0084,4,11,11,"[985, 1556, 1092, 1673]","[980, 1521, 1088, 1637]",0.499,detector,equal_qn,21,22,22,False,-35.5,117,-0.3034188034188034
stt2,page_0084,6,14,14,"[679, 1776, 781, 1886]","[667, 1734, 776, 1852]",0.441,detector,equal_qn,22,22,22,False,-38.0,110,-0.34545454545454546
stt2,page_0090,5,5,6,"[815, 902, 919, 1006]","[816, 997, 918, 1099]",0.045,detector,equal_qn,23,24,24,False,94.0,104,0.9038461538461539
stt2,page_0104,5,4,5,"[824, 813, 932, 938]","[824, 912, 930, 1032]",0.117,detector,equal_qn,19,20,20,False,96.5,125,0.772
stt2,page_0104,7,17,17,"[513, 2083, 622, 2199]","[513, 1997, 622, 2114]",0.153,detector,equal_qn,21,22,22,False,-85.5,116,-0.7370689655172413
stt2,page_0104,9,2,3,"[218, 621, 313, 736]","[203, 755, 318, 870]",0.0,detector,equal_ocr,21,22,21,False,134.0,115,1.1652173913043478
stt2,page_0112,3,14,14,"[1128, 1892, 1246, 2014]","[1144, 1832, 1249, 1949]",0.279,detector,equal_qn,20,21,21,False,-62.5,122,-0.5122950819672131
stt2,page_0112,4,11,11,"[982, 1540, 1088, 1656]","[981, 1503, 1094, 1617]",0.48,detector,equal_qn,21,22,22,False,-38.0,116,-0.3275862068965517
stt2,page_0118,9,9,10,"[224, 1297, 320, 1407]","[208, 1334, 315, 1444]",0.423,detector,equal_qn,22,23,23,False,37.0,110,0.33636363636363636
stt2,page_0154,4,6,6,"[990, 1120, 1107, 1248]","[987, 1059, 1111, 1186]",0.336,detector,equal_qn,19,20,20,False,-61.5,128,-0.48046875
stt2,page_0154,9,10,10,"[258, 1548, 352, 1675]","[239, 1503, 349, 1625]",0.382,detector,equal_qn,19,20,20,False,-47.5,127,-0.37401574803149606
stt2,page_0156,7,18,18,"[517, 2310, 617, 2422]","[516, 2212, 618, 2332]",0.104,detector,equal_qn,20,21,21,False,-94.0,112,-0.8392857142857143
stt2,page_0158,2,8,8,"[1307, 1333, 1423, 1462]","[1308, 1289, 1419, 1417]",0.47,detector,equal_qn,19,20,20,False,-44.5,129,-0.3449612403100775
stt2,page_0160,2,9,9,"[1265, 1480, 1371, 1615]","[1262, 1424, 1375, 1552]",0.361,detector,equal_qn,18,19,19,False,-59.5,135,-0.44074074074074077
stt2,page_0160,2,14,14,"[1263, 2067, 1376, 2200]","[1263, 1962, 1375, 2094]",0.113,detector,equal_qn,18,19,19,False,-105.5,133,-0.793233082706767
stt2,page_0160,4,6,7,"[954, 1110, 1067, 1239]","[956, 1161, 1069, 1285]",0.434,detector,equal_qn,19,20,20,False,48.5,129,0.375968992248062
stt2,page_0178,4,15,15,"[987, 2191, 1096, 2323]","[990, 2076, 1094, 2207]",0.063,detector,equal_qn,18,19,19,False,-115.5,132,-0.875
stt2,page_0180,3,11,11,"[1122, 1690, 1232, 1819]","[1123, 1594, 1232, 1721]",0.137,detector,equal_qn,19,20,20,False,-97.0,129,-0.751937984496124
stt2,page_0194,4,11,11,"[943, 1749, 1059, 1884]","[943, 1645, 1058, 1775]",0.108,detector,equal_qn,18,19,19,False,-106.5,135,-0.7888888888888889
stt2,page_0194,9,10,11,"[188, 1658, 311, 1801]","[167, 1625, 289, 1773]",0.483,detector,equal_ocr,17,18,17,False,-30.5,143,-0.21328671328671328
stt2,page_0196,5,15,15,"[803, 2163, 907, 2297]","[807, 2032, 915, 2151]",0.0,detector,equal_qn,18,20,20,False,-138.5,134,-1.0335820895522387
stt2,page_0206,4,16,15,"[987, 2216, 1101, 2347]","[987, 2111, 1102, 2240]",0.101,detector,equal_qn,19,19,19,False,-106.0,131,-0.8091603053435115
stt2,page_0212,7,13,13,"[553, 1792, 655, 1912]","[532, 1757, 641, 1875]",0.41,detector,equal_qn,20,21,21,False,-36.0,120,-0.3
stt2,page_0226,7,2,3,"[571, 675, 674, 791]","[572, 779, 673, 897]",0.054,detector,equal_qn,21,22,22,False,105.0,116,0.9051724137931034
stt2,page_0228,6,6,7,"[696, 1060, 798, 1179]","[697, 1166, 799, 1284]",0.057,detector,equal_qn,20,21,21,False,105.5,119,0.8865546218487395
stt2,page_0270,8,3,3,"[400, 742, 499, 777]","[400, 742, 499, 860]",0.297,detector,equal_ocr,22,23,22,False,41.5,35,1.1857142857142857
stt2,page_0274,3,13,13,"[1103, 1568, 1219, 1670]","[1122, 1608, 1224, 1717]",0.355,detector,equal_qn,24,23,23,False,43.5,102,0.4264705882352941
stt2,page_0278,2,9,9,"[1273, 1541, 1393, 1677]","[1274, 1424, 1392, 1561]",0.078,detector,equal_qn,17,18,18,False,-116.5,136,-0.8566176470588235
stt2,page_0278,4,13,13,"[982, 1816, 1089, 1935]","[980, 1732, 1092, 1849]",0.158,detector,equal_qn,20,21,21,False,-85.0,119,-0.7142857142857143
stt2,page_0284,4,16,16,"[972, 2171, 1095, 2302]","[991, 2136, 1096, 2258]",0.455,detector,equal_qn,19,19,19,False,-39.5,131,-0.3015267175572519
stt2,page_0296,9,4,3,"[264, 837, 385, 989]","[251, 950, 375, 1104]",0.131,detector,equal_ocr,17,16,17,False,114.0,152,0.75
stt2,page_0296,9,8,7,"[264, 1343, 385, 1495]","[244, 1425, 363, 1568]",0.243,detector,equal_ocr,17,16,17,False,77.5,152,0.5098684210526315
stt2,page_0306,3,13,13,"[1134, 1904, 1242, 2027]","[1135, 1808, 1242, 1930]",0.118,detector,equal_qn,19,20,20,False,-96.5,123,-0.7845528455284553
stt2,page_0316,3,7,8,"[1167, 1174, 1278, 1297]","[1159, 1212, 1267, 1340]",0.448,detector,equal_ocr,20,21,20,False,40.5,123,0.32926829268292684
stt4,page_0026,3,16,16,"[763, 1274, 837, 1350]","[746, 1289, 813, 1363]",0.405,detector,equal_qn,22,22,22,False,14.0,76,0.18421052631578946
stt4,page_0046,8,10,11,"[278, 898, 351, 975]","[284, 929, 356, 1006]",0.381,detector,equal_qn,21,22,22,False,31.0,77,0.4025974025974026
stt4,page_0054,8,14,14,"[306, 1225, 383, 1309]","[276, 1229, 351, 1316]",0.383,detector,equal_qn,20,20,20,False,5.5,84,0.06547619047619048
stt4,page_0054,8,18,18,"[306, 1503, 383, 1586]","[363, 1498, 437, 1584]",0.145,detector,equal_qn,20,20,20,False,-3.5,83,-0.04216867469879518
stt4,page_0062,4,15,16,"[653, 1160, 726, 1236]","[647, 1224, 719, 1298]",0.079,detector,equal_qn,23,23,23,False,63.0,76,0.8289473684210527
stt4,page_0072,5,18,12,"[556, 1483, 628, 1563]","[591, 1488, 661, 1567]",0.326,detector,equal_ocr,21,15,21,False,4.5,80,0.05625
stt4,page_0078,2,13,13,"[888, 1021, 956, 1091]","[888, 997, 956, 1064]",0.457,detector,equal_qn,24,25,25,False,-25.5,70,-0.36428571428571427
stt4,page_0080,6,12,12,"[485, 1047, 553, 1127]","[461, 1014, 531, 1092]",0.234,detector,equal_qn,21,22,22,False,-34.0,80,-0.425
stt4,page_0084,8,10,10,"[272, 836, 344, 908]","[254, 828, 323, 904]",0.498,detector,equal_qn,23,23,23,False,-6.0,72,-0.08333333333333333
stt4,page_0088,4,23,23,"[675, 1582, 751, 1647]","[648, 1583, 724, 1651]",0.45,detector,equal_qn,24,24,24,False,2.5,65,0.038461538461538464
stt4,page_0090,9,19,19,"[168, 1385, 228, 1456]","[202, 1387, 274, 1461]",0.23,detector,equal_qn,24,24,24,False,3.5,71,0.04929577464788732
stt4,page_0112,2,17,17,"[851, 1308, 924, 1382]","[875, 1301, 947, 1385]",0.463,detector,equal_qn,22,22,22,False,-2.0,74,-0.02702702702702703
stt4,page_0112,5,17,17,"[560, 1343, 629, 1419]","[589, 1354, 661, 1434]",0.309,detector,equal_qn,22,22,22,False,13.0,76,0.17105263157894737
stt4,page_0118,3,16,16,"[788, 1181, 857, 1252]","[768, 1187, 835, 1257]",0.468,detector,equal_ocr,24,23,24,False,5.5,71,0.07746478873239436
stt4,page_0120,2,3,4,"[849, 422, 922, 499]","[849, 485, 921, 563]",0.099,detector,equal_qn,20,21,21,False,63.5,77,0.8246753246753247
stt4,page_0130,4,13,13,"[708, 1113, 777, 1194]","[668, 1117, 739, 1198]",0.267,detector,equal_qn,21,21,21,False,4.0,81,0.04938271604938271
stt4,page_0134,7,10,10,"[361, 920, 434, 1005]","[357, 889, 433, 971]",0.419,detector,equal_qn,20,21,21,False,-32.5,85,-0.38235294117647056
stt4,page_0136,3,10,10,"[779, 918, 848, 998]","[748, 915, 821, 997]",0.405,detector,equal_ocr,21,22,21,False,-2.0,80,-0.025
stt4,page_0136,6,17,17,"[483, 1371, 559, 1451]","[540, 1390, 613, 1467]",0.11,detector,equal_qn,21,21,21,False,17.5,80,0.21875
stt4,page_0140,4,6,5,"[662, 595, 732, 668]","[661, 531, 732, 607]",0.087,detector,equal_qn,23,23,23,False,-62.5,73,-0.8561643835616438
stt4,page_0140,8,12,12,"[270, 1065, 338, 1149]","[269, 1021, 339, 1103]",0.291,detector,equal_qn,20,21,21,False,-45.0,84,-0.5357142857142857
stt4,page_0144,2,14,14,"[871, 1181, 939, 1262]","[890, 1163, 966, 1252]",0.396,detector,equal_qn,21,21,21,False,-14.0,81,-0.1728395061728395
stt4,page_0144,4,17,17,"[671, 1337, 747, 1414]","[700, 1336, 774, 1415]",0.448,detector,equal_qn,22,22,22,False,0.0,77,0.0
stt4,page_0144,6,13,13,"[483, 1087, 543, 1164]","[505, 1092, 573, 1173]",0.37,detector,equal_qn,22,22,22,False,7.0,77,0.09090909090909091
stt4,page_0168,2,13,13,"[881, 1204, 950, 1290]","[868, 1181, 942, 1266]",0.448,detector,conflict,19,19,20,False,-23.5,86,-0.27325581395348836
stt4,page_0168,7,13,13,"[411, 1070, 478, 1146]","[378, 1067, 451, 1146]",0.389,detector,equal_qn,22,22,22,False,-1.5,76,-0.019736842105263157
stt4,page_0168,7,19,19,"[411, 1450, 478, 1525]","[380, 1441, 449, 1522]",0.347,detector,equal_qn,22,22,22,False,-6.0,75,-0.08
stt4,page_0170,4,17,17,"[709, 1405, 789, 1486]","[673, 1413, 746, 1493]",0.281,detector,conflict,21,21,22,False,7.5,81,0.09259259259259259
stt4,page_0170,6,18,19,"[515, 1451, 592, 1531]","[478, 1458, 549, 1537]",0.267,detector,equal_qn,21,22,22,False,6.5,80,0.08125
stt4,page_0192,7,12,12,"[383, 1069, 454, 1152]","[360, 1052, 432, 1137]",0.384,detector,equal_qn,20,20,20,False,-16.0,83,-0.1927710843373494
stt4,page_0196,6,15,15,"[526, 1203, 599, 1280]","[501, 1202, 573, 1286]",0.45,detector,equal_qn,22,22,22,False,2.5,77,0.032467532467532464
stt4,page_0196,9,21,21,"[222, 1583, 299, 1654]","[192, 1582, 261, 1654]",0.361,detector,equal_qn,22,22,22,False,-0.5,71,-0.007042253521126761
stt4,page_0224,9,11,11,"[188, 1020, 264, 1058]","[188, 974, 264, 1058]",0.452,detector,equal_qn,20,21,21,False,-23.0,38,-0.6052631578947368
stt4,page_0226,7,17,17,"[374, 1260, 447, 1333]","[366, 1290, 438, 1367]",0.339,detector,equal_qn,23,22,22,False,32.0,73,0.4383561643835616
stt4,page_0228,8,14,14,"[313, 1142, 395, 1220]","[292, 1131, 364, 1212]",0.412,detector,equal_qn,22,22,22,False,-9.5,78,-0.12179487179487179
stt4,page_0232,3,11,11,"[766, 1025, 837, 1105]","[766, 962, 836, 1040]",0.104,detector,equal_qn,20,21,21,False,-64.0,80,-0.8
stt4,page_0260,2,6,6,"[846, 636, 927, 716]","[855, 607, 924, 683]",0.382,detector,equal_qn,21,22,22,False,-31.0,80,-0.3875
stt4,page_0260,7,10,11,"[371, 886, 435, 963]","[369, 950, 436, 1027]",0.09,detector,equal_qn,22,22,22,False,64.0,77,0.8311688311688312
stt4,page_0260,7,17,18,"[375, 1329, 440, 1406]","[377, 1391, 443, 1470]",0.102,detector,equal_qn,22,22,22,False,63.0,77,0.8181818181818182
stt4,page_0262,4,18,18,"[681, 1505, 751, 1585]","[681, 1446, 752, 1526]",0.15,detector,equal_qn,20,21,21,False,-59.0,80,-0.7375
stt4,page_0264,1,11,9,"[961, 907, 1034, 987]","[966, 976, 1039, 1059]",0.067,detector,equal_ocr,22,21,22,False,70.5,80,0.88125
stt4,page_0272,1,18,18,"[960, 1344, 1029, 1417]","[988, 1347, 1060, 1425]",0.369,detector,equal_qn,23,23,23,False,5.5,73,0.07534246575342465
stt4,page_0272,8,16,16,"[286, 1274, 354, 1351]","[301, 1290, 371, 1367]",0.437,detector,equal_qn,22,22,22,False,16.0,77,0.2077922077922078
stt4,page_0282,8,17,17,"[289, 1358, 358, 1432]","[317, 1356, 386, 1435]",0.403,detector,equal_qn,22,22,22,False,0.5,74,0.006756756756756757
stt4,page_0290,9,11,12,"[181, 913, 246, 986]","[184, 937, 252, 1010]",0.455,detector,equal_qn,23,24,24,False,24.0,73,0.3287671232876712
