book,page,column,nom_idx,syl_idx,bbox_cu,bbox_truoc_lock,iou,box_source_truoc_lock,count_source,n_ocr,n_qn,n_det
stt11,page_0028,1,8,8,"[1483, 1180, 1585, 1298]","[1483, 1180, 1585, 1298]",1.000,detector,equal_qn,22,22,22
stt11,page_0028,3,4,4,"[1173, 793, 1284, 907]","[1173, 793, 1284, 907]",1.000,detector,equal_qn,21,21,21
stt11,page_0030,3,6,6,"[1164, 956, 1264, 1068]","[1164, 956, 1264, 1068]",1.000,detector,equal_qn,22,22,22
stt11,page_0030,9,4,4,"[252, 769, 333, 875]","[243, 766, 338, 873]",0.816,detector,equal_qn,23,24,24
stt11,page_0032,1,0,0,"[1459, 407, 1567, 514]","[1459, 407, 1567, 514]",1.000,detector,equal_qn,21,21,21
stt11,page_0032,1,13,13,"[1450, 1686, 1557, 1807]","[1450, 1686, 1557, 1807]",1.000,detector,equal_qn,21,21,21
stt11,page_0032,2,4,4,"[1306, 781, 1407, 897]","[1306, 781, 1407, 897]",1.000,detector,equal_qn,22,22,22
stt11,page_0032,3,1,1,"[1152, 505, 1259, 622]","[1152, 505, 1259, 622]",1.000,detector,equal_qn,22,22,22
stt11,page_0032,5,8,8,"[858, 1168, 965, 1288]","[858, 1168, 965, 1288]",1.000,detector,equal_qn,22,22,22
stt11,page_0032,5,18,18,"[858, 2109, 965, 2224]","[858, 2109, 965, 2224]",1.000,detector,equal_qn,22,22,22
stt11,page_0032,8,10,10,"[395, 1357, 499, 1478]","[395, 1357, 499, 1478]",1.000,detector,equal_ocr,21,22,21
stt11,page_0034,1,21,19,"[1471, 2179, 1579, 2290]","[1473, 2175, 1578, 2294]",0.909,detector,equal_qn,24,22,22
stt11,page_0034,1,23,21,"[1471, 2365, 1579, 2467]","[1473, 2368, 1578, 2473]",0.893,detector,equal_qn,24,22,22
stt11,page_0034,2,10,12,"[1313, 1353, 1420, 1466]","[1313, 1353, 1420, 1466]",1.000,detector,conflict,22,24,21
stt11,page_0034,3,2,2,"[1163, 611, 1273, 727]","[1163, 611, 1273, 727]",1.000,detector,equal_qn,22,22,22
stt11,page_0034,3,8,8,"[1163, 1162, 1274, 1278]","[1163, 1162, 1274, 1278]",1.000,detector,equal_qn,22,22,22
stt11,page_0034,5,12,13,"[866, 1552, 983, 1664]","[866, 1585, 981, 1697]",0.538,detector,equal_qn,22,23,23
stt11,page_0034,6,17,17,"[701, 2029, 810, 2144]","[701, 2029, 810, 2144]",1.000,detector,equal_qn,22,22,22
stt11,page_0034,7,2,2,"[565, 611, 671, 727]","[565, 611, 671, 727]",1.000,detector,equal_ocr,22,24,22
stt11,page_0034,7,5,5,"[563, 897, 670, 1014]","[563, 897, 670, 1014]",1.000,detector,equal_ocr,22,24,22
stt11,page_0036,2,3,3,"[1364, 734, 1473, 850]","[1365, 727, 1473, 846]",0.903,detector,equal_ocr,21,17,21
stt11,page_0036,2,7,7,"[1364, 1124, 1473, 1240]","[1365, 1122, 1468, 1240]",0.930,detector,equal_ocr,21,17,21
stt11,page_0036,2,18,14,"[1364, 2196, 1473, 2313]","[1357, 2203, 1455, 2318]",0.714,detector,equal_ocr,21,17,21
stt11,page_0036,3,11,11,"[1204, 1479, 1309, 1591]","[1204, 1479, 1309, 1591]",1.000,detector,equal_qn,22,22,22
stt11,page_0036,6,2,2,"[753, 610, 858, 724]","[753, 610, 858, 724]",1.000,detector,equal_qn,22,22,22
stt11,page_0040,3,7,9,"[1177, 1066, 1267, 1172]","[1170, 1103, 1274, 1212]",0.423,detector,equal_ocr,23,24,23
stt11,page_0040,4,1,1,"[1010, 533, 1118, 645]","[1010, 533, 1118, 645]",1.000,detector,equal_qn,22,22,22
stt11,page_0040,4,20,20,"[1010, 2294, 1114, 2407]","[1010, 2294, 1114, 2407]",1.000,detector,equal_qn,22,22,22
stt11,page_0040,5,18,17,"[840, 1970, 942, 2072]","[850, 1971, 956, 2077]",0.753,detector,equal_ocr,24,23,24
stt11,page_0040,5,23,22,"[840, 2394, 942, 2488]","[844, 2389, 943, 2490]",0.888,detector,equal_ocr,24,23,24
stt11,page_0040,8,6,6,"[401, 957, 498, 1064]","[401, 957, 498, 1064]",1.000,detector,equal_qn,24,24,24
stt11,page_0040,8,16,16,"[389, 1803, 488, 1908]","[389, 1803, 488, 1908]",1.000,detector,equal_qn,24,24,24
stt11,page_0042,1,14,14,"[1475, 1679, 1578, 1792]","[1475, 1679, 1578, 1792]",1.000,detector,equal_qn,23,23,23
stt11,page_0042,1,18,18,"[1474, 2041, 1578, 2150]","[1474, 2041, 1578, 2150]",1.000,detector,equal_qn,23,23,23
stt11,page_0042,5,21,21,"[856, 2291, 969, 2408]","[856, 2291, 969, 2408]",1.000,detector,equal_qn,23,23,23
stt11,page_0042,8,9,9,"[397, 1246, 501, 1361]","[397, 1246, 501, 1361]",1.000,detector,equal_qn,22,22,22
stt11,page_0044,2,20,19,"[1354, 2059, 1462, 2159]","[1359, 2051, 1456, 2158]",0.830,detector,equal_ocr,24,23,24
stt11,page_0044,3,18,18,"[1191, 2029, 1298, 2138]","[1209, 2004, 1310, 2117]",0.514,detector,equal_qn,22,22,22
stt11,page_0044,5,20,20,"[913, 2206, 1016, 2318]","[913, 2206, 1016, 2318]",1.000,detector,equal_qn,22,22,22
stt11,page_0046,4,12,42,"[985, 1689, 1096, 1737]","[985, 1689, 1096, 1737]",1.000,split,conflict,20,51,21
stt11,page_0046,7,11,11,"[533, 1475, 638, 1551]","[533, 1475, 638, 1600]",0.608,detector,equal_qn,21,21,21
stt11,page_0046,9,9,9,"[240, 1251, 340, 1363]","[240, 1251, 340, 1363]",1.000,midpoint,conflict,22,22,23
stt11,page_0048,2,17,17,"[1282, 1974, 1385, 2090]","[1282, 1974, 1385, 2090]",1.000,detector,equal_qn,22,22,22
stt11,page_0048,3,0,0,"[1114, 396, 1221, 504]","[1114, 396, 1221, 504]",1.000,detector,equal_qn,21,21,21
stt11,page_0048,3,15,15,"[1134, 1864, 1240, 1985]","[1134, 1864, 1240, 1985]",1.000,detector,equal_qn,21,21,21
stt11,page_0048,7,0,0,"[515, 391, 617, 499]","[515, 391, 617, 499]",1.000,detector,equal_qn,21,21,21
stt11,page_0048,7,15,15,"[532, 1863, 639, 1987]","[532, 1863, 639, 1987]",1.000,detector,equal_qn,21,21,21
stt11,page_0048,9,4,4,"[221, 757, 320, 878]","[221, 757, 320, 878]",1.000,detector,equal_qn,21,21,21
stt11,page_0050,1,11,11,"[1465, 1469, 1568, 1584]","[1465, 1469, 1568, 1584]",1.000,detector,equal_qn,22,22,22
stt11,page_0050,3,14,14,"[1168, 1672, 1272, 1783]","[1168, 1672, 1272, 1783]",1.000,detector,equal_qn,23,23,23
stt11,page_0050,7,5,5,"[577, 898, 670, 1010]","[569, 879, 671, 992]",0.662,detector,equal_ocr,22,21,22
stt11,page_0052,3,1,1,"[1143, 501, 1253, 627]","[1143, 501, 1253, 627]",1.000,detector,equal_qn,21,21,21
stt11,page_0052,3,7,7,"[1151, 1123, 1263, 1248]","[1151, 1123, 1263, 1248]",1.000,detector,equal_qn,21,21,21
stt11,page_0052,4,16,19,"[1017, 2072, 1123, 2202]","[1017, 2072, 1123, 2202]",1.000,detector,equal_ocr,20,23,20
stt11,page_0052,6,3,3,"[694, 668, 793, 778]","[694, 668, 793, 778]",1.000,detector,equal_ocr,22,23,22
stt11,page_0052,6,9,9,"[691, 1215, 797, 1329]","[691, 1215, 797, 1329]",1.000,detector,equal_ocr,22,23,22
stt11,page_0052,6,19,19,"[700, 2203, 809, 2299]","[700, 2180, 809, 2299]",0.807,detector,equal_ocr,22,23,22
stt11,page_0052,7,14,14,"[552, 1719, 661, 1836]","[552, 1719, 661, 1836]",1.000,detector,equal_qn,22,22,22
stt11,page_0054,8,3,3,"[434, 729, 540, 844]","[434, 729, 540, 844]",1.000,detector,equal_qn,22,22,22
stt11,page_0056,2,2,2,"[1339, 654, 1444, 774]","[1339, 654, 1444, 774]",1.000,detector,equal_qn,20,20,20
stt11,page_0056,3,3,3,"[1182, 740, 1288, 859]","[1182, 740, 1288, 859]",1.000,detector,equal_qn,21,21,21
stt11,page_0056,3,16,16,"[1191, 2001, 1296, 2120]","[1191, 2001, 1296, 2120]",1.000,detector,equal_qn,21,21,21
stt11,page_0056,3,19,19,"[1191, 2287, 1296, 2407]","[1191, 2287, 1296, 2407]",1.000,detector,equal_qn,21,21,21
stt11,page_0056,4,10,11,"[1029, 1418, 1140, 1537]","[1029, 1523, 1143, 1643]",0.061,detector,equal_qn,20,21,21
stt11,page_0056,5,18,18,"[874, 2274, 987, 2396]","[874, 2274, 987, 2396]",1.000,midpoint,conflict,20,20,21
stt11,page_0056,6,13,13,"[724, 1693, 832, 1812]","[724, 1693, 832, 1812]",1.000,detector,equal_qn,21,21,21
stt11,page_0056,9,8,8,"[282, 1176, 384, 1288]","[270, 1176, 374, 1291]",0.788,detector,equal_ocr,22,23,22
stt11,page_0058,1,5,5,"[1487, 915, 1590, 1026]","[1487, 921, 1589, 1035]",0.867,detector,equal_ocr,22,21,22
stt11,page_0058,3,19,17,"[1188, 2260, 1287, 2374]","[1181, 2256, 1285, 2374]",0.885,detector,equal_ocr,21,19,21
stt11,page_0058,4,3,3,"[1046, 721, 1147, 832]","[1046, 721, 1147, 832]",1.000,detector,equal_qn,23,23,23
stt11,page_0058,4,20,20,"[1031, 2218, 1140, 2326]","[1031, 2218, 1140, 2326]",1.000,detector,equal_qn,23,23,23
stt11,page_0058,7,12,12,"[573, 1510, 694, 1617]","[575, 1517, 683, 1626]",0.776,detector,equal_ocr,23,22,23
stt11,page_0060,2,1,1,"[1331, 521, 1434, 637]","[1331, 521, 1434, 637]",1.000,detector,equal_qn,18,18,18
stt11,page_0060,2,11,11,"[1338, 1542, 1444, 1664]","[1338, 1542, 1444, 1664]",1.000,detector,equal_qn,18,18,18
stt11,page_0060,6,2,2,"[716, 596, 818, 710]","[716, 596, 818, 710]",1.000,detector,equal_qn,21,21,21
stt11,page_0060,9,3,3,"[273, 692, 368, 801]","[273, 692, 368, 801]",1.000,detector,equal_ocr,23,27,23
stt11,page_0062,2,3,3,"[1305, 712, 1408, 821]","[1305, 712, 1408, 821]",1.000,detector,equal_qn,23,23,23
stt11,page_0062,3,1,2,"[1167, 532, 1267, 638]","[1167, 532, 1267, 638]",1.000,detector,equal_ocr,24,25,24
stt11,page_0062,4,0,0,"[1022, 452, 1126, 554]","[1022, 452, 1126, 554]",1.000,detector,equal_qn,23,23,23
stt11,page_0062,4,14,14,"[1010, 1672, 1113, 1783]","[1010, 1672, 1113, 1783]",1.000,detector,equal_qn,23,23,23
stt11,page_0062,5,4,4,"[872, 805, 976, 917]","[872, 805, 976, 917]",1.000,detector,equal_qn,22,22,22
stt11,page_0062,5,8,8,"[869, 1163, 977, 1275]","[869, 1163, 977, 1275]",1.000,detector,equal_qn,22,22,22
stt11,page_0064,1,14,14,"[1527, 1770, 1625, 1889]","[1527, 1770, 1625, 1889]",1.000,detector,equal_qn,21,21,21
stt11,page_0064,2,10,10,"[1386, 1401, 1491, 1519]","[1386, 1401, 1491, 1519]",1.000,detector,equal_ocr,21,22,21
stt11,page_0066,7,20,20,"[548, 2366, 649, 2470]","[548, 2366, 649, 2470]",1.000,detector,equal_qn,21,21,21
stt11,page_0066,8,14,15,"[414, 1734, 503, 1843]","[407, 1749, 512, 1863]",0.629,detector,equal_ocr,22,23,22
stt11,page_0068,4,10,10,"[998, 1362, 1103, 1477]","[998, 1362, 1103, 1477]",1.000,detector,equal_qn,22,22,22
stt11,page_0068,8,5,5,"[398, 876, 498, 990]","[398, 876, 498, 990]",1.000,detector,equal_qn,22,22,22
stt11,page_0070,1,17,18,"[1491, 2016, 1594, 2130]","[1491, 2016, 1594, 2130]",1.000,detector,equal_qn,22,23,23
stt11,page_0070,4,1,1,"[1043, 550, 1147, 665]","[1043, 550, 1147, 665]",1.000,detector,equal_qn,21,21,21
stt11,page_0070,5,20,20,"[879, 2288, 995, 2404]","[879, 2288, 995, 2404]",1.000,detector,equal_qn,22,22,22
stt11,page_0072,4,16,16,"[1019, 1975, 1125, 2092]","[1019, 1975, 1125, 2092]",1.000,detector,conflict,21,23,22
stt11,page_0074,1,16,17,"[1498, 1992, 1611, 2068]","[1498, 1992, 1611, 2119]",0.598,detector,equal_ocr,21,22,21
stt11,page_0074,3,7,7,"[1189, 1108, 1297, 1232]","[1189, 1108, 1297, 1232]",1.000,detector,equal_qn,21,21,21
stt11,page_0074,4,9,9,"[1039, 1242, 1150, 1355]","[1039, 1242, 1150, 1355]",1.000,detector,equal_qn,23,23,23
stt11,page_0074,5,8,8,"[881, 1175, 989, 1291]","[881, 1175, 989, 1291]",1.000,detector,equal_ocr,22,23,22
stt11,page_0074,5,16,17,"[889, 1935, 1000, 2052]","[889, 1935, 1000, 2052]",1.000,detector,equal_ocr,22,23,22
stt11,page_0074,6,8,9,"[732, 1185, 840, 1304]","[732, 1185, 840, 1304]",1.000,detector,equal_ocr,22,23,22
stt11,page_0074,8,2,2,"[433, 602, 537, 712]","[433, 602, 537, 712]",1.000,detector,conflict,21,21,23
stt11,page_0076,4,6,6,"[1082, 1018, 1185, 1144]","[1082, 1018, 1185, 1144]",1.000,detector,equal_qn,12,12,12
stt11,page_0076,7,11,10,"[611, 1467, 717, 1584]","[611, 1467, 717, 1584]",1.000,midpoint,conflict,21,20,22
stt11,page_0076,8,12,12,"[465, 1467, 560, 1574]","[465, 1467, 560, 1574]",1.000,midpoint,conflict,23,23,22
stt11,page_0076,8,20,20,"[459, 2171, 563, 2288]","[459, 2171, 563, 2288]",1.000,detector,conflict,23,23,22
stt11,page_0078,1,20,21,"[1466, 2403, 1564, 2508]","[1466, 2403, 1564, 2508]",1.000,detector,equal_ocr,21,22,21
stt11,page_0078,2,7,8,"[1310, 1041, 1410, 1149]","[1310, 1041, 1410, 1149]",1.000,midpoint,conflict,23,26,24
stt11,page_0078,4,0,0,"[1009, 421, 1113, 521]","[1009, 421, 1113, 521]",1.000,detector,equal_ocr,22,23,22
stt11,page_0078,5,3,3,"[849, 681, 955, 787]","[849, 681, 955, 787]",1.000,detector,equal_qn,22,22,22
stt11,page_0078,7,8,8,"[533, 1158, 637, 1280]","[533, 1158, 637, 1280]",1.000,detector,equal_qn,21,21,21
stt11,page_0078,7,14,14,"[524, 1711, 627, 1829]","[524, 1711, 627, 1829]",1.000,detector,equal_qn,21,21,21
stt11,page_0080,3,17,17,"[1158, 2086, 1259, 2204]","[1158, 2086, 1259, 2204]",1.000,detector,equal_qn,21,21,21
stt11,page_0080,4,1,1,"[1015, 518, 1121, 640]","[1015, 518, 1121, 640]",1.000,detector,equal_qn,21,21,21
stt11,page_0080,5,19,19,"[870, 2205, 971, 2322]","[870, 2205, 971, 2322]",1.000,detector,equal_qn,22,22,22
stt11,page_0080,6,21,20,"[718, 2405, 826, 2509]","[721, 2390, 822, 2500]",0.753,detector,equal_ocr,22,21,22
stt11,page_0080,8,11,13,"[430, 1444, 543, 1557]","[420, 1415, 528, 1535]",0.530,detector,equal_ocr,22,24,22
stt11,page_0080,9,2,2,"[282, 608, 383, 723]","[282, 608, 383, 723]",1.000,detector,equal_qn,21,21,21
stt11,page_0088,4,17,17,"[1060, 2012, 1165, 2131]","[1060, 2012, 1165, 2131]",1.000,detector,equal_qn,22,22,22
stt11,page_0092,6,3,3,"[709, 694, 819, 805]","[714, 689, 819, 801]",0.882,detector,equal_ocr,22,20,22
stt11,page_0092,6,19,17,"[709, 2176, 819, 2286]","[713, 2173, 822, 2288]",0.899,detector,equal_ocr,22,20,22
stt11,page_0092,7,11,11,"[558, 1476, 696, 1592]","[567, 1419, 672, 1536]",0.286,detector,equal_qn,21,22,22
stt11,page_0092,8,3,4,"[415, 698, 523, 818]","[415, 698, 523, 818]",1.000,detector,equal_ocr,21,22,21
stt11,page_0092,8,12,13,"[408, 1586, 514, 1708]","[408, 1586, 514, 1708]",1.000,detector,equal_ocr,21,22,21
stt11,page_0094,3,17,17,"[1160, 2024, 1267, 2143]","[1160, 2024, 1267, 2143]",1.000,detector,equal_qn,22,22,22
stt11,page_0094,4,11,11,"[1011, 1513, 1120, 1634]","[1011, 1513, 1120, 1634]",1.000,detector,equal_qn,21,21,21
stt11,page_0094,5,15,15,"[863, 1715, 969, 1813]","[866, 1640, 966, 1739]",0.134,detector,equal_qn,24,25,25
stt11,page_0094,8,4,4,"[409, 802, 512, 923]","[409, 802, 512, 923]",1.000,detector,equal_qn,21,21,21
stt11,page_0096,1,17,17,"[1492, 2063, 1588, 2182]","[1492, 2063, 1588, 2182]",1.000,detector,equal_qn,21,21,21
stt11,page_0096,3,2,2,"[1156, 614, 1263, 728]","[1156, 614, 1263, 728]",1.000,detector,equal_qn,21,21,21
stt11,page_0096,4,10,10,"[1022, 1343, 1129, 1463]","[1022, 1343, 1129, 1463]",1.000,detector,equal_qn,22,22,22
stt11,page_0096,5,12,12,"[872, 1525, 981, 1642]","[872, 1525, 981, 1642]",1.000,detector,equal_qn,22,22,22
stt11,page_0096,6,7,7,"[714, 1090, 818, 1207]","[714, 1090, 818, 1207]",1.000,detector,equal_qn,21,21,21
stt11,page_0096,7,9,10,"[555, 1269, 663, 1386]","[555, 1269, 663, 1386]",1.000,detector,equal_ocr,22,23,22
stt11,page_0096,8,4,5,"[419, 805, 521, 919]","[419, 805, 521, 919]",1.000,detector,equal_ocr,23,24,23
stt11,page_0096,9,3,3,"[269, 738, 372, 826]","[269, 710, 372, 826]",0.759,detector,equal_qn,22,23,23
stt11,page_0096,9,21,21,"[275, 2395, 361, 2498]","[283, 2322, 383, 2430]",0.161,detector,equal_qn,22,23,23
stt11,page_0098,3,4,4,"[1200, 842, 1308, 965]","[1200, 842, 1308, 965]",1.000,detector,equal_qn,21,21,21
stt11,page_0098,5,0,0,"[914, 459, 1022, 573]","[914, 459, 1022, 573]",1.000,detector,conflict,19,19,20
stt11,page_0098,5,14,14,"[911, 1943, 1033, 2072]","[911, 1943, 1033, 2072]",1.000,midpoint,conflict,19,19,20
stt11,page_0098,9,14,13,"[279, 1744, 381, 1854]","[255, 1657, 355, 1770]",0.096,detector,equal_qn,22,22,22
stt11,page_0100,1,10,10,"[1463, 1462, 1592, 1588]","[1479, 1419, 1584, 1539]",0.389,detector,equal_qn,20,21,21
stt11,page_0100,4,4,4,"[1012, 812, 1119, 934]","[1012, 812, 1119, 934]",1.000,detector,equal_qn,21,21,21
stt11,page_0100,4,11,11,"[1011, 1501, 1120, 1624]","[1011, 1501, 1120, 1624]",1.000,detector,equal_qn,21,21,21
stt11,page_0100,7,13,13,"[567, 1631, 672, 1749]","[567, 1631, 672, 1749]",1.000,detector,equal_qn,22,22,22
stt11,page_0100,8,10,10,"[431, 1386, 532, 1507]","[431, 1386, 532, 1507]",1.000,detector,equal_qn,21,21,21
stt11,page_0100,9,8,8,"[283, 1155, 384, 1272]","[283, 1155, 384, 1272]",1.000,detector,equal_qn,22,22,22
stt11,page_0102,1,14,14,"[1474, 1737, 1589, 1857]","[1474, 1737, 1589, 1857]",1.000,detector,equal_qn,22,22,22
stt11,page_0102,3,4,4,"[1153, 786, 1276, 895]","[1171, 786, 1275, 897]",0.833,detector,equal_ocr,22,21,22
stt11,page_0102,6,14,14,"[713, 1850, 824, 1977]","[713, 1850, 824, 1977]",1.000,detector,equal_qn,20,20,20
stt11,page_0104,2,10,1,"[1353, 1417, 1455, 1532]","[1347, 1416, 1453, 1536]",0.888,detector,equal_ocr,21,12,21
stt11,page_0104,3,10,10,"[1189, 1425, 1293, 1547]","[1189, 1425, 1293, 1547]",1.000,detector,equal_qn,21,21,21
stt11,page_0104,5,18,18,"[878, 2128, 981, 2241]","[878, 2128, 981, 2241]",1.000,detector,equal_qn,22,22,22
stt11,page_0104,6,5,5,"[729, 922, 829, 1043]","[729, 922, 829, 1043]",1.000,detector,equal_qn,21,21,21
stt11,page_0104,8,17,17,"[424, 2059, 531, 2182]","[424, 2059, 531, 2182]",1.000,detector,equal_qn,21,21,21
stt11,page_0104,9,19,19,"[263, 2297, 370, 2414]","[263, 2297, 370, 2414]",1.000,detector,equal_qn,21,21,21
stt11,page_0106,3,0,0,"[1196, 473, 1305, 583]","[1196, 473, 1305, 583]",1.000,detector,equal_qn,21,21,21
stt11,page_0106,4,11,11,"[1047, 1501, 1155, 1613]","[1029, 1504, 1136, 1620]",0.655,detector,equal_ocr,22,21,22
stt11,page_0106,4,21,20,"[1047, 2440, 1155, 2543]","[1029, 2436, 1135, 2543]",0.676,detector,equal_ocr,22,21,22
stt11,page_0106,6,2,2,"[743, 652, 850, 768]","[743, 652, 850, 768]",1.000,detector,equal_qn,21,21,21
stt11,page_0106,8,11,11,"[435, 1442, 553, 1549]","[422, 1410, 526, 1524]",0.438,detector,conflict,23,23,22
stt11,page_0108,1,15,16,"[1471, 1865, 1576, 1985]","[1472, 1971, 1576, 2090]",0.062,detector,equal_qn,21,21,21
stt11,page_0108,2,5,5,"[1300, 886, 1413, 1002]","[1300, 886, 1413, 1002]",1.000,detector,equal_qn,22,22,22
stt11,page_0108,5,17,17,"[849, 2025, 954, 2140]","[849, 2025, 954, 2140]",1.000,detector,equal_qn,22,22,22
stt11,page_0108,6,1,1,"[693, 499, 798, 612]","[693, 499, 798, 612]",1.000,detector,equal_qn,22,22,22
stt11,page_0108,6,20,20,"[701, 2288, 806, 2409]","[701, 2288, 806, 2409]",1.000,detector,equal_qn,22,22,22
stt11,page_0108,7,7,7,"[544, 1065, 650, 1182]","[544, 1065, 650, 1182]",1.000,detector,equal_qn,22,22,22
stt11,page_0108,8,5,5,"[406, 924, 512, 1047]","[406, 924, 512, 1047]",1.000,detector,equal_qn,20,20,20
stt11,page_0108,9,7,7,"[250, 1045, 353, 1160]","[250, 1045, 353, 1160]",1.000,detector,equal_qn,22,22,22
stt11,page_0110,1,8,8,"[1453, 1237, 1568, 1358]","[1453, 1237, 1568, 1358]",1.000,detector,equal_qn,21,21,21
stt11,page_0110,1,12,12,"[1452, 1630, 1569, 1752]","[1452, 1630, 1569, 1752]",1.000,detector,equal_qn,21,21,21
stt11,page_0110,2,14,13,"[1314, 1821, 1432, 1938]","[1293, 1738, 1409, 1856]",0.138,detector,equal_qn,21,21,21
stt11,page_0110,3,14,15,"[1136, 1880, 1249, 2008]","[1136, 1880, 1249, 2008]",1.000,detector,equal_ocr,20,21,20
stt11,page_0110,5,17,18,"[843, 1904, 947, 2005]","[843, 1904, 947, 2005]",1.000,detector,equal_ocr,24,25,24
stt11,page_0110,7,10,11,"[535, 1420, 642, 1539]","[535, 1420, 642, 1539]",1.000,detector,equal_ocr,21,22,21
stt11,page_0110,9,14,14,"[259, 1715, 356, 1824]","[259, 1715, 356, 1824]",1.000,midpoint,conflict,22,22,23
stt11,page_0112,1,7,7,"[1472, 1114, 1579, 1234]","[1472, 1114, 1579, 1234]",1.000,detector,equal_qn,21,21,21
stt11,page_0112,2,19,19,"[1324, 2284, 1429, 2404]","[1324, 2284, 1429, 2404]",1.000,detector,conflict,21,21,22
stt11,page_0112,5,0,0,"[854, 439, 960, 548]","[854, 439, 960, 548]",1.000,detector,equal_qn,22,22,22
stt11,page_0112,6,7,6,"[712, 1080, 811, 1193]","[705, 958, 813, 1072]",0.000,detector,equal_qn,22,23,23
stt11,page_0112,7,6,8,"[557, 966, 665, 1084]","[557, 966, 665, 1084]",1.000,detector,equal_ocr,22,24,22
stt11,page_0112,8,18,18,"[398, 2107, 504, 2220]","[398, 2107, 504, 2220]",1.000,detector,equal_qn,22,22,22
stt11,page_0112,9,0,0,"[269, 415, 379, 529]","[269, 415, 379, 529]",1.000,detector,equal_ocr,20,22,20
