page,W,H,x0,y0,x1,y1,frame_w,frame_h,area_ratio,flag
page_0078,1154,1838,184,264,1074,1681,890,1417,0.595,
page_0080,1140,1828,169,242,1054,1679,885,1437,0.61,
page_0082,1158,1840,170,265,1042,1662,872,1397,0.572,
page_0084,1133,1824,148,228,1044,1657,896,1429,0.62,
page_0086,1130,1822,155,234,1052,1661,897,1427,0.622,
page_0088,1130,1822,145,227,1047,1654,902,1427,0.625,
page_0090,1211,1876,161,266,1084,1690,923,1424,0.579,
page_0092,1162,1842,159,253,1059,1653,900,1400,0.589,
page_0094,1133,1824,134,237,1042,1655,908,1418,0.623,
page_0096,1137,1826,159,233,1044,1657,885,1424,0.607,
page_0098,1133,1824,152,210,1053,1650,901,1440,0.628,
page_0100,1144,1831,153,239,1035,1660,882,1421,0.598,
page_0102,1133,1824,159,246,1045,1675,886,1429,0.613,
page_0104,1137,1826,163,254,1047,1663,884,1409,0.6,
page_0108,1218,1882,201,265,1081,1661,880,1396,0.536,
page_0110,1130,1822,147,232,1017,1662,870,1430,0.604,
page_0112,1208,1874,177,249,1081,1676,904,1427,0.57,
page_0114,1144,1831,167,224,1047,1633,880,1409,0.592,
page_0116,1144,1831,168,234,1041,1664,873,1430,0.596,
page_0118,1133,1824,156,208,1055,1666,899,1458,0.634,
page_0120,1133,1824,143,220,1036,1658,893,1438,0.621,
page_0122,1162,1842,151,293,1051,1664,900,1371,0.576,
page_0124,1186,1860,180,234,1053,1668,873,1434,0.567,
page_0126,1133,1824,159,227,1043,1657,884,1430,0.612,
page_0128,1151,1835,159,232,1033,1669,874,1437,0.595,
page_0130,1169,1847,160,224,1062,1673,902,1449,0.605,
page_0132,1144,1831,147,233,1053,1672,906,1439,0.622,
page_0134,1133,1824,149,213,1046,1647,897,1434,0.622,
page_0136,1151,1835,147,239,1051,1665,904,1426,0.61,
page_0138,1137,1826,137,233,1040,1658,903,1425,0.62,
page_0140,1144,1831,165,227,1044,1659,879,1432,0.601,
page_0142,1183,1856,148,240,1084,1677,936,1437,0.613,
page_0144,1215,1879,197,235,1104,1680,907,1445,0.574,
page_0146,1140,1828,171,225,1054,1662,883,1437,0.609,
page_0148,1130,1822,163,221,1063,1652,900,1431,0.626,
page_0150,1137,1826,140,221,1047,1663,907,1442,0.63,
page_0152,1147,1833,161,225,1046,1648,885,1423,0.599,
page_0154,1133,1824,141,217,1041,1667,900,1450,0.631,
page_0156,1215,1879,185,261,1066,1686,881,1425,0.55,
page_0158,1130,1822,169,237,1052,1664,883,1427,0.612,
page_0160,1137,1826,174,243,1050,1660,876,1417,0.598,
page_0162,1151,1835,183,246,1063,1676,880,1430,0.596,
page_0164,1144,1831,169,236,1063,1664,894,1428,0.609,
page_0166,1133,1824,162,231,1054,1674,892,1443,0.623,
page_0168,1169,1847,184,252,1059,1675,875,1423,0.577,
page_0170,1194,1864,174,242,1075,1684,901,1442,0.584,
page_0172,1140,1828,171,228,1053,1661,882,1433,0.607,
page_0174,1140,1828,174,232,1060,1672,886,1440,0.612,
page_0176,1133,1824,169,225,1042,1659,873,1434,0.606,
page_0178,1137,1826,156,234,1048,1654,892,1420,0.61,
page_0182,1169,1847,188,241,1089,1686,901,1445,0.603,
page_0184,1154,1838,169,241,1057,1676,888,1435,0.601,
page_0186,1169,1847,151,254,1093,1678,942,1424,0.621,
page_0188,1140,1828,169,240,1037,1659,868,1419,0.591,
page_0190,1140,1828,163,238,1052,1663,889,1425,0.608,
page_0192,1137,1826,175,241,1049,1666,874,1425,0.6,
page_0194,1140,1828,189,223,1058,1657,869,1434,0.598,
page_0196,1169,1847,189,236,1085,1681,896,1445,0.6,
page_0198,1130,1822,171,235,1057,1654,886,1419,0.611,
page_0200,1137,1826,202,236,1086,1663,884,1427,0.608,
page_0202,1162,1842,173,239,1064,1671,891,1432,0.596,
page_0204,1130,1822,178,229,1060,1648,882,1419,0.608,
page_0206,1140,1828,160,228,1053,1666,893,1438,0.616,
page_0208,1169,1847,192,240,1082,1679,890,1439,0.593,
page_0210,1186,1860,192,248,1077,1693,885,1445,0.58,
page_0212,1186,1860,183,244,1086,1684,903,1440,0.589,
page_0214,1137,1826,182,231,1039,1663,857,1432,0.591,
page_0216,1140,1828,168,230,1082,1672,914,1442,0.632,
page_0218,1165,1845,160,246,1074,1666,914,1420,0.604,
page_0220,1162,1842,166,238,1068,1670,902,1432,0.603,
page_0222,1144,1831,179,235,1053,1668,874,1433,0.598,
page_0224,1154,1838,173,243,1063,1668,890,1425,0.598,
page_0226,1133,1824,166,228,1041,1659,875,1431,0.606,
page_0228,1169,1847,187,237,1069,1679,882,1442,0.589,
page_0230,1137,1826,166,238,1048,1667,882,1429,0.607,
page_0232,1133,1824,164,230,1045,1650,881,1420,0.605,
page_0234,1137,1826,169,237,1046,1676,877,1439,0.608,
page_0236,1133,1824,181,237,1038,1653,857,1416,0.587,
page_0238,1137,1826,157,241,1048,1665,891,1424,0.611,
page_0240,1144,1831,169,238,1051,1669,882,1431,0.603,
page_0242,1140,1828,208,230,1071,1660,863,1430,0.592,
page_0244,1154,1838,179,240,1060,1667,881,1427,0.593,
page_0246,1140,1828,173,235,1048,1667,875,1432,0.601,
page_0248,1137,1826,195,230,1066,1664,871,1434,0.602,
page_0250,1133,1824,158,231,1043,1659,885,1428,0.612,
page_0252,1137,1826,172,230,1057,1665,885,1435,0.612,
page_0254,1130,1822,162,236,1046,1656,884,1420,0.61,
page_0256,1137,1826,163,233,1049,1666,886,1433,0.612,
page_0258,1133,1824,162,228,1038,1666,876,1438,0.61,
page_0260,1140,1828,170,239,1040,1670,870,1431,0.597,
page_0262,1137,1826,166,235,1055,1668,889,1433,0.614,
page_0264,1140,1828,171,239,1045,1671,874,1432,0.601,
page_0266,1190,1862,186,252,1091,1674,905,1422,0.581,
page_0268,1137,1826,163,239,1029,1657,866,1418,0.591,
page_0270,1165,1845,182,240,1067,1677,885,1437,0.592,
page_0272,1179,1854,175,245,1079,1674,904,1429,0.591,
page_0274,1147,1833,176,237,1050,1669,874,1432,0.595,
page_0276,1133,1824,169,230,1037,1668,868,1438,0.604,
page_0278,1685,2581,228,213,1558,2341,1330,2128,0.651,
page_0280,1130,1822,169,233,1048,1655,879,1422,0.607,
page_0282,1183,1856,201,295,1074,1684,873,1389,0.552,
page_0284,1133,1824,166,230,1041,1659,875,1429,0.605,
page_0286,1144,1831,187,240,1061,1661,874,1421,0.593,
page_0288,1147,1833,170,236,1039,1654,869,1418,0.586,
page_0290,1140,1828,176,244,1039,1658,863,1414,0.586,
page_0292,1133,1824,170,235,1030,1662,860,1427,0.594,
page_0294,1133,1824,167,234,1037,1664,870,1430,0.602,
page_0296,1137,1826,187,238,1043,1663,856,1425,0.588,
page_0298,1133,1824,168,239,1034,1657,866,1418,0.594,
page_0300,1130,1822,158,228,1039,1664,881,1436,0.614,
page_0302,1162,1842,162,243,1053,1680,891,1437,0.598,
page_0304,1154,1838,174,232,1056,1654,882,1422,0.591,
