chunom,translation
安身安準耒𠫾𦥃低曰𠼦󱚐時學添,"yên thân yên chốn rồi đi. đến đây viết mướn, rảnh thời học thêm"
払歳𥘷本𣳔豪傑摄筆硯蹺役刀弓,chàng tuổi trẻ vốn dòng hào kiệt. xếp bút nghiên theo việc đao cung
五日節制鄭松督兵渡江進至于千春寺,"ngũ nhật, tiết chế trịnh tùng đốc binh độ giang, tiến chí vu thiên xuân tự"
喓離埃窖達排,éo le ai khéo đặt bày
索𫅷披拂𠃅霜𡥵疎𣒣𣷱𡲤當扶持,tác già phơ phất mái sương. con thơ măng sữa vả đương bù trì
品僊淶典𢬣𪬡懷功𤓢𡨹湄廛貝埃,phẩm tiên rơi đến tay hèn. hoài công nắng giữ mưa gìn với ai
初󰅒碎沕𠹾柴,xưa nay tôi vẫn chịu thầy
惠宗撥起拂手曰爾之所言我知之矣,"huệ tông bát khởi phất thủ viết nhĩ chi sở ngôn, ngã tri chi hĩ"
癸酉,quý dậu
𥚇虶毒過𡳪螉,lưỡi vò độc quá đuôi ong
󰮂潭夷𬙾朋蓮,trong đầm gì đẹp bằng sen
春正月庚寅帝崩于會僊殿,"xuân, chính nguyệt, canh dần, đế băng vu hội tiên điện"
詔文武百官齋戒詣景灵宮報恩寺祈雨,chiếu văn vũ bách quan trai giới nghệ cảnh linh cung báo ân tự kì vũ
昆𡥙渚嫌双曰兀,con cháu chớ hiềm song viết ngặt
步趨小子褲𢏣𦟷,bù xu tiểu tử khố cong bòi
後進攻雷陽莫兵多敗引軍還〇,"hậu tiến công lôi dương, mạc binh đa bại, dẫn quân hoàn"
𬙞𨑮渚𥊖渚跪啫咵浪𡄰,"bảy mươi chưa đui chưa què, chớ khoe rằng tốt"
初前吳王病革遣命三哥輔其子,"sơ, tiền ngô vương bệnh cách, khiển mệnh tam kha phụ kì tử"
志爫󰜩𨤵𠦳䏧馭,chí làm trai dặm ngàn da ngựa
三春會試天下士人,"tam xuân, hội thí thiên hạ sĩ nhân"
事奈何福良侯與及第永紹栢等密奏帝移行在入萬頼䦕内分兵㨿守壘門以防外兵,"sự nại hà? phúc lương hầu dữ cập đệ, vĩnh thiệu, bách đẳng mật tấu đế di hành tại nhập vạn lại quan nội, phân binh cứ thủ luỹ môn dĩ phòng ngoại binh"
都󰱑不䏻檢奏一體治罪,đô đài bất năng kiểm tấu nhất thể trị tội
𩄲󱔲𤑟𡓃𠓨天台,rẽ mây trông tỏ lối vào thiên thai
半饐,bán ế
身爵一男妻宗姬給田十𤱈〇,"thân tước, nhất nam thê tông, cơ cấp điền thập mẫu"
百官會合跪奏𢜠台𦊚𣷭󰯃收蔑茹,bách quan hội họp quỳ tâu. mừng thay bốn bể góp thâu một nhà
水鳧越离苔弹咍悲咍吝罢蘭劎咹,"thuỷ phù vịt le đầy đàn. hay bơi hay lặn, bãi làn kiếm ăn"
寔他拱体俚𬌥,thực thà cũng thể lái trâu
鎬以文章名然性行非常居官好異,"cảo dĩ văn chương danh, nhiên tính hạnh phi thường, cư quan hiếu dị"
儻或奉行事務及勘問詞訟間有不改前非而枉法受賂稽留逾期勘斷失當相結朋黨偏爲恩義聽受請託多行冗弊以致󰔦政害民,"thảng hoặc phụng hành sự vụ, cập khám vấn từ tụng, gian hữu bất cải tiền phi, nhi uổng pháp thụ lộ, kê lưu du kì, khám đoán thất đáng, tương kết bằng đảng, thiên vị ân nghĩa, thính thụ thỉnh thác, đa hành nhũng tệ, dĩ trí đố chính hại dân"
自是而後踵而行之,"tự thị, nhi hậu chủng nhi hành chi"
贈太師,tặng thái sư
書居猶存弊習未改,thư cư do tồn tệ tập vị cải
盆𬂙㪯𣷭𧵆𣋚,buồn trông cửa bể gần hôm
厨箏孛坦於廊少之,chùa tranh bụt đất ở làng thiếu chi
提刑監察御史職專諍論審讞案問糾劾察録照刷等事,đề hình giám sát ngự sử chức chuyên tranh luận thẩm nghiện án vấn kiểu hặc sát lục chiếu xoát đẳng sự
𤈜𤑭,chói lói
𠊛𠶖𨢇𨠣𨠵㗂醝,người uống rượu chếnh choáng tỉnh say
賊退屯武,"tặc thoái, đồn vũ"
賊兵遂倒戈抛甲棄船下水各自迯生,tặc binh toại đảo qua phao giáp khí thuyền hạ thuỷ các tự đào sinh
王通馬其等僅以身免走還東䦕城,"vương thông, mã kì đẳng cẩn dĩ thân miễn tẩu hoàn đông quan thành"
玉招厝最坤垠𤎜蘭吜馨漊拱訴香,ngọc gieo xó tối khôn ngăn sáng. lan giấu hang sâu cũng tỏa hương
賖賖倘倘味香,xa xa thoang thoảng mùi hương
卿等合體此意以盡克难之道以全終始之節無使臯𧃰稷契伊傅周召專美於前代顧不偉哉,"khanh đẳng hợp thể thử ý dĩ tận khắc nan chi đạo, dĩ toàn chung thuỷ chi tiết, vô sử cao, quỳ, tắc, tiết, y, phó, chu, thiệu chuyên mĩ ư tiền đại, cố bất vĩ tai"
断獄,đoán ngục
史臣吳士連曰吿帝以難私恩也爵人于朝公選也,sử thần ngô sĩ liên viết cáo đế dĩ nan tư ân dã tước nhân vu triều công tuyển dã
娘蘂卿隊時㖠干𠅜雖拯体𦖑仍極敬你𦷾,"nàng nhị khanh đòi thời nài can. lời tuy chẳng thấy nghe, nhưng cực kính nể đấy"
鄭根特出勝筭,trịnh căn đặc xuất thắng toán
修府庫洽城隍,"tu phủ khố, hiệp thành hoàng"
元以明年為洪德元年,"nguyên, dĩ minh niên vi hồng đức nguyên niên"
以范五老為親衛将軍兼𬋩龍興府天属軍,dĩ phạm ngũ lão vi thân vệ tướng quân kiêm quản long hưng phủ thiên thuộc quân
󰅹𥶄修󰓗󰅹𢃱深,nào nón tu lờ nào mũ thâm
庒爫𠊛保浪𢞴爫辰昌𮌱昌𦠳排𫥨,chẳng làm người bảo rằng ươn. làm thì xương sống xương sườn bày ra
節制鄭松𭁈大臣文武入内殿朝謁,tiết chế trịnh tùng dữ đại thần văn vũ nhập nội điện triều yết
是時論功行賞加黄廷愛為右相太尉榮國公阮有僚為太尉陽國公鄭杜為為太傅鄭桐鄭檸俱為太保黎栢為少尉本郡公何壽禄為少尉吳景祐鄭文海俱爲少保吏部尚書阮茂宣為少傅瓊郡公,"thị thời, luận công hành thưởng, gia hoàng đình ái vi hữu tướng thái uý vinh quốc công nguyễn hữu liêu vi thái uý dương quốc công trịnh đỗ vi vi thái phó trịnh đồng, trịnh ninh câu vi thái bảo lê bách vi thiếu uý bản quận công hà thọ lộc vi thiếu uý ngô cảnh hựu, trịnh văn hải câu vi thiếu bảo lại bộ thượng thư nguyễn mậu tuyên vi thiếu phó quỳnh quận công"
修縁秦晋安草花,tu duyên tần tấn yên thảo hoa
劍没𬂻𦺓𠽔買具,kiếm một cơi trầu thưa với cụ
江山淡特圖𠄩幅,giang sơn dạm được đồ hai bức
𥪸𨖲𡓮𫴋吏𦣰猫,đứng lên ngồi xuống lại nằm mèo
宕羅債𡶀施離,đãng là trái núi thè lè
如無同私盐法又禁行人例得盐三碗鹹一堈而已,như vô đồng tư diêm pháp hựu cấm hành nhân lệ đắc diêm tam oản hàm nhất cương nhi dĩ
娓修塘娓柴修塘柴,"vãi tu đường vãi, thầy tu đường thầy"
俸𢧚󱳦𬗏󱫑絲紅,bỗng nên dan díu sợi tơ hồng
帝遣守富良府中書李献徃江南領還京師,đế khiển thủ phú lương phủ trung thư lí hiến vãng giang nam lĩnh hoàn kinh sư
内侍李仁義曰兄之與弟内可以協謀外可以禦侮,"nội thị lí nhân nghĩa viết huynh chi dữ đệ, nội khả dĩ hiệp mưu, ngoại khả dĩ ngự vũ"
孛保阿難迈當察𦖑,bụt bảo a nan mày đáng xét nghe
𡦂貞群𠬠𡮍尼,chữ trinh còn một chút này
奴𢚸自在𬋩之羅,no lòng tự tại quản chi là
賊從而分州設縣築城𮢶池居鎮戎之兵二十餘年变風俗於長髮白齒胥爲北人矣,"tặc tòng nhi phân châu, thiết huyện, trúc thành, tạc trì, cư trấn nhung chi binh nhị thập dư niên, biến phong tục ư trường phát bạch xỉ tư vi bắc nhân hĩ"
命監察御史黎伯夷𭛁順化倉粟作帶殼米轉漕行在,mệnh giám sát ngự sử lê bá di phát thuận hoá thương túc tác đái xác mễ chuyển tào hành tại
固𡥵兔𠫾寬寬,có con thỏ đi khoan khoan
󰠵󰋇春信𠫾信吏,trải mấy xuân tin đi tin lại
遣陶力丁何子公督清化乂安新平人治道路自九真至河華,"khiến đào lực đinh, hà tử công đốc thanh hoá, nghệ an, tân bình nhân trị đạo lộ tự cửu chân chí hà hoa"
󱰍荣花𩢬𡥚公卿,bả vinh hoa lừa gã công khanh
為國家用,vi quốc gia dụng
召詣行在詰以腐儒敗事之罪免帽溺以辱之,"triệu nghệ hành tại, cật dĩ hủ nho bại sự chi tội, miễn mạo nịch dĩ nhục chi"
𣳮空汰汰繩吳曳沲每凌凌客越侯,rửa không thảy thảy thằng ngô dại. dã mọi lâng lâng khách việt hầu
將箕領命𠫾𬆄,tướng kia lĩnh mệnh đi ngay
冬十月勑旨各衛所官敢有如前于求要索脧削,"đông thập nguyệt, sắc chỉ các vệ sở quan, cảm hữu như tiền vu cầu yêu sách thuyên tước"
𫨩爫麻𫽄𫨩󱳮爫之爫𡗋爫朱𤹘󱝬,hay làm mà chẳng hay lo. làm chi làm lắm làm cho nhọc mình
謨烈咸正罔鈌紀綱至詳且僃,"mô liệt hàm chính võng quyết, kỷ cương chí tường thả bị"
挽舟呌船林林百丈祇呌餘林仕曳,vãn chu kéo thuyền lăm lăm. bách trượng dây kéo dư trăm sải dài
吏低𫀅吏朱𧵆,lại đây xem lại cho gần
賊燒焚宫室圖籍為之掃空,tặc thiêu phàn cung thất đồ tịch vi chi tảo không
從容𠳨歇𡮈蘇事娘,thong dong hỏi hết nhỏ to sự nàng
㐌磋旦世群恨渚他,đã xoay đến thế còn hằn chưa tha
𡢐𢠣為緣底𠻦𥊙,sau giận vì duyên để mõm mòm
即以不次擢用之,tức dĩ bất thứ trạc dụng chi
炪封香呵𡎥𪹣襖殘,đốt phong hương há ngồi hơ áo tàn
遷子克樞密使列明字秩冠七粱㓂,"thiên tử khắc khu mật sứ, liệt minh tự trật, quán thất lương khấu"
牢碎𤴬䏾󰡫尼許翁,sao tôi đau bụng thế này hở ông
眉𫶼撑羕柳耶𦟐劫歇堵花蓮,mày trát xanh dường liễu rà. má cướp hết đỏ hoa sen
莫茂洽驚恐破膽下船渡江而走,"mạc mậu hợp kinh khủng phá đảm, hạ thuyền độ giang nhi tẩu"
鄧樁勿𨅸喝嘵嗷,rặng thông vẫn đứng hát nghêu ngao
縿𠰘吏,túm miệng lại
𤾓𢆥院道唱隨案玉昂,trăm năm vẹn đạo xướng tuỳ án ngọc ngang
傳傕回𪔠𠽖更,"chuyện thôi, hồi trống giục canh"
是歳西楚亡,thị tuế tây sở vong
茹恩󰘂瑞𫔬方𢝙𢚸,nhờ ơn cửa thụy muôn phương vui lòng
命都督保禄伯黎子雲武耿等徃經理廣南地方,"mệnh đô đốc bảo lộc bá lê tử vân, vũ cảnh đẳng vãng kinh lí quảng nam địa phương"
𢹿檜尋梗群可惜俱胝長老,"lẩy cội tìm cành, còn khá tiếc câu chi trưởng lão"
払浪譜意𢬣芇,chàng rằng phổ ấy tay nào?
󱋓斟酒瀆𣈜𣈜𣴓,chén châm rượu đục ngày ngày cạn
是年録唐囊戦功,"thị niên, lục đường nang chiến công"
海藻蒌蓉󰡎𣷭,hải tảo rau rong dưới biển
十六日安󰘊鎮守官奏明人載糧船漂至本處,"thập lục nhật, an bang trấn thủ quan tấu minh nhân tải lương thuyền phiêu chí bản xứ"
󰅹花拯变氣覃歆,nào hoa chẳng bén khí đầm hâm
𠫾部辰怯隘雲,đi bộ thì khiếp ải vân
太祖皇帝在位十八年紀元者一,"thái tổ hoàng đế tại vị thập bát niên, kỷ nguyên giả nhất"
𬇚秋冷𣱾渃冲沋,ao thu lạnh lẽo nước trong veo
詔有司誤入官職都左右廊者杖八十,"chiếu hữu ti ngộ nhập quan chức đô tả hữu lang giả, trượng bát thập"
𬇚官且改𠄩𤿤𡗐坦孛秧如蔑𪽏𬟃,ao quan thả gửi hai bè muống. đất bụt ương nhờ một luống mùng
蔑桓𦋦胣蜍唹固情𥄫𥊘闷机捤摓,"một hoàn ra dạ thờ ơ. có tình ngấp nghé, muốn cơ vẫy vùng"
旨揮天下卜筮道釋之人今後不得𭁈内宫後庭交通言語,chỉ huy thiên hạ bốc phệ đạo thích chi nhân kim hậu bất đắc dữ nội cung hậu đình giao thông ngôn ngữ
𢵔𥒥𦹵蹽𢮀甚臘泟溪渃洟蓝岩,sườn đá cỏ leo sờ rậm rạp. lạch khe nước rỉ mó lam nham
兹適倦勤之餘念以託孤之重,"tư thích quyện cần chi dư, niệm dĩ thác cô chi trọng"
𤿤檜昂𣳔汝戈,bè củi ngang dòng nổi qua
吻𥸷茶買𩛄𥹠,vẫn xôi chè với bánh đa
帝郊迎耀之以舟師戰俱,"đế giao nghênh diệu chi, dĩ chu sư chiến cụ"
𤾓炶𧍈庒平𠬠𣔩𤒘,trăm đom đóm chẳng bằng một bó đuốc
乙亥三年,"ất hợi, tam niên mạc, sùng khang thập niên. minh, vạn lịch tam niên"
吝󰏙風景固皮清清,lần xem phong cảnh có bề thanh thanh
㤿𧛋帳𢷀幔𩂏,êm đềm trướng rủ màn che
取中格阮進用等七名,thủ trúng cách nguyễn tiến dụng đẳng thất danh
詔賜减今年人丁税之半〇,chiếu tứ giảm kim niên nhân đinh thuế chi bán
𥋳瀋𭰺馭胡戈󰘂𢼂,coi thấm thoắt ngựa hồ qua cửa sổ
待旦午𦖑㗂呼喝,đợi đến ngọ nghe tiếng hò hét
妾時𪧚買𥙩牟𥘷中,thiếp thì giữ mãi lấy màu trẻ trung
於是人人殊死,ư thị nhân nhân thù tử
䏧棗熙熙𡥵𥉴鳯枚󰅬卒卒丐鬚𧏵,"da táo hây hây, con mắt phượng. môi son chót chót, cái râu rồng"
至是殆又贈之〇,chí thị đãi hựu tặng chi
祝朱泣奇𥪝𠁀,chúc cho khắp cả trong đời
仍𠊛君子胣強寧寧,những người quân tử dạ càng ninh ninh
𦬑󰝡㗂呐爫𡆫庒堅,"nỡ đem tiếng nói làm vầy, chẳng kiêng"
魂漂宮月魄𢴐江湖,"hồn phiêu cung nguyệt, phách rơi giang hồ"
然土廣人眾险阻山林易以爲乱,"nhiên thổ quảng nhân chúng, hiểm trở sơn lâm, dị dĩ vi loạn"
細低辰於吏低,tới đây thì ở lại đây
諸?不從,chư tướng bất tòng
尹祭舌咱味於,doãn tế thịt thính mùi ưa
中行各條具列于后凡二十條其一試塲務要廣闊中分四區各以踈籬限之及作塲内四隅各一栈至入塲日用内臣校尉各一員在栈上瞭望,"trung hành các điều, cụ liệt vu hậu phàm nhị thập điều kì nhất thí trường vụ yếu quảng khoát, trung phân tứ khu, các dĩ sơ li, hạn chi cập tác trường nội tứ ngung, các nhất sạn, chí nhập trường nhật, dụng nội thần hiệu uý các nhất viên tại sạn thượng liệu vọng"
咍󰠳定分由天㘨𧷺𡍙廟盧縁󰅹皮,hay đâu định phận do thiên. nồi tròn vung méo lứa duyên nào vừa
節制鄭松命阮七里裴文奎陳百年阮峩等将兵猝至,"tiết chế trịnh tùng mệnh nguyễn thất lí, bùi văn khuê, trần bách niên, nguyễn nga đẳng tương binh thốt chí"
明日至金城營要義郡公鄭訓同去詣闕入拜謁,"minh nhật chí kim thành doanh, yêu nghĩa quận công trịnh huấn đồng khứ nghệ khuyết nhập bái yết"
干𨖲辰世干耒如空,càn lên thời thế càn rồi như không
尼芋矩󱲆利胃,này ô vu củ năn lợi vị
卢台為累沛蜍於,lo thay vì lụy phải thờ ơ
恬𫅜事与蒸動技丕羕,điềm lành sự dữ chưng động ghẽ vậy
碎𠫾勸教買𢆥,tôi đi khuyên giáo mấy năm
隲到王率兄弟奉承節度,"chất đáo, vương suất huynh đệ phụng thừa tiết độ"
𦖑󰠓㖫㗂𠽖外軒,nghe vang lừng tiếng giục ngoài hiên
𧡊𠓀題扵榜鐄仍埃,thấy trước đề ở bảng vàng những ai
𠊛𨖲馭几支袍,"người lên ngựa, kẻ chia bào"
𤽗宗鷟体所𠅜呐𡲤固理頡頭𦷾丕𠄩吝,"ngươi tông thốc thấy thửa lời nói vả có lý, gật đầu đấy vậy hai lần"
𭛁御厙金幣頒賜百僚有差,phát ngự khố kim tệ ban tứ bách liêu hữu sai
林邑乞降許之,"lâm ấp khất hàng, hứa chi"
宋𥘷号沃欄車,tróng trẻ hiệu óc lan xa
臨淄𣇜畧錢塘𣇜娄,lâm tri buổi trước tiền đường buổi sau
亇冷更,cá lành canh
楊𠵌仕鄭𢚸𣗾,dương nghe sẽ chạnh lòng son
志遣兵守險劉方擊走之,"chí khiển binh thủ hiểm, lưu phương kích tẩu chi"
及勘問漢超辭屈坐罰錢三百鏹,"cập khám vấn hán siêu từ khuất, toạ phạt tiền tam bách cưỡng"
歆遙到底固功恾,hôm dao đáo để cố công mang
闭󰅒埃吏別埃,bấy nay ai lại biết ai
時莫登庸簒僣帝避居清華,"thời, mạc đăng dung soán tiếm, đế tị cư thanh hoa"
欺󰏙󱳼拯典,khi xem trông chẳng đến
重死輕流,trọng tử khinh lưu
倍鐄生㐌擒㨢昂眉,vội vàng sinh đã cầm nâng ngang mày
有一元旦而不能用乃委政外戚使陳氏社稷馴致危亡,"hữu nhất nguyên đán nhi bất năng dụng, nãi uỷ chính ngoại thích, sử trần thị xã tắc tuần trí nguy vong"
碎㐌援拱空他底爫罪𠊛些󰡫尼,tôi đã van cũng không tha. để làm tội người ta thế này
縣金華蒸户杜社玉塞蒸户陳社翁墨蒸户譚縣唐安蒸户武,"huyện kim hoa chưng họ đỗ, xã ngọc tái chưng họ trần, xã ông mặc chưng họ đàm, huyện đường an chưng họ vũ"
𤾓𢆥碑𥒥拱󰍹,trăm năm bia đá cũng mòn
斬於朝堂,trảm ư triều đường
𫧾渃昆柴淹錦錦猝𤡛將賊𠛤虔虔,trứng nước con thầy êm gấm gấm. vuốt nanh tướng giặc chém kìn kìn
細低緣㐌𤊰緣,tới đây duyên đã bén duyên
荘成󰑾卦六衝,trang thành ra quẻ lục xung
及吳主既降晉手書遣馬息融勅㱕歸順,"cập ngô chủ ký hàng, tấn thủ thư khiển mã tức dung sắc hoàng quy thuận"
帝諭之曰昔年遣爾北使康彊而㱕今年宣召為進昌言深可嘉也,"đế dụ chi viết tích niên, khiển nhĩ bắc sứ khang cường nhi quy kim niên, tuyên triệu, vi tiến xương ngôn thâm khả gia dã"
太尉阮熾病,thái uý nguyễn xí bệnh
愁𣻆坦綏珠沙𥐆𨱽,"sầu tuôn đứt nối, châu sa vắn dài"
我宣佯作退兵牽入險地,"ngã tuyên dương tác thoái binh, khiên nhập hiểm địa"
客𠄼𠀧几悲𠾦呐𡛔󰜋𠄽姑𥄫𥊘矇,khách năm ba kẻ bi be nói. gái một vài cô ngấp nghé mong
沒篇薄命吏強惱人,một thiên bạc mệnh lại càng não nhân
䏜𤎎打吝𡥵顛包饒拱閉饒錢秩之,mập mờ đánh lận con đen. bao nhiêu cũng bấy nhiêu tiền mất chi
銓選失序許都󰱑檢奏如律罪之,"thuyên tuyển thất tự, hứa đô đài kiểm tấu như luật tội chi"
武公自𠖈𣷮鐄,võ công từ xuống suối vàng
下羅衣,hạ la y
二月閲定天下帳籍及諸色役〇,"canh thìn nhị niên, nguyên chí thập thất niên, nguyên xuân chính nguyệt, phân mộc hựu quyến xích đồng nhất dạng"
𦋦𠫾皮𧡊𨁪蹎𨀈𠓨,ra đi vừa thấy dấu chân bước vào
朱漢咹沒𩛷𩛂醝耒𩢬漢𨖲𠳙宿直朱蛇王𠊛食󰑼衝,"cho hắn ăn một bữa no say, rồi lừa hắn lên thay túc trực, cho xà vương người xực là xong"
寄𬮌店除香桂律括軒𣈜戾俸花散,ghé cửa đêm chờ hương quế lọt. quét hiên ngày lệ bóng hoa tan
𢬣扲黄鉞金戈,tay cầm hoàng việt kim qua
拜守度為綂國太師知清化府事〇,"bái thủ độ vi thống quốc thái sư, tri thanh hoá phủ sự"
馭󰠳纀󱡴翁該𨫑󰠳𬫉鋥於腮󰜏𫅷,ngựa đâu buộc cửa ông cai. xuyến đâu rủng rỉnh ở tai bà già
𫼰𢬣𢭲𥙩𧗱茹,giơ tay với lấy về nhà
二十二日酉時雨雹二刻汰軍色,"nhị thập nhị nhật, dậu thời, vũ bạo nhị khắc thải quân sắc"
雖以其戚亦以其才也,tuy dĩ kì thích diệc dĩ kì tài dã
眉鳩寃貝𦇒爲小僧麻𡘮,mày cưu oan bối rối vì tiểu tăng mà mất
丐𩿚打𢵋,cái khướu đánh đu
春正月丙辰齊帝以大司農劉楷爲刺史發南康盧陵始興兵討李叔獻,"xuân, chính nguyệt, bính thìn, tề đế dĩ đại tư nông lưu khải vi thứ sử, phát nam khang, lư lăng, thuỷ hưng binh thảo lí thúc hiến"
羅䜹絲柳葻萌,lơ thơ tơ liễu buông mành
甍核𪪳踈𪡔,manh chiểu cây ống xơ ra
𠊚㐌吏恨昆󰟁情,người đã lại giận con vô tình
哭翁總𧋉,khóc ông tổng cóc
㪯㝵苔墮㤕身,cửa người đày đoạ xót thân
户馮時𡮶通麻,họ phùng thì chuộng thông
𧏵𧏵蹺𬠌𣋽猪𧵑󰠲朱特餘乘𠰘咹,rồng rồng theo nạ sớm trưa. của đâu cho được dư thừa miệng ăn
防欺車助改燒怪𧗱,phòng khi xa chợ gửi theo quảy về
老它併鄧󰜋塘叱咍,lão đà tính đặng một đàng rất hay
𬖆𢚸衝操鋪芸朋寠,"rông lòng xông xáo, phô nghề bằng cũ"
蛮鍾固号鍾綿撞鍾永永凍連巴回,man chung có hiệu chuông mèn. chàng chung văng vẳng gióng lên ba hồi
乙羅𢧚業帝王庒𥄮,ắt là nên nghiệp đế vương chẳng nhầm
竹生竹木𡑝亭,trúc xinh trúc mọc sân đình
牢浪廷芸不忠補柴補渃𦋦𢚸奸頑,rao rằng đình nghệ bất trung. bỏ thầy bỏ nước ra lòng gian ngoan
咹粓空𥮊咹蔞空槁,"ăn cơm không đũa, ăn trầu không cau"
胡公体󰘚殷勤𠳨𠻃,"hồ công thấy mặt, ân cần hỏi han"
是時乂安人𢙇貳新平順化多叛從占故土哩之人四散游擊莫之能禦,"thị thời, nghệ an nhân hoài nhị, tân bình, thuận hoá đa phản tòng chiêm, cố thổ lí chi nhân tứ tán du kích mạc chi năng ngự"
録事房秀文白之,lục sự phòng tú văn bạch chi
壬辰十五年,"nhâm thìn, thập ngũ niên mạc hồng ninh nhị niên. xuân, minh vạn lịch nhị thập niên"
十日申明抑買禁,"thập nhật, thân minh ức mãi cấm"
春𧗱𣈗亂羣盧咾,xuân về ngày loạn còn lơ láo
二十七日梁儲等至敬天殿行開讀詔書禮,"nhị thập thất nhật, lương trừ đẳng chí kính thiên điện hành khai độc chiếu thư lễ"
都爭𧽈事𠻆恨,đua tranh dấy sự giận hờn
暹羅國海舶來云屯庄上進金葉表文及献方物帝却不受,"tiêm la quốc hải bạc lai vân đồn trang thượng tiến kim diệp biểu văn cập hiến phương vật, đế khước bất thụ"
至琢𣖖鯨淹吏𢶸啉嗂長曷点拱㧅,chí chát chày kình ôm lại đấm. lầm rầm tràng hạt đếm cùng đeo
閏月遣令書家嚴常御庫書家徐延遺馴象十及金銀犀兕于宋謝擒莫賢也,"nhuận nguyệt, khiển lệnh thư gia nghiêm thường, ngự khố thư gia từ diên di thuần tượng thập cập kim ngân, tê huỷ vu tống, tạ cầm mạc hiền dã"
塘觥俸祝𨖅塘𥊢𨀈細為蒸自𨀈𨆢,đường quanh bỗng chốc sang đường thẳng. bước tới vì chưng tự bước lui
刁玉𪠞蒸寬台,đeo ngọc đi chưng khoan thai
若不委之板正何以洗相沿之故習㢤,"nhược bất uỷ chi bản chính, hà dĩ tẩy tương duyên chi cố tập tai"
拪扲丐𥿗丐針拪扲𡱩𫄄跢尋𠏲𦁼,tay cầm cái chỉ cái kim. tay cầm thước lụa đi tìm thợ may
招命勿把哭嘆𡥵𠊛世𧘇托寃世尼,"gieo mình vật vã khóc than. con người thế ấy, thác oan thế này"
象羣仃伶鬭初遺󰖽榮台驛呂瑰,tuồng còn rành rạnh dấu xưa doi. vẻ vang thay dịch lữ côi
犯蒸罪拯𢧚赦加蒸,phạm chưng tội chẳng nên tha
梮朱𦼔,lại còn mang cọc cho rêu
梅公浪𣅶買耒卽肝󰬷吏󱋨唭澟牢,mai công rằng lúc mới rồi. tức gan vả lại nực cười lắm sao
伯儀更築羅城,bá nghi cánh trúc la thành
帝大喜議陞賞勳爵,"đế đại hỉ, nghị thăng thưởng huân tước"
其為為人雅量喜怒不形於色家未嘗鞭以以笞奴隷或笞之則數其過失然後行笞嘗命家僮守舟國父家僮敺之其人馳吿,"kì vi vi nhân nhã lượng, hỉ nộ bất hình ư sắc, gia vị thường tiên vechu dĩ si nô lệ hoặc si chi tắc số kì quá thất, nhiên hậu hành si thường mệnh gia đồng thủ chu quốc phụ gia đồng khu chi kì nhân trì cáo"
