grp,cell_uid,book,crop,label,gt,err_kind,p_wood,viss,reason
i,TruyenKieu1872/truyenkieu1872/page_0038/c6/n10/s10,TK,8bef94e1da31d2bc5109c0f300c62460.png,固,固,DUNG_hai_ve,0.97353,0.9320468306541443,(ok)
i,TruyenKieu1872/truyenkieu1872/page_0033/c7/n5/s5,TK,2116dfa2b223e728d0e467c064c0bd01.png,公,公,DUNG_hai_ve,0.95557,0.9562473297119141,(ok)
i,TruyenKieu1872/truyenkieu1872/page_0133/c3/n2/s2,TK,3150efc1d0acbeecfae2a65b53415d7f.png,𢆥,𢆥,DUNG_hai_ve,0.9777,0.7794089913368225,(ok)
i,TruyenKieu1872/truyenkieu1872/page_0051/c5/n9/s9,TK,02f886b19e545e455a23d34852cf20b9.png,底,底,DUNG_hai_ve,0.96748,0.9050080180168152,(ok)
i,TruyenKieu1872/truyenkieu1872/page_0163/c7/n4/s4,TK,f8ca4548d8e39764894c3535d0c94dda.png,𢚸,𢚸,DUNG_hai_ve,0.99063,0.9714861512184143,(ok)
i,TruyenKieu1872/truyenkieu1872/page_0021/c8/n5/s5,TK,76b09c4066689c1bcdd2220b61f91b27.png,外,外,DUNG_hai_ve,0.98743,0.9919705390930176,(ok)
i,TruyenKieu1872/truyenkieu1872/page_0001/c7/n11/s11,TK,34a4fedfdbed9919bc19d6b7e72ad7f5.png,𣳔,𣳔,DUNG_hai_ve,0.96936,0.9656792283058167,(ok)
i,TruyenKieu1872/truyenkieu1872/page_0044/c6/n2/s2,TK,b21704035672ed12cb7cfdd3d4b20458.png,𨑮,𨑮,DUNG_hai_ve,0.98417,0.836402416229248,(ok)
ii,LucVanTien1916/lucvantien1916/page_0091/c2/n12/s12,L16,d5141a98900bee6a4fe524de3cf158fa.png,𠳐,𦋦,anh_khe_chua_xac_dinh,0.98787,0.7684310078620911,B0_muc_chu_ke_bleed
ii,LucVanTien1916/lucvantien1916/page_0045/c4/n12/s12,L16,26971308b4d49b7408204fe477403732.png,買,買,anh_khe_chua_xac_dinh,0.95259,0.22890666127204895,U_diem_duoi_nguong__viss_khong_ung_ho
ii,LucVanTien1916/lucvantien1916/page_0027/c6/n7/s7,L16,5c58258106ce397e3f820ec594dada5f.png,𨉓,𨉓,anh_sai_khe,0.93229,0.057316314429044724,B_hinh_hoc_kim_vis_vong2
ii,LucVanTien1916/lucvantien1916/page_0003/c7/n7/s7,L16,ed9c4751278d8662b1109a4565ec8a46.png,𠚢,𠚢,anh_sai_khe,0.9299,0.007534604519605637,B_hinh_hoc_kim_vis_vong2
ii,LucVanTien1916/lucvantien1916/page_0099/c8/n7/s7,L16,f0bff0ac88f8e114bd84b3dc651643a5.png,󰝡,󰝡,anh_sai_khe,0.84308,0.080166757106781,B_hinh_hoc_kim_vis_vong2
ii,LucVanTien1916/lucvantien1916/page_0081/c2/n7/s7,L16,cefde6ae1ea0ef0294ebf0ab826c8832.png,𫢩,󰅒,chu_pua,0.96743,0.2811150550842285,U_diem_duoi_nguong__viss_khong_ung_ho
ii,LucVanTien1916/lucvantien1916/page_0080/c5/n2/s2,L16,205a83c5314f31a88032c64fb4ea835f.png,庒,󰝸,chu_pua,0.95932,0.4207404553890228,U_diem_duoi_nguong__viss_khong_ung_ho
ii,LucVanTien1916/lucvantien1916/page_0047/c5/n9/s9,L16,d03bae9a457284758d1762776f810bcd.png,𠁑,󰡎,chu_pua,0.89695,0.10366111248731613,U_diem_duoi_nguong__viss_khong_ung_ho
ii,LucVanTien1916/lucvantien1916/page_0101/c8/n7/s7,L16,41da9a69990ab6dfdec5bb4c59e8a0ba.png,𦎛,𠻁,chu_dong_am_trong_R,0.98498,0.1339299976825714,U_diem_duoi_nguong__viss_khong_ung_ho
ii,LucVanTien1916/lucvantien1916/page_0103/c5/n9/s9,L16,c40436bf3f2559fbd5bbc8a894c2b464.png,难,𮥷,chu_dong_am_trong_R,0.96687,0.1110038161277771,U_diem_duoi_nguong__viss_khong_ung_ho
ii,TruyenKieu1872/truyenkieu1872/page_0084/c1/n8/s8,TK,9dca1d3d820ec0cf9203d367655ab873.png,蓓,蓓,anh_khe_chua_xac_dinh,0.6868,0.2046896368265152,U_diem_duoi_nguong__viss_khong_ung_ho
ii,TruyenKieu1872/truyenkieu1872/page_0146/c10/n4/s4,TK,cb5080ae08d8bde104b94302d0de1965.png,流,流,anh_sai_khe,0.83977,0.08338742703199387,B0_muc_ke_trong_hop_chat
ii,TruyenKieu1872/truyenkieu1872/page_0030/c10/n4/s4,TK,cc7f7cd8967f6c4efcb2373ce1437200.png,院,院,anh_khe_chua_xac_dinh,0.90636,0.61993408203125,B_hinh_hoc_kim_vis_vong2
ii,TruyenKieu1872/truyenkieu1872/page_0030/c10/n3/s3,TK,f184e744a55514adb8325b6222058c0a.png,肉,肉,anh_khe_chua_xac_dinh,0.79393,0.05000483989715576,B_hinh_hoc_kim_vis_vong2
ii,TruyenKieu1872/truyenkieu1872/page_0157/c1/n5/s5,TK,c1e33bdacb383c5e6fbc026215d039ef.png,貞,貞,anh_sai_khe,0.63925,0.2970554530620575,B_hinh_hoc_kim_vis_vong2
ii,TruyenKieu1872/truyenkieu1872/page_0075/c9/n3/s3,TK,126179106b35053f9168841a17437c0b.png,杜,𠴗,chu_dong_am_trong_R,0.97907,0.30958080291748047,U_nhan_khong_co_van_ban_nguoi_chung
ii,TruyenKieu1872/truyenkieu1872/page_0063/c7/n10/s10,TK,d6be95afb1b94d580f1671e97e7682cb.png,󰝸,庄,chu_pua,0.87536,0.23254093527793884,T_di_ban_nguoi_chong_nhan
ii,TruyenKieu1872/truyenkieu1872/page_0122/c5/n13/s13,TK,3845549d973c52807a549bc41083407b.png,庄,庒,chu_gan_hinh,0.81811,0.7551896572113037,U_diem_duoi_nguong__viss_ung_ho
ii,TruyenKieu1872/truyenkieu1872/page_0049/c1/n2/s2,TK,d2c15eb6f4c6b4f5239c4c1be11c72b5.png,浪,娘,chu_gan_hinh,0.97837,0.21041207015514374,U_nhan_khong_co_van_ban_nguoi_chung
ii,TruyenKieu1872/truyenkieu1872/page_0067/c8/n13/s13,TK,8eae66b2aeab5704dd9cab4eaf754703.png,󰠲,󰠳,chu_pua,0.93089,0.8127136826515198,T_di_ban_nguoi_chong_nhan
iii,LucVanTien1916/lucvantien1916/page_0028/c1/n7/s7,L16,57ebf6f84c203f9864db85c3a08348bd.png,𠚢,𠚢,DUNG_hai_ve,0.95553,0.017160043120384216,U_diem_duoi_nguong__viss_khong_ung_ho
iii,LucVanTien1916/lucvantien1916/page_0010/c8/n2/s2,L16,f69b982dd80bc654f6f6534164b64164.png,本,本,DUNG_hai_ve,0.98006,0.9446292519569397,U_diem_duoi_nguong__viss_ung_ho
iii,LucVanTien1916/lucvantien1916/page_0007/c6/n11/s11,L16,f348d541ab1047a60bdff6dd8103b664.png,糊,糊,DUNG_hai_ve,0.98186,0.05840171501040459,U_diem_duoi_nguong__viss_khong_ung_ho
iii,LucVanTien1916/lucvantien1916/page_0004/c10/n6/s6,L16,491a079dd7461486356f024c47ea22a6.png,𡨹,𡨹,DUNG_hai_ve,0.96414,0.03792210668325424,U_diem_duoi_nguong__viss_khong_ung_ho
iii,LucVanTien1916/lucvantien1916/page_0076/c9/n11/s11,L16,feed00b49ce8eb215e1c65f13f6539ec.png,𤑍,𤑍,DUNG_hai_ve,0.97472,0.6210625171661377,U_diem_duoi_nguong__viss_ung_ho
iii,LucVanTien1916/lucvantien1916/page_0015/c1/n5/s5,L16,91035fad0853414dc6e9bc99cc725bf0.png,遲,遲,DUNG_hai_ve,0.97824,0.18216775357723236,U_diem_duoi_nguong__viss_khong_ung_ho
iii,LucVanTien1916/lucvantien1916/page_0046/c3/n7/s7,L16,91a6f290116ef29a105bb7327a91de6e.png,滝,滝,DUNG_hai_ve,0.97362,0.9427064061164856,U_diem_duoi_nguong__viss_ung_ho
iii,LucVanTien1916/lucvantien1916/page_0007/c1/n9/s9,L16,4ceb08ac0ec587692e6bec09c06ed9c9.png,奴,奴,DUNG_hai_ve,0.98174,0.8711289763450623,U_diem_duoi_nguong__viss_ung_ho
iii,LucVanTien1916/lucvantien1916/page_0093/c6/n13/s13,L16,9718dfc5e83e60bcf7b9695a61835a09.png,員,員,DUNG_hai_ve,0.96402,0.20789022743701935,U_diem_duoi_nguong__viss_khong_ung_ho
iii,LucVanTien1916/lucvantien1916/page_0042/c7/n11/s11,L16,5a8609890990617a875c3a4ea0bf3cc1.png,𠫾,𠫾,DUNG_hai_ve,0.98723,0.602242648601532,U_diem_duoi_nguong__viss_ung_ho
iii,TruyenKieu1872/truyenkieu1872/page_0143/c7/n5/s5,TK,9103a6e5ecf1e74941830995899ecdaa.png,絲,絲,DUNG_hai_ve,0.96306,0.6335927248001099,U_nhan_khong_co_van_ban_nguoi_chung
iii,TruyenKieu1872/truyenkieu1872/page_0055/c8/n9/s9,TK,1c80f7f4b77b4c1ff2e5b329a10dc7e0.png,体,体,DUNG_hai_ve,0.87897,0.9834766387939453,T_di_ban_nguoi_chong_nhan
iii,TruyenKieu1872/truyenkieu1872/page_0159/c2/n9/s9,TK,76049fb5936c122bef7462459f2f68d0.png,凭,凭,DUNG_hai_ve,0.92822,0.923158586025238,U_diem_duoi_nguong__viss_ung_ho
iii,TruyenKieu1872/truyenkieu1872/page_0078/c2/n6/s6,TK,1e8dc92ac064c1645a118c5326998466.png,卒,卒,DUNG_hai_ve,0.9396,0.578837513923645,U_diem_duoi_nguong__viss_ung_ho
iii,TruyenKieu1872/truyenkieu1872/page_0009/c7/n5/s4,TK,95c57f1ef322d372a3dc7b487540c86d.png,苔,苔,DUNG_hai_ve,0.96212,0.8595441579818726,U_cot_so_chu_OCR_khac_so_am_QN_rui_ro_khe
iii,TruyenKieu1872/truyenkieu1872/page_0018/c9/n11/s11,TK,254e802969a32285a6d66504ef45dba0.png,時,時,DUNG_hai_ve,0.94814,0.48641690611839294,U_diem_duoi_nguong__viss_khong_ung_ho
iii,TruyenKieu1872/truyenkieu1872/page_0076/c2/n4/s4,TK,5f0f34a4adaa2a256511317c5ec6d565.png,撑,撑,DUNG_hai_ve,0.94403,0.8928408026695251,U_diem_duoi_nguong__viss_ung_ho
iii,TruyenKieu1872/truyenkieu1872/page_0014/c1/n7/s7,TK,1d8fb9bff5c4c00984561d587936aa83.png,吟,吟,DUNG_hai_ve,0.95245,0.3423347771167755,U_diem_duoi_nguong__viss_khong_ung_ho
iii,TruyenKieu1872/truyenkieu1872/page_0145/c6/n13/s12,TK,4b79f55541175ae4da9a2cca74277cfc.png,迻,迻,DUNG_hai_ve,0.91303,0.5030621886253357,U_cot_so_chu_OCR_khac_so_am_QN_rui_ro_khe
iii,TruyenKieu1872/truyenkieu1872/page_0088/c10/n8/s8,TK,a7e2d02c05f3ea08a65f19547835bf5b.png,丐,丐,DUNG_hai_ve,0.95121,0.8405576944351196,U_diem_duoi_nguong__viss_ung_ho
iv,LucVanTien1916/lucvantien1916/page_0041/c6/n11/s11,L16,cf0444f762d55eab3ea9e2d61fbbcb0f.png,連,細,anh_khe_chua_xac_dinh,0.9896,0.39658376574516296,(ok)
iv,LucVanTien1916/lucvantien1916/page_0040/c9/n5/s5,L16,e2eee2123c2d95b81366b37f76315034.png,賒,賖,chu_gan_hinh,0.98769,0.16369660198688507,(ok)
iv,LucVanTien1916/lucvantien1916/page_0036/c7/n8/s8,L16,82ccfedfb0142699e454e7211b2118f1.png,𨷑,󰘉,chu_pua,0.98846,0.23372024297714233,(ok)
iv,LucVanTien1916/lucvantien1916/page_0035/c4/n2/s2,L16,eb4fd6e1d4b01a01ff94a3adad3c1fbe.png,集,ẫ,anh_khe_chua_xac_dinh,0.98761,0.25205281376838684,(ok)
iv,LucVanTien1916/lucvantien1916/page_0091/c2/n9/s9,L16,57c4abd82bcb2c6e72dd774de63e0c6f.png,渃,倍,chu_bang_chu_ke,0.99165,0.935613751411438,(ok)
iv,LucVanTien1916/lucvantien1916/page_0059/c7/n1/s1,L16,3c4430ea434dd288afdc464738d0568c.png,爫,󰥎,chu_pua,0.99398,0.7681310772895813,(ok)
iv,LucVanTien1916/lucvantien1916/page_0007/c3/n10/s10,L16,a37a1714db2864fd3e86a5ad8f0cdfd8.png,䜹,踈,chu_dong_am_trong_R,0.98799,0.528042197227478,(ok)
iv,LucVanTien1916/lucvantien1916/page_0097/c8/n12/s12,L16,1041aa020710b874cf0688d58640ee84.png,併,併,anh_khe_chua_xac_dinh,0.99132,0.48694804310798645,(ok)
iv,LucVanTien1916/lucvantien1916/page_0091/c2/n10/s10,L16,ddd94dab5f51a44071fc470bf515cd79.png,倍,鐄,chu_bang_chu_ke,0.99039,0.9019720554351807,(ok)
iv,LucVanTien1916/lucvantien1916/page_0035/c4/n5/s5,L16,d2c5c0a67759866f211e88fbab76e892.png,方,r,anh_khe_chua_xac_dinh,0.98802,0.7637639045715332,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0136/c9/n8/s8,TK,f86ba72359ffdc38558edf4b0e4c907f.png,拱,供,chu_gan_hinh,0.97626,0.9800418019294739,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0106/c3/n8/s8,TK,3bb7049c7bd1210b90a61580482b7a4c.png,親,身,chu_dong_am_trong_R,0.98067,0.9567034244537354,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0036/c3/n2/s2,TK,d1eb89b3b745100f97b29d3500ab59ff.png,緣,綠,chu_gan_hinh,0.95515,0.6880882382392883,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0150/c7/n10/s10,TK,4f0ed023f84005bad7e120705f3d2a9b.png,女,𢖵,chu_dong_am_trong_R,0.96009,0.9881131052970886,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0078/c4/n9/s9,TK,c5a401d976053c05448cb1f1e08dce45.png,拱,共,chu_gan_hinh,0.98187,0.9817728400230408,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0118/c9/n0/s0,TK,d176d2d45d175a44c4c59dd00fbfbd8e.png,𠁑,󰡎,chu_pua,0.96123,0.14697770774364471,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0132/c9/n10/s10,TK,921ff5cf25217de80551cb76372d0f8e.png,𡧲,𡨌,chu_gan_hinh,0.95902,0.7600396871566772,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0058/c1/n3/s3,TK,a354408695582e9568797ec5b2de4af6.png,服,腹,chu_dong_am_trong_R,0.98356,0.747821569442749,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0152/c7/n11/s11,TK,b8ff5eb4959b814a3e232454975b6a1c.png,𠊛,㝵,chu_dong_am_trong_R,0.98758,0.9251930713653564,(ok)
iv,TruyenKieu1872/truyenkieu1872/page_0095/c5/n11/s11,TK,009759a60c98b158aa6068c19faba554.png,車,賒,chu_dong_am_trong_R,0.9831,0.9732888340950012,(ok)
