book,page,column,n_ocr,n_qn,n_det,count_source
stt11,page_0050,1,22,22,22,legacy_locked_col
stt11,page_0050,2,23,22,23,equal_ocr
stt11,page_0050,3,23,23,23,legacy_locked_col
stt11,page_0050,4,23,23,23,equal_qn
stt11,page_0050,5,22,22,22,equal_qn
stt11,page_0050,6,22,22,22,equal_qn
stt11,page_0050,7,22,21,22,legacy_locked_col
stt11,page_0050,8,22,23,23,equal_qn
stt11,page_0050,9,22,22,22,equal_qn
stt11,page_0052,1,22,22,22,equal_qn
stt11,page_0052,2,23,23,23,equal_qn
stt11,page_0052,3,21,21,21,legacy_locked_col
stt11,page_0052,4,20,23,19,legacy_locked_col
stt11,page_0052,5,23,24,23,equal_ocr
stt11,page_0052,6,22,23,22,legacy_locked_col
stt11,page_0052,7,22,22,22,legacy_locked_col
stt11,page_0052,8,22,23,24,conflict
stt11,page_0052,9,24,24,24,equal_qn
stt11,page_0054,1,24,24,23,conflict
stt11,page_0054,2,22,22,22,equal_qn
stt11,page_0054,3,22,21,22,equal_ocr
stt11,page_0054,4,22,22,22,equal_qn
stt11,page_0054,5,21,18,21,equal_ocr
stt11,page_0054,6,22,22,22,equal_qn
stt11,page_0054,7,23,23,23,equal_qn
stt11,page_0054,8,22,22,22,legacy_locked_col
stt11,page_0054,9,22,22,23,conflict
stt11,page_0056,1,22,22,22,equal_qn
stt11,page_0056,2,20,20,20,legacy_locked_col
stt11,page_0056,3,21,21,21,legacy_locked_col
stt11,page_0056,4,20,21,21,legacy_locked_col
stt11,page_0056,5,20,20,21,legacy_locked_col
stt11,page_0056,6,21,21,21,legacy_locked_col
stt11,page_0056,7,22,22,21,conflict
stt11,page_0056,8,21,21,21,equal_qn
stt11,page_0056,9,22,23,21,legacy_locked_col
stt11,page_0058,1,22,21,22,legacy_locked_col
stt11,page_0058,2,24,24,24,equal_qn
stt11,page_0058,3,21,19,21,legacy_locked_col
stt11,page_0058,4,23,23,23,legacy_locked_col
stt11,page_0058,5,23,23,23,equal_qn
stt11,page_0058,6,21,21,21,equal_qn
stt11,page_0058,7,23,22,23,legacy_locked_col
stt11,page_0058,8,23,23,23,equal_qn
stt11,page_0058,9,22,23,22,equal_ocr
stt11,page_0060,1,24,24,23,conflict
stt11,page_0060,2,18,18,18,legacy_locked_col
stt11,page_0060,3,20,21,20,equal_ocr
stt11,page_0060,4,13,10,20,conflict
stt11,page_0060,5,23,25,23,equal_ocr
stt11,page_0060,6,21,21,21,legacy_locked_col
stt11,page_0060,7,22,23,22,equal_ocr
stt11,page_0060,8,24,24,24,equal_qn
stt11,page_0060,9,23,27,17,legacy_locked_col
stt11,page_0062,1,22,21,22,equal_ocr
stt11,page_0062,2,23,23,23,legacy_locked_col
stt11,page_0062,3,24,25,24,legacy_locked_col
stt11,page_0062,4,23,23,23,legacy_locked_col
stt11,page_0062,5,22,22,22,legacy_locked_col
stt11,page_0062,6,14,15,14,equal_ocr
stt11,page_0062,7,19,20,19,equal_ocr
stt11,page_0062,8,12,13,12,equal_ocr
stt11,page_0062,9,24,24,23,conflict
stt11,page_0064,1,21,21,21,legacy_locked_col
stt11,page_0064,2,21,22,21,legacy_locked_col
stt11,page_0064,3,21,21,21,equal_qn
stt11,page_0064,4,22,22,22,equal_qn
stt11,page_0064,5,20,20,20,equal_qn
stt11,page_0064,6,22,22,22,equal_qn
stt11,page_0064,7,21,21,21,equal_qn
stt11,page_0064,8,22,22,22,equal_qn
stt11,page_0064,9,22,22,22,equal_qn
stt11,page_0066,1,23,23,23,equal_qn
stt11,page_0066,2,22,21,22,equal_ocr
stt11,page_0066,3,22,21,22,equal_ocr
stt11,page_0066,4,21,21,21,equal_qn
stt11,page_0066,5,23,24,23,equal_ocr
stt11,page_0066,6,22,21,22,equal_ocr
stt11,page_0066,7,21,21,21,legacy_locked_col
stt11,page_0066,8,22,23,18,legacy_locked_col
stt11,page_0066,9,22,22,22,equal_qn
stt11,page_0068,1,22,25,22,equal_ocr
stt11,page_0068,2,22,20,22,equal_ocr
stt11,page_0068,3,23,23,23,equal_qn
stt11,page_0068,4,22,22,22,legacy_locked_col
stt11,page_0068,5,22,22,22,equal_qn
stt11,page_0068,6,22,22,22,equal_qn
stt11,page_0068,7,21,21,21,equal_qn
stt11,page_0068,8,22,22,22,legacy_locked_col
stt11,page_0068,9,24,24,24,equal_qn
stt11,page_0070,1,22,23,23,legacy_locked_col
stt11,page_0070,2,22,24,22,equal_ocr
stt11,page_0070,3,22,22,22,equal_qn
stt11,page_0070,4,21,21,21,legacy_locked_col
stt11,page_0070,5,22,22,20,legacy_locked_col
stt11,page_0070,6,22,22,22,equal_qn
stt11,page_0070,7,22,22,22,equal_qn
stt11,page_0070,8,22,22,22,equal_qn
stt11,page_0070,9,22,12,23,conflict
stt11,page_0072,1,21,23,23,equal_qn
stt11,page_0072,2,22,24,23,conflict
stt11,page_0072,3,22,22,22,equal_qn
stt11,page_0072,4,21,23,22,legacy_locked_col
stt11,page_0072,5,23,23,23,equal_qn
stt11,page_0072,6,22,23,23,equal_qn
stt11,page_0072,7,15,15,15,equal_qn
stt11,page_0072,8,19,20,19,equal_ocr
stt11,page_0072,9,8,8,8,equal_qn
stt11,page_0074,1,21,22,21,legacy_locked_col
stt11,page_0074,2,21,21,21,equal_qn
stt11,page_0074,3,21,21,21,legacy_locked_col
stt11,page_0074,4,23,23,23,legacy_locked_col
stt11,page_0074,5,22,23,22,legacy_locked_col
stt11,page_0074,6,22,23,22,legacy_locked_col
stt11,page_0074,7,21,21,21,equal_qn
stt11,page_0074,8,21,21,22,legacy_locked_col
stt11,page_0074,9,22,21,22,equal_ocr
stt11,page_0076,1,23,22,23,equal_ocr
stt11,page_0076,2,21,22,24,conflict
stt11,page_0076,3,20,20,20,equal_qn
stt11,page_0076,4,12,12,12,legacy_locked_col
stt11,page_0076,5,19,20,19,equal_ocr
stt11,page_0076,6,16,16,16,equal_qn
stt11,page_0076,7,21,20,21,legacy_locked_col
stt11,page_0076,8,23,23,22,legacy_locked_col
stt11,page_0076,9,21,21,22,conflict
stt11,page_0078,1,21,22,20,legacy_locked_col
stt11,page_0078,2,23,26,24,legacy_locked_col
stt11,page_0078,3,23,23,23,equal_qn
stt11,page_0078,4,22,23,22,legacy_locked_col
stt11,page_0078,5,22,22,21,legacy_locked_col
stt11,page_0078,6,21,21,21,equal_qn
stt11,page_0078,7,21,21,21,legacy_locked_col
stt11,page_0078,8,20,21,22,conflict
stt11,page_0078,9,23,24,23,equal_ocr
stt11,page_0080,1,21,21,21,equal_qn
stt11,page_0080,2,21,21,21,equal_qn
stt11,page_0080,3,21,21,21,legacy_locked_col
stt11,page_0080,4,21,21,21,legacy_locked_col
stt11,page_0080,5,22,22,22,legacy_locked_col
stt11,page_0080,6,22,21,22,legacy_locked_col
stt11,page_0080,7,23,21,22,conflict
stt11,page_0080,8,22,24,21,legacy_locked_col
stt11,page_0080,9,21,21,21,legacy_locked_col
stt11,page_0086,1,19,15,19,equal_ocr
stt11,page_0086,2,9,9,9,equal_qn
stt11,page_0086,3,22,22,22,equal_qn
stt11,page_0086,4,23,23,23,equal_qn
stt11,page_0086,5,23,23,22,conflict
stt11,page_0086,6,23,23,23,equal_qn
stt11,page_0086,7,23,23,23,equal_qn
stt11,page_0086,8,22,22,23,conflict
stt11,page_0086,9,23,21,24,conflict
stt11,page_0088,1,23,23,24,conflict
stt11,page_0088,2,43,43,21,conflict
stt11,page_0088,3,22,22,22,equal_qn
stt11,page_0088,4,22,22,22,legacy_locked_col
stt11,page_0088,5,22,22,22,equal_qn
stt11,page_0088,6,22,21,23,conflict
stt11,page_0088,7,22,23,22,equal_ocr
stt11,page_0088,8,22,22,22,equal_qn
stt11,page_0088,9,22,22,22,equal_qn
stt11,page_0090,1,21,22,22,equal_qn
stt11,page_0090,2,24,23,24,equal_ocr
stt11,page_0090,3,24,24,24,equal_qn
stt11,page_0090,4,23,23,23,equal_qn
stt11,page_0090,5,22,22,23,conflict
stt11,page_0090,6,22,22,22,equal_qn
stt11,page_0090,7,22,22,22,equal_qn
stt11,page_0090,8,22,22,22,equal_qn
stt11,page_0090,9,23,22,24,conflict
stt11,page_0092,1,22,23,22,equal_ocr
stt11,page_0092,2,21,20,21,equal_ocr
stt11,page_0092,3,19,20,19,equal_ocr
stt11,page_0092,4,9,9,9,equal_qn
stt11,page_0092,5,23,23,23,equal_qn
stt11,page_0092,6,22,20,22,legacy_locked_col
stt11,page_0092,7,21,22,21,legacy_locked_col
stt11,page_0092,8,21,22,21,legacy_locked_col
stt11,page_0092,9,20,19,20,equal_ocr
stt11,page_0094,1,23,23,23,equal_qn
stt11,page_0094,2,22,22,22,equal_qn
stt11,page_0094,3,22,22,22,legacy_locked_col
stt11,page_0094,4,21,21,21,legacy_locked_col
stt11,page_0094,5,24,25,23,legacy_locked_col
stt11,page_0094,6,16,13,16,equal_ocr
stt11,page_0094,7,10,13,10,equal_ocr
stt11,page_0094,8,21,21,18,legacy_locked_col
stt11,page_0094,9,22,22,22,equal_qn
stt11,page_0096,1,21,21,21,legacy_locked_col
stt11,page_0096,2,21,21,21,equal_qn
stt11,page_0096,3,21,21,23,legacy_locked_col
stt11,page_0096,4,22,22,22,legacy_locked_col
stt11,page_0096,5,22,22,22,legacy_locked_col
stt11,page_0096,6,21,21,21,legacy_locked_col
stt11,page_0096,7,22,23,22,legacy_locked_col
stt11,page_0096,8,23,24,22,legacy_locked_col
stt11,page_0096,9,22,23,21,legacy_locked_col
stt11,page_0098,1,20,21,20,equal_ocr
stt11,page_0098,2,22,22,23,conflict
stt11,page_0098,3,21,21,22,legacy_locked_col
stt11,page_0098,4,22,22,22,equal_qn
stt11,page_0098,5,19,19,21,legacy_locked_col
stt11,page_0098,6,14,14,15,conflict
stt11,page_0098,7,20,20,20,equal_qn
stt11,page_0098,8,11,12,11,equal_ocr
stt11,page_0098,9,22,22,18,legacy_locked_col
stt11,page_0100,1,20,21,21,legacy_locked_col
stt11,page_0100,2,22,22,23,conflict
stt11,page_0100,3,21,23,21,equal_ocr
stt11,page_0100,4,21,21,21,legacy_locked_col
stt11,page_0100,5,21,22,21,equal_ocr
stt11,page_0100,6,22,21,22,equal_ocr
stt11,page_0100,7,22,22,22,legacy_locked_col
stt11,page_0100,8,21,21,21,legacy_locked_col
stt11,page_0100,9,22,22,20,legacy_locked_col
stt11,page_0102,1,22,22,22,legacy_locked_col
stt11,page_0102,2,22,22,22,equal_qn
stt11,page_0102,3,22,21,22,legacy_locked_col
stt11,page_0102,4,23,23,23,equal_qn
stt11,page_0102,5,22,22,22,equal_qn
stt11,page_0102,6,20,20,20,legacy_locked_col
stt11,page_0102,7,21,25,22,conflict
stt11,page_0102,8,21,22,24,conflict
stt11,page_0102,9,22,22,22,equal_qn
stt11,page_0104,1,21,21,21,equal_qn
stt11,page_0104,2,21,12,21,legacy_locked_col
stt11,page_0104,3,21,21,21,legacy_locked_col
stt11,page_0104,4,21,21,21,equal_qn
stt11,page_0104,5,22,22,22,legacy_locked_col
stt11,page_0104,6,21,21,21,legacy_locked_col
stt11,page_0104,7,22,23,22,equal_ocr
stt11,page_0104,8,21,21,21,legacy_locked_col
stt11,page_0104,9,21,21,19,legacy_locked_col
stt11,page_0106,1,22,23,22,equal_ocr
stt11,page_0106,2,23,23,23,equal_qn
stt11,page_0106,3,21,21,21,legacy_locked_col
stt11,page_0106,4,22,21,21,legacy_locked_col
stt11,page_0106,5,21,21,21,equal_qn
stt11,page_0106,6,21,21,21,legacy_locked_col
stt11,page_0106,7,22,22,22,equal_qn
stt11,page_0106,8,23,23,21,legacy_locked_col
stt11,page_0106,9,21,21,21,equal_qn
stt11,page_0108,1,21,21,21,legacy_locked_col
stt11,page_0108,2,22,22,22,legacy_locked_col
stt11,page_0108,3,20,20,20,equal_qn
stt11,page_0108,4,22,22,22,equal_qn
stt11,page_0108,5,22,22,22,legacy_locked_col
stt11,page_0108,6,22,22,22,legacy_locked_col
stt11,page_0108,7,22,22,22,legacy_locked_col
stt11,page_0108,8,20,20,20,legacy_locked_col
stt11,page_0108,9,22,22,20,legacy_locked_col
stt11,page_0110,1,21,21,21,legacy_locked_col
stt11,page_0110,2,21,21,20,legacy_locked_col
stt11,page_0110,3,20,21,21,legacy_locked_col
stt11,page_0110,4,22,21,21,equal_qn
stt11,page_0110,5,24,25,24,legacy_locked_col
stt11,page_0110,6,21,22,22,equal_qn
stt11,page_0110,7,21,22,21,legacy_locked_col
stt11,page_0110,8,22,22,22,equal_qn
stt11,page_0110,9,22,22,21,legacy_locked_col
stt11,page_0112,1,21,21,21,legacy_locked_col
stt11,page_0112,2,21,21,22,legacy_locked_col
stt11,page_0112,3,21,23,21,equal_ocr
stt11,page_0112,4,23,23,24,conflict
stt11,page_0112,5,22,22,22,legacy_locked_col
stt11,page_0112,6,22,23,22,legacy_locked_col
stt11,page_0112,7,22,24,21,legacy_locked_col
stt11,page_0112,8,22,22,21,legacy_locked_col
stt11,page_0112,9,20,22,19,legacy_locked_col
stt11,page_0114,1,20,21,20,equal_ocr
stt11,page_0114,2,21,21,21,legacy_locked_col
stt11,page_0114,3,20,20,22,conflict
stt11,page_0114,4,22,22,22,equal_qn
stt11,page_0114,5,21,21,21,legacy_locked_col
stt11,page_0114,6,22,22,22,legacy_locked_col
stt11,page_0114,7,21,21,21,legacy_locked_col
stt11,page_0114,8,22,22,21,legacy_locked_col
stt11,page_0114,9,21,22,21,equal_ocr
stt11,page_0116,1,22,22,22,legacy_locked_col
stt11,page_0116,2,21,21,21,equal_qn
stt11,page_0116,3,21,21,21,legacy_locked_col
stt11,page_0116,4,22,22,22,legacy_locked_col
stt11,page_0116,5,21,22,21,legacy_locked_col
stt11,page_0116,6,21,21,21,legacy_locked_col
stt11,page_0116,7,22,22,22,equal_qn
stt11,page_0116,8,21,22,22,equal_qn
stt11,page_0116,9,21,21,21,equal_qn
stt11,page_0118,1,22,21,22,equal_ocr
stt11,page_0118,2,21,21,21,equal_qn
stt11,page_0118,3,23,23,23,equal_qn
stt11,page_0118,4,21,21,21,legacy_locked_col
stt11,page_0118,5,21,21,21,equal_qn
stt11,page_0118,6,21,21,21,legacy_locked_col
stt11,page_0118,7,22,22,22,legacy_locked_col
stt11,page_0118,8,21,21,21,equal_qn
stt11,page_0118,9,22,23,22,legacy_locked_col
stt11,page_0120,1,22,46,22,equal_ocr
stt11,page_0120,2,23,23,22,legacy_locked_col
stt11,page_0120,3,22,22,22,legacy_locked_col
stt11,page_0120,4,22,22,22,equal_qn
stt11,page_0120,5,23,23,23,equal_qn
stt11,page_0120,6,23,24,21,legacy_locked_col
stt11,page_0120,7,23,23,23,equal_qn
stt11,page_0120,8,22,23,22,legacy_locked_col
stt11,page_0120,9,23,22,22,legacy_locked_col
stt11,page_0122,1,22,22,22,legacy_locked_col
stt11,page_0122,2,22,21,22,equal_ocr
stt11,page_0122,3,23,23,23,legacy_locked_col
stt11,page_0122,4,13,12,13,equal_ocr
stt11,page_0122,5,17,18,17,equal_ocr
stt11,page_0122,6,13,13,13,equal_qn
stt11,page_0122,7,22,22,19,legacy_locked_col
stt11,page_0122,8,23,23,21,legacy_locked_col
stt11,page_0122,9,22,22,22,equal_qn
stt11,page_0124,1,23,23,23,equal_qn
stt11,page_0124,2,22,22,22,legacy_locked_col
stt11,page_0124,3,23,22,23,equal_ocr
stt11,page_0124,4,22,22,22,equal_qn
stt11,page_0124,5,23,23,23,legacy_locked_col
stt11,page_0124,6,23,23,23,equal_qn
stt11,page_0124,7,20,20,20,legacy_locked_col
stt11,page_0124,8,22,22,22,equal_qn
stt11,page_0124,9,23,23,23,equal_qn
stt11,page_0126,1,22,22,22,legacy_locked_col
stt11,page_0126,2,22,22,23,legacy_locked_col
stt11,page_0126,3,17,16,17,equal_ocr
stt11,page_0126,4,19,14,19,equal_ocr
stt11,page_0126,5,10,16,10,equal_ocr
stt11,page_0126,6,21,22,21,legacy_locked_col
stt11,page_0126,7,21,21,20,legacy_locked_col
stt11,page_0126,8,23,22,22,legacy_locked_col
stt11,page_0126,9,22,22,22,equal_qn
stt11,page_0128,1,21,22,22,legacy_locked_col
stt11,page_0128,2,22,22,21,legacy_locked_col
stt11,page_0128,3,22,22,22,equal_qn
stt11,page_0128,4,22,22,22,equal_qn
stt11,page_0128,5,23,23,23,legacy_locked_col
stt11,page_0128,6,23,23,24,conflict
stt11,page_0128,7,23,23,23,legacy_locked_col
stt11,page_0128,8,23,23,23,equal_qn
stt11,page_0128,9,22,23,20,legacy_locked_col
stt11,page_0130,1,22,23,22,legacy_locked_col
stt11,page_0130,2,22,22,22,legacy_locked_col
stt11,page_0130,3,22,22,22,legacy_locked_col
stt11,page_0130,4,21,22,21,equal_ocr
stt11,page_0130,5,10,19,10,equal_ocr
stt11,page_0130,6,22,16,22,equal_ocr
stt11,page_0130,7,23,24,23,legacy_locked_col
stt11,page_0130,8,22,22,22,legacy_locked_col
stt11,page_0130,9,23,24,23,equal_ocr
stt11,page_0132,1,24,24,9,legacy_locked_col
stt11,page_0132,2,22,22,12,legacy_locked_col
stt11,page_0132,3,22,24,23,conflict
stt11,page_0132,4,23,23,23,legacy_locked_col
stt11,page_0132,5,22,22,22,legacy_locked_col
stt11,page_0132,6,24,23,23,legacy_locked_col
stt11,page_0132,7,22,23,23,equal_qn
stt11,page_0132,8,14,14,14,equal_qn
stt11,page_0132,9,12,13,12,equal_ocr
stt11,page_0134,1,24,25,24,equal_ocr
stt11,page_0134,2,22,22,22,legacy_locked_col
stt11,page_0134,3,24,25,21,legacy_locked_col
stt11,page_0134,4,24,24,24,equal_qn
stt11,page_0134,5,22,22,22,equal_qn
stt11,page_0134,6,21,21,21,equal_qn
stt11,page_0134,7,22,23,22,equal_ocr
stt11,page_0134,8,23,23,23,equal_qn
stt11,page_0134,9,24,24,24,equal_qn
stt11,page_0136,1,23,23,23,equal_qn
stt11,page_0136,2,23,23,24,conflict
stt11,page_0136,3,23,23,21,legacy_locked_col
stt11,page_0136,4,22,21,22,equal_ocr
stt11,page_0136,5,23,24,22,conflict
stt11,page_0136,6,24,25,24,equal_ocr
stt11,page_0136,7,23,23,23,equal_qn
stt11,page_0136,8,23,23,23,equal_qn
stt11,page_0136,9,22,23,22,equal_ocr
stt11,page_0138,1,24,24,24,equal_qn
stt11,page_0138,2,22,24,22,equal_ocr
stt11,page_0138,3,25,21,24,conflict
stt11,page_0138,4,22,25,23,conflict
stt11,page_0138,5,22,23,22,equal_ocr
stt11,page_0138,6,23,23,23,legacy_locked_col
stt11,page_0138,7,22,22,22,equal_qn
stt11,page_0138,8,22,22,22,equal_qn
stt11,page_0138,9,22,22,22,equal_qn
