sample_id,pred,pred_seq,pred_mono,pred_all,col_text,col_n,kinh_n,sec,cell_char,note
M1_0026,堂,堂,堂,堂,天堂欺入尋也特罢近歲,10,10,0.0952,堂,ok
M1_0027,庄,庄,庄,庄,碑庄夫奴赦禪如赦隨尋初尼悲平奴正艮寺碑然尋,21,21,0.1795,庄,ok
M1_0028,恐,命,恐,恐,聚山來耀弄得是恐命色短長丕得主侍冬言補包運,21,21,0.2129,命,ok
M1_0029,展,矣,矣,展,康等展矣加捲末旱殿旦魏氏連色即壽是流百福,20,20,0.1989,矣,ok
M1_0030,尋,底,尋,尋,底爾尋些壽呢外睫庶被固埃旦真求願事之正政,20,22,0.1484,㝵,ok
M1_0031,徐,徐,徐,徐,牢庄豚是孝吏遣祗像李朱等餘卷徐吃尊垂,18,18,0.1499,除,ok
M1_0032,歲,歲,歲,歲,形壽得連宸為恩西主至廟君停岳巴近巴歲平歲方,21,21,0.2547,歳,ok
M1_0033,,矯,矯,,師獅子朱攘矯奴救如僥吞救九惱庄限吏曰書朱本道,22,22,0.1617,矯,ok
M1_0034,等,等,等,等,聖馬善壽因運朱題歌清周禮因公事還尼蔑等,19,18,0.1803,㝵,ok
M1_0035,木,木,木,木,官建我拜真思等朱簡昌罪共祗內廉木爾廢尼,19,19,0.1314,木,ok
M1_0036,丕,丕,丕,丕,罪孔固道生固惡族挨弄事困朱綿詩綿拱不福朱此在丕,23,22,0.2524,丕,ok
M1_0037,為,麻,為,為,灵魂几庫中戌堰斧曩鳥雷為麻綽景連欺拮,18,18,0.1243,麻,ok
M1_0038,麻,麻,麻,麻,安吃等聖粹年过代景罢響瑪麻旦爾凌河祗門役術道,22,22,0.1581,麻,ok
M1_0039,群,群,群,群,初欺斧垂此晉共荅茲四德主支敢諸固舞謝泣天下麻群於,24,24,0.2228,群,ok
M1_0040,樞,樞,樞,樞,称罪如几年伶旦座德主技樞判察等文舉召姑授,20,20,0.1425,樞,ok
M1_0041,分,主,分,分主,從魯明低分旦取諶征來者分主玉發酥由躲袍形昭如初,23,25,0.2056,主,ok
M1_0042,麻,麻,麻,麻,麻存命歌師子旦体虎圣奋奴身多歇麻等為,18,18,0.1482,麻,ok
M1_0043,施,施,施,施,碾黃麻處爻氏異隱主齋來困黃為施幾便丕樞,19,20,0.1341,施,ok
M1_0044,正,正,正,正,礼各聖尼畀近春嵇正查已辰為共折為通於魂,19,19,0.1317,正,ok
M1_0045,,彈,彈,,君餘固法聲灵麻退麻離極等彈弇信好主支,18,18,0.1396,弹,ok
M1_0046,事,事,事,事,因詩要壯怨奴森可幾事詩奇端域別消斷後,18,18,0.1602,亊,ok
M1_0047,尋,尋,尋,尋,各鬼石猴浮觀色朱尋心吏濃眉斷憑徐体白丕詩,20,19,0.2235,㝵,ok
M1_0048,奇,奇,奇,奇,瑪正固作畀酉姑將而令至程眉聯岳雜奇欣逢,19,19,0.1543,奇,ok
M1_0049,爾,易,爾,爾,樞尋些會辰顯批晉易爾庄肆孝庄尋來辰奏府,19,22,0.1974,弄,ok
M1_0050,秋,秋,秋,秋支,孔固能功叢共福知罪休好主支秋欺耳罪作共真,20,20,0.1252,秋,ok
M1_0051,斷,斷,斷,斷,麻補末灵魂斷司是在直前吒麻邦窗葉此建隊,19,19,0.1265,断,ok
M1_0052,之,之,之,之,去事之毒等所每後因多將外可丕麻庄体侯旦,19,19,0.4192,之,ok
M1_0053,達,達,達,達,尚何接焉排達旦時靜兩反接是而曰每被更各本,20,20,0.1811,逹,ok
M1_0054,庫,庫,庫,庫,朱几庫架瓜曲麻中弄庄同奋拱礼巴近碾旧施簫,20,20,0.1145,庫,ok
M1_0055,空,空,空,空,空麻罢各曰安庄嬉喜通化分者茲多於坦縣分寺召折馬,23,23,0.2015,空,ok
M1_0056,在,在,在,在,丕青禪漂麻履尊杜碑之神廉奇天下合在麻,18,20,0.1556,吏,ok
M1_0057,毒,毒,毒,毒,丰經共朱姬垂牌歌罪懼怒共鐵百毒碑真共分,19,19,0.2473,寺,ok
M1_0058,取,取,取,取,官化奉消景正生壽運亦古祀取祗即城茲南稱是,20,20,0.1277,馭,ok
M1_0059,最,最,最,最,正最相壽創几雖詩鉉特兀鬼暗寺塊為功業弇至氏,21,21,0.1329,最,ok
M1_0060,奔,至,奔,奔,帶命凜奔至氏俸背事百壬毒旦永畢麻虛末妄慰,20,20,0.1384,垩,ok
M1_0061,氏,氏,氏,氏,女鬼碎涅如勃年逆辰朱知主正秋欺舞咽調氏寺獅子旦限尋折,26,26,0.2081,衣,ok
M1_0062,其,其,其,其,之共几撰令奴其而龜之朱年衣計發車磊僥願命垂施,22,23,0.2155,其,ok
M1_0063,事,事,事,事,而如徐塟中化正姬幸居君年呢事庫帶世間理,19,18,0.1807,事,ok
M1_0064,事,事,事,事,煙錯麻呌履祖染真救事磊朱碎共雲鬼次碎旦低,20,20,0.1495,事,ok
M1_0065,多,多,多,多,多唐車朱特先廚邊意歡旦嚴妻先異瑪署姑庶反共信,22,22,0.1964,多,ok
M1_0066,,庄,庄,,矯有事折庄丕景能皮事久旦將韓色則生毒庄因,20,20,0.1569,庄,ok
M1_0067,云,冷,云,云,內亥壽云冷去曰五濟尼尋連直者乙冷共曰年耳爾真赦,23,22,0.3252,苓,ok
M1_0068,忘,法,忘,忘,诸字畏碑有或庫麻爾義共衡主吞之禪忘法輿丕扶護,22,24,0.2769,法,ok
M1_0069,奴,奴,奴,奴,吒罪江須君奴先是奇是至兩腰先是火陰眾衣發奴,21,21,0.1659,奴,ok
M1_0070,几,几,几,几,靜壽兩氏冷共几餘奉死主至庄敢八文,16,17,0.1509,几,ok
M1_0071,彼,彼,彼,彼,圗強重彼女欺群祉壽多架修行麻乎仍役閑中如死,21,20,0.2124,欣,ok
M1_0072,真,真,真,真,珠舜內辰古盆白之翁尋初真架共求德主齋屋,19,19,0.2258,真,ok
M1_0073,,獅,欽,,傳復連衛呈官事選而不官衣其欽獅子者我扒翁至,21,21,0.2252,獅,ok
M1_0074,冷,麻,冷,冷,魂等形蒲鵝耿卒冷麻悲與吞虎壽每主吞禮雪麻,20,20,0.1949,麻,ok
M1_0075,功,功,功,功,裔百為功萊昆壽明凜為烝仍几列每種仍几璧,19,19,0.1818,㓛,ok
M1_0076,尋,尋,尋,尋,焉用南尋衣冠席可皮顧卻者体同庵尋接更歇,19,21,0.1543,㝵,ok
M1_0077,仍,仍,仍,仍,仍南欺奴未祗親包者煙連沛几再兩如連判,18,19,0.2876,仍,ok
M1_0078,每,每,每,每,化年銅每福衍共傳法朱凋命停麻特君晉義哈返醉,21,22,0.2512,每,ok
M1_0079,共,逐,逐,共,召累是共逐天下燒可丕女麻閱庄少几麼鬼歧死末,21,21,0.1853,逐,ok
M1_0080,差,差,差,差,奇常棄弄而主丞廩商在生差麻得葬尋學行曉字遠,21,21,0.2717,差,ok
M1_0081,中,囚,中,中,鬼中義麻補罪共妥承巴時赦仍几矜中囚官邊,19,19,0.1828,囚,ok
M1_0082,主,主,主,主,自德主技秋罪代來旦各至君特我彥公森以近惠,20,20,0.1595,主,ok
M1_0083,押,色,押,押,姑蓮魂觀隨祕板個震烟麻押色命她至化,17,17,0.2058,包,ok
M1_0084,德,德,德,德,等得葬兆術歲嘗瑪垂中如餘駕德安瑪移阿曷在特,21,21,0.3532,徳,ok
M1_0085,欺,欺,欺,欺,席值欺官仙該店奇帶薩前蘇征先罡晉西迎尹,19,19,0.1304,欺,ok
M1_0086,庫,庫,庫,庫,陵來瘁其支啤朱凡庫中庭師古盈瘁旦雷葬天下降,21,22,0.1814,庫,ok
M1_0087,禳,禳,禳,禳,些默顧連解廚處長飛等用命立馬默禳旺麻黑孔而至,22,22,0.1504,襖,ok
M1_0088,者,者,者,者,尋葬等算罪旦因反生体某麻及尋婚者懷等,18,18,0.1658,寺,ok
M1_0089,至,至,至,至,有助來之來在禪忌西主吞固法無穷取平弇至批,20,20,0.2531,垩,ok
M1_0090,貴,悲,貴,貴,雖多如餘及耳是初富貴悲除師止刼末歇聽故有,20,20,0.1819,悲,ok
M1_0091,世,世,世,世,是世間双壽群末德主界矣拜莊碎真某保碎未將,20,20,0.1881,世,ok
M1_0092,打,打,打,打,沐峯祗法衣麻年支固干鳳共爾靈打歇年賊,18,18,0.1553,打,ok
M1_0093,之,之,之,之,音法之者尼李罢些切願麻吏罡願庄壽此矣切,19,20,0.1451,之,ok
M1_0094,,義,,,勸天下於朱見清禪義德主支秋共罷曰書改來爾,20,20,0.1421,義,ok
M1_0095,仍,仍,仍,仍,梅運而磨法選朱話化仍麻法一罪理等勸等些行道歇,22,22,0.1318,仍,ok
M1_0096,双,双,双,双,罪君據甫晉妖僥廩如說要讒正双膏書鬼而斫之朱,21,21,0.1276,双,ok
M1_0097,壽,劇,壽,壽,矯茲陰腮壽繇孤更衛靜古壽外緩聰壽劇蔑邊朱丑,21,21,0.1619,割,ok
M1_0098,神,神,天,神,教國等罪旦妻得体我事遙君偉天神法禮禮默,19,20,0.1537,神,ok
M1_0099,特,特,特,特,特海言唐由中道垂更主奉壽困特共奇常遠,18,18,0.178,特,ok
M1_0100,後,後,後,後,度麻魂壽命垂保祿君於中照麻從魔女旦姜押景補後困,23,23,0.195,役,ok
M1_0101,曰,曰,曰,曰,護流些同達判辰曰勅者抑朱面化宸侯在餘,18,19,0.189,曰,ok
M1_0102,道,麻,道,道,曷在都闭徐軍化常真付來命尋連道麻遠而顛团,20,20,0.1646,麻,ok
M1_0103,博,博,博,博,即昆露博悔罢帝廉家罪吏体獲玄仍顛如此烘,19,19,0.161,憾,ok
M1_0104,兜,兜,兜,兜,內李命席用遁而丕麻某茲兜在則可除奴篤弄,19,20,0.1441,兠,ok
M1_0105,江,江,江,江,鬼煜震主恐除官我私江真魏等要爾打散後打,19,19,0.1461,扛,ok
M1_0106,點,點,點,點,有宜齋每主垂麻佃罪置鬼奔矣擒歌複多麻點顧,20,20,0.1242,黙,ok
M1_0107,共,肩,共,共,樞雷何那諸燁而之蚤於共肩之突孔几四共眉麻,20,20,0.1841,眉,ok
M1_0108,渴,渴,渴,渴,虛禮臣固豫市象正誥麻庄渴流平碎眉召庫為,19,19,0.1549,渇,ok
M1_0109,吏,吏,吏,吏,奪循命召庫廩旦欺斯吏特題天堂,14,14,0.1072,吏,ok
M1_0110,德,主,德,德主,麻辰偕卢石之婁庄歸帝書蔑特昆重略末德主爾共,21,21,0.1586,主,ok
M1_0111,詩,詩,詩,詩,孟笑詩曳固師事衣麻消安主丞庄連呂塊圭命,19,19,0.1587,寺,ok
M1_0112,補,意,補,補,宜爾意達屬肉旦事意而之眉閣葉弄垂者補意眉麻,21,21,0.1759,意,ok
M1_0113,魂,魂,魂,魂,孟虎共灵魂吏多路巴君恪常云祗尋些岐共屈僥事,21,21,0.1741,魂,ok
M1_0114,反,反,反,反,重欣每事重世間官道調反者履垂易支秋近者華,20,21,0.1654,衣,ok
M1_0115,綿,志,綿,綿,則雲罷招末事農詩豈披綿志事童再兵補方主支秋祿,22,21,0.1524,末,ok
M1_0116,朱,朱,朱,朱,守可祈尼朱葉弄德主奇常虛末弄爾世間為事公,20,20,0.1658,朱,ok
M1_0117,役,役,役,役,俘役尼朱年固蔑店歌等佯戰麻願体至天神,18,18,0.1694,役,ok
M1_0118,活,如,活,活,運命麻樂遲緬活如運但王達保几恪包店麻此孝固取,22,22,0.1643,如,ok
M1_0119,旦,旦,旦,旦醫,父固爵春取得洋願思禮形昆醫旦如得呌終脫失,20,20,0.1635,旦,ok
M1_0120,里,道,里,里道,善要恩天主丞先君公授得而為點而庫消道里辭歌,21,19,0.1484,道,ok
M1_0121,,辰,辰,,補禪辰悲而新希朱是君八漸應蚤仕嘗双爾法分主吞,22,22,0.1486,浪,ok
M1_0122,將,將,將,將,酉事化麻庄荊信孀罪者將祗蘇編非真碧公聖化麻,21,22,0.2064,代,ok
M1_0123,之,之,之,之,要帝之女毒得舞德主奉朱祗体灵親化麗帝麻廟后天堂固,24,24,0.2246,之,ok
M1_0124,等,於,等,等,翁至雁蜂每等每履歇圓饒是公舞女等於辰珠移,20,20,0.1333,於,ok
M1_0125,中,中,中,中斧,礼梅共殿查巳卷耳公強病瓜女班店壽代斧中,19,19,0.1577,中,ok
M1_0126,悲,悲,悲,悲,麻等麗丕環悲饒時府我巽麻体末每等年卒令詩,20,20,0.1585,悲,ok
M1_0127,因,因,因,因孟,罪法重依希壽再別祥冠召每事庫麻庠孟因牢,19,19,0.1858,因,ok
M1_0128,奪,垂,奪,奪,翁垂支居釋為死唐道傳花奪垂居罡返者備祗,19,20,0.1559,垩,ok
M1_0129,常,命,命,常,百常命腹式中脾吏礼先半席是末乃弄尋罪用徐是漢過,23,23,0.1677,命,ok
M1_0130,重,重,重,重,重其壽常卿明德分麻如尋連君道歌其固几惱按召,21,21,0.1965,重,ok
M1_0131,旅,旅,旅,旅,則義命仕召罰旅几路等運孟末麻懷弇對碎格,19,20,0.1561,欣,ok
M1_0132,君,生,生,君,令垂爾爾取蘇死為通傳令幸君生壽近西臨居,19,19,0.1794,生,ok
M1_0133,鬼,鬼,鬼,鬼,惡在鬼圭廢旦低罪在選年底呂僥事庫祈君蚤,19,19,0.2897,塊,ok
M1_0134,發,事,發,發,常惜常事麻焉意發事前便但公衛聲連照待遠,19,19,0.1399,事,ok
M1_0135,壽,壽,壽,壽,與真麻可庄特壽尋辰備等庄則意產平位尼於理綿詩,22,22,0.1403,寺,ok
M1_0136,,共,共,,奉如四義曜仍几於帝速歌闭除几鬼暗共几烈牢旦共是,23,23,0.1739,共,ok
M1_0137,恩,恩,恩,恩,恩為事時初庄洋占盆女曲麻貧至樞舜固福盈異,20,20,0.1899,恩,ok
M1_0138,几,几,几,几,圣壽眉府曳仍法還德主喬西為刃萊几補莊命,19,19,0.1689,几,ok
M1_0139,特,特,特,特,双咽丕者具麻宸眉而牢特者蜜伴朱古昆鬼惟似,20,21,0.1752,特,ok
M1_0140,麗,傷,傷,麗,俘奉主体等班虛壽薄奉達尋遲困唐特於麗傷尼永,21,21,0.1555,命,ok
M1_0141,仍,仍,仍,仍,衣沛烈年詩諸辛麻青几非達仍有惟惟麻看几逆,20,20,0.1724,仍,ok
M1_0142,碎,碎,碎,碎,傷庫主碑或平碎麗抑壽置別要婉紙碑化丑書公羽,21,20,0.1897,碎,ok
M1_0143,具,具,具,具,鬼仍侍然君勸具底朱衆碑沿家雁也壽置徐朱年應餘,22,22,0.1813,其,ok
M1_0144,來,三,來,來,德主齊馬弄朱逋奔公復等飲輕獅來三特公功,19,19,0.1655,些,ok
M1_0145,連,連,連,連,龜末壽走來几怪連如欺尚猶耶補言共德主春壽,20,20,0.1463,連,ok
M1_0146,下,下,下,下,着命紫計仍罪奴逐天下悲除鬼曳法天神麻弄,19,19,0.1634,下,ok
M1_0147,旦,旦,旦,旦,自知主支敢呢代朱旦她垂君特昭類疏正辭,18,18,0.1455,旦,ok
M1_0148,支,支,支,支,自爾主支秋罪行朱旦哈命幸君時再夏臨近吃解,20,20,0.157,支,ok
M1_0149,語,語,語,語,語冠折連結袍虎補廣滬在臨欺色捧遁等過,18,18,0.1843,語,ok
M1_0150,連,連,連,連,忽虎連為君尋為傳召辰支說程要圭命連殺限,19,19,0.1538,連,ok
M1_0151,畢,朱,朱,畢朱,邦廟等麻木調畢朱年被体昌子瓦事極氏殿辰碎,20,20,0.1573,朱,ok
M1_0152,命,命,命,命,字君辰何將此巽舒涅是科命敬更主吞壽助圭命天神,22,22,0.2318,命,ok
M1_0153,悲,悲,悲,悲,君固猿庄悲餘屏尋女求包招吃是芻等洋乳連哭共呌禳,23,23,0.1896,悲,ok
M1_0154,朱,朱,朱,朱,丕連哭麻動等隨理竊補處天堂分主丞岳行底朱尋吏,22,22,0.1882,朱,ok
M1_0155,畢,畢,畢,畢,是礼居從箕其万主齋年祝辰氏年觸言麻畢些隊,20,20,0.174,㝵,ok
M1_0156,女,女,女,女,吏詩復恪麻吏宴伯共淺堪多之奴吏村禮麻吏真女有,22,22,0.1425,女,ok
M1_0157,公,於,公,公,是隆公於因徐寺兆老死主支秋遣奴罪壽奴連眾麻邑帶犀,24,23,0.1306,於,ok
M1_0158,來,身,來,來,解運來身劉女曰年德書斧華麗之壽明等廩為固盡共此,23,22,0.199,朱,ok
M1_0159,共,共,共,共魂,於尼園景卒令麻為樞耶罢喬去改有末交魂共嚴,20,20,0.1672,共,ok
M1_0160,也,也,也,也,昆燒边武褒壽同朱百架為初生坤也鄧朱德,18,18,0.1547,也,ok
M1_0161,年,年,年,年,南多年,3,3,0.0874,年,ok
M1_0162,特,特,特,特,夜罢結道更主奉壽執特巴吒昆馬餘奉主於物先,20,20,0.185,特,ok
M1_0163,,時,,,主流歲衣先罪赤姑体道天主吞舜時為盛詩禁庄朱,21,21,0.1895,時,ok
M1_0164,之,之,之,之理,廓得在庄呈吒廈廉多尋言吏青命化辰命固理之,20,21,0.2065,之,ok
M1_0165,辰,辰,辰,辰,逐晉遠幾群侍事之文麻景辰禪辟于聽補象而之鬼,21,21,0.1349,浪,ok
M1_0166,麻,麻,麻,麻,翁垂君生澤於威種巴看中后何眉石爾麻罢得道登,21,21,0.1426,麻,ok
M1_0167,,別,別,,詩尋謹履各甫今甫姬於低席別碑術用知主支秋,20,21,0.2699,别,ok
M1_0168,代,代,代,代些,皆共各是些代之馬同祖丙主造秋生差恐赦乃恪壽蚤,22,22,0.1695,代,ok
M1_0169,星,星,星,星,垂葩之焉姚由晉而茹君勿是麻餘今垂幸連星帝,20,20,0.127,星,ok
M1_0170,曰,曰,曰,曰,代景曰示八本道辰度乃及正學道者折支尼耗焉体之丕油麻,25,23,0.1584,曰,ok
M1_0171,申,申,申,申,翠衣申混嚴本奇對等華化朱官該城衣察月吏,19,19,0.3196,曳,ok
M1_0172,便,如,便,便,母連懷延辟昨双雷去方主丞作碎官運原便如興獻,21,21,0.1562,奴,ok
M1_0173,但,吏,但,但吏,至樞為些蘇宸奏司衆碎餘每主吞郡年奉共但吏,20,21,0.162,吏,ok
M1_0174,吏,吏,吏,吏,君羊固卯冬在壽代禮捧性法多書吏無直魏尼色如內底詩,24,24,0.1647,吏,ok
M1_0175,而,代,而,而,其忌折女應餘言代而困得葬傳麻得正補事信壽特福,22,22,0.2049,代,ok
M1_0176,休,休,休,休,邇天屋蔑得改昆底于須衙先異出些休夷詔君辱逢,21,21,0.1672,体,ok
M1_0177,自,自,自,自,於魁界自德主支秋哭作朱旦奔至尼特整林巴南,20,20,0.1464,自,ok
M1_0178,几,几,几,几,施朱几真古施席異古些爾借古施眾古德主,18,19,0.1291,几,ok
M1_0179,去,去,去,去,礼去如餘壽柴庄敢至双當某庄年朱困除官氏問,20,20,0.1481,古,ok
M1_0180,麻,等,麻,麻,皆公恒爾圣書常落主扶秋麻等因法帶世國共,19,19,0.1199,㝵,ok
M1_0181,返,返,返,返,罪軍奴段者各本道征魄朔笨返辭麻欺軍商扒尋壽祕織,23,23,0.1347,迈,ok
M1_0182,執,執,執,執,冷芳碎詩執事臨初而之理壽架及赦仍麻所鬼之朱,21,21,0.1321,執,ok
M1_0183,景,景,景,景,麻餘奉物困亦王悲徐羽渾禦運判兆我景鉉我,19,19,0.1831,㝵,ok
M1_0184,德,德,德,德,獨自德主投秋眾代朱旦弇至尼僊老暮公近南,19,19,0.1583,德,ok
M1_0185,朱,奴,朱,朱,役冷僥春焉此忌聖母固欺末魔鬼常而朱奴我命里末,22,23,0.1225,奴,ok
M1_0186,也,也,也,也,也蕭辰百福朱尊峯嚴共灵魂壽德主爾把功運,19,20,0.16,也,ok
M1_0187,獅,獅,獅,獅,獅子征産朱特席肆去檸奴渚文奴裒折共噬碎色,20,20,0.116,獅,ok
M1_0188,官,代,代,官,議書歌奇尋云事極衣為丙主丞平弄新官代始幽者,21,21,0.1158,代,ok
M1_0189,,時,時,,伯麻辰虎圣中公吏西茹盾仍是童貞每幾時時近,20,21,0.133,時,ok
M1_0190,仍,仍,仍,仍,齊連收店仍顧共真防波遠朱特冤所思双靑中弄先,21,21,0.1199,仍,ok
M1_0191,卷,卷,卷,卷,牢庄豚是孝吏遣祗像李朱等餘卷徐吃尊垂,18,18,0.1499,悲,ok
M1_0192,尋,主,尋,尋,辰時史振罪尋主碑初購罪天下壽碑強明欣文來碎特,22,22,0.1529,主,ok
M1_0193,渚,渚,渚,渚,要仍本道嚕瑪固限庄不嗔渚傷白之矯而害碑矣朱獅,22,22,0.1772,渚,ok
M1_0194,軍,軍,軍,軍,即重異軍翁批晉入犯罪那繼麻閣乞願帝壽奴,19,19,0.1613,軍,ok
M1_0195,歇,歇,歇,歇,後碑罡几餘方主奉罡司運歇而主官方罪是祕曳,20,20,0.1472,歇,ok
M1_0196,朱,朱,朱,朱,仍山去惡業麻輝奴履眉而歌飭朱如備事童再妙雜四,22,22,0.1509,朱,ok
M1_0197,宰,宰,宰,宰,庚生毒因几体天魂景巽堪売州朗宰令共体少,19,19,0.1206,窣,ok
M1_0198,命,命,命,命,義取任命共家至嫌惡薩術如施歌古朱乃庫補皆麼,21,21,0.1518,命,ok
M1_0199,欺,欺,欺,欺,初欺斧垂此晉共荅茲四德主支敢諸固舞謝泣天下麻群於,24,24,0.2228,欺,ok
M1_0200,碑,碑,碑,碑,笑元朱之命代主碑弄今無方笑教故鬼已得故更有,21,21,0.1171,碎,ok
M1_0201,,連,連,,奉挾几驕傲色庄特旦欺尋近黍言四尋幼連以爾時父樂,23,23,0.1103,連,ok
M1_0202,葉,葉,葉,葉,至尼体爾葉庄朱餘窮各皇時責爾凜牢生餘凡德主爾至,23,23,0.1769,禁,ok
M1_0203,畧,畧,畧,畧,朱鬼疾來歌畧止因民善女先罷死逆殺那茲尋廩麻樞雲左,24,24,0.1834,畧,ok
M1_0204,玉,玉,玉,玉,初玉德主愈德事寧友外朱等為末事年中灵鬼至聖左群,23,23,0.1241,丕,ok
M1_0205,旦,旦,旦,旦,門篇尋多佇唐麻打置同及吝尋真也犯及罪重奔旦稱,22,22,0.1614,旦,ok
M1_0206,意,意,意,意,帝之時尋筮固受音意戶行尋富處凜生時麻庄,19,19,0.1577,意,ok
M1_0207,廩,廩,廩,廩,連旦身去年雷多能城朱年淫欽稠沚柳巽廩尋厥恩德主,23,23,0.1199,廩,ok
M1_0208,各,各,各,各,各品蜂朱本道餘奉德主爾時因買特賊何乞罪凡我時庄,23,23,0.1426,各,ok
M1_0209,中,中,中,中,共本道數於帝正而計法是於度吝意煙我是色中為廉,22,22,0.126,中,ok
M1_0210,朱,朱,朱,朱,惜功為因廁勤弄共德主支秋腰几庫仕把功朱兆變宜信,23,23,0.1901,朱,ok
M1_0211,,鬼,鬼,,至庄未麻辰碑看鬼來時共沛為也特凶禮巴處已,20,20,0.0935,腮,ok
M1_0212,,,,,翁皇樞翰橙傳,6,21,0.0653,重,ok
M1_0213,意,朱,意,意,坊瘟為碑麻當自尋意朱之生時尋下頭運生因獸塊在過已,24,24,0.1727,朱,ok
M1_0214,翁,翁,翁,翁,禍色除尋備爾蜜仕白伴其韋朱別飭蚕羅体希翁玉意,22,22,0.1226,翁,ok
M1_0215,馭,馭,馭,馭,寧戰外運車仍馭庄同泛焉多園意折得金開除皇元,21,21,0.1231,馭,ok
M1_0216,生,生,生,生,皇運生時欺意也特罢畫林戲灵忽云福庄固眠哭無容,22,22,0.1299,生,ok
M1_0217,,,,,吃邁愁,3,13,0.1159,爲,ok
M1_0218,庄,庄,庄,庄堯,象生特置年浪與天僞碑柔要堯庄特文笑等帝朱,20,20,0.1695,庄,ok
M1_0219,宣,宣,宣,宣,官宣呐白丕時此打摩体尋庄計事打拖等我老多折從意,23,23,0.3085,宜,ok
M1_0220,尼,尼,尼,尼,尼爾理年通立些清朱多季边意女及焉吒尋庄直尋靜來,23,23,0.2631,尼,ok
M1_0221,連,連,連,連,連浪若笑謂等次害仕經宋連時善元空得意尋言功輩,22,22,0.1605,連,ok
M1_0222,事,事,事,事,特事庫申而倦主再生時保尋辰本是品尼侯關從寺席此,23,23,0.0988,事,ok
M1_0223,尋,尋,尋,尋,漆几國疾時尋置云勿畏或重畧末愿主何欽白毫,20,21,0.1662,㝵,ok
M1_0224,重,重,重,重,礼德主支歌傳房極重意守樂充弦模我三庵飛容朱,21,21,0.1687,重,ok
M1_0225,特,特,特,特,若汝圩酶沒牙油共玄怪先多朱旦尼更辱宏衛庄特舞僊主爾,25,25,0.2384,特,ok
M1_0226,連,連,連,連,坤連折麻否罰尼解眾廩旺美吏退祀重尋連圓來命時吒庫,24,24,0.1848,連,ok
