sample_id,pred,score,sec,n_boxes
M2_0175,话,0.5818,2.282,1
M2_0176,院,0.3243,1.5818,1
M2_0177,住,0.8748,1.3998,1
M2_0178,度一,0.3967,2.1897,1
M2_0179,瞻,0.2151,1.4398,1
M2_0180,在凝,0.5567,0.9117,1
M2_0181,中性,0.3152,2.1532,1
M2_0182,土人,0.6438,1.3827,1
M2_0183,祈,0.0469,1.4412,1
M2_0184,数序,0.2249,1.7774,1
M2_0185,云,0.1152,1.1994,1
M2_0186,也,0.3383,1.2828,1
M2_0187,快,0.2552,1.3952,1
M2_0188,诸,0.64,1.039,1
M2_0189,法毒,0.6446,1.1053,1
M2_0190,蕭,0.2477,1.6836,1
M2_0191,定,0.1968,1.651,1
M2_0192,医命,0.7795,1.8563,1
M2_0193,注一,0.31,0.7998,1
M2_0194,左,0.5223,1.494,1
M2_0195,再此,0.1763,1.1983,1
M2_0196,延,0.3105,1.1629,1
M2_0197,诚运,0.526,1.4404,1
M2_0198,问,0.2645,1.4585,1
M2_0199,無,0.9625,1.7687,1
M2_0200,云,0.3119,0.7122,1
M2_0201,飞雨,0.3522,0.6353,1
M2_0202,父单,0.1723,0.6542,1
M2_0203,蛮,0.4349,0.7552,1
M2_0204,7,0.2884,0.6766,1
M2_0205,禊,0.6212,0.4501,1
M2_0206,存,0.3844,0.4808,1
M2_0207,打涩,0.4771,0.5552,1
M2_0208,最,0.1943,0.5026,1
M2_0209,s,0.2103,0.626,1
M2_0210,失,0.3833,0.6146,1
M2_0211,22,0.3373,0.401,1
M2_0212,與,0.1089,0.5541,1
M2_0213,室,0.4278,0.4565,1
M2_0214,四百王,0.4021,0.7791,1
M2_0215,街,0.4813,0.787,1
M2_0216,七秘,0.3062,0.8123,1
M2_0217,验,0.1623,0.8055,1
M2_0218,連,0.3555,0.6362,1
M2_0219,带,0.4871,0.6082,1
M2_0220,术閣,0.3862,0.7089,1
M2_0221,代,0.4061,0.5391,1
M2_0222,行,0.8804,0.5242,1
M2_0223,器,0.4556,0.4402,1
M2_0224,代,0.9963,0.4703,1
M2_0225,砥梅,0.5669,0.4878,1
M2_0226,7,0.8247,0.6661,1
M2_0227,塟,0.0663,0.6179,1
M2_0228,七峰,0.2069,0.8251,1
M2_0229,,0.0,0.5287,1
M2_0230,益宿,0.4031,0.6856,1
M2_0231,功恭,0.5598,0.5693,1
M2_0232,呼,0.4348,0.7402,1
M2_0233,,0.0,0.6252,1
M2_0234,义独,0.4492,0.6032,1
M2_0235,舜,0.1447,0.6003,1
M2_0236,通,0.7472,0.6535,1
M2_0237,公春,0.2039,1.0839,1
M2_0238,主命,0.7298,0.8017,1
M2_0239,俞,0.5028,0.8255,1
M2_0240,黄,0.3796,0.6554,1
M2_0241,1217.,0.546,0.9724,2
M2_0242,生,0.658,0.6949,1
M2_0243,封,0.2704,0.6284,1
M2_0244,民烈,0.4002,0.4404,1
M2_0245,18,0.7126,0.6241,1
M2_0246,主丰,0.3112,0.3799,1
M2_0247,瑟定,0.2663,0.6755,1
M2_0248,叶國,0.2416,0.541,1
M2_0249,王志,0.4189,0.5831,1
M2_0250,热,0.2897,0.5512,1
M2_0251,之問,0.1106,0.68,1
M2_0252,人谷,0.8926,0.4456,1
M2_0253,味,0.4467,0.4767,1
M2_0254,准,0.1364,0.4672,1
M2_0255,蚕,0.5275,0.3719,1
M2_0256,敬,0.6612,0.8257,1
M2_0257,正,0.7143,0.6407,1
M2_0258,通,0.1548,0.8983,1
M2_0259,等,0.6553,0.7748,1
M2_0260,公,0.682,0.9965,1
M2_0261,寻,0.5582,0.3348,1
M2_0262,心,0.5045,0.7669,1
M2_0263,,0.0,0.8486,1
M2_0264,四,0.587,0.6972,1
M2_0265,人色,0.5125,0.6586,1
M2_0266,二三,0.337,0.4664,1
M2_0267,H,0.1857,0.5651,1
M2_0268,化,0.5404,0.6967,1
M2_0269,學,0.2808,0.9578,1
M2_0270,本陶,0.6059,0.604,1
M2_0271,碗,0.1727,0.5229,1
M2_0272,地,0.2206,0.4611,1
M2_0273,六,0.1044,0.6972,1
M2_0274,,0.0,0.7539,1
M2_0275,外政,0.4483,0.5915,1
M2_0276,1,0.4054,0.5347,1
M2_0277,展,0.3986,0.6224,1
M2_0278,血,0.2155,0.7696,1
M2_0279,单肉,0.5595,0.9136,1
M2_0280,炫,0.8969,0.5292,1
M2_0281,街,0.0847,0.6648,1
M2_0282,固,0.8069,0.7575,1
M2_0283,僊,0.5696,0.9016,1
M2_0284,,0.0,0.8174,1
M2_0285,民方,0.3215,0.568,1
M2_0286,,0.0,0.233,0
M2_0287,麻,0.8929,0.5716,1
M2_0288,45TVii,0.4633,0.845,2
M2_0289,王磊,0.5025,0.6148,1
M2_0290,死~,0.3246,0.618,1
M2_0291,运速,0.2227,0.6836,1
M2_0292,停,0.8378,0.5257,1
M2_0293,别8,0.1968,0.6176,1
M2_0294,5.,0.6306,0.5811,1
M2_0295,焉,0.5724,0.467,1
M2_0296,麻故,0.2375,0.5483,1
M2_0297,雪,0.4815,0.6062,1
M2_0298,妖全,0.6086,0.5627,1
M2_0299,切,0.6104,0.7829,1
M2_0300,出,0.2454,0.4837,1
M2_0301,命,0.2319,0.5925,1
M2_0302,也正,0.8193,0.5415,1
M2_0303,沛,0.6095,0.5063,1
M2_0304,疗,0.271,0.4001,1
M2_0305,L,0.1535,0.9143,2
M2_0306,汤莹,0.1476,0.5207,1
M2_0307,玉鬼,0.2474,0.692,1
M2_0308,前,0.2408,0.6385,1
M2_0309,上海,0.559,0.6228,1
M2_0310,1心,0.2614,0.7191,1
M2_0311,元,0.0967,0.7552,1
M2_0312,李乘,0.2252,0.779,1
M2_0313,湖立,0.6017,0.5543,1
M2_0314,朗,0.7706,0.4855,1
M2_0315,在,0.432,0.471,1
M2_0316,氏布,0.6472,0.8047,1
M2_0317,写,0.407,0.5145,1
M2_0318,樊,0.2395,0.3735,1
M2_0319,白,0.0973,0.6357,1
M2_0320,染以,0.3341,0.4646,1
M2_0321,選,0.0953,0.4536,1
M2_0322,xッ,0.2661,0.4686,1
M2_0323,乙南,0.1317,0.6095,1
M2_0324,飞至,0.2386,0.6481,1
M2_0325,,0.0,0.5496,1
M2_0326,民计,0.862,0.7198,1
M2_0327,七焖,0.2427,0.6582,1
M2_0328,,0.0,1.1002,1
M2_0329,,0.0,0.5627,1
M2_0330,麻,0.6289,0.7316,1
M2_0331,熔,0.6558,0.384,1
M2_0332,(半非nt,0.3819,0.8617,2
M2_0333,也,0.4996,0.5243,1
M2_0334,它混,0.4809,0.5569,1
M2_0335,推,0.1273,0.56,1
M2_0336,四,0.2825,0.5422,1
M2_0337,條,0.8182,0.5786,1
M2_0338,文世,0.5766,0.5984,1
M2_0339,白で,0.3416,0.5895,1
M2_0340,道,0.4625,0.5983,1
M2_0341,Q也,0.5224,0.5204,1
M2_0342,道,0.7218,0.5893,1
M2_0343,字,0.566,0.5518,1
M2_0344,河,0.6943,0.4727,1
M2_0345,1,0.593,0.2659,1
M2_0346,晨,0.1472,0.5041,1
M2_0347,滴,0.1533,0.5406,1
M2_0348,遍,0.4039,0.6798,1
M2_0349,光您,0.3856,0.5339,1
M2_0350,白柔,0.6002,0.7381,1
M2_0351,2,0.8106,0.4766,1
M2_0352,可劲,0.6162,0.8091,1
M2_0353,A,0.7389,0.5357,1
M2_0354,延德,0.3974,0.6548,1
M2_0355,凤云,0.4048,0.5509,1
M2_0356,河）,0.1525,0.5354,1
M2_0357,麻,0.7534,0.8124,1
M2_0358,自动,0.3308,1.0586,1
M2_0359,古,0.665,0.6135,1
M2_0360,.,0.5914,0.6994,1
M2_0361,特人,0.7726,0.4697,1
M2_0362,至玉,0.3425,0.551,1
M2_0363,八,0.8819,0.4957,1
M2_0364,而弦,0.7576,0.4491,1
M2_0365,祀,0.0941,0.4985,1
M2_0366,7,0.2137,0.532,1
M2_0367,,0.0,0.4302,1
M2_0368,7,0.2939,0.5497,1
M2_0369,八,0.3738,0.789,1
M2_0370,一,0.6247,0.4785,1
M2_0371,底,0.692,0.5343,1
M2_0372,意姜,0.5446,0.65,1
M2_0373,艾麻,0.7383,0.5293,1
M2_0374,国,0.1324,0.5306,1
M2_0375,字,0.3211,0.6022,1
M2_0376,八逸,0.1806,0.5402,1
M2_0377,动,0.9148,0.4544,1
M2_0378,源,0.156,0.5835,1
M2_0379,一,0.4784,0.6496,1
M2_0380,風金,0.4534,0.6995,1
M2_0381,选廟,0.5281,0.708,1
M2_0382,收,0.1682,0.5555,1
M2_0383,导,0.6459,0.5695,1
M2_0384,救心,0.4511,0.5571,1
M2_0385,汶,0.3139,0.3305,1
M2_0386,0卡.,0.3563,0.9997,2
M2_0387,米！,0.4306,0.5292,1
M2_0388,云,0.2638,0.4618,1
M2_0389,初,0.6323,0.4864,1
M2_0390,何八,0.4168,0.4987,1
M2_0391,二,0.3234,0.5417,1
M2_0392,动,0.2802,0.7018,1
M2_0393,同,0.2404,0.593,1
M2_0394,名,0.1718,0.6315,1
M2_0395,初,0.4625,0.7384,1
M2_0396,为,0.1137,0.3721,1
M2_0397,皇,0.8406,0.3804,1
M2_0398,,0.0,0.5452,1
M2_0399,蛋,0.6676,0.8974,1
M2_0400,公,0.7337,1.0276,1
M2_0401,罢,0.8493,0.6548,1
M2_0402,開,0.2987,1.0169,1
M2_0403,2,0.1374,0.8422,1
M2_0404,土忌,0.6889,1.2566,1
M2_0405,寸同,0.4631,1.3908,1
M2_0406,主后,0.7421,1.2376,1
M2_0407,2,0.3134,0.9873,1
M2_0408,E,0.9853,0.7735,1
M2_0409,下2,0.1924,0.9721,1
M2_0410,作心,0.3116,0.9824,1
M2_0411,作,0.5171,1.1968,1
M2_0412,代,0.8929,1.0669,1
M2_0413,若,0.1912,1.126,1
M2_0414,里山,0.3559,0.7734,1
M2_0415,諫そ,0.5357,1.3348,2
M2_0416,15.1,0.6544,0.5,1
M2_0417,,0.0,1.2912,1
M2_0418,生石,0.5387,0.8198,1
M2_0419,钢,0.6716,1.0222,1
M2_0420,六喜,0.1499,1.0478,1
M2_0421,在,0.2032,0.6419,1
M2_0422,茶,0.8248,1.2431,1
M2_0423,貝打,0.5007,1.0602,1
M2_0424,y,0.4342,1.0063,1
M2_0425,安,0.5192,0.89,1
M2_0426,仇,0.1949,0.8715,1
M2_0427,底,0.0506,1.168,1
M2_0428,所右,0.1685,1.0638,1
M2_0429,2,0.2945,0.8772,1
M2_0430,朱,0.3671,1.0584,1
M2_0431,燒,0.6343,1.0112,1
M2_0432,谷,0.7691,1.0715,1
M2_0433,四,0.8283,1.1038,1
M2_0434,四边,0.4671,0.7329,1
M2_0435,综,0.3625,1.234,1
M2_0436,王云,0.4147,1.408,1
M2_0437,她,0.9568,0.7235,1
M2_0438,22H,0.5483,0.8981,1
M2_0439,Y,0.4672,0.9491,1
M2_0440,卷,0.2547,1.1747,1
M2_0441,a一,0.2631,0.8021,1
M2_0442,下楼,0.4861,1.2597,1
M2_0443,口,0.2458,0.846,1
M2_0444,X,0.0856,0.9397,1
M2_0445,澆,0.6767,1.0012,1
M2_0446,旦,0.4994,1.1594,1
M2_0447,矜,0.1307,1.1995,1
M2_0448,典,0.4831,1.045,1
M2_0449,寻,0.3304,0.791,1
M2_0450,,0.0,0.765,1
M2_0451,尽,0.1179,0.9054,1
M2_0452,接,0.2446,2.2351,1
M2_0453,5,0.1815,1.0339,1
M2_0454,连,0.2063,1.3174,1
M2_0455,承出,0.696,0.9093,1
M2_0456,袋公,0.4437,0.9178,1
M2_0457,蓟,0.2407,0.6629,1
M2_0458,進,0.5601,0.9285,1
M2_0459,黎,0.3942,0.9787,1
M2_0460,南,0.0354,1.063,1
M2_0461,妄,0.5336,1.2234,1
M2_0462,万”,0.3942,0.7198,1
M2_0463,女汶,0.1688,0.9162,1
M2_0464,增,0.6683,1.0753,1
M2_0465,M.,0.4381,0.9802,1
M2_0466,憾像,0.3404,1.3278,1
M2_0467,答,0.1996,1.0064,1
M2_0468,,0.0,0.7451,1
M2_0469,体,0.9968,0.5143,1
M2_0470,予等,0.2945,0.9881,1
M2_0471,後,0.627,1.3721,1
M2_0472,10,0.3845,1.133,1
M2_0473,王中,0.2451,0.9193,1
M2_0474,城彈,0.5815,1.0302,1
M2_0475,身,0.2812,1.0605,1
M2_0476,虞,0.0738,1.0142,1
M2_0477,医,0.2602,0.6893,1
M2_0478,八5,0.3084,1.4077,1
M2_0479,,0.0,0.5353,1
M2_0480,2个,0.2485,0.7538,1
M2_0481,只,0.203,1.0611,1
M2_0482,+,0.1142,0.8959,1
M2_0483,,0.0,0.7683,1
M2_0484,也故,0.6909,1.4364,1
M2_0485,不弄,0.2007,1.1229,1
M2_0486,生脾,0.8489,1.2744,1
M2_0487,旱,0.7097,1.0565,1
M2_0488,將珍,0.844,1.0887,1
M2_0489,,0.0,0.6952,1
M2_0490,男,0.2761,0.9236,1
M2_0491,三H,0.2978,0.8036,1
M2_0492,Y,0.2832,1.2788,1
M2_0493,心,0.1666,0.901,1
M2_0494,亚,0.7461,0.7855,1
M2_0495,亮,0.7873,0.8193,1
M2_0496,一商,0.3488,0.738,1
M2_0497,孟,0.8684,1.036,1
M2_0498,山缺,0.232,0.9414,1
M2_0499,位,0.0411,0.8368,1
M2_0500,李尚,0.2713,0.8824,1
M2_0501,12,0.3239,1.3124,2
M2_0502,四,0.9068,0.9273,1
M2_0503,<,0.2999,0.7311,1
M2_0504,收后,0.2768,0.6113,1
M2_0505,湖,0.2158,0.9387,1
M2_0506,當,0.1264,0.7509,1
M2_0507,十,0.1005,0.8643,1
M2_0508,四,0.0798,0.7953,1
M2_0509,袄仙,0.4502,1.0408,1
M2_0510,北蚤,0.8474,0.9163,1
M2_0511,三等,0.2282,1.0009,1
M2_0512,行,0.0405,0.8898,1
M2_0513,止,0.3957,1.1189,1
M2_0514,人果,0.665,1.0634,1
M2_0515,合,0.5764,0.8542,1
M2_0516,123,0.3131,0.679,1
M2_0517,弟,0.0713,0.6321,1
M2_0518,,0.0,0.7819,1
M2_0519,也,0.1907,0.8923,1
M2_0520,成原,0.2961,1.1121,1
M2_0521,澆,0.5675,1.034,1
M2_0522,方,0.8769,0.6666,1
M2_0523,巡,0.2062,1.3175,1
M2_0524,四茂,0.2933,1.1378,1
M2_0525,燒,0.2544,1.3637,1
M2_0526,悸,0.5488,1.1331,1
M2_0527,2七,0.1508,0.9426,1
M2_0528,可旺,0.8483,1.0018,1
M2_0529,君,0.5465,0.9412,1
M2_0530,共,0.1239,0.8439,1
M2_0531,宽,0.5513,0.7999,1
M2_0532,因,0.2225,0.5195,1
M2_0533,转合,0.4194,1.2839,1
M2_0534,52,0.1627,0.9667,1
M2_0535,22,0.3583,0.3893,1
M2_0536,诺,0.2672,0.9082,1
M2_0537,熱上,0.4653,0.9525,1
M2_0538,12.,0.5736,1.0239,1
M2_0539,コ,0.5914,0.8875,1
M2_0540,喂,0.451,0.8837,1
M2_0541,残行,0.3366,1.1066,1
M2_0542,1万,0.4884,0.6401,1
M2_0543,欲,0.1195,0.9938,1
M2_0544,土承,0.6176,1.0792,1
M2_0545,一四,0.3135,0.9144,1
M2_0546,,0.0,0.8741,1
M2_0547,她,0.8221,0.8482,1
M2_0548,见,0.3329,1.0356,1
M2_0549,民田,0.291,0.8411,1
M2_0550,会,0.6884,0.7925,1
M2_0551,14,0.8394,1.396,1
M2_0552,すふ,0.1779,1.0714,1
M2_0553,城,0.1325,1.2456,1
M2_0554,众,0.3044,0.581,1
M2_0555,#,0.5533,1.0945,1
M2_0556,餘,0.7906,1.036,1
M2_0557,8,0.1019,0.626,1
M2_0558,～右,0.1816,0.7016,1
M2_0559,女姑,0.3484,0.9902,1
M2_0560,,0.0,0.9822,1
M2_0561,TD,0.2238,0.8872,1
M2_0562,與,0.051,0.929,1
M2_0563,.16,0.7407,0.3073,1
M2_0564,察,0.1627,1.1489,1
M2_0565,2,0.2233,1.0101,1
M2_0566,巴,0.2197,0.9473,1
M2_0567,八,0.953,1.0977,1
M2_0568,婴,0.6746,1.1517,1
M2_0569,拱心,0.122,0.8235,1
M2_0570,恭,0.2837,1.1613,1
M2_0571,51]加,0.566,1.2983,2
M2_0572,商,0.8997,1.0682,1
M2_0573,了松,0.1332,0.8388,1
M2_0574,李,0.487,1.1452,1
M2_0575,E,0.139,1.2183,1
M2_0576,北市,0.3799,1.1043,1
M2_0577,化,0.4567,0.859,1
M2_0578,在浦,0.5948,1.0053,1
M2_0579,生国,0.1903,0.6376,1
M2_0580,a1,0.2965,1.3191,2
M2_0581,潮水,0.3734,0.9136,1
M2_0582,曰,0.3615,0.7194,1
M2_0583,化愿,0.4753,1.0807,1
M2_0584,,0.0,1.1844,1
M2_0585,1,0.2816,1.0479,1
M2_0586,,0.0,1.2491,1
M2_0587,现度,0.2238,0.9839,1
M2_0588,趨,0.0657,1.1932,1
M2_0589,小包,0.6342,1.1961,1
M2_0590,田,0.6302,0.7463,1
M2_0591,府,0.0732,0.8603,1
M2_0592,恨人,0.1681,0.7685,1
M2_0593,牛对,0.3863,0.8919,1
M2_0594,全,0.5097,0.6076,1
M2_0595,唐,0.9414,0.895,1
M2_0596,小,0.1348,0.9106,1
M2_0597,八,0.8604,0.8422,1
M2_0598,别,0.3726,1.1659,1
M2_0599,太蔑,0.6329,1.1555,1
