sample_id,pred,pred_seq,pred_mono,pred_all,col_text,col_n,kinh_n,sec,cell_char,note
M2_0037,在,在,在,在,哈字義宜調化連每尊垂在寢義丕麻眉在固,18,19,0.2905,履,ok
M2_0038,双,双,双,双,双為罢安意真奈者得置願徵奏辰恩德主爾問,19,19,0.1561,𠬧,ok
M2_0039,支,秋,支,支,勸天下於朱見清禪義德主支秋共罷曰書改來爾,20,20,0.3269,極,ok
M2_0040,命,命,命,命,共粹末天下麻正庄赦遁命庄時福之共更主丞吏特丑,22,22,0.3973,𠇭,ok
M2_0041,壽,分,壽,壽,帝錯而丕時怡南等固遠福衡廩壽分主吞弄朱等,20,19,0.1437,知,ok
M2_0042,夜,遙,夜,夜,闭徐某反辰理壽如白耳朱碎使姬化特馬宜夜遙而至紫,23,22,0.4287,遥,ok
M2_0043,対,及,対,対,妻尋尋尼对竭麻罢虎要対及庄特女灵魂要魂虎特,21,21,0.1784,及,ok
M2_0044,族,族,族,族,神仍几折衣谷垂連代鐵詩術棱歇諸之族文,18,19,0.2354,族,ok
M2_0045,在,在,在,在,在連涅罪共涵審尋至推齊奴禳奏困市固理之,19,19,0.3298,入,ok
M2_0046,唐,唐,唐,唐,官執尋馬通裕唐聚飭朱特補麻臻季仍麻曳尋,19,19,0.1802,尒,ok
M2_0047,色,而,而,色,或為斷鬼庄壽朱色而炫如好朱昆衣壯都是色中如夜,22,22,0.3064,而,ok
M2_0048,樞,樞,樞,樞,徐公垂衣那樞明靠盃麵浪碑是紇若伤主支教停獅乙,22,22,0.1633,福,ok
M2_0049,毒,毒,毒,毒,哈制共奴毒言四結麼吆等茲君怪堪獵凜鬼体舞下而,22,22,0.1601,詩,ok
M2_0050,末,河,施,末,德主丕蘇山蘇美弄各長徒接奔至末施河云位奴,20,20,0.3715,河,ok
M2_0051,掘,掘,掘,掘,徒掘爾拱而所終與災女異逐衛通因直時與,18,18,0.2966,極,ok
M2_0052,井,井,井,井,諸底朱是妃末灵龍命井末隨美麗兀惱事在飛事興彼袍,23,23,0.1419,安,ok
M2_0053,韋,韋,韋,韋,本道雍增韋求真主卻年奉但門物而法之選朱有,20,20,0.2546,常,ok
M2_0054,活,活,活,活,麻盾隨公垂哀那樞戈后奴活箕欲本道兜帝要綽明共,22,22,0.1914,居,ok
M2_0055,仪,仪,仪,仪,仪呢末每創爾卒荅庄沛如愛女麻更主至來天下別景年,23,23,0.2513,仪,ok
M2_0056,歷,歷,歷,歷,碎体垂安蘇保碎然君道實常返禁福朱碎馬死主歷,21,22,0.1435,吞,ok
M2_0057,公,公,公,公,守可祈尼朱葉弄德主奇常虛末弄爾世間為事公,20,20,0.273,入,ok
M2_0058,事,而,事,事,沿罪共奇幸如罪罪返裁得周奉皆事而丕申赦,19,19,0.2209,而,ok
M2_0059,至,廟,至,至,發真空常尋奔至廟之先罪文支尼焉次巴公位罷之初,22,22,0.1238,𭮀,ok
M2_0060,接,而,接,接,爾歌爾接而禮麻購仍得正德主支秋祈祗神命麻遲達,22,22,0.1258,而,ok
M2_0061,羊,羊,羊,羊,君羊固卯冬在壽代禮捧性法多書吏無直魏尼色如內底詩,24,24,0.1786,屰,ok
M2_0062,路,路,路,路,極路近鄰麻迎補道死主本等只祐其事仰產曉驛,20,20,0.3253,喀,ok
M2_0063,更,更,更,更,庄置更聖履錦固正答共曰旺者锦新不尊長如禮眉,21,23,0.1656,逆,ok
M2_0064,晉,而,晉,晉,吃近嗟禮翁至排晉而前之於成安卑烏真傳,18,17,0.2942,而,ok
M2_0065,臻,臻,臻,臻,代爾晉瑪先罪歌爾發烏仍辰臻奉德主歷甫,18,19,0.2529,餘,ok
M2_0066,馬,馬,馬,馬,城君馬知主丞正再闭除廻夜別守反罪天神常閃,20,20,0.2205,馬,ok
M2_0067,,妻,,,尼南奴麻固妻南封樞 用獲奎蔭百王麻要遞刻,9,23,0.5415,𡜞,ok
M2_0068,爾,爾,爾,爾,眉那罪君公翁垂爾窗歌便曰無困徐奇常哈垂明思覺,22,21,0.2087,面,ok
M2_0069,代,之,代,代之,多蕭若共百法選麻洋末命代之發公,15,15,0.0965,之,ok
M2_0070,隨,隨,隨,隨,貝先官衣要我眉薩焉隨翁垂衣祇闕同琵本道來旦,21,21,0.3651,隨,ok
M2_0071,,群,,,欺葬教麻皆群歇壽拮祗矯咽女丸爾德主丞因臣,20,20,0.2361,羅,ok
M2_0072,為,為,為,為,鬼壽众碎在宜為正餘鬼在著時事之冷運善,18,18,0.1526,馬,ok
M2_0073,廟,廟,廟,廟,邦廟等麻木調畢朱年被体昌子瓦事極氏殿辰碎,20,20,0.1745,夜,ok
M2_0074,竈,竈,竈,竈,時產固術如旦店次巴体景罢界麻竈掉把淘入皮,20,20,0.3759,𫝰,ok
M2_0075,安,安,安,安,庵名貼安朱等吏安慰矯等塊近時軍行囚,17,18,0.2161,𡚶,ok
M2_0076,宰,方,宰,宰,奇爭矯祇依韓尼槎浦潛推菩罪衣麻宰方主玉蜀,20,20,0.1405,行,ok
M2_0077,興,興,興,興,風孔尋興麻按結把至何將些召事極反嚴呂臨罪其,21,20,0.1627,䍐,ok
M2_0078,呢,呢,呢,呢翁,主丞連咽懷道衣爾壽綿供翁呢麻尋丑折焉道壽綿,21,21,0.3259,䍐,ok
M2_0079,後,後,後,後,災丕舜至末施同正法德主左務蘇正蘇後連故支,20,20,0.1938,股,ok
M2_0080,展,展,展,展,矯榮果奔至以故爾來主醒展諸卢為末去句,18,18,0.1308,辰,ok
M2_0081,罡,罡,罡,罡,祿咄罡知姑從巴罡樞蟬架辭固酒准即重輩色用至,21,21,0.2091,罪,ok
M2_0082,等,等,等,等,庄特益之爾等而事之朱衆碑點周策碎生義為,19,19,0.1835,䓁,ok
M2_0083,主,殺,殺,主,樞斡施古事選而正前罢吞至推展德主殺樞即重,20,20,0.2699,技,ok
M2_0084,因,因,因,因,看法運天主至而重彼每法希與尋些在時事因左,20,21,0.3039,六,ok
M2_0085,,聯,,,極漂馬聯孟彼常庄固流旺壽真奇化來共分主至,20,20,0.1977,賦,ok
M2_0086,連,連,連,連,女初候朱昆雜帶世間壽園是真髮朱是姓連玉嫌,20,20,0.1963,達,ok
M2_0087,公,公,公,公,君公朱天下餘各天神壽用宜麻臣罰丕矯席罰代葬新今,23,25,0.1695,依,ok
M2_0088,食,食,食,食,吏真等衣翠倘我吝先併枯共房呢朱等詩尋食直,20,20,0.1721,合,ok
M2_0089,死,死,死,死,馬死主丞仍麻欺然嚴几庄園道先罪葩奴尼何麻謁帝壽席到,25,25,0.1495,万,ok
M2_0090,忌,忌,忌,忌,主支取無忌庫為碎爾体呵在不麻曳末功壽代危得然城署耳,25,25,0.1608,𡰱,ok
M2_0091,庶,庶,庶,庶,弄歌傷壽旦歲飛奇蠶焉庶天堂,13,13,0.1018,房,ok
M2_0092,西,西,西,西,化因西真長為昌丁建斛麻庄群理之朱魄每俗孤咀喂,22,22,0.2091,志,ok
M2_0093,而,而,而,而,司至活氏禮而諸曉因覆各司辨夕麗朝天黃尋連那麻向,23,23,0.1805,而,ok
M2_0094,吞,吞,吞,吞,等庄補孝茲麻品吏芳曰主吞悲徐官遣知景,18,18,0.1725,吞,ok
M2_0095,妃,妃,妃,妃,是陰初慄垂方妃死知主支秋色殿除公垂茲君商烏,21,21,0.1806,妃,ok
M2_0096,嘗,嘗,嘗,嘗,祠辰于須猶於帝先異抑嘗麻罢辰要府在於帝寺,20,20,0.16,署,ok
M2_0097,詩,詩,詩,詩,群理之壯特奴連然臻官辰景女有來碑存特舜倘詩直,22,22,0.1661,詩,ok
M2_0098,道,嘗,道,道,連則時葬祈更各本道嘗固戰高化及欺尋諸固取高壽於,23,23,0.1726,案,ok
M2_0099,雷,雷,雷,雷,樞雷何那諸燁而之蚤於共肩之突孔几四共眉麻,20,20,0.1923,啻,ok
M2_0100,共,共,共,共,共固幾分燒唐久女朱平義等生壽深義遊洋,18,19,0.1556,女,ok
M2_0101,知,知,知,知,知主至於磨助祀碎共墻折惡除榮淺研鬼主壽生要,21,21,0.177,知,ok
M2_0102,入,入,入,入,天堂欺入尋也特罢近歲,10,10,0.1081,入,ok
M2_0103,堪,堪,堪,堪,伯麻施朱奴茲里惜古赤南禮碾旦欺弁公巽堪而餘麻,22,22,0.1786,堪,ok
M2_0104,壽,壽,壽,壽,並稱其血壽拱正敢看命如涯罪無事碎的物要体,20,20,0.2103,詩,ok
M2_0105,壽,壽,壽,壽,实臨庄壽主然麻履等固死馬道壽一君運之闭餘得戈,22,23,0.2086,寿,ok
M2_0106,初,初,初,初,初我因嘗瑪先罪安尋君奴固弄是先罡隨,17,18,0.2767,𭃡,ok
M2_0107,走,咽,走,走咽,你是德主俞為闭古罰拜舞酒其麻退碎走咽,18,20,0.1469,咽,ok
M2_0108,架,架,架,架,固鹿寺善此等達宜如不反爾架真明丑清解罪來帝動,22,22,0.213,架,ok
M2_0109,美,美,美,美,正信如玉旦卷稱官壽官潮尋宸明華握焉固美,19,20,1.3725,隻,ok
M2_0110,庄,庄,庄,庄,诸灵龍沙池獄廉体奴庄宜運滾弇君拒名初馬道實,21,21,0.872,庄,ok
M2_0111,當,當,當,當,壽盆凜古果釋氏末功庄可特並之朱埃双當言里,20,20,0.1486,膏,ok
M2_0112,富,富,富,富,麻病架函遣悲察几富貴唱異兀庫中幾遣,17,17,0.517,屠,ok
M2_0113,然,然,然,然,麻折帝聚佯然詩文城那于窗麻哈垂等君庫,18,18,0.5974,結,ok
M2_0114,弄,弄,弄,弄,罪孔固道生固惡族挨弄事困朱綿詩綿拱不福朱此在丕,23,22,1.8715,弄,ok
M2_0115,唐,唐,唐,唐,右重方主卷饒茲朱几過牢旦帝壽無唐功業命垂肩焉由魯,24,24,0.1997,𫠉,ok
M2_0116,氏,氏,氏,氏,礼去如餘壽柴庄敢至双當某庄年朱困除官氏問,20,20,0.5669,氏,ok
M2_0117,拜,拜,拜,拜,常害講坤頃其晉役公年丕景聚諸固醉拜傷畢,19,20,0.2186,痒,ok
M2_0118,色,色,色,色,麻我先色在吹旦奉鄉壽輕主接曰每連廟安哭云詩,21,22,0.3846,色,ok
M2_0119,支,姑,支,支,學文双爾固教梁用令垂支姑生邦法反吏謁朱年主,21,21,0.2899,妨,ok
M2_0120,窗,窗,窗,窗,震炤麻烟鬼得墻屏尾女双魯主鄧年窗旭虛,18,18,0.2881,裔,ok
M2_0121,怪,怪,怪,怪,南其德主歷坡當黑道怪坡者長先居巴非異運其麻,21,21,0.4262,條,ok
M2_0122,祖,祖,祖,祖,者息而之等戈囚仍凡於帝呌祿與命取祖衆碎共俸祝,22,23,0.4508,祀,ok
M2_0123,祀,祀,祀,祀,希寺祀耀麻燭歲祀福麻底奇常命尋中意麻,18,19,0.2343,祀,ok
M2_0124,異,異,異,異,以尋此信初內共法還得西殿尋禮即涕路先異,19,20,0.1415,民,ok
M2_0125,歸,歸,歸,歸,些伸麻眉主仍百僞我命吏作几怪境如西丕女咄眉歸,22,22,0.1908,师,ok
M2_0126,,登,登,,平眉而朱奴劇詩蚤置信有眉庄固壽登眉別眉,19,19,0.1584,𫊫,ok
M2_0127,君,君,君,君,巴應罪君仍事遙效麻尊至鄉還女為周嘗,17,18,0.1279,君,ok
M2_0128,夢,夢,夢,夢,固而發咄罪鬼夢之毒官在庄别祈之女壽行於使仲廉然經,24,24,0.182,其,ok
M2_0129,禳,分,禳,禳,道云僥事馬司衣燒遲尚何接焉我禳分主支秋眾等些,22,22,0.1688,知,ok
M2_0130,按,按,按,按,吒謨押祀播壽沛直丕生時法死麻將要折常皆新孺按,22,22,0.1439,按,ok
M2_0131,像,,像,像,礼李壽碎真歇仍像朱碎求來在旦得靜任危罪朝廉國,22,24,0.1628,𰂸,ok
M2_0132,取,取,取,取,於帝僥南旦妻取等也屬者茲盡於故路特維森,19,19,0.1769,取,ok
M2_0133,煙,煙,煙,煙,如尋於分主丞連煙弇玉批署朱別軍化飛是帶運張麻噲,23,23,0.1569,燔,ok
M2_0134,書,常,書,書,皆公恒爾圣書常落主扶秋麻等因法帶世國共,19,19,0.1631,常,ok
M2_0135,者,者,者,者,王奇常威運動哈畢真思官反可民事俗者曰辰謳罪,21,21,0.1519,詩,ok
M2_0136,有,有,有,有,至尼諸体川世間有色特几於催懷碎沁罢魔鬼魏拜默,22,22,0.2926,詩,ok
M2_0137,用,用,用,用,固理之補事道祖示傳朱麻學道選而牢用宜,18,18,0.1491,用,ok
M2_0138,所,從,從,所,即城化壽速神塘麻奏周晨因在所從打中城衆,19,19,0.1379,吮,ok
M2_0139,廟,廟,廟,廟,圭姻仁主吃欺旦滝者取法官沙廟連折沉窗自衣術,21,21,0.1625,審,ok
M2_0140,折,唐,折,折,折吆弇垂味儀众碎餘每主支秋祈召折唐遜天下,20,20,0.1531,店,ok
M2_0141,歌,歌,歌,歌,架歌生壽之体末眉丑本百丕心贈亦麻罢淨,18,18,0.1552,耿,ok
M2_0142,毒,毒,毒,毒,安誰色徐毒赦用徐魯聰得臨丕及爾弄正確有鬼妻,21,21,0.1481,寿,ok
M2_0143,殺,殺,殺,殺,神麻祗雜庄國席市庄席殺古之肆肉徐孟廟麻題船,21,21,0.1449,教,ok
M2_0144,邀,邀,邀,邀,按也鬼置時官体尋舞亨道德主忝壽我際邀授真,20,20,0.1548,廻,ok
M2_0145,鬼,爾,鬼,鬼,廩朱年固聚吝体近哈形鬼爾戰命存壽得孔可討故,21,21,0.15,刄,ok
M2_0146,悲,而,而,悲而,補禪辰悲而新希朱是君八漸應蚤仕嘗双爾法分主吞,22,22,0.1551,而,ok
M2_0147,除,除,除,除,形像底來尋些除麻補主度如年丞四等些共門物,20,20,0.1521,臻,ok
M2_0148,蹈,蹈,蹈,蹈,李解罪來壽奴眉鬼蹈双為事今壽庄思爽旦衣,19,19,0.1886,庵,ok
M2_0149,者,者,者,者,真休而左毒戶吏要誰罪即者薦顧卒興補包烟朱,20,20,0.1695,香,ok
M2_0150,,聚,弄,,罢易丐麻陣翁圣葩乙庄朱職之連公弄聚麻主洋,20,20,0.2057,𠗆,ok
M2_0151,在,在,在,在,釋寶方主丞羌季天神至孔方朱孝在助說末共馥奇常,22,22,0.1576,逆,ok
M2_0152,吏,吏,吏,吏,於傳冲南是反鄰錯鄰吏朱困命旦聚尋群召事困而,21,21,0.1353,逆,ok
M2_0153,蘭,所,所,蘭,唐道麻滾笑然尋墓官該淚前蘭所麻禮清等,18,18,0.166,郎,ok
M2_0154,而,而,而,而,而如徐塟中化正姬幸居君年呢事庫帶世間理,19,18,0.1763,而,ok
M2_0155,晉,焉,晉,晉,焉算般意而房晉焉先罪查如双麼打特賊后批火何,21,20,0.1715,女,ok
M2_0156,魏,魏,魏,魏,鬼煜震主恐除官我私江真魏等要爾打散後打,19,19,0.1612,理,ok
M2_0157,事,玄,玄,事,旦欺曰年觀事玄反壽更主奉吏來堪事玄世周常朱,21,21,0.1749,兹,ok
M2_0158,左,左,左,左,欽求願建廣鬼体得陰存涅而左壽奴而祈朱尋猶尼,21,20,0.1527,左,ok
M2_0159,詩,詩,詩,詩,德碎於中丑主碎欺化哈各言祗陰教麻拖收聽尋詩灵,22,22,0.1915,詩,ok
M2_0160,氏,氏,氏,氏,奴連邦廉拠哭几特甚共可特仍事選女如喪各氏,20,20,0.1637,氏,ok
M2_0161,收,收,收,收直,曰書從來谷每后餘朱天下別碎約廟召孤為衍主直收群,23,23,0.1527,敢,ok
M2_0162,清,清,清,清,歇古常折歌尋些中化双清德主房朱守三偶,18,18,0.1252,爵,ok
M2_0163,化,化,化,化分,八歇辰巴時仍及得壽天下之毘折歇為分化異務夏,21,21,0.147,入,ok
M2_0164,,異,異,,油蘇些推在旦實罪事席理公到尋公明輩異圣天神,21,21,0.1739,異,ok
M2_0165,及,及,及,及,特公近歲固義吞及教尼永尾詩直麗習辰,17,17,0.1549,入,ok
M2_0166,准,准,准,准,代命至禮郡達中居窮凌沙固爵尋而官頗用准帥重,21,21,0.1567,准,ok
M2_0167,俸,俸,俸,俸,便恪占異臣折香錶颺於奴俸祝連坦興堪畢特,19,19,0.1148,俸,ok
M2_0168,分,分,分,分,丰經共朱姬垂牌歌罪懼怒共鐵百毒碑真共分,19,19,0.2025,歹,ok
M2_0169,梁,梁,梁,梁,仅展梁哥珠雖包把朱碎者碎庄拜毫事德主介,19,19,0.1992,探,ok
M2_0170,異,異,異,異,而福尼來衆歷異几新為通谷亮最犀時靜究衛低,20,20,0.1301,異,ok
M2_0171,臺,臺,臺,臺,拖爾等鬼而神奴廉漸君而有蓮流天臺,16,16,0.1296,孝,ok
M2_0172,更,更,更,更,更主支秋真數碎是庄來調之弄女共真而左麻庄特,21,22,0.1908,好,ok
M2_0173,罡,罡,罡,罡,如至危生罡於城何黍山發何中語我支躲麻停道表,21,20,0.1763,䍐,ok
M2_0174,齋,齋,齋,齋,其德主齋半想曰欺云連辰主有屏為女四切由殺,20,20,0.1388,裔,ok
M2_0175,流,流,流,流,虛禮臣固豫市象正誥麻庄渴流平碎眉召庫為,19,19,0.1497,裙,ok
M2_0176,,虎,,,秋我護庄事斫眉虎鬼君庄皆先產化運象多曰昔,20,21,0.1848,覺,ok
M2_0177,尼,尼,尼,尼,至諸押碑而役尼而之走廟准屢欺清固旦尼席几劫麻奴,23,23,0.2103,辰,ok
M2_0178,啓,啓,啓,啓,蔑吝啓妻困稟吐嘗姬翁至樞餘來年聽等弄懇,19,19,0.1674,磁,ok
M2_0179,艦,艦,艦,艦,聽其庫欺旦長壽置時艦孟無尋論王趨等些恨,19,21,0.1788,暱,ok
M2_0180,吞,吞,吞,吞,該師衣結道知主吞廩麻得興連晦弇固役之低景疎宸,22,22,0.1772,吞,ok
M2_0181,常,常,常,常,判共昆先異發歌移禮是百架常燒初是,16,17,0.171,常,ok
M2_0182,,伏,伏,,共欺葬拱畢多景麻奴假甘復怪至命垂伏辰由正詎害,22,22,0.1639,似,ok
M2_0183,顧,顧,顧,顧,稟為扶歲几尼歲命朱天下政餘而正欺顧身,18,18,0.1634,𧘻,ok
M2_0184,,靜,,,帝特教靜置這代旦得葬景真茲來体西生壽也,19,19,0.1763,醉,ok
M2_0185,朱,點,朱,朱,几庫也等化因義等改朱點履黃真求共德主矛,19,19,0.1799,鄂,ok
M2_0186,也,也,也,也,真麻於帝安雖罪命也犯得點壬尋於帝如厚命欺舞,21,21,0.1706,先,ok
M2_0187,豫,色,豫,豫,得預席運陵麻印飛豫色爾徐各至押書興麻遣而禮,21,21,0.154,𮎛,ok
M2_0188,諸,諸,諸,諸,僥職結求官置特戰化仍麻得達跂懷征而官諸,19,19,0.1643,诸,ok
M2_0189,者,者,者,者,庫共官舜特嘗麻府卦官戒色烟体庄煙者城幼歌悲,21,21,0.2545,毒,ok
M2_0190,前,前,前,前,前等共蘇鬼究茲貝官体尋后正壽後仍麻在,18,18,0.1364,甫,ok
M2_0191,直,正,直,直正,民在特辱巍罪直正欺等曰無廚所每役几因通能,20,21,0.2556,石,ok
M2_0192,命,命,命,命,聯更倚官化祖複命麻關發詩等庄怪鶴真先罪,19,19,0.1318,𠇭,ok
M2_0193,生,在,生,生,奇常棄弄而主丞廩商在生差麻得葬尋學行曉字遠,21,21,0.1247,在,ok
M2_0194,左,左,左,左,左几云折仍花德主喬麗時席凡周格公,16,16,0.1483,左,ok
M2_0195,馬,馬,馬,馬,囚落者体尋正鬼瑟歸麻垂天神征馬朱官運明尋麻,21,21,0.1373,𫠉,ok
M2_0196,運,罡,運,運,定置宜麻真梅運罡等固不德於運積而曰任軍命無信,22,22,0.1363,罡,ok
M2_0197,遠,遠,遠,遠,特海言唐由中道垂更主奉壽困特共奇常遠,18,18,0.1622,流,ok
M2_0198,問,問,問,問,双為罢安意真奈者得置願徵奏辰恩德主爾問,19,19,0.1561,周,ok
M2_0199,無,無,無,無,連於饒几因通仍曰無共是即重麻言多辰車如拿達,21,21,0.1434,𭴾,ok
M2_0200,意,云,意,意,年歌默襖連年堵如染卯丕把至意云計事庫向左也,21,21,0.2225,𡰱,ok
M2_0201,,倒,仍,,連多耶時旦敗也生時完尋底姜爾在生虛多參年仍倒去,23,23,0.0987,匈,ok
M2_0202,尋,尋,尋,尋,故煙卢敗書時強明數葬妄女尋別事庫正事緒旦同攻,22,22,0.1606,𭔿,ok
M2_0203,蜜,蜜,蜜,蜜,於中路麻庄煙尋意同法除蜜多麻諸尋些庄別意調,21,21,0.1097,奎,ok
M2_0204,令,令,令,令,碎鬼同饒吝感牲几置乞若德主爾未特補事令政清異,22,22,0.1602,爷,ok
M2_0205,視,視,視,視,瑪遙尋旦尼各翁跪庵禮預翁皇記之然視礼麻寺勸爾呂,23,23,0.1532,禊,ok
M2_0206,安,安,安,安,凭置時翁皇意安慰哥翁浪翁考歷故初忘昭山來來勁堯,23,23,0.1554,仔,ok
M2_0207,淫,淫,淫,淫,碑閣於低連自意術葬故兩所歸特每葛共於云榦行淫朱,23,23,0.1733,渥,ok
M2_0208,品,品,品,品,欽古品寶來朱晁麻末功為德主爾閣底朱尋此裕,20,20,0.2083,兹,ok
M2_0209,,,,,尋歷悶名庫坎女女尋云死為道葺多指逢爾代之庄,21,22,0.148,肆,ok
M2_0210,向,向,向,向朱,少多左燈意向朱創朗為特宿卒連每去帶坦,18,18,0.1237,而,ok
M2_0211,必,召,必,必召,朱年至節末麻尋云丕卷朗固几夢懷牢吧必召廩而不等尋,24,24,0.1218,𡰱,ok
M2_0212,,而,,,直而朱碎止政爾尋庄者麻至辰碑畏几國罪饒辛而礼爾,23,24,0.1592,紏,ok
M2_0213,是,是,是,是,發軍幾也殿盡多其以饒最餘置因受去國几頌斜皇亮是,23,23,0.1012,皇,ok
M2_0214,至,至,至,至,翁皇平于楚為止翁至年翁發翁立翁至瑪,17,19,0.1178,皇,ok
M2_0215,甫,甫,甫,甫,占甫命舞女樂意先於虞我朱尋云麻震初尼采勸冢汝旦,23,23,0.1281,雨,ok
M2_0216,初,初,初,初,如那隆都及尋在悶爾惡時尋朱麻浪思國法飭油皇初,22,22,0.1384,𭃡,ok
M2_0217,術,術,術,術,肆特或該答本通寧葉弄倦主爾云須發見於古術齋生布,23,24,0.1071,叔,ok
M2_0218,連,卯,連,連,為命而事為得畧何連卯切折尋止已尋怪國道汶尋畏歌牢,24,24,0.1569,我,ok
M2_0219,希,希,希,希,個煩尋吏麻晦包那群意畧命宅体希尋練辰奏爾,20,20,0.1853,希,ok
M2_0220,宋,爾,宋,宋爾,笑起灵鬼宋爾連欲合爾察原碑耶公之舍同体書,20,20,0.1246,例,ok
M2_0221,代,代,代,代,民社双看宣朱別沛去德主爾改亦向福生運代底為運,22,22,0.1321,我,ok
M2_0222,行,行,行,行,履尋年責浪因牢北嘗在行法中通朱得文包房而之尋,22,22,0.1296,𬽣,ok
M2_0223,之,之,之,之,命向立直之罰各米連來辰衆碎庄敢察事樂奇運欲各辛為,24,24,0.1646,及,ok
M2_0224,化,之,化,化,灵鬼極創延意運尼每福德朱特朽化之開除吒更本鬼,22,22,0.1674,之,ok
