sample_id,kinh_n,kinh_text,pipe_text,pipe_n_boxes,pipe_sec,pipe_boxes,pipe_ori_text,pipe_ori_n_boxes,pipe_ori_sec,pipe_ori_boxes,pipe_rot90ccw_text,pipe_rot90ccw_n_boxes,pipe_rot90ccw_sec,pipe_rot90ccw_boxes,pipe_up2_text,pipe_up2_n_boxes,pipe_up2_sec,pipe_up2_boxes,rec_rot90ccw_text,rec_rot90ccw_sec,rec_rot90cw_text,rec_rot90cw_sec
M4_10,24,弄乇夷時㝵迹没俗欺以率丕𬼘有徳主爾罰肺生塊𮎛妻生,弄美寻直联在主庄,1,4.054,"[[[0, 0], [120, 0], [114, 2117], [0, 2117]]]",弄美寻直联在主庄,1,3.656,"[[[0, 0], [120, 0], [114, 2117], [0, 2117]]]",弄寻直联在毒德王庄姜,1,2.614,"[[[0, 0], [2110, 12], [2109, 120], [0, 114]]]",弄美呼寻直没联|库在德王庄姜,2,15.649,"[[[0, 0], [240, 0], [240, 1822], [0, 1821]], [[0, 1702], [240, 1703], [240, 4234], [0, 4234]]]",弄美寻直联在主庄,0.399,,0.504
M4_11,21,乕風波况竈歇越邁艣将漂多厉奴屍其寺在媿鍾几,風波洗歇志通路漂交味庄思几,1,1.631,"[[[0, 6], [90, 7], [79, 1397], [0, 1396]]]",風波洗歇志通路漂交味庄思几,1,1.515,"[[[0, 6], [90, 7], [79, 1397], [0, 1396]]]",沛风游歇通路漂交后滋味庄思几,1,1.403,"[[[12, 4], [1392, 12], [1392, 90], [12, 82]]]",沛风歌越路漂交后诺思几,1,8.213,"[[[0, 0], [180, 0], [177, 2798], [0, 2798]]]",沛风歌越路漂交后诺思几,0.466,,0.249
M4_12,22,書㐌所𡻕𫞹尼在班店翁𦤳挑鲁現勻共㝵保浪㐌祧共,書新发在班店翁挑其旱浪,1,2.058,"[[[5, 11], [77, 12], [63, 1384], [0, 1383]]]",書新发在班店翁挑其旱浪,1,1.3,"[[[5, 11], [77, 12], [63, 1384], [0, 1383]]]",書新发在班店挑其导保浪,1,2.43,"[[[15, 5], [1382, 15], [1381, 81], [14, 72]]]",書新成麻班店翁其导展,1,5.481,"[[[0, 12], [164, 13], [148, 2772], [0, 2771]]]",書新麻班店提其保展,0.354,,0.4
M4_13,22,寺補庄朱於篇兵本適實女雄丐瑜耒生翁朱捕尾眞論,等補庄朱共本文翰来庄朱持尾其論,1,2.595,"[[[4, 9], [82, 9], [86, 1438], [8, 1438]]]",等補庄朱共本文翰来庄朱持尾其論,1,8.091,"[[[4, 9], [82, 9], [86, 1438], [8, 1438]]]",寺補庄朱本文来庄捕尾真論,1,2.085,"[[[10, 1], [1440, 0], [1440, 75], [10, 80]]]",寺補左朱本文翰来庄朱捕尾真論,1,7.058,"[[[0, 8], [172, 8], [172, 2875], [4, 2875]]]",寺補左朱秦本通文翁来朱捕尾真論,0.41,,0.273
M4_14,22,哈𥙷每事𠀍間麻燒与莒四㝵屬代旦欺柴𠇮色建天堂,台神母事世間麻四早代旦柴色天堂,1,3.787,"[[[3, 2], [120, 2], [120, 2039], [8, 2039]]]",台神母事世間麻四早代旦柴色天堂,1,4.435,"[[[3, 2], [120, 2], [120, 2039], [8, 2039]]]",台母事世間麻四早代旦柴趣天堂,1,3.498,"[[[3, 0], [2039, 0], [2039, 112], [3, 118]]]",哈|補母事世間|麻焼|白四早||代旦欺|架|分|色|建|天堂,11,15.442,"[[[33, 21], [219, 24], [216, 189], [30, 186]], [[0, 148], [240, 148], [240, 1114], [0, 1114]], [[17, 1078], [238, 1073], [240, 1509], [27, 1513]], [[20, 1416], [240, 1415], [240, 2181], [23, 2182]], [[39, 2095], [239, 2095], [239, 2445], [39, 2445]], [[0, 2345], [240, 2345], [240, 2963], [0, 2963]], [[48, 2964], [237, 2964], [237, 3166], [48, 3166]], [[63, 3103], [237, 3116], [217, 3353], [44, 3340]], [[28, 3291], [218, 3274], [240, 3540], [54, 3556]], [[54, 3512], [209, 3487], [240, 3665], [85, 3690]], [[49, 3699], [240, 3714], [240, 4078], [22, 4067]]]",台補母事世間麻四早代旦柴色趣天堂,0.688,,0.317
M4_15,21,磊申折以之仍麻翁垩安移干庒朱呌麻昇洋於賖㐌,磊申折之麻翁里安发干朱叶麻寻烊旅,1,3.802,"[[[0, 0], [117, 0], [116, 2044], [0, 2044]]]",磊申折之麻翁里安发干朱叶麻寻烊旅,1,4.127,"[[[0, 0], [117, 0], [116, 2044], [0, 2044]]]",磊申折之麻翁里安发干朱叶麻寻烊旅,1,3.019,"[[[0, 0], [2044, 0], [2044, 117], [0, 117]]]",申折之门|麻|翁里|安|干朱|叶|麻寻烊旅,7,12.48,"[[[0, 0], [234, 0], [234, 1183], [0, 1185]], [[4, 1069], [213, 1067], [216, 1339], [7, 1342]], [[3, 1296], [234, 1294], [234, 1782], [7, 1784]], [[0, 1739], [227, 1745], [215, 2202], [0, 2196]], [[0, 2159], [234, 2155], [234, 2803], [1, 2807]], [[12, 2767], [232, 2761], [234, 3006], [19, 3012]], [[0, 2888], [234, 2887], [234, 4088], [0, 4088]]]",磊申折之麻翁里安发干朱叶麻寻烊旅,0.523,,0.643
M4_16,21,時語寽𫟒感吏戰擦真昇避庻邲每沚竈垣凜几佇伎,時話早楼真早每几,1,3.836,"[[[0, 3], [136, 3], [136, 2092], [0, 2092]]]",時話早楼真早每几,1,3.716,"[[[0, 3], [136, 3], [136, 2092], [0, 2092]]]",時話早楼真早每电几,1,3.647,"[[[3, 0], [2098, 2], [2098, 136], [3, 136]]]",時|語|是|梁吏|花楼|真早趣|麻|每垣几设,8,144.043,"[[[8, 19], [242, 19], [242, 257], [8, 257]], [[5, 199], [239, 199], [239, 489], [5, 489]], [[14, 392], [228, 384], [238, 639], [23, 647]], [[0, 606], [272, 607], [272, 1316], [0, 1315]], [[2, 1224], [272, 1220], [272, 1709], [10, 1713]], [[0, 1563], [272, 1566], [272, 2298], [0, 2296]], [[24, 2274], [263, 2274], [263, 2552], [24, 2552]], [[0, 2443], [272, 2443], [272, 4196], [0, 4196]]]",時話早走楼真早每几,0.553,本,0.367
M4_17,22,皇太子明各柴凜退㴱仪乞除明時璃桃冼丕因欺榮尼,皇太子明各柴退污仪巨除明時离桃王国欺,1,2.872,"[[[0, 2], [137, 1], [141, 2062], [14, 2062]]]",皇太子明各柴退污仪巨除明時离桃王国欺,1,3.437,"[[[0, 2], [137, 1], [141, 2062], [14, 2062]]]",皇太子明各柴退巨除明時不固欺,1,2.932,"[[[5, 0], [2062, 0], [2062, 133], [6, 141]]]",皇太子|明各|柴|退仪明時离|烧|圣固欺,6,171.464,"[[[0, 0], [282, 0], [282, 595], [0, 595]], [[4, 486], [270, 474], [282, 957], [23, 969]], [[40, 911], [252, 911], [252, 1190], [40, 1190]], [[0, 1050], [282, 1039], [282, 3108], [35, 3120]], [[84, 2997], [279, 2997], [279, 3242], [84, 3242]], [[24, 3179], [282, 3182], [282, 4124], [14, 4124]]]",皇太子明各柴退巨明离桃王固欺,0.224,,0.167
M4_18,22,䏷娄浄困凜麻翁宋碎厶仕守時悶朱秤浄因座歇仕油,得娄困麻翁宋阵時朱困建歇仕,1,3.021,"[[[0, 3], [119, 3], [116, 2085], [0, 2085]]]",得娄困麻翁宋阵時朱困建歇仕,1,2.383,"[[[0, 3], [119, 3], [116, 2085], [0, 2085]]]",特娄困麻翁宋|時間朱拜涕國建歇仕油,2,2.935,"[[[9, 6], [1155, 10], [1154, 115], [9, 111]], [[1128, 0], [2085, 0], [2085, 119], [1127, 119]]]",得娄困读麻|翁宋降|時朱泽涕國座|t|歇|仕油,6,102.23,"[[[0, 0], [238, 0], [238, 1234], [0, 1235]], [[0, 1109], [238, 1108], [238, 2314], [0, 2316]], [[0, 2227], [238, 2227], [238, 3673], [0, 3673]], [[175, 2251], [227, 2244], [237, 2317], [184, 2324]], [[13, 3631], [238, 3670], [226, 3917], [0, 3878]], [[0, 3805], [238, 3805], [238, 4170], [0, 4170]]]",娄困麻翁宋降朱拜歇仕,0.355,,0.239
M4_19,23,𮧻寄共生時麻早拈売共哭咬燒聘爲末吒㚑魂命断㝵畧,奇共生时麻早招壳共奖吹烧晖末灵魂命数早,1,1.558,"[[[0, 3], [111, 3], [111, 2089], [5, 2089]]]",奇共生时麻早招壳共奖吹烧晖末灵魂命数早,1,1.998,"[[[0, 3], [111, 3], [111, 2089], [5, 2089]]]",奇共生时麻早招壳奖烧晖末灵魂命数早,1,1.579,"[[[2, 0], [2089, 0], [2089, 104], [2, 111]]]",|共生時|麻早招壳|哭吹|烧||末|美|2|早|界,11,105.518,"[[[0, 1], [222, 1], [222, 395], [0, 395]], [[1, 348], [222, 351], [222, 908], [0, 906]], [[0, 834], [222, 826], [222, 1874], [21, 1881]], [[55, 1761], [221, 1761], [221, 2187], [55, 2187]], [[61, 2107], [209, 2107], [209, 2336], [61, 2336]], [[29, 2356], [194, 2306], [222, 2465], [72, 2515]], [[30, 2443], [222, 2442], [222, 3058], [33, 3059]], [[70, 3031], [204, 3031], [204, 3209], [70, 3209]], [[103, 3224], [178, 3235], [164, 3338], [88, 3326]], [[89, 3760], [220, 3772], [204, 3961], [74, 3949]], [[81, 3922], [222, 3922], [222, 4170], [81, 4170]]]",共生时麻早搭壳奖烧晖末灵魂命数早,0.422,,0.293
