sample_id,kinh_n,kinh_text,pipe_text,pipe_n_boxes,pipe_sec,pipe_boxes,pipe_ori_text,pipe_ori_n_boxes,pipe_ori_sec,pipe_ori_boxes,pipe_rot90ccw_text,pipe_rot90ccw_n_boxes,pipe_rot90ccw_sec,pipe_rot90ccw_boxes,pipe_up2_text,pipe_up2_n_boxes,pipe_up2_sec,pipe_up2_boxes,rec_rot90ccw_text,rec_rot90ccw_sec,rec_rot90cw_text,rec_rot90cw_sec
M4_10,24,弄乇夷時㝵迹没俗欺以率丕𬼘有徳主爾罰肺生塊𮎛妻生,弄陀美時尋宜沒公欺卒丕政爾德主爾罰沛生思巳妻生,1,1.34,"[[[5, 0], [116, 0], [105, 2117], [0, 2117]]]",弄陀美時尋宜沒公欺卒丕政爾德主爾罰沛生思巳妻生,1,1.137,"[[[5, 0], [116, 0], [105, 2117], [0, 2117]]]",弄吒美時尋宜及公欺率丕政爾德主爾罰肺生鬼巳妻生,1,0.978,"[[[1, 0], [2117, 12], [2116, 120], [0, 111]]]",弄吒美時尋宜沒哈欺率丕政爾德主爾罰沛生鬼巳妻生,1,3.457,"[[[0, 0], [240, 0], [235, 4234], [0, 4234]]]",弄吒焚時尋宜沒吃欺率丕正爾德主爾罰沛生思巳妻生,0.182,与适市宇民院堂局居房全,0.173
M4_11,21,乕風波况竈歇越邁艣将漂多厉奴屍其寺在媿鍾几,沛風波沉宣歇志邁墉格漂多陽奴法真時庄忽鍾几,1,0.621,"[[[2, 2], [86, 2], [76, 1399], [0, 1398]]]",沛風波沉宣歇志邁墉格漂多陽奴法真時庄忽鍾几,1,0.768,"[[[2, 2], [86, 2], [76, 1399], [0, 1398]]]",沛風波沉竈歇志邁鴈格漂多陽奴法真時庄忽鍾几,1,0.709,"[[[9, 5], [1397, 18], [1396, 90], [9, 80]]]",沛風波沉賓歇志蓮墉格漂多陽故滋真時庄忽鍾几,1,2.136,"[[[0, 0], [180, 2], [161, 2798], [0, 2798]]]",沛風波沉賓歇志蓮墉格漂多陽奴流真時庄忽鍾几,0.189,海务务市成成有,0.159
M4_12,22,書㐌所𡻕𫞹尼在班店翁𦤳挑鲁現勻共㝵保浪㐌祧共,書也新啟吃尼麻班店翁皇桃雲現旦共尋保辰也祐共,1,0.646,"[[[4, 3], [78, 4], [68, 1389], [0, 1388]]]",書也新啟吃尼麻班店翁皇桃雲現旦共尋保辰也祐共,1,0.682,"[[[4, 3], [78, 4], [68, 1389], [0, 1388]]]",書也所從吟尼在班店公翁皇桃雲現旦共尋保辰近祕共,1,0.668,"[[[7, 4], [1387, 15], [1386, 82], [6, 73]]]",書也所啟吟尼在班店翁皇批雲現旦共尋保辰也福共,1,1.456,"[[[0, 14], [157, 14], [145, 2778], [0, 2778]]]",書也所徵吟尼在班店翁皇桃雲現三共尋保辰也祿安,0.182,明房宁府民房光市后安居司,0.152
M4_13,22,寺補庄朱於篇兵本適實女雄丐瑜耒生翁朱捕尾眞論,時補庄朱於焉共本遺實文如否翁來庄翁朱捕尾真論,1,0.631,"[[[6, 5], [82, 5], [86, 1442], [11, 1442]]]",時補庄朱於焉共本遺實文如否翁來庄翁朱捕尾真論,1,0.681,"[[[6, 5], [82, 5], [86, 1442], [11, 1442]]]",時補左朱於為共本道實文如丐翁來庄翁朱捕尾真論,1,0.779,"[[[11, 5], [1437, 0], [1437, 68], [11, 74]]]",時補庄朱於齋共本遺實文如丐翁來庄翁朱捕尾真論,1,1.835,"[[[0, 12], [172, 11], [172, 2884], [13, 2884]]]",時補左朱於為共本遺實文如丐翁來庄翁朱捕尾真論,0.189,府浦学务务民务局务明,0.181
M4_14,22,哈𥙷每事𠀍間麻燒与莒四㝵屬代旦欺柴𠇮色建天堂,哈補每事世間麻燒向若四早命代旦欺架命色天堂,1,1.341,"[[[6, 0], [120, 0], [120, 2039], [12, 2039]]]",哈補每事世間麻燒向若四早命代旦欺架命色天堂,1,1.21,"[[[6, 0], [120, 0], [120, 2039], [12, 2039]]]",哈補每事世間麻燒向言四是命代旦欺架命色迴天堂,1,1.3,"[[[1, 0], [2039, 0], [2039, 109], [1, 113]]]",哈補安事世間麻燒向莒四是命代旦欺架命色與天堂,1,3.812,"[[[0, 0], [240, 0], [240, 4078], [1, 4078]]]",哈補安事世間麻燒向莒四是命代旦欺架命色與天堂,0.15,全民创局局局司,0.152
M4_15,21,磊申折以之仍麻翁垩安移干庒朱呌麻昇洋於賖㐌,磊申折白之仍麻翁垂安殺于走朱呌麻尋烊於賒也,1,1.205,"[[[1, 0], [117, 0], [115, 2044], [0, 2044]]]",磊申折白之仍麻翁垂安殺于走朱呌麻尋烊於賒也,1,1.179,"[[[1, 0], [117, 0], [115, 2044], [0, 2044]]]",磊申折白之仍麻翁里安殺于走朱呌麻尋烊於賒近,1,0.996,"[[[0, 0], [2044, 0], [2044, 117], [0, 117]]]",磊申折白之仍麻翁垂安殺于走朱呌麻尋烊於賒近,1,3.032,"[[[0, 0], [234, 0], [234, 4088], [0, 4088]]]",磊申折白之仍麻翁里安殺于走朱呌麻尋烊於賒近,0.162,公市学堂务学市务市安局司,0.171
M4_16,21,時語寽𫟒感吏戰擦真昇避庻邲每沚竈垣凜几佇伎,時語畀筆風吏戰撩真早漸臨卻每阯竈迴凜几停役,1,1.076,"[[[0, 5], [136, 5], [136, 2098], [0, 2098]]]",停局意理局局司务公,1,1.134,"[[[0, 5], [136, 5], [136, 2098], [0, 2098]]]",時語畀筆風吏戰撩真早漸廟卻每阯竈恒凜几停役,1,1.007,"[[[1, 0], [2098, 0], [2098, 136], [1, 136]]]",時語畀筆處吏戰撩真早漸廟卻每阯竈迴凜几停役,1,3.822,"[[[0, 0], [272, 0], [272, 4196], [0, 4196]]]",時語畀筆處吏戰撩真早漸廟卻每阯竈迴凜几停役,0.148,停德通地局心分务,0.146
M4_17,22,皇太子明各柴凜退㴱仪乞除明時璃桃冼丕因欺榮尼,皇太子明各榮凜退淚化巨除明時舊樞燒丕固欺華尼,1,1.042,"[[[4, 0], [141, 0], [141, 2062], [15, 2062]]]",皇太子明各榮凜退淚化巨除明時舊樞燒丕固欺華尼,1,1.256,"[[[4, 0], [141, 0], [141, 2062], [15, 2062]]]",皇太子明各某廩退湧化包除明時福樞燒丕固欺華尼,1,0.979,"[[[1, 0], [2062, 0], [2062, 125], [2, 138]]]",皇太子明各等廩退淚化巨除明時福樞燒丕固欺華尼,1,4.644,"[[[0, 0], [282, 0], [282, 4124], [0, 4124]]]",皇太子明各榮廩退淚化包除明時福樞燒丕固欺華尼,0.2,全民市创务局,0.142
M4_18,22,䏷娄浄困凜麻翁宋碎厶仕守時悶朱秤浄因座歇仕油,釋娄涕困梁麻翁宋碎仕罰時悶朱拜涕國連歇仕油,1,1.095,"[[[1, 0], [119, 0], [115, 2085], [0, 2085]]]",釋娄涕困梁麻翁宋碎仕罰時悶朱拜涕國連歇仕油,1,1.19,"[[[1, 0], [119, 0], [115, 2085], [0, 2085]]]",驛娄涕困梁麻翁宋碎仕寄時問朱拜涕國連歇仕油,1,0.823,"[[[1, 0], [2085, 3], [2085, 119], [1, 113]]]",驛姿涕困梁麻翁宋碎仕寄時問朱拜涕國連歇仕油,1,2.851,"[[[0, 0], [238, 0], [238, 4170], [0, 4170]]]",驛姿涕困梁麻翁宋碎仕寄時問朱拜涕國連歇仕油,0.149,明心路务局院民务念,0.142
M4_19,23,𮧻寄共生時麻早拈売共哭咬燒聘爲末吒㚑魂命断㝵畧,麾寄共生時麻畢拮虎共哭吹燒為末吒灵魂命斷旱畧,1,0.78,"[[[6, 2], [110, 2], [111, 2089], [17, 2089]]]",麾寄共生時麻畢拮虎共哭吹燒為末吒灵魂命斷旱畧,1,1.463,"[[[6, 2], [110, 2], [111, 2089], [17, 2089]]]",龍寄共生時麻畢措虎共哭咬澆得為末吒灵魂命斷旱畧,1,1.641,"[[[3, 0], [2089, 0], [2089, 90], [3, 101]]]",麾寄共生時麻畢拮虎共哭吹燒為末吒灵魂命斷旱畧,1,4.206,"[[[0, 0], [222, 0], [222, 4178], [19, 4178]]]",麾寄共生時麻畢拮虎共哭吹燒得為末吒灵魂命斷旱畧,0.204,里民民房居民民房安学园,0.224
