sample_id,pred,score,sec,n_boxes
M1_0108,酒,0.0709,1.8045,1
M1_0109,,0.0,1.4472,1
M1_0110,他主,0.3854,1.0518,1
M1_0111,太爵,0.418,1.5208,1
M1_0112,傅,0.7621,1.2549,1
M1_0113,魂,0.2669,2.0683,1
M1_0114,化詩,0.4003,1.8235,1
M1_0115,與,0.5388,1.8693,1
M1_0116,朱,0.7109,1.4308,1
M1_0117,役,0.748,1.6464,1
M1_0118,诺,0.2113,1.3534,1
M1_0119,旦,0.2493,1.5769,1
M1_0120,,0.0,2.0861,1
M1_0121,底,0.5422,1.4709,1
M1_0122,田代,0.7339,1.0378,1
M1_0123,之,0.9344,1.0342,1
M1_0124,言及,0.4012,1.5517,1
M1_0125,中,0.9962,1.5629,1
M1_0126,悲,0.2759,1.4921,1
M1_0127,因,0.5559,1.7599,1
M1_0128,辛垂,0.2061,1.2587,1
M1_0129,英,0.3346,1.4958,1
M1_0130,重,0.999,1.4958,1
M1_0131,水,0.1302,1.3572,1
M1_0132,右生,0.3143,1.0768,1
M1_0133,地王,0.2348,1.5769,1
M1_0134,,0.0,1.2058,1
M1_0135,詩,0.1366,1.1051,1
M1_0136,如甘,0.3653,0.9777,1
M1_0137,恩,0.9978,1.1583,1
M1_0138,元,0.4052,1.5916,1
M1_0139,特土,0.5513,1.3218,1
M1_0140,山,0.7808,1.8758,1
M1_0141,停,0.1003,1.5064,1
M1_0142,碎,0.5573,1.5699,1
M1_0143,基,0.5144,1.3973,1
M1_0144,水,0.1339,1.1273,1
M1_0145,連,0.9689,1.1502,1
M1_0146,下,0.4468,1.5582,1
M1_0147,回,0.1552,1.8524,1
M1_0148,支,0.8328,1.5208,1
M1_0149,語,0.7975,1.6165,1
M1_0150,造,0.1875,1.1815,1
M1_0151,李来,0.2927,1.6322,1
M1_0152,命,0.2858,1.0673,1
M1_0153,慧,0.2174,1.273,1
M1_0154,政家,0.5335,0.9318,1
M1_0155,导,0.9646,1.1578,1
M1_0156,女,0.992,1.7142,1
M1_0157,四,0.5781,1.3036,1
M1_0158,菜,0.2191,1.4116,1
M1_0159,寒,0.0645,1.6747,1
M1_0160,也,0.9057,1.1546,1
M1_0161,年,0.7565,1.1525,1
M1_0162,特,0.9997,1.3908,1
M1_0163,野引,0.1638,1.4777,1
M1_0164,芝,0.4286,1.6665,1
M1_0165,晨,0.2709,1.8581,1
M1_0166,麻,0.9857,2.3313,1
M1_0167,烯湖,0.2268,1.4555,1
M1_0168,我,0.8357,1.8156,1
M1_0169,甲生三,0.3062,2.5774,1
M1_0170,,0.0,2.0041,1
M1_0171,事,0.8249,2.5573,1
M1_0172,使心,0.4731,2.469,1
M1_0173,2事,0.1738,2.2248,1
M1_0174,李,0.2064,2.7644,1
M1_0175,周,0.2254,1.9015,1
M1_0176,你,0.4849,1.7646,1
M1_0177,自,0.2822,1.65,1
M1_0178,八,0.448,2.5998,1
M1_0179,太,0.3083,1.9521,1
M1_0180,母得,0.3947,2.9185,1
M1_0181,迈,0.4809,2.03,1
M1_0182,舞,0.1029,2.5587,1
M1_0183,景,0.4456,2.652,1
M1_0184,三德,0.1782,1.3005,1
M1_0185,好,0.193,2.5689,1
M1_0186,也,0.7988,1.3363,1
M1_0187,狮,0.7693,2.6533,1
M1_0188,1,0.4147,2.897,1
M1_0189,丁吞,0.4594,2.2642,1
M1_0190,西,0.096,2.4873,1
M1_0191,博卷,0.0669,2.4289,1
M1_0192,四老,0.3884,2.7428,1
M1_0193,诸,0.8725,1.7918,1
M1_0194,F,0.5832,2.5728,1
M1_0195,歌,0.7098,2.0914,1
M1_0196,策,0.0515,2.2908,1
M1_0197,,0.0,1.6424,1
M1_0198,爷,0.9041,2.4278,1
M1_0199,欺,0.6709,2.1014,1
M1_0200,碑,0.8925,1.1148,1
M1_0201,八連,0.3643,0.9035,1
M1_0202,二,0.5164,0.7305,1
M1_0203,塞,0.4171,1.1528,1
M1_0204,玉,0.6164,0.9124,1
M1_0205,三,0.3708,1.0355,1
M1_0206,2意,0.1435,1.23,1
M1_0207,澡、,0.6456,0.7827,1
M1_0208,答,0.9331,0.5914,1
M1_0209,JU211),0.4961,1.0477,2
M1_0210,此笨,0.4564,0.5944,1
M1_0211,目照,0.2717,0.7955,1
M1_0212,印重,0.5073,0.712,1
M1_0213,葛苞,0.7574,0.7553,1
M1_0214,公四云,0.5669,0.6009,1
M1_0215,致,0.7078,0.5951,1
M1_0216,上生,0.3034,0.9998,1
M1_0217,答,0.468,0.8294,1
M1_0218,九庄,0.806,1.0739,1
M1_0219,宜,0.774,0.7039,1
M1_0220,尼,0.9608,0.3661,1
M1_0221,重,0.839,0.5178,1
M1_0222,事,0.5534,0.5208,1
M1_0223,导,0.3115,0.6725,1
M1_0224,重,0.9734,0.7186,1
M1_0225,特,0.9932,0.6226,1
M1_0226,連,0.9472,1.1186,1
M1_0227,邓宏,0.1685,0.5196,1
M1_0228,太森,0.6191,0.759,1
M1_0229,考,0.2719,0.4741,1
M1_0230,元,0.2903,0.5595,1
M1_0231,J,0.548,0.8352,1
M1_0232,从,0.9527,0.5906,1
M1_0233,域,0.1101,0.5728,1
M1_0234,过49,0.142,0.962,3
M1_0235,藥,0.2289,0.7963,1
M1_0236,s麻,0.429,0.7325,1
M1_0237,员,0.3751,0.8934,1
M1_0238,1：,0.6065,0.8036,1
M1_0239,碌的,0.1837,0.6048,1
M1_0240,八双,0.8322,0.5365,1
M1_0241,四四,0.3093,0.7528,1
M1_0242,生,0.9985,0.4981,1
M1_0243,與,0.5582,0.8003,1
M1_0244,德,0.715,0.9216,1
M1_0245,欲,0.2893,0.8003,1
M1_0246,七,0.7668,0.7425,1
M1_0247,发女,0.1467,0.8015,1
M1_0248,天,0.9451,0.766,1
M1_0249,色,0.6481,0.5577,1
M1_0250,餘,0.7427,0.3996,1
M1_0251,四,0.6764,0.7241,1
M1_0252,慢,0.2044,0.6996,1
M1_0253,自,0.9999,0.4137,1
M1_0254,杰化,0.5395,0.6635,1
M1_0255,,0.0,0.614,1
M1_0256,圣,0.2763,0.7105,1
M1_0257,十,0.6291,0.4891,1
M1_0258,山住,0.2896,0.4688,1
M1_0259,写何,0.2958,0.73,1
M1_0260,回斯,0.1084,0.9351,1
M1_0261,浪,0.9202,0.5449,1
M1_0262,代主,0.3697,0.9054,1
M1_0263,代,0.2324,0.5645,1
M1_0264,其,0.9623,0.7416,1
M1_0265,传在,0.4307,0.8652,1
M1_0266,末,0.9773,0.678,1
M1_0267,吏,0.3473,0.7302,1
M1_0268,生,0.9979,0.5793,1
M1_0269,巴,0.866,0.4999,1
M1_0270,干朱,0.3539,0.4845,1
M1_0271,烧,0.4691,0.6531,1
M1_0272,竹海,0.2289,0.6865,1
M1_0273,赞导,0.4279,0.6758,1
M1_0274,连,0.2666,0.5588,1
M1_0275,朱,0.9774,0.5704,1
M1_0276,心八化,0.4604,0.6846,1
M1_0277,朱,0.8747,0.6559,1
M1_0278,王德,0.8134,0.704,1
M1_0279,不德,0.5633,0.566,1
M1_0280,齒,0.1387,0.5078,1
M1_0281,出自,0.5473,0.6861,1
M1_0282,陶,0.5196,0.5089,1
M1_0283,蜍,0.7161,0.5236,1
M1_0284,施,0.9992,0.6051,1
M1_0285,開,0.1178,0.4644,1
M1_0286,调,0.3699,0.5371,1
M1_0287,小,0.0786,0.4411,1
M1_0288,一人,0.4311,0.4705,1
M1_0289,麻,0.5719,0.7017,1
M1_0290,X州,0.1746,0.5994,1
M1_0291,朱三,0.4197,0.4444,1
M1_0292,,0.0,0.6215,1
M1_0293,化麻,0.5742,0.5844,1
M1_0294,斗法,0.9254,0.5566,1
M1_0295,地七破,0.4808,0.7272,1
M1_0296,沁术,0.4819,0.5698,1
M1_0297,年任,0.6172,0.5696,1
M1_0298,求,0.8578,0.4961,1
M1_0299,至,0.1022,0.8807,1
M1_0300,容,0.1598,0.6549,1
M1_0301,等,0.2174,0.7218,1
M1_0302,愿,0.3499,0.8173,1
M1_0303,事,0.3458,0.5379,1
M1_0304,一,0.2886,0.6528,1
M1_0305,来,0.607,0.8604,1
M1_0306,中感,0.6364,0.5782,1
M1_0307,可,0.2755,0.5376,1
M1_0308,动,0.8844,0.688,1
M1_0309,於,0.6609,0.5905,1
M1_0310,海儿,0.3094,0.5624,1
M1_0311,好呐,0.5753,0.5879,1
M1_0312,因本,0.174,0.7135,1
M1_0313,飞象,0.3689,1.0216,1
M1_0314,浪,0.9541,0.8687,1
M1_0315,阐依,0.6882,1.1687,1
M1_0316,几,0.9856,0.4717,1
M1_0317,祁,0.5168,0.7143,1
M1_0318,恐怕,0.4718,0.6829,1
M1_0319,涂,0.9953,0.5283,1
M1_0320,福,0.9987,0.6896,1
M1_0321,破安,0.7166,0.7211,1
M1_0322,哭库,0.3768,0.8414,1
M1_0323,清,0.3143,0.6767,1
M1_0324,与,0.4,0.5303,1
M1_0325,本部,0.6284,0.7155,1
M1_0326,石,0.7786,0.8807,1
M1_0327,称,0.7329,0.6594,1
M1_0328,一守,0.4371,0.6605,1
M1_0329,八,0.3156,0.5222,1
M1_0330,愧,0.3232,0.632,1
M1_0331,安,0.9709,0.5016,1
M1_0332,八庄座,0.6455,0.6826,1
M1_0333,抗,0.1916,0.5962,1
M1_0334,衣,0.9933,0.6899,1
M1_0335,座王,0.7449,0.7127,1
M1_0336,心玉,0.428,0.6485,1
M1_0337,别,0.9862,0.6647,1
M1_0338,一於,0.7342,0.503,1
M1_0339,寻22,0.8547,0.7642,2
M1_0340,千,0.4274,0.6359,1
M1_0341,在,0.6491,0.7962,1
M1_0342,等立,0.4999,0.7353,1
M1_0343,物,0.98,0.7255,1
M1_0344,脚,0.1576,0.6926,1
M1_0345,参,0.5996,0.6051,1
M1_0346,王尼,0.5595,0.5618,1
M1_0347,女,0.6723,0.5895,1
M1_0348,,0.0,0.7105,1
M1_0349,寻,0.3952,0.6956,1
M1_0350,之,0.2119,0.4542,1
M1_0351,漫風,0.3801,0.7423,1
M1_0352,一餘,0.5396,0.4962,1
M1_0353,連,0.9316,0.3713,1
M1_0354,又,0.22,0.5228,1
M1_0355,砂味,0.8058,0.4793,1
M1_0356,记话,0.1346,0.5486,1
M1_0357,内,0.6462,0.3975,1
M1_0358,练,0.8914,0.6333,1
M1_0359,陵,0.4086,0.4877,1
M1_0360,察,0.1715,0.4709,1
M1_0361,碎,0.9932,0.532,1
M1_0362,除体,0.765,0.6956,1
M1_0363,中宋,0.58,0.7058,1
M1_0364,之也,0.4976,0.5955,1
M1_0365,水A,0.5349,0.9438,2
M1_0366,其三,0.5821,0.7329,1
M1_0367,重,0.9993,0.6869,1
M1_0368,與鹿,0.2324,0.5724,1
M1_0369,每,0.3346,0.5199,1
M1_0370,特饮,0.5831,1.1237,1
M1_0371,笑,0.1347,0.5298,1
M1_0372,史,0.0455,0.6477,1
M1_0373,第今,0.2874,0.4206,1
M1_0374,北燕,0.1959,0.6211,1
M1_0375,义九,0.4572,0.4815,1
M1_0376,左,0.6074,0.5908,1
M1_0377,朱,0.9093,0.5239,1
M1_0378,此歌,0.5964,0.5888,1
M1_0379,意,0.7283,0.6952,1
M1_0380,周,0.1718,0.3701,1
M1_0381,例者,0.5389,0.5312,1
M1_0382,畏,0.1493,0.4697,1
M1_0383,引14,0.408,0.6796,1
M1_0384,安,0.786,0.6599,1
M1_0385,低富,0.4178,0.8907,1
M1_0386,事,0.3074,0.3147,1
M1_0387,人意,0.4397,0.7233,1
M1_0388,上連,0.2943,0.5697,1
M1_0389,朱公,0.8469,0.4827,1
M1_0390,主,0.9138,0.4465,1
M1_0391,刘偏,0.3274,0.51,1
M1_0392,军,0.7912,0.5379,1
M1_0393,体,0.9988,0.4805,1
M1_0394,一腐,0.4986,0.5253,1
M1_0395,,0.0,0.5205,1
M1_0396,延接,0.2597,0.5712,1
M1_0397,何,0.2553,0.4859,1
M1_0398,麻,0.5353,0.5199,1
M1_0399,意,0.2744,0.6117,1
M1_0400,楼,0.9987,1.3919,1
M1_0401,八天,0.4685,0.9676,1
M1_0402,也極,0.6184,1.104,1
M1_0403,李,0.6575,0.9157,1
M1_0404,八,0.5637,1.1634,1
M1_0405,時,0.5464,0.999,1
M1_0406,公野,0.3908,1.382,1
M1_0407,垩,0.3573,1.1212,1
M1_0408,手,0.2678,0.9033,1
M1_0409,王戒,0.3708,1.2544,1
M1_0410,,0.0,0.8765,1
M1_0411,J,0.7878,1.0893,1
M1_0412,仅,0.3628,1.3397,1
M1_0413,地,0.9737,1.2293,1
M1_0414,曰,0.1157,1.0819,1
M1_0415,4,0.3462,0.9771,1
M1_0416,旦,0.9951,1.178,1
M1_0417,,0.0,0.9102,1
M1_0418,重,0.5514,1.3552,1
M1_0419,地,0.6217,0.8913,1
M1_0420,除咽,0.2029,1.0666,1
M1_0421,伴共,0.3383,0.8696,1
M1_0422,上口,0.1727,1.0931,1
M1_0423,,0.0,1.556,0
M1_0424,通,0.3261,1.3848,1
M1_0425,代安,0.6184,0.8266,1
M1_0426,佛,0.6038,1.1016,1
M1_0427,孔,0.2189,0.9998,1
M1_0428,伴,0.7874,0.9992,1
M1_0429,半助,0.7044,0.8202,1
M1_0430,发沃,0.2333,1.0396,1
M1_0431,今年,0.6451,0.8872,1
M1_0432,夜,0.5,1.0565,1
M1_0433,女,0.3738,1.6175,1
M1_0434,一年一,0.8483,0.7889,1
M1_0435,包,0.177,0.7834,1
M1_0436,保,0.9948,0.8383,1
M1_0437,守此,0.2164,1.1676,1
M1_0438,兴禹,0.5095,1.1613,1
M1_0439,监,0.4597,1.3402,1
M1_0440,四旦,0.3771,1.0002,1
M1_0441,奉,0.8453,1.0696,1
M1_0442,王,0.1054,0.8234,1
M1_0443,生,0.9897,0.5755,1
M1_0444,俺,0.5375,1.1346,1
M1_0445,寝,0.1935,1.6683,1
M1_0446,矯,0.9046,1.1169,1
M1_0447,達,0.5652,1.2774,1
M1_0448,碎,0.9764,0.9765,1
M1_0449,烏,0.7429,0.7057,1
M1_0450,奴,0.9245,1.2677,1
M1_0451,,0.0,1.0089,1
M1_0452,中,0.986,0.7318,1
M1_0453,中,0.4799,0.8249,1
M1_0454,抗連,0.6482,1.2573,1
M1_0455,明,0.9998,0.9818,1
M1_0456,時,0.9076,0.8553,1
M1_0457,设,0.5508,1.1051,1
M1_0458,域,0.7052,0.9178,1
M1_0459,無時,0.5309,1.7045,1
M1_0460,巡麻,0.8273,1.6569,1
M1_0461,支,0.9978,1.0484,1
M1_0462,林瀚,0.4346,1.4346,1
M1_0463,安女,0.4728,1.02,1
M1_0464,庄,0.098,0.9698,1
M1_0465,之,0.8288,1.4531,1
M1_0466,安,0.79,1.1678,1
M1_0467,寻,0.3751,1.0035,1
M1_0468,恐,0.2461,1.1977,1
M1_0469,安,0.3095,1.0124,1
M1_0470,谷日,0.7203,1.0069,1
M1_0471,事,0.5097,0.8862,1
M1_0472,心磁,0.2748,0.8844,1
M1_0473,别,0.0442,1.1992,1
M1_0474,裕社,0.0897,1.031,1
M1_0475,約,0.6835,0.9238,1
M1_0476,葩,0.5762,0.6039,1
M1_0477,灵,0.6272,0.8316,1
M1_0478,昆,0.9511,0.9353,1
M1_0479,城,0.5802,1.1349,1
M1_0480,白色,0.2942,0.8623,1
M1_0481,俊主,0.282,1.5131,1
M1_0482,該喻,0.5234,1.0949,1
M1_0483,先,0.6404,1.1063,1
M1_0484,令年,0.409,0.9973,1
M1_0485,体,0.9991,0.7172,1
M1_0486,压,0.1036,0.9455,1
M1_0487,壮派,0.5896,0.9037,1
M1_0488,朱,0.8963,0.8227,1
M1_0489,御分,0.4846,1.1998,1
M1_0490,麻時,0.9145,1.1167,1
M1_0491,体,0.9586,1.4297,1
M1_0492,一,0.9827,1.1312,1
M1_0493,，è,0.5634,0.7226,2
M1_0494,事好,0.3283,0.866,1
M1_0495,浪,0.9599,1.2089,1
M1_0496,時,0.9614,0.7689,1
M1_0497,举,0.2451,0.9978,1
M1_0498,2庄,0.387,1.0605,1
M1_0499,及然,0.6537,1.3781,1
M1_0500,政,0.0708,1.3462,1
M1_0501,神,1.0,1.1215,1
M1_0502,土扈,0.3632,1.1619,1
M1_0503,數,0.6778,1.4727,1
M1_0504,父,0.2346,1.0517,1
M1_0505,体,0.7915,1.2079,1
M1_0506,一筋,0.4966,1.231,1
M1_0507,特,0.998,0.4876,1
M1_0508,小年,0.7556,0.9781,1
M1_0509,有神,0.5688,1.1882,1
M1_0510,特,0.9925,0.7301,1
M1_0511,食也,0.6383,1.307,1
M1_0512,呐,0.9698,0.9755,1
M1_0513,金,0.6382,0.7206,1
M1_0514,罪一,0.6348,0.85,1
M1_0515,故房,0.214,1.0907,1
M1_0516,油,0.2694,1.0403,1
M1_0517,公保,0.6908,1.5255,1
M1_0518,黄,0.2708,1.022,1
M1_0519,好,0.6737,0.8743,1
M1_0520,聘,0.2587,1.4009,1
M1_0521,离,0.995,0.7932,1
M1_0522,正,0.1578,0.9984,1
M1_0523,安,0.9997,1.3035,1
M1_0524,别,0.8967,1.0082,1
M1_0525,2,0.641,0.9877,1
M1_0526,,0.0,1.045,1
M1_0527,八公,0.3318,0.8492,1
M1_0528,意,0.5998,1.5552,1
M1_0529,竭,0.1713,1.2016,1
M1_0530,仍,0.9616,1.5581,1
M1_0531,互,0.8278,1.0582,1
M1_0532,王福,0.2127,1.0305,1
M1_0533,四工,0.2764,0.9215,1
M1_0534,固,0.4017,0.9916,1
M1_0535,此,0.7672,1.1781,1
M1_0536,上聘,0.4953,0.9912,1
M1_0537,之,0.4766,0.7894,1
M1_0538,宋口,0.3349,0.7922,1
M1_0539,#,0.4633,0.873,1
M1_0540,御十,0.2664,1.1296,1
M1_0541,烧,0.0607,0.895,1
M1_0542,特由,0.7347,0.9939,1
M1_0543,役,0.4832,1.0485,1
M1_0544,八朱,0.5733,1.0459,1
M1_0545,帝,0.0298,1.1354,1
M1_0546,時,0.937,0.9897,1
M1_0547,聘,0.4318,1.1479,1
M1_0548,除,0.7235,0.7439,1
M1_0549,醉,0.5783,0.7628,1
M1_0550,馬,0.2962,0.8978,1
M1_0551,断,0.5115,0.9319,1
M1_0552,生,0.5628,1.0672,1
M1_0553,燃法,0.5817,1.0356,1
M1_0554,四,0.3336,0.8204,1
M1_0555,共,0.3376,1.2812,1
M1_0556,旱七,0.5196,1.0748,1
M1_0557,复星,0.4582,1.083,1
M1_0558,共,0.4856,0.9936,1
M1_0559,德,0.5688,1.1813,1
M1_0560,试此些,0.5735,0.929,1
M1_0561,心書,0.1156,1.0589,1
M1_0562,冷松,0.6129,0.8722,1
M1_0563,八走,0.4277,0.9223,1
M1_0564,傅,0.9347,0.8829,1
M1_0565,り事,0.163,1.0479,1
M1_0566,热,0.8657,0.9559,1
M1_0567,批入,0.6594,0.945,1
M1_0568,這去,0.1582,0.7643,1
M1_0569,聯,0.3356,1.3814,1
M1_0570,申者,0.3145,1.0361,1
M1_0571,谷,0.1979,1.2414,1
M1_0572,行,0.2741,0.9357,1
M1_0573,夏,0.4418,0.7554,1
M1_0574,馆,0.5533,1.0429,1
M1_0575,灵,0.8841,0.8538,1
M1_0576,秋,0.9655,1.2366,1
M1_0577,卷,0.1694,0.9678,1
M1_0578,2血,0.5545,0.879,2
M1_0579,法,0.9483,0.8918,1
M1_0580,事,0.9832,1.1683,1
M1_0581,為,0.8516,1.0363,1
M1_0582,特は,0.9522,1.0274,1
M1_0583,浪八,0.8644,0.9669,1
M1_0584,化倡,0.6311,1.1291,1
M1_0585,国,0.2992,0.8539,1
M1_0586,暹,0.2571,1.1986,1
M1_0587,庫,0.4617,0.6568,1
M1_0588,元,0.3172,1.1649,1
M1_0589,楼,0.9955,1.0441,1
M1_0590,事,0.1685,1.1569,1
M1_0591,一座,0.3219,1.3453,1
M1_0592,朱,0.3794,0.8871,1
M1_0593,,0.0,1.0102,1
M1_0594,十四,0.7058,0.856,1
M1_0595,臻,0.5686,0.9374,1
M1_0596,变,0.3482,0.866,1
M1_0597,事,0.573,1.2416,1
M1_0598,2,0.2045,0.614,1
M1_0599,且,0.3469,0.9106,1
