book,page,column,nom_idx,syl_idx,syllable,ocr_char,label,unicode,bbox_cu,prev_bbox_cu,next_bbox_cu,image_md5_cu,image_cu,tier_build,rule_build
stt11,page_0010_p0220,9,17,17,người,早,𠊚,U+2029A,"[256, 1996, 355, 2106]","[256, 1905, 355, 2014]","[256, 2088, 355, 2197]",2ce0f031340a,gold/stt11_page_0010_p0220_c09_186.png,GOLD,s1_inter_s2_similar
stt11,page_0012,3,5,5,người,㝵,𠊚,U+2029A,"[1197, 937, 1303, 1054]","[1198, 840, 1301, 956]","[1196, 1032, 1304, 1148]",c0165be1942a,gold/stt11_page_0012_c03_048.png,GOLD,s1_inter_s2_direct
stt11,page_0012,9,11,11,người,㝵,𠊚,U+2029A,"[270, 1519, 377, 1641]","[271, 1424, 377, 1542]","[259, 1614, 370, 1738]",030c7f407271,gold/stt11_page_0012_c09_182.png,GOLD,s1_inter_s2_direct
stt11,page_0014,7,8,8,người,早,𠊚,U+2029A,"[533, 1216, 641, 1335]","[534, 1120, 640, 1240]","[532, 1320, 641, 1441]",ee99c1d3bbd5,gold/stt11_page_0014_c07_137.png,GOLD,s1_inter_s2_similar
stt11,page_0014,9,7,8,người,旱,𠊚,U+2029A,"[242, 1108, 340, 1212]","[232, 983, 332, 1095]","[244, 1202, 339, 1305]",85b04767cb61,gold/stt11_page_0014_c09_177.png,GOLD,s1_inter_s2_similar
stt11,page_0016,4,22,23,người,㝵,𠊚,U+2029A,"[1039, 2430, 1152, 2538]","[1039, 2332, 1152, 2448]",,747ce81309a5,gold/stt11_page_0016_c04_087.png,GOLD,s1_inter_s2_direct
stt11,page_0016,5,18,17,người,㝵,𠊚,U+2029A,"[877, 2135, 996, 2248]","[877, 2041, 996, 2154]","[877, 2229, 996, 2342]",b23e8d38b79e,gold/stt11_page_0016_c05_105.png,GOLD,s1_inter_s2_direct
stt11,page_0016,6,11,11,người,昇,𠊚,U+2029A,"[731, 1476, 839, 1590]","[732, 1372, 837, 1485]","[732, 1563, 838, 1677]",ec206eaed57f,silver/stt11_page_0016_c06_120.png,SILVER,s2_inter_s3_corrected
stt11,page_0018,4,4,3,người,昇,𠊚,U+2029A,"[1020, 794, 1130, 906]","[1020, 700, 1130, 812]","[1020, 888, 1130, 1000]",b36117cf6312,silver/stt11_page_0018_c04_067.png,SILVER,s2_inter_s3_corrected
stt11,page_0018,7,15,15,người,㝵,𠊚,U+2029A,"[559, 1718, 655, 1823]","[559, 1622, 656, 1731]","[560, 1803, 655, 1908]",04ac7df37839,gold/stt11_page_0018_c07_141.png,GOLD,s1_inter_s2_direct
stt11,page_0020,2,12,12,người,㝵,𠊚,U+2029A,"[1318, 1524, 1427, 1630]","[1318, 1436, 1427, 1542]","[1318, 1612, 1427, 1718]",21cbeba5c39f,gold/stt11_page_0020_c02_024.png,GOLD,s1_inter_s2_direct
stt11,page_0022,9,8,8,người,㝵,𠊚,U+2029A,"[235, 1096, 324, 1194]","[235, 1020, 324, 1118]","[235, 1180, 324, 1277]",03b0b6f1f872,gold/stt11_page_0022_c09_190.png,GOLD,s1_inter_s2_direct
stt11,page_0024,9,4,4,người,早,𠊚,U+2029A,"[262, 785, 359, 830]","[254, 690, 352, 801]","[257, 860, 378, 968]",bdc7e3ed5386,gold/stt11_page_0024_c09_184.png,GOLD,s1_inter_s2_similar
stt11,page_0024,9,8,8,người,早,𠊚,U+2029A,"[257, 1130, 378, 1238]","[257, 1040, 378, 1148]","[257, 1220, 378, 1327]",207b4c43ce0c,gold/stt11_page_0024_c09_188.png,GOLD,s1_inter_s2_similar
stt11,page_0026,2,1,1,người,昇,𠊚,U+2029A,"[1292, 506, 1397, 622]","[1291, 423, 1395, 532]","[1292, 600, 1400, 716]",0565c3696632,silver/stt11_page_0026_c02_022.png,SILVER,s2_inter_s3_corrected
stt11,page_0026,2,14,14,người,旱,𠊚,U+2029A,"[1291, 1729, 1398, 1845]","[1291, 1634, 1397, 1750]","[1293, 1823, 1395, 1941]",e9a7052f3267,gold/stt11_page_0026_c02_035.png,GOLD,s1_inter_s2_similar
stt11,page_0026,2,20,20,người,昇,𠊚,U+2029A,"[1293, 2301, 1396, 2410]","[1294, 2207, 1394, 2318]","[1294, 2389, 1395, 2491]",09c2f92d5817,silver/stt11_page_0026_c02_041.png,SILVER,s2_inter_s3_corrected
stt11,page_0026,3,11,11,người,㝵,𠊚,U+2029A,"[1143, 1444, 1250, 1561]","[1143, 1351, 1248, 1465]","[1145, 1529, 1249, 1647]",3dacea2b2690,gold/stt11_page_0026_c03_054.png,GOLD,s1_inter_s2_direct
stt11,page_0028,1,8,8,người,旱,𠊚,U+2029A,"[1483, 1180, 1585, 1298]","[1483, 1087, 1586, 1203]","[1483, 1266, 1586, 1383]",1d9ecd6f4814,gold/stt11_page_0028_c01_008.png,GOLD,s1_inter_s2_similar
stt11,page_0028,3,4,4,người,早,𠊚,U+2029A,"[1173, 793, 1284, 907]","[1173, 698, 1285, 813]","[1176, 889, 1281, 1002]",f75cb4fe97a0,gold/stt11_page_0028_c03_048.png,GOLD,s1_inter_s2_similar
stt11,page_0030,3,6,6,người,昇,𠊚,U+2029A,"[1164, 956, 1264, 1068]","[1164, 868, 1264, 981]","[1162, 1048, 1266, 1164]",01c3f9ee3673,silver/stt11_page_0030_c03_049.png,SILVER,s2_inter_s3_corrected
stt11,page_0030,9,4,4,người,早,𠊚,U+2029A,"[252, 769, 333, 875]","[252, 680, 333, 787]","[252, 857, 333, 964]",2ad25a21ba68,gold/stt11_page_0030_c09_147.png,GOLD,s1_inter_s2_similar
stt11,page_0032,1,0,0,người,昇,𠊚,U+2029A,"[1459, 407, 1567, 514]",,"[1462, 494, 1567, 610]",bc4decdee2be,silver/stt11_page_0032_c01_000.png,SILVER,s2_inter_s3_corrected
stt11,page_0032,1,13,13,người,早,𠊚,U+2029A,"[1450, 1686, 1557, 1807]","[1449, 1590, 1557, 1712]","[1450, 1779, 1557, 1902]",066d0042a20b,gold/stt11_page_0032_c01_013.png,GOLD,s1_inter_s2_similar
stt11,page_0032,2,4,4,người,昇,𠊚,U+2029A,"[1306, 781, 1407, 897]","[1304, 684, 1407, 801]","[1305, 875, 1408, 991]",6fb342995d0c,silver/stt11_page_0032_c02_025.png,SILVER,s2_inter_s3_corrected
stt11,page_0032,3,1,1,người,㝵,𠊚,U+2029A,"[1152, 505, 1259, 622]","[1150, 416, 1260, 525]","[1154, 598, 1260, 717]",a862c7914f33,gold/stt11_page_0032_c03_044.png,GOLD,s1_inter_s2_direct
stt11,page_0032,5,8,8,người,早,𠊚,U+2029A,"[858, 1168, 965, 1288]","[855, 1064, 966, 1183]","[859, 1263, 964, 1385]",34b63f9dfc10,gold/stt11_page_0032_c05_094.png,GOLD,s1_inter_s2_similar
stt11,page_0032,5,18,18,người,早,𠊚,U+2029A,"[858, 2109, 965, 2224]","[857, 2013, 967, 2131]","[858, 2203, 966, 2319]",7f7c990ce08d,gold/stt11_page_0032_c05_104.png,GOLD,s1_inter_s2_similar
stt11,page_0032,8,10,10,người,早,𠊚,U+2029A,"[395, 1357, 499, 1478]","[395, 1252, 500, 1374]","[386, 1453, 490, 1575]",ca03cdc800ea,gold/stt11_page_0032_c08_159.png,GOLD,s1_inter_s2_similar
stt11,page_0034,1,21,19,người,㝵,𠊚,U+2029A,"[1471, 2179, 1579, 2290]","[1471, 2086, 1579, 2198]","[1471, 2272, 1579, 2383]",c7e79a571b09,gold/stt11_page_0034_c01_019.png,GOLD,s1_inter_s2_direct
stt11,page_0034,1,23,21,người,㝵,𠊚,U+2029A,"[1471, 2365, 1579, 2467]","[1471, 2272, 1579, 2383]",,c4a4d7fe51e8,gold/stt11_page_0034_c01_021.png,GOLD,s1_inter_s2_direct
stt11,page_0034,2,10,12,người,㝵,𠊚,U+2029A,"[1313, 1353, 1420, 1466]","[1314, 1259, 1420, 1372]","[1313, 1448, 1421, 1560]",bbf1c36b8c32,gold/stt11_page_0034_c02_032.png,GOLD,s1_inter_s2_direct
stt11,page_0034,3,2,2,người,昇,𠊚,U+2029A,"[1163, 611, 1273, 727]","[1161, 518, 1274, 633]","[1164, 698, 1274, 813]",96767d8e1818,silver/stt11_page_0034_c03_046.png,SILVER,s2_inter_s3_corrected
stt11,page_0034,3,8,8,người,㝵,𠊚,U+2029A,"[1163, 1162, 1274, 1278]","[1165, 1068, 1272, 1182]","[1163, 1255, 1273, 1372]",740dff713bd8,gold/stt11_page_0034_c03_052.png,GOLD,s1_inter_s2_direct
stt11,page_0034,5,12,13,người,时,𠊚,U+2029A,"[866, 1552, 983, 1664]","[866, 1457, 983, 1570]","[866, 1646, 983, 1758]",0bb7d43de2a1,silver/stt11_page_0034_c05_099.png,SILVER,s2_inter_s3_corrected
stt11,page_0034,6,17,17,người,昇,𠊚,U+2029A,"[701, 2029, 810, 2144]","[710, 1943, 820, 2057]","[701, 2122, 809, 2240]",e9ac9c1f68cb,silver/stt11_page_0034_c06_126.png,SILVER,s2_inter_s3_corrected
stt11,page_0034,7,2,2,người,㝵,𠊚,U+2029A,"[565, 611, 671, 727]","[565, 517, 671, 633]","[565, 707, 670, 823]",f0e7cc4f20c8,gold/stt11_page_0034_c07_133.png,GOLD,s1_inter_s2_direct
stt11,page_0034,7,5,5,người,㝵,𠊚,U+2029A,"[563, 897, 670, 1014]","[563, 802, 670, 919]","[562, 992, 670, 1110]",fb127a138dd7,gold/stt11_page_0034_c07_136.png,GOLD,s1_inter_s2_direct
stt11,page_0036,2,3,3,người,早,𠊚,U+2029A,"[1364, 734, 1473, 850]","[1364, 636, 1473, 753]","[1364, 831, 1473, 948]",47025c824ce5,gold/stt11_page_0036_c02_025.png,GOLD,s1_inter_s2_similar
stt11,page_0036,2,7,7,người,㝵,𠊚,U+2029A,"[1364, 1124, 1473, 1240]","[1364, 1026, 1473, 1143]","[1364, 1221, 1473, 1338]",4b12df12b242,gold/stt11_page_0036_c02_029.png,GOLD,s1_inter_s2_direct
stt11,page_0036,2,18,14,người,早,𠊚,U+2029A,"[1364, 2196, 1473, 2313]","[1364, 1611, 1473, 1728]","[1364, 2294, 1473, 2411]",936f5c00bcc4,gold/stt11_page_0036_c02_035.png,GOLD,s1_inter_s2_similar
stt11,page_0036,3,11,11,người,昇,𠊚,U+2029A,"[1204, 1479, 1309, 1591]","[1203, 1391, 1309, 1505]","[1203, 1564, 1310, 1678]",25d03bea9a82,silver/stt11_page_0036_c03_049.png,SILVER,s2_inter_s3_corrected
stt11,page_0036,6,2,2,người,㝵,𠊚,U+2029A,"[753, 610, 858, 724]","[755, 518, 860, 628]","[755, 699, 858, 811]",6f0ea8d5682b,gold/stt11_page_0036_c06_105.png,GOLD,s1_inter_s2_direct
stt11,page_0040,3,7,9,người,㝵,𠊚,U+2029A,"[1177, 1066, 1267, 1172]","[1171, 998, 1274, 1106]","[1177, 1154, 1267, 1259]",2448db0704c3,gold/stt11_page_0040_c03_054.png,GOLD,s1_inter_s2_direct
stt11,page_0040,4,1,1,người,昇,𠊚,U+2029A,"[1010, 533, 1118, 645]","[1009, 452, 1117, 556]","[1011, 625, 1117, 737]",f97453d49bfb,silver/stt11_page_0040_c04_070.png,SILVER,s2_inter_s3_corrected
stt11,page_0040,4,20,20,người,早,𠊚,U+2029A,"[1010, 2294, 1114, 2407]","[1010, 2201, 1113, 2315]","[1012, 2384, 1112, 2485]",4af2b6e98045,gold/stt11_page_0040_c04_089.png,GOLD,s1_inter_s2_similar
stt11,page_0040,5,18,17,người,早,𠊚,U+2029A,"[840, 1970, 942, 2072]","[840, 1886, 942, 1988]","[840, 2055, 942, 2157]",00ad09b6c81b,gold/stt11_page_0040_c05_108.png,GOLD,s1_inter_s2_similar
stt11,page_0040,5,23,22,người,㝵,𠊚,U+2029A,"[840, 2394, 942, 2488]","[840, 2310, 942, 2412]",,00a2eca4edfd,gold/stt11_page_0040_c05_113.png,GOLD,s1_inter_s2_direct
stt11,page_0040,8,6,6,người,早,𠊚,U+2029A,"[401, 957, 498, 1064]","[401, 871, 499, 981]","[399, 1040, 498, 1147]",c0cda998db82,gold/stt11_page_0040_c08_166.png,GOLD,s1_inter_s2_similar
stt11,page_0040,8,16,16,người,早,𠊚,U+2029A,"[389, 1803, 488, 1908]","[389, 1719, 487, 1822]","[389, 1887, 488, 1991]",096308688d52,gold/stt11_page_0040_c08_176.png,GOLD,s1_inter_s2_similar
stt11,page_0042,1,14,14,người,㝵,𠊚,U+2029A,"[1475, 1679, 1578, 1792]","[1476, 1585, 1578, 1698]","[1474, 1766, 1578, 1876]",08ebb65e48b0,gold/stt11_page_0042_c01_014.png,GOLD,s1_inter_s2_direct
stt11,page_0042,1,18,18,người,早,𠊚,U+2029A,"[1474, 2041, 1578, 2150]","[1473, 1946, 1578, 2056]","[1474, 2126, 1578, 2238]",da4311ee75d3,gold/stt11_page_0042_c01_018.png,GOLD,s1_inter_s2_similar
stt11,page_0042,5,21,21,người,旱,𠊚,U+2029A,"[856, 2291, 969, 2408]","[848, 2195, 957, 2313]","[848, 2383, 958, 2488]",5cda20b7b211,gold/stt11_page_0042_c05_076.png,GOLD,s1_inter_s2_similar
stt11,page_0042,8,9,9,người,㝵,𠊚,U+2029A,"[397, 1246, 501, 1361]","[398, 1152, 500, 1267]","[397, 1342, 501, 1457]",e906b6198bae,gold/stt11_page_0042_c08_132.png,GOLD,s1_inter_s2_direct
stt11,page_0044,2,20,19,người,㝵,𠊚,U+2029A,"[1354, 2059, 1462, 2159]","[1354, 1976, 1462, 2076]","[1354, 2143, 1462, 2242]",711d57d1523e,gold/stt11_page_0044_c02_043.png,GOLD,s1_inter_s2_direct
stt11,page_0044,3,18,18,người,早,𠊚,U+2029A,"[1191, 2029, 1298, 2138]","[1191, 1939, 1298, 2047]","[1191, 2120, 1298, 2229]",4fa00d01e508,gold/stt11_page_0044_c03_065.png,GOLD,s1_inter_s2_similar
stt11,page_0044,5,20,20,người,㝵,𠊚,U+2029A,"[913, 2206, 1016, 2318]","[915, 2114, 1015, 2224]","[916, 2296, 1013, 2397]",e315e4e48f86,gold/stt11_page_0044_c05_113.png,GOLD,s1_inter_s2_direct
stt11,page_0046,4,12,42,người,旱,𠊚,U+2029A,"[985, 1689, 1096, 1737]","[978, 1596, 1085, 1631]","[986, 1794, 1095, 1840]",ad485a50d29a,gold/stt11_page_0046_c04_046.png,GOLD,s1_inter_s2_similar
stt11,page_0046,7,11,11,người,早,𠊚,U+2029A,"[533, 1475, 638, 1551]","[532, 1381, 639, 1503]","[541, 1585, 643, 1703]",6bd597bd69f2,gold/stt11_page_0046_c07_106.png,GOLD,s1_inter_s2_similar
stt11,page_0046,9,9,9,người,早,𠊚,U+2029A,"[240, 1251, 340, 1363]","[240, 1157, 340, 1269]","[240, 1345, 340, 1457]",152fb63036c3,gold/stt11_page_0046_c09_146.png,GOLD,s1_inter_s2_similar
stt11,page_0048,2,17,17,người,旱,𠊚,U+2029A,"[1282, 1974, 1385, 2090]","[1283, 1889, 1387, 2002]","[1282, 2068, 1387, 2185]",529fb65cba6b,gold/stt11_page_0048_c02_039.png,GOLD,s1_inter_s2_similar
stt11,page_0048,3,0,0,người,耳,𠊚,U+2029A,"[1114, 396, 1221, 504]",,"[1115, 483, 1220, 603]",709363402cbd,silver/stt11_page_0048_c03_044.png,SILVER,s2_inter_s3_corrected
stt11,page_0048,3,15,15,người,旱,𠊚,U+2029A,"[1134, 1864, 1240, 1985]","[1133, 1769, 1240, 1889]","[1133, 1959, 1239, 2080]",651e7957cf7a,gold/stt11_page_0048_c03_059.png,GOLD,s1_inter_s2_similar
stt11,page_0048,7,0,0,người,旱,𠊚,U+2029A,"[515, 391, 617, 499]",,"[515, 474, 619, 591]",ed970875c50a,gold/stt11_page_0048_c07_128.png,GOLD,s1_inter_s2_similar
stt11,page_0048,7,15,15,người,旱,𠊚,U+2029A,"[532, 1863, 639, 1987]","[531, 1768, 640, 1890]","[542, 1957, 649, 2085]",f850cebea405,gold/stt11_page_0048_c07_143.png,GOLD,s1_inter_s2_similar
stt11,page_0048,9,4,4,người,㝵,𠊚,U+2029A,"[221, 757, 320, 878]","[220, 663, 321, 781]","[225, 861, 329, 982]",a1a147cd8e65,gold/stt11_page_0048_c09_174.png,GOLD,s1_inter_s2_direct
stt11,page_0050,1,11,11,người,昇,𠊚,U+2029A,"[1465, 1469, 1568, 1584]","[1464, 1374, 1568, 1489]","[1465, 1565, 1567, 1679]",c10375805a2c,silver/stt11_page_0050_c01_011.png,SILVER,s2_inter_s3_corrected
stt11,page_0050,3,14,14,người,号,𠊚,U+2029A,"[1168, 1672, 1272, 1783]","[1169, 1587, 1272, 1698]","[1168, 1757, 1271, 1869]",67aa2d4321c2,gold/stt11_page_0050_c03_058.png,GOLD,s1_inter_s2_similar
stt11,page_0050,7,5,5,người,旱,𠊚,U+2029A,"[577, 898, 670, 1010]","[577, 804, 670, 917]","[577, 991, 670, 1104]",00d4b17ff5e9,gold/stt11_page_0050_c07_138.png,GOLD,s1_inter_s2_similar
stt11,page_0052,3,1,1,người,昇,𠊚,U+2029A,"[1143, 501, 1253, 627]","[1141, 414, 1252, 529]","[1143, 605, 1254, 734]",433b844d2207,silver/stt11_page_0052_c03_046.png,SILVER,s2_inter_s3_corrected
stt11,page_0052,3,7,7,người,早,𠊚,U+2029A,"[1151, 1123, 1263, 1248]","[1151, 1020, 1261, 1144]","[1155, 1220, 1261, 1342]",948933c37d62,gold/stt11_page_0052_c03_052.png,GOLD,s1_inter_s2_similar
stt11,page_0052,4,16,19,người,旱,𠊚,U+2029A,"[1017, 2072, 1123, 2202]","[1015, 1955, 1124, 2086]","[1016, 2202, 1125, 2309]",cc3908aa5f76,gold/stt11_page_0052_c04_082.png,GOLD,s1_inter_s2_similar
stt11,page_0052,6,3,3,người,早,𠊚,U+2029A,"[694, 668, 793, 778]","[694, 583, 792, 692]","[694, 762, 794, 875]",787533ffa754,gold/stt11_page_0052_c06_112.png,GOLD,s1_inter_s2_similar
stt11,page_0052,6,9,9,người,旱,𠊚,U+2029A,"[691, 1215, 797, 1329]","[700, 1131, 806, 1242]","[690, 1318, 798, 1433]",fb940fab2f51,gold/stt11_page_0052_c06_118.png,GOLD,s1_inter_s2_similar
stt11,page_0052,6,19,19,người,早,𠊚,U+2029A,"[700, 2203, 809, 2299]","[701, 2088, 808, 2204]","[710, 2276, 818, 2393]",a36c4b15503b,gold/stt11_page_0052_c06_128.png,GOLD,s1_inter_s2_similar
stt11,page_0052,7,14,14,người,早,𠊚,U+2029A,"[552, 1719, 661, 1836]","[554, 1624, 659, 1741]","[554, 1816, 660, 1930]",9a0e6a309f1e,gold/stt11_page_0052_c07_145.png,GOLD,s1_inter_s2_similar
stt11,page_0054,8,3,3,người,㝵,𠊚,U+2029A,"[434, 729, 540, 844]","[432, 633, 539, 748]","[434, 816, 538, 931]",2db2e173976a,gold/stt11_page_0054_c08_155.png,GOLD,s1_inter_s2_direct
stt11,page_0056,2,2,2,người,旱,𠊚,U+2029A,"[1339, 654, 1444, 774]","[1338, 556, 1446, 677]","[1338, 751, 1446, 871]",eebace9b17e3,gold/stt11_page_0056_c02_024.png,GOLD,s1_inter_s2_similar
stt11,page_0056,3,3,3,người,昇,𠊚,U+2029A,"[1182, 740, 1288, 859]","[1181, 643, 1289, 762]","[1189, 843, 1294, 964]",ce9cac479177,silver/stt11_page_0056_c03_045.png,SILVER,s2_inter_s3_corrected
stt11,page_0056,3,16,16,người,早,𠊚,U+2029A,"[1191, 2001, 1296, 2120]","[1190, 1904, 1298, 2025]","[1192, 2105, 1295, 2222]",2f4d38896a29,gold/stt11_page_0056_c03_058.png,GOLD,s1_inter_s2_similar
stt11,page_0056,3,19,19,người,早,𠊚,U+2029A,"[1191, 2287, 1296, 2407]","[1191, 2200, 1295, 2317]","[1189, 2383, 1298, 2496]",59ff2bf9568b,gold/stt11_page_0056_c03_061.png,GOLD,s1_inter_s2_similar
stt11,page_0056,4,10,11,người,㝵,𠊚,U+2029A,"[1029, 1418, 1140, 1537]","[1029, 1319, 1141, 1443]","[1029, 1523, 1143, 1643]",bd71a14f4316,gold/stt11_page_0056_c04_073.png,GOLD,s1_inter_s2_direct
stt11,page_0056,5,18,18,người,星,𠊚,U+2029A,"[874, 2274, 987, 2396]","[874, 2173, 987, 2294]","[874, 2376, 987, 2488]",08d97c80ecd7,silver/stt11_page_0056_c05_101.png,SILVER,s2_inter_s3_corrected
stt11,page_0056,6,13,13,người,㝵,𠊚,U+2029A,"[724, 1693, 832, 1812]","[724, 1598, 832, 1717]","[723, 1796, 834, 1919]",a7f92764fc48,gold/stt11_page_0056_c06_116.png,GOLD,s1_inter_s2_direct
stt11,page_0056,9,8,8,người,旱,𠊚,U+2029A,"[282, 1176, 384, 1288]","[282, 1084, 384, 1195]","[282, 1269, 384, 1380]",9e748d24a8fb,gold/stt11_page_0056_c09_175.png,GOLD,s1_inter_s2_similar
stt11,page_0058,1,5,5,người,早,𠊚,U+2029A,"[1487, 915, 1590, 1026]","[1487, 822, 1590, 933]","[1487, 1008, 1590, 1119]",81fc0699d06f,gold/stt11_page_0058_c01_005.png,GOLD,s1_inter_s2_similar
stt11,page_0058,3,19,17,người,昇,𠊚,U+2029A,"[1188, 2260, 1287, 2374]","[1188, 2164, 1287, 2278]","[1188, 2355, 1287, 2460]",3bdbf8e88207,silver/stt11_page_0058_c03_062.png,SILVER,s2_inter_s3_corrected
stt11,page_0058,4,3,3,người,早,𠊚,U+2029A,"[1046, 721, 1147, 832]","[1045, 626, 1149, 740]","[1043, 807, 1147, 919]",4b07cae0ec51,gold/stt11_page_0058_c04_067.png,GOLD,s1_inter_s2_similar
stt11,page_0058,4,20,20,người,早,𠊚,U+2029A,"[1031, 2218, 1140, 2326]","[1033, 2134, 1137, 2241]","[1031, 2303, 1140, 2411]",97864228e1cc,gold/stt11_page_0058_c04_083.png,GOLD,s1_inter_s2_similar
stt11,page_0058,7,12,12,người,早,𠊚,U+2029A,"[573, 1510, 694, 1617]","[573, 1421, 694, 1528]","[573, 1599, 694, 1705]",da614bd805f2,gold/stt11_page_0058_c07_141.png,GOLD,s1_inter_s2_similar
stt11,page_0060,2,1,1,người,㝵,𠊚,U+2029A,"[1331, 521, 1434, 637]","[1330, 436, 1433, 545]","[1331, 615, 1432, 732]",b8cc6b865864,gold/stt11_page_0060_c02_025.png,GOLD,s1_inter_s2_direct
stt11,page_0060,2,11,11,người,早,𠊚,U+2029A,"[1338, 1542, 1444, 1664]","[1330, 1436, 1435, 1561]","[1339, 1639, 1443, 1761]",ea7c60d08446,gold/stt11_page_0060_c02_035.png,GOLD,s1_inter_s2_similar
stt11,page_0060,6,2,2,người,早,𠊚,U+2029A,"[716, 596, 818, 710]","[716, 506, 818, 623]","[716, 697, 818, 816]",1a3c2d477cf1,gold/stt11_page_0060_c06_097.png,GOLD,s1_inter_s2_similar
stt11,page_0060,9,3,3,người,㝵,𠊚,U+2029A,"[273, 692, 368, 801]","[265, 624, 364, 716]","[265, 807, 362, 901]",3969dc742c67,gold/stt11_page_0060_c09_165.png,GOLD,s1_inter_s2_direct
stt11,page_0062,2,3,3,người,早,𠊚,U+2029A,"[1305, 712, 1408, 821]","[1304, 625, 1409, 736]","[1305, 798, 1406, 904]",6da05058c7b2,gold/stt11_page_0062_c02_024.png,GOLD,s1_inter_s2_similar
stt11,page_0062,3,1,2,người,昇,𠊚,U+2029A,"[1167, 532, 1267, 638]","[1168, 453, 1270, 551]","[1166, 619, 1268, 723]",5b47e0ea1b70,silver/stt11_page_0062_c03_045.png,SILVER,s2_inter_s3_corrected
stt11,page_0062,4,0,0,người,旱,𠊚,U+2029A,"[1022, 452, 1126, 554]",,"[1021, 532, 1126, 641]",753d8ba34d17,gold/stt11_page_0062_c04_068.png,GOLD,s1_inter_s2_similar
stt11,page_0062,4,14,14,người,㝵,𠊚,U+2029A,"[1010, 1672, 1113, 1783]","[1010, 1588, 1113, 1698]","[1009, 1767, 1114, 1877]",9dc6df563f6e,gold/stt11_page_0062_c04_082.png,GOLD,s1_inter_s2_direct
stt11,page_0062,5,4,4,người,早,𠊚,U+2029A,"[872, 805, 976, 917]","[872, 712, 976, 821]","[871, 891, 978, 1002]",8ecddcc2a3d9,gold/stt11_page_0062_c05_095.png,GOLD,s1_inter_s2_similar
stt11,page_0062,5,8,8,người,早,𠊚,U+2029A,"[869, 1163, 977, 1275]","[871, 1069, 976, 1181]","[861, 1259, 969, 1371]",eec10c24fb34,gold/stt11_page_0062_c05_099.png,GOLD,s1_inter_s2_similar
stt11,page_0064,1,14,14,người,昇,𠊚,U+2029A,"[1527, 1770, 1625, 1889]","[1526, 1676, 1626, 1794]","[1516, 1863, 1618, 1986]",1c4ac5649967,silver/stt11_page_0064_c01_014.png,SILVER,s2_inter_s3_corrected
