sample_id,book,page,column,tier,rule,K,syllable,label,R_size,P,P_y,P_all,G,G_op,P6c,P5c,PVL,Gf,K_inR
M1_0021,stt2,page_0016,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,是,学,等,,True
M1_0022,stt2,page_0110,9,GOLD,s1_inter_s2_direct,赦,tha,赦,47,數,數,數,赦,eq,数,苏,趙,,True
M1_0023,stt2,page_0176,1,GOLD,s1_inter_s2_direct,浪,rằng,浪,12,判,判,判,筱,sub,判,邦,判,谊,True
M1_0024,stt2,page_0306,5,GOLD,s1_inter_s2_direct,朱,cho,朱,12,朱,朱,朱,朱,eq,来,朱,朱,峨,True
M1_0025,stt2,page_0146,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,,del,是,寻,等,,True
M1_0026,stt2,page_0316,4,GOLD,s1_inter_s2_direct,堂,đàng,堂,8,堂,堂,堂,,del,堂,堂,堂,峦,True
M1_0027,stt2,page_0020,4,GOLD,s1_inter_s2_direct,庄,chăng,庄,26,庄,庄,庄,,del,庄,本,,庄,True
M1_0028,stt2,page_0106,7,GOLD,s1_inter_s2_direct,命,mình,命,12,恐,恐,恐,命,eq,天,茶,态,峦,True
M1_0029,stt2,page_0314,2,GOLD,s1_inter_s2_direct,矣,hãy,矣,23,矣,展,展,关,sub,根,限,畏,,True
M1_0030,stt2,page_0152,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,,del,学,,等,,True
M1_0031,stt2,page_0178,2,GOLD,s1_inter_s2_direct,除,giờ,除,14,徐,徐,徐,卷,sub,竹,徐,徐,徐,True
M1_0032,stt2,page_0074,3,GOLD,s1_inter_s2_direct,歳,tuổi,歳,19,歲,歲,歲,歳,eq,歲,歲,崇,,True
M1_0033,stt2,page_0018,1,GOLD,s1_inter_s2_direct,矯,kẻo,矯,12,矯,,,鐳,sub,外,稀,水,鎬,True
M1_0034,stt2,page_0238,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,等,sub,等,寻,寺,,True
M1_0035,stt2,page_0142,7,GOLD,s1_inter_s2_direct,木,móc,木,16,木,木,木,木,eq,天,术,本,峨,True
M1_0036,stt2,page_0056,9,GOLD,s1_inter_s2_direct,丕,vậy,丕,8,丕,丕,丕,五,sub,丕,不,左,,True
M1_0037,stt2,page_0302,6,GOLD,s1_inter_s2_direct,麻,mà,麻,21,為,為,為,麻,eq,厥,烟,灼,,True
M1_0038,stt2,page_0122,6,GOLD,s1_inter_s2_direct,麻,mà,麻,21,麻,麻,麻,麻,eq,七,麻,西,,True
M1_0039,stt2,page_0028,1,GOLD,s1_inter_s2_direct,群,còn,群,15,群,群,群,群,eq,群,群,群,群,True
M1_0040,stt2,page_0260,2,GOLD,s1_inter_s2_direct,樞,su,樞,11,樞,樞,樞,强,sub,收,福,以,,True
M1_0041,stt2,page_0030,8,GOLD,s1_inter_s2_direct,主,chúa,主,2,分,分,分主,主,eq,为,至,灯,主,True
M1_0042,stt2,page_0240,4,GOLD,s1_inter_s2_direct,麻,mà,麻,21,麻,麻,麻,,del,麻,麻,森,,True
M1_0043,stt2,page_0278,3,GOLD,s1_inter_s2_direct,施,thí,施,41,施,施,施,施,eq,施,施,施,一,True
M1_0044,stt2,page_0228,2,GOLD,s1_inter_s2_direct,正,giêng,正,21,正,正,正,正,eq,平,正,下,,True
M1_0045,stt2,page_0192,7,GOLD,s1_inter_s2_direct,弹,đàn,弹,42,彈,,,弹,eq,寸,,寸,,True
M1_0046,stt2,page_0296,4,GOLD,s1_inter_s2_direct,亊,sự,亊,16,事,事,事,事,sub,事,事,等,答,True
M1_0047,stt2,page_0158,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,手,等,等,,True
M1_0048,stt2,page_0206,6,GOLD,s1_inter_s2_direct,奇,cả,奇,11,奇,奇,奇,奇,eq,我,等,私,,True
M1_0049,stt2,page_0012,8,GOLD,s1_inter_s2_direct,弄,lòng,弄,23,爾,爾,爾,弄,eq,中,中,中,平,True
M1_0050,stt2,page_0208,4,GOLD,s1_inter_s2_direct,秋,su,秋,11,秋,秋,秋支,秋,eq,秋,苏,春,,True
M1_0051,stt2,page_0320,3,GOLD,s1_inter_s2_direct,断,đoạn,断,35,斷,斷,斷,断,eq,,新,斷,,True
M1_0052,stt2,page_0274,5,GOLD,s1_inter_s2_direct,之,gì,之,16,之,之,之,之,eq,之,之,之,,True
M1_0053,stt2,page_0210,5,GOLD,s1_inter_s2_direct,逹,đặt,逹,33,達,達,達,達,sub,達,達,遠,,True
M1_0054,stt2,page_0286,8,GOLD,s1_inter_s2_direct,庫,khó,庫,13,庫,庫,庫,庫,eq,庫,庫,库,,True
M1_0055,stt2,page_0136,5,GOLD,s1_inter_s2_direct,空,không,空,18,空,空,空,,del,空,空,空,,True
M1_0056,stt2,page_0198,9,GOLD,s1_inter_s2_direct,吏,lại,吏,55,在,在,在,走,sub,,金,笠,,True
M1_0057,stt2,page_0188,3,GOLD,s1_inter_s2_direct,寺,thì,寺,56,毒,毒,毒,肃,sub,者,青,者,,True
M1_0058,stt2,page_0070,2,GOLD,s1_inter_s2_direct,馭,ngựa,馭,8,取,取,取,驭,sub,驭,聚,取,二,True
M1_0059,stt2,page_0224,4,GOLD,s1_inter_s2_direct,最,tối,最,31,最,最,最,,del,最,最,最,,True
M1_0060,stt2,page_0288,1,GOLD,s1_inter_s2_direct,垩,thánh,垩,33,奔,奔,奔,至,sub,斧,奔,伞,,True
M1_0061,stt2,page_0024,7,GOLD,s1_inter_s2_direct,衣,ấy,衣,32,氏,氏,氏,公,sub,代,农,,,True
M1_0062,stt2,page_0116,8,GOLD,s1_inter_s2_direct,其,kia,其,25,其,其,其,其,eq,其,身,其,答,True
M1_0063,stt2,page_0194,6,GOLD,s1_inter_s2_direct,事,sự,事,16,事,事,事,事,eq,事,事,李,,True
M1_0064,stt2,page_0154,6,GOLD,s1_inter_s2_direct,事,sự,事,16,事,事,事,事,eq,我,,母,峨,True
M1_0065,stt2,page_0230,7,GOLD,s1_inter_s2_direct,多,đi,多,10,多,多,多,,del,多,多,多,多,True
M1_0066,stt2,page_0298,9,GOLD,s1_inter_s2_direct,庄,chăng,庄,26,庄,,,庄,eq,初,办,,,True
M1_0067,stt2,page_0118,9,GOLD,s1_inter_s2_direct,苓,lành,苓,23,云,云,云,毒,sub,武,,筆,峨,True
M1_0068,stt2,page_0040,4,GOLD,s1_inter_s2_direct,法,phép,法,11,忘,忘,忘,法,eq,忌,忌,忌,读,True
M1_0069,stt2,page_0134,1,GOLD,s1_inter_s2_direct,奴,nô,奴,9,奴,奴,奴,奴,eq,孜,,,,True
M1_0070,stt2,page_0026,6,GOLD,s1_inter_s2_direct,几,kẻ,几,19,几,几,几,几,eq,立,元,江,,True
M1_0071,stt2,page_0098,6,GOLD,s1_inter_s2_direct,欣,hơn,欣,9,彼,彼,彼,欲,sub,侯,次,贺,,True
M1_0072,stt2,page_0292,3,GOLD,s1_inter_s2_direct,真,xin,真,8,真,真,真,真,eq,真,真,箕,,True
M1_0073,stt2,page_0038,5,GOLD,s1_inter_s2_direct,獅,sư,獅,38,欽,,,狮,sub,弘,,人,衔,True
M1_0074,stt2,page_0142_p0132,8,GOLD,s1_inter_s2_direct,麻,mà,麻,21,冷,冷,冷,麻,eq,命,学,印,,True
M1_0075,stt2,page_0254,4,GOLD,s1_inter_s2_direct,㓛,công,㓛,30,功,功,功,,del,动,双,刘,,True
M1_0076,stt2,page_0054,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,号,sub,,,等,,True
M1_0077,stt2,page_0182,5,GOLD,s1_inter_s2_direct,仍,nhưng,仍,12,仍,仍,仍,,del,但,低,佰,,True
M1_0078,stt2,page_0088,6,GOLD,s1_inter_s2_direct,每,mọi,每,11,每,每,每,每,eq,每,每,每,双,True
M1_0079,stt2,page_0248,3,GOLD,s1_inter_s2_direct,逐,giục,逐,12,逐,共,共,迹,sub,共,燕,其,英,True
M1_0080,stt2,page_0102,1,GOLD,s1_inter_s2_direct,差,sai,差,30,差,差,差,,del,差,差,差,,True
M1_0081,stt2,page_0168,9,GOLD,s1_inter_s2_direct,囚,tù,囚,22,中,中,中,囚,eq,中,中,中,四,True
M1_0082,stt2,page_0244,1,GOLD,s1_inter_s2_direct,主,chúa,主,2,主,主,主,主,eq,玉,宝,王,王,True
M1_0083,stt2,page_0186,9,GOLD,s1_inter_s2_direct,包,vào,包,28,押,押,押,色,sub,,神,押,点,True
M1_0084,stt2,page_0268,6,GOLD,s1_inter_s2_direct,徳,đức,徳,21,德,德,德,德,sub,可,德,德,峪,True
M1_0085,stt2,page_0220,8,GOLD,s1_inter_s2_direct,欺,khi,欺,31,欺,欺,欺,欺,eq,欺,款,欺,,True
M1_0086,stt2,page_0270,7,GOLD,s1_inter_s2_direct,庫,khó,庫,13,庫,庫,庫,庫,eq,,库,库,面,True
M1_0087,stt2,page_0086,8,GOLD,s1_inter_s2_direct,襖,áo,襖,43,禳,禳,禳,禮,sub,裡,,襯,遐,True
M1_0088,stt2,page_0160,9,GOLD,s1_inter_s2_direct,寺,thì,寺,56,者,者,者,毒,sub,青,寺,者,,True
M1_0089,stt2,page_0064,9,GOLD,s1_inter_s2_direct,垩,thánh,垩,33,至,至,至,堇,sub,垂,董,十,,True
M1_0090,stt2,page_0282,1,GOLD,s1_inter_s2_direct,悲,bây,悲,27,貴,貴,貴,悲,eq,非,业,非,峨,True
M1_0091,stt2,page_0304,5,GOLD,s1_inter_s2_direct,世,thế,世,78,世,世,世,,del,世,世,世,一,True
M1_0092,stt2,page_0218,3,GOLD,s1_inter_s2_direct,打,đánh,打,6,打,打,打,打,eq,打,五,打,,True
M1_0093,stt2,page_0330,4,GOLD,s1_inter_s2_direct,之,chi,之,60,之,之,之,之,eq,之,之,,,True
M1_0094,stt2,page_0318,7,GOLD,s1_inter_s2_direct,義,nghĩa,義,10,,,,義,eq,仲,博,仲,遲,True
M1_0095,stt2,page_0138,9,GOLD,s1_inter_s2_direct,仍,nhưng,仍,12,仍,仍,仍,似,sub,仍,初,仍,峨,True
M1_0096,stt2,page_0108,7,GOLD,s1_inter_s2_direct,双,song,双,47,双,双,双,双,eq,,双,双,,True
M1_0097,stt2,page_0076,3,GOLD,s1_inter_s2_direct,割,cắt,割,20,壽,壽,壽,割,eq,,的,對,時,True
M1_0098,stt2,page_0216,3,GOLD,s1_inter_s2_direct,神,thần,神,44,天,神,神,神,eq,入,福,入,遠,True
M1_0099,stt2,page_0164,6,GOLD,s1_inter_s2_direct,特,được,特,21,特,特,特,特,eq,特,特,特,,True
M1_0100,stt2,page_0100,2,GOLD,s1_inter_s2_direct,役,việc,役,12,後,後,後,役,eq,役,得,従,峨,True
M1_0101,stt2,page_0172,8,GOLD,s1_inter_s2_direct,曰,viết,曰,2,曰,曰,曰,曰,eq,白,坚,伏,五,True
M1_0102,stt2,page_0128,1,GOLD,s1_inter_s2_direct,麻,mà,麻,21,道,道,道,麻,eq,自,有,真,答,True
M1_0103,stt2,page_0222,8,GOLD,s1_inter_s2_direct,憾,gớm,憾,7,博,博,博,,del,憾,憾,何,,True
M1_0104,stt2,page_0162,1,GOLD,s1_inter_s2_direct,兠,đâu,兠,34,兜,兜,兜,齊,sub,泥,虎,先,,True
M1_0105,stt2,page_0200,7,GOLD,s1_inter_s2_direct,扛,giăng,扛,22,江,江,江,弘,sub,拉,工,招,,True
M1_0106,stt2,page_0120,9,GOLD,s1_inter_s2_direct,黙,mặc,黙,25,點,點,點,點,sub,,,聖,,True
M1_0107,stt2,page_0190,1,GOLD,s1_inter_s2_direct,眉,mày,眉,24,共,共,共,眉,eq,共,共,共,峨,True
M1_0108,stt2,page_0062,7,GOLD,s1_inter_s2_direct,渇,khát,渇,14,渴,渴,渴,谒,sub,渴,渴,渇,,True
M1_0109,stt2,page_0156,2,GOLD,s1_inter_s2_direct,吏,lại,吏,55,吏,吏,吏,走,sub,生,王,,,True
M1_0110,stt2,page_0312,1,GOLD,s1_inter_s2_direct,主,chúa,主,2,德,德,德主,主,eq,王,他,僊,主,True
M1_0111,stt2,page_0212,6,GOLD,s1_inter_s2_direct,寺,thì,寺,56,詩,詩,詩,,del,大,太,入,言,True
M1_0112,stt2,page_0014,3,GOLD,s1_inter_s2_direct,意,ý,意,43,補,補,補,意,eq,何,确,俯,,True
M1_0113,stt2,page_0130,9,GOLD,s1_inter_s2_direct,魂,hồn,魂,28,魂,魂,魂,魂,eq,魂,魂,誼,,True
M1_0114,stt2,page_0060,7,GOLD,s1_inter_s2_direct,衣,ấy,衣,32,反,反,反,代,sub,伐,,依,者,True
M1_0115,stt2,page_0058,4,GOLD,s1_inter_s2_direct,末,mất,末,48,綿,綿,綿,縝,sub,鄭,常,端,一,True
M1_0116,stt2,page_0250,7,GOLD,s1_inter_s2_direct,朱,cho,朱,12,朱,朱,朱,朱,eq,来,朱,朱,朱,True
M1_0117,stt2,page_0256,8,GOLD,s1_inter_s2_direct,役,việc,役,12,役,役,役,役,eq,役,役,従,,True
M1_0118,stt2,page_0046,6,GOLD,s1_inter_s2_direct,如,như,如,16,活,活,活,如,eq,古,后,巧,,True
M1_0119,stt2,page_0148,8,GOLD,s1_inter_s2_direct,旦,đến,旦,21,旦,旦,旦醫,旦,eq,油,油,曲,,True
M1_0120,stt2,page_0080,8,GOLD,s1_inter_s2_direct,道,đạo,道,40,里,里,里道,道,eq,毛,華,丑,,True
M1_0121,stt2,page_0082,2,GOLD,s1_inter_s2_direct,浪,răng,浪,16,辰,,,,del,底,陈,竹,,True
M1_0122,stt2,page_0032,9,GOLD,s1_inter_s2_direct,代,dạy,代,14,將,將,將,代,eq,田,时,时,,True
M1_0123,stt2,page_0048,8,GOLD,s1_inter_s2_direct,之,gì,之,16,之,之,之,之,eq,之,之,之,一,True
M1_0124,stt2,page_0272,6,GOLD,s1_inter_s2_direct,於,ở,於,20,等,等,等,容,sub,丁,寸,寺,,True
M1_0125,stt2,page_0234,7,GOLD,s1_inter_s2_direct,中,trong,中,52,中,中,中斧,中,eq,中,中,竹,中,True
M1_0126,stt2,page_0232,5,GOLD,s1_inter_s2_direct,悲,bấy,悲,34,悲,悲,悲,悲,eq,心,心,恙,遊,True
M1_0127,stt2,page_0204,3,GOLD,s1_inter_s2_direct,因,nhân,因,52,因,因,因孟,因,eq,英,因,並,因,True
M1_0128,stt2,page_0050,8,GOLD,s1_inter_s2_direct,垩,thánh,垩,33,奪,奪,奪,垂,sub,李,李,等,,True
M1_0129,stt2,page_0094,1,GOLD,s1_inter_s2_direct,命,mình,命,12,命,常,常,命,eq,吊,金,弟,,True
M1_0130,stt2,page_0034,9,GOLD,s1_inter_s2_direct,重,chồng,重,21,重,重,重,,del,重,重,重,,True
M1_0131,stt2,page_0324,2,GOLD,s1_inter_s2_direct,欣,hơn,欣,9,旅,旅,旅,欣,eq,山,旅,坎,,True
M1_0132,stt2,page_0214,6,GOLD,s1_inter_s2_direct,生,sinh,生,23,生,君,君,在,sub,在,在,在,峨,True
M1_0133,stt2,page_0180,7,GOLD,s1_inter_s2_direct,塊,khỏi,塊,3,鬼,鬼,鬼,,del,地,望,筵,,True
M1_0134,stt2,page_0290,2,GOLD,s1_inter_s2_direct,事,sự,事,16,發,發,發,事,eq,徐,徐,登,,True
M1_0135,stt2,page_0126,9,GOLD,s1_inter_s2_direct,寺,thì,寺,56,壽,壽,壽,奇,sub,毒,青,寺,一,True
M1_0136,stt2,page_0096,6,GOLD,s1_inter_s2_direct,共,cùng,共,44,共,,,共,eq,指,,始,非,True
M1_0137,stt2,page_0294,4,GOLD,s1_inter_s2_direct,恩,ơn,恩,3,恩,恩,恩,,del,恩,恩,恩,,True
M1_0138,stt2,page_0242,6,GOLD,s1_inter_s2_direct,几,kẻ,几,19,几,几,几,几,eq,永,子,来,几,True
M1_0139,stt2,page_0150,7,GOLD,s1_inter_s2_direct,特,được,特,21,特,特,特,特,eq,特,特,符,,True
M1_0140,stt2,page_0104,1,GOLD,s1_inter_s2_direct,命,mình,命,12,傷,麗,麗,命,eq,,,尋,,True
M1_0141,stt2,page_0226,6,GOLD,s1_inter_s2_direct,仍,những,仍,8,仍,仍,仍,侣,sub,它,破,仍,,True
M1_0142,stt2,page_0022,5,GOLD,s1_inter_s2_direct,碎,tôi,碎,17,碎,碎,碎,碎,eq,碎,有,,,True
M1_0143,stt2,page_0042,9,GOLD,s1_inter_s2_direct,其,kia,其,25,具,具,具,具,sub,基,是,具,,True
M1_0144,stt2,page_0266,4,GOLD,s1_inter_s2_direct,些,ta,些,55,來,來,來,些,eq,朱,来,朱,心,True
M1_0145,stt2,page_0262,3,GOLD,s1_inter_s2_direct,連,lên,連,14,連,連,連,連,eq,連,連,连,,True
M1_0146,stt2,page_0258,3,GOLD,s1_inter_s2_direct,下,hạ,下,33,下,下,下,下,eq,下,下,今,,True
M1_0147,stt2,page_0196,2,GOLD,s1_inter_s2_direct,旦,đến,旦,21,旦,旦,旦,旦,eq,白,品,曰,,True
M1_0148,stt2,page_0184,6,GOLD,s1_inter_s2_direct,支,giê,支,9,支,支,支,支,eq,支,五,立,,True
M1_0149,stt2,page_0202,7,GOLD,s1_inter_s2_direct,語,ngỡ,語,8,語,語,語,,del,語,語,語,,True
M1_0150,stt2,page_0300,9,GOLD,s1_inter_s2_direct,連,liên,連,42,連,連,連,連,eq,,道,连,答,True
M1_0151,stt2,page_0326,5,GOLD,s1_inter_s2_direct,朱,cho,朱,12,朱,畢,畢朱,朱,eq,李,未,子,朱,True
M1_0152,stt2,page_0068,9,GOLD,s1_inter_s2_direct,命,mình,命,12,命,命,命,命,eq,一,,令,峨,True
M1_0153,stt2,page_0044,4,GOLD,s1_inter_s2_direct,悲,bấy,悲,34,悲,悲,悲,悲,eq,夢,發,悲,玖,True
M1_0154,stt2,page_0112,8,GOLD,s1_inter_s2_direct,朱,cho,朱,12,朱,朱,朱,朱,eq,峨,束,朱,峨,True
M1_0155,stt2,page_0310,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,畢,畢,畢,寻,sub,别,子,祭,,True
M1_0156,stt2,page_0280,6,GOLD,s1_inter_s2_direct,女,nữa,女,5,女,女,女,女,eq,女,女,女,答,True
M1_0157,stt2,page_0090,5,GOLD,s1_inter_s2_direct,於,ở,於,20,公,公,公,,del,四,公,曰,峨,True
M1_0158,stt2,page_0124,2,GOLD,s1_inter_s2_direct,朱,cho,朱,12,來,來,來,要,sub,来,荣,京,,True
M1_0159,stt2,page_0264,1,GOLD,s1_inter_s2_direct,共,cùng,共,44,共,共,共魂,共,eq,寒,等,等,,True
M1_0160,stt2,page_0252,8,GOLD,s1_inter_s2_direct,也,đã,也,16,也,也,也,,del,也,色,屯,心,True
M1_0161,stt2,page_0308,1,GOLD,s1_inter_s2_direct,年,sao,年,105,年,年,年,年,eq,年,年,年,年,True
M1_0162,stt2,page_0132,9,GOLD,s1_inter_s2_direct,特,được,特,21,特,特,特,特,eq,特,特,特,,True
M1_0163,stt2,page_0072,5,GOLD,s1_inter_s2_direct,時,ngày,時,11,,,,蚕,sub,時,時,時,一,True
M1_0164,stt2,page_0140,8,GOLD,s1_inter_s2_direct,之,gì,之,16,之,之,之理,之,eq,楚,芝,生,,True
M1_0165,stt2,page_0066,6,GOLD,s1_inter_s2_direct,浪,rằng,浪,12,辰,辰,辰,痕,sub,晨,浪,福,,True
M1_0166,stt2,page_0036,6,GOLD,s1_inter_s2_direct,麻,mà,麻,21,麻,麻,麻,麻,eq,麻,麻,床,,True
M1_0167,stt2,page_0078,2,GOLD,s1_inter_s2_direct,别,biết,别,30,別,,,,del,烯,都,师,削,True
M1_0168,stt2,page_0114,4,GOLD,s1_inter_s2_direct,代,đời,代,7,代,代,代些,代,eq,我,牧,代,代,True
M1_0169,stt2,page_0170,7,GOLD,s1_inter_s2_direct,星,tinh,星,59,星,星,星,星,eq,星,星,星,,True
M1_0170,stt2,page_0052,2,GOLD,s1_inter_s2_direct,曰,viết,曰,2,曰,曰,曰,曰,eq,桌,票,是,,True
M1_0171,stt2,page_0166,7,GOLD,s1_inter_s2_direct,曳,dái,曳,12,申,申,申,歬,sub,事,中,李,峨,True
M1_0172,stt2,page_0328,8,GOLD,s1_inter_s2_direct,奴,nó,奴,6,便,便,便,奴,eq,,风,处,峨,True
M1_0173,stt2,page_0174,3,GOLD,s1_inter_s2_direct,吏,lại,吏,55,但,但,但吏,吏,eq,事,起,兰,,True
M1_0174,stt2,page_0092,8,GOLD,s1_inter_s2_direct,吏,lại,吏,55,吏,吏,吏,吏,eq,交,,李,,True
M1_0175,stt2,page_0084,6,GOLD,s1_inter_s2_direct,代,dạy,代,14,而,而,而,戕,sub,因,,閑,阅,True
M1_0176,stt2,page_0236,7,GOLD,s1_inter_s2_direct,体,thấy,体,15,休,休,休,体,eq,休,体,体,,True
M1_0177,stt2,page_0322,3,GOLD,s1_inter_s2_direct,自,từ,自,52,自,自,自,自,eq,自,自,自,,True
M1_0178,stt2,page_0276,3,GOLD,s1_inter_s2_direct,几,kẻ,几,19,几,几,几,几,eq,元,元,九,九,True
M1_0179,stt2,page_0284,3,GOLD,s1_inter_s2_direct,古,của,古,8,去,去,去,,del,云,,去,,True
M1_0180,stt2,page_0246,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,麻,麻,麻,等,sub,,母,纳,,True
M1_0181,stt2,page_0016,1,GOLD,s1_inter_s2_direct,迈,mươi,迈,13,返,返,返,迈,eq,近,迈,迈,古,True
M1_0182,stt2,page_0110,3,GOLD,s1_inter_s2_direct,執,chấp,執,30,執,執,執,軌,sub,机,新,乾,,True
M1_0183,stt2,page_0176,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,景,景,景,景,sub,是,,景,,True
M1_0184,stt2,page_0306,2,GOLD,s1_inter_s2_direct,德,đức,德,21,德,德,德,,del,上,,上,,True
M1_0185,stt2,page_0146,9,GOLD,s1_inter_s2_direct,奴,nó,奴,6,朱,朱,朱,奴,eq,余,条,,,True
M1_0186,stt2,page_0316,3,GOLD,s1_inter_s2_direct,也,đã,也,16,也,也,也,,del,也,也,也,峨,True
M1_0187,stt2,page_0020,3,GOLD,s1_inter_s2_direct,獅,sư,獅,38,獅,獅,獅,,del,师,,师,,True
M1_0188,stt2,page_0106,5,GOLD,s1_inter_s2_direct,代,dạy,代,14,代,官,官,代,eq,,北,艾,,True
M1_0189,stt2,page_0314,7,GOLD,s1_inter_s2_direct,時,thì,時,56,時,,,時,eq,丁,守,守,,True
M1_0190,stt2,page_0152,3,GOLD,s1_inter_s2_direct,仍,những,仍,8,仍,仍,仍,仍,eq,极,福,仍,,True
M1_0191,stt2,page_0178,2,GOLD,s1_inter_s2_direct,悲,bấy,悲,34,卷,卷,卷,餘,sub,苦,地,姑,峙,True
M1_0192,stt2,page_0074,6,GOLD,s1_inter_s2_direct,主,chúa,主,2,尋,尋,尋,主,eq,对,时,对,,True
M1_0193,stt2,page_0018,4,GOLD,s1_inter_s2_direct,渚,chớ,渚,19,渚,渚,渚,渚,eq,诸,诸,溶,境,True
M1_0194,stt2,page_0238,4,GOLD,s1_inter_s2_direct,軍,quân,軍,65,軍,軍,軍,軍,eq,,軍,年,,True
M1_0195,stt2,page_0142,4,GOLD,s1_inter_s2_direct,歇,hết,歇,23,歇,歇,歇,歇,eq,歌,歇,歇,一,True
M1_0196,stt2,page_0056,4,GOLD,s1_inter_s2_direct,朱,cho,朱,12,朱,朱,朱,朱,eq,朱,朱,朱,,True
M1_0197,stt2,page_0302,5,GOLD,s1_inter_s2_direct,窣,tốt,窣,23,宰,宰,宰,宰,sub,宰,宰,宰,,True
M1_0198,stt2,page_0122,4,GOLD,s1_inter_s2_direct,命,mình,命,12,命,命,命,命,eq,命,命,奈,,True
M1_0199,stt2,page_0028,1,GOLD,s1_inter_s2_direct,欺,khi,欺,31,欺,欺,欺,,del,联,欺,箴,,True
M1_0200,stt4,page_0294,2,GOLD,s1_inter_s2_direct,碎,tôi,碎,17,碑,碑,碑,碎,eq,碎,碎,碎,,True
M1_0201,stt4,page_0084,8,GOLD,s1_inter_s2_direct,連,lên,連,14,連,,,連,eq,運,連,連,人,True
M1_0202,stt4,page_0028,5,GOLD,s1_inter_s2_direct,禁,cấm,禁,12,葉,葉,葉,禁,eq,,,莞,二,True
M1_0203,stt4,page_0292,7,GOLD,s1_inter_s2_direct,畧,trước,畧,29,畧,畧,畧,罂,sub,客,器,畧,,True
M1_0204,stt4,page_0182,7,GOLD,s1_inter_s2_direct,丕,vậy,丕,8,玉,玉,玉,,del,玉,玉,歪,,True
M1_0205,stt4,page_0060,6,GOLD,s1_inter_s2_direct,旦,đến,旦,21,旦,旦,旦,旦,eq,,,,四,True
