sample_id,book,page,column,tier,rule,K,syllable,label,R_size,P,P_y,P_all,G,G_op,P6c,P5c,PVL,Gf,K_inR
M3_0062,stt2,page_0142_p0132,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,子,寻,等,,True
M3_0063,stt2,page_0162,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,葬,葬,葬,可,sub,好,好,竹,,True
M3_0064,stt2,page_0234,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,義,義,義,義,sub,寻,,等,,True
M3_0065,stt2,page_0052,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,寻,sub,导,导,尊,,True
M3_0066,stt2,page_0210,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,,,,寻,sub,导,享,古,答,True
M3_0067,stt4,page_0066,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,导,sub,寻,导,导,,True
M3_0068,stt2,page_0180,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,等,,一,,True
M3_0069,stt2,page_0122,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,暑,sub,,号,奇,,True
M3_0070,stt4,page_0234,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,尋,等,得,,True
M3_0071,stt2,page_0094,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,寻,sub,寻,享,享,,True
M3_0072,stt2,page_0214,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,壽,壽,壽,寻,sub,西,商,甘,答,True
M3_0073,stt2,page_0050,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,景,景,景,寻,sub,如,,廿,遠,True
M3_0074,stt2,page_0036,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,撰,撰,撰,寻,sub,次,保,大,,True
M3_0075,stt2,page_0142_p0132,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,寻,sub,等,等,诗,,True
M3_0076,stt2,page_0200,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,餘,餘,餘,等,sub,徐,徐,徐,峨,True
M3_0077,stt11,page_0010_p0220,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,导,sub,身,写,先,一,True
M3_0078,stt2,page_0222,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,寻,寻,等,,True
M3_0079,stt2,page_0216,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,寻,sub,地,,卅,,True
M3_0080,stt11,page_0128,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,导,sub,尊,早,导,,True
M3_0081,stt2,page_0052,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,景,景,景,,del,哥,哥,寄,一,True
M3_0082,stt2,page_0104,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,押,書,書,,del,等,,等,,True
M3_0083,stt2,page_0020,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,守,等,寺,,True
M3_0084,stt11,page_0162,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,其,其,其點,,del,量,,太,,True
M3_0085,stt2,page_0318,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,不,不,导,sub,导,尊,导,,True
M3_0086,stt2,page_0116,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,處,sub,,香,寺,,True
M3_0087,stt2,page_0120,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,,,寻,sub,等,喜,等,,True
M3_0088,stt2,page_0038,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,,del,等,等,等,,True
M3_0089,stt2,page_0124,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,,导,,True
M3_0090,stt2,page_0170,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,麻,麻,罟,sub,丁,可,寸,,True
M3_0091,stt2,page_0076,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,,,,寻,sub,,好,艾,,True
M3_0092,stt2,page_0152,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,導,等,等,,True
M3_0093,stt11,page_0252,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,导,sub,导,导,导,一,True
M3_0094,stt4,page_0094,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,寻,尊,,True
M3_0095,stt11,page_0222,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,导,sub,抄,,扬,峨,True
M3_0096,stt4,page_0282,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,三,sub,,,,,True
M3_0097,stt2,page_0060,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,寻,sub,得,等,等,,True
M3_0098,stt2,page_0014,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,骨,sub,导,中,等,空,True
M3_0099,stt2,page_0048,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,,del,守,,等,,True
M3_0100,stt2,page_0298,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,景,丕,丕,导,sub,草,享,皇,,True
M3_0101,stt2,page_0292,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,导,sub,导,从,尊,,True
M3_0102,stt2,page_0240,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,导,sub,导,寻,尊,,True
M3_0103,stt2,page_0154,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,哥,sub,守,守,等,,True
M3_0104,stt2,page_0142_p0132,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,导,寻,导,,True
M3_0105,stt2,page_0322,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,凡,凡,凡,等,sub,生,清,李,礼,True
M3_0106,stt2,page_0110,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,景,sub,等,,等,,True
M3_0107,stt2,page_0118,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,,del,寻,号,等,,True
M3_0108,stt2,page_0320,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,,del,,导,寺,一,True
M3_0109,stt2,page_0012,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,痕,,,寻,sub,等,等,尊,,True
M3_0110,stt11,page_0224,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,畢,畢,畢,旱,sub,是,是,等,一,True
M3_0111,stt11,page_0226,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,燒,燒,燒,导,sub,兒,洗,洗,見,True
M3_0112,stt11,page_0132,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,导,sub,寻,寻,导,导,True
M3_0113,stt2,page_0050,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,者,sub,导,导,尊,,True
M3_0114,stt2,page_0036,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,号,号,人,一,True
M3_0115,stt11,page_0144,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,爲,爲,爲,為,sub,冯,馬,馮,,True
M3_0116,stt2,page_0300,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,等,sub,等,等,等,,True
M3_0117,stt11,page_0270,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,命,命,命,寻,sub,脚,心,仲,,True
M3_0118,stt2,page_0308,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,寻,sub,导,享,旱,,True
M3_0119,stt4,page_0228,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,哈,哈,哈,寻,sub,空,哈,弔,,True
M3_0120,stt2,page_0196,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,哥,导,,True
M3_0121,stt4,page_0050,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,喜,sub,号,等,焉,,True
M3_0122,stt11,page_0062,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,燒,燒,燒,學,sub,烧,燒,烧,目,True
M3_0123,stt2,page_0032,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,寻,sub,是,寻,尊,山,True
M3_0124,stt4,page_0300,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,弄,弄,弄,寻,sub,三,外,才,升,True
M3_0125,stt4,page_0234,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,庭,庭,寻,sub,庶,年,先,,True
M3_0126,stt2,page_0302,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,欺,欺,导,sub,旱,标,刧,,True
M3_0127,stt2,page_0318,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,,del,导,导,导,一,True
M3_0128,stt4,page_0232,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,寻,sub,寻,导,导,,True
M3_0129,stt2,page_0196,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,遜,,,寻,sub,导,母,巡,,True
M3_0130,stt2,page_0156,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,,del,學,,等,,True
M3_0131,stt11,page_0222,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,导,sub,导,享,导,一,True
M3_0132,stt2,page_0052,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,,del,是,等,等,,True
M3_0133,stt2,page_0050,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,,del,寻,导,导,,True
M3_0134,stt2,page_0150,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,諸,諸,寻,sub,守,,伯,,True
M3_0135,stt2,page_0048,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,,武,等,,True
M3_0136,stt2,page_0194,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,如,华,地,界,True
M3_0137,stt4,page_0132,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,有,有,有,寻,sub,字,寻,导,,True
M3_0138,stt2,page_0212,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,是,等,等,,True
M3_0139,stt11,page_0194,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,导,sub,星,寻,旱,,True
M3_0140,stt2,page_0014,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,寻,sub,事,我,奇,,True
M3_0141,stt11,page_0182,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,旱,旱,旱,旱,sub,旱,旱,尊,,True
M3_0142,stt4,page_0172,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,,del,得,,导,,True
M3_0143,stt4,page_0260,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,,del,木,木,木,崡,True
M3_0144,stt4,page_0210,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,字,享,一,,True
M3_0145,stt4,page_0288,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,导,导,导,,True
M3_0146,stt11,page_0162,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,燒,燒,燒,匙,sub,,,,,True
M3_0147,stt2,page_0156,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,导,子,智,,True
M3_0148,stt2,page_0296,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,导,sub,等,导,守,,True
M3_0149,stt2,page_0044,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,寻,sub,等,等,导,,True
M3_0150,stt11,page_0122,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,导,sub,是,寻,旱,,True
M3_0151,stt4,page_0174,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,每,,等,,True
M3_0152,stt2,page_0318,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,寻,sub,寻,寻,导,,True
M3_0153,stt11,page_0112,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,畢,畢,畢,,del,寻,寻,旱,,True
M3_0154,stt2,page_0272,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,导,sub,导,导,导,,True
M3_0155,stt2,page_0146,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,得,得,得,,del,是,寻,等,,True
M3_0156,stt11,page_0292,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,門,,,导,sub,日,,均,,True
M3_0157,stt2,page_0292,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寧,尊,等,,True
M3_0158,stt11,page_0194,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,固,,,早,sub,四,回,白,言,True
M3_0159,stt4,page_0298,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,过,尊,尊,,True
M3_0160,stt2,page_0168,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,朱,朱,朱,寻,sub,今,文,早,答,True
M3_0161,stt11,page_0282,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,早,早,早,导,sub,厚,付,付,,True
M3_0162,stt11,page_0100,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,是,凤,导,答,True
M3_0163,stt11,page_0278,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,身,身,身還,导,sub,尊,,尊,,True
M3_0164,stt2,page_0118,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,享,等,,True
M3_0165,stt2,page_0066,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,寻,寻,等,,True
M3_0166,stt2,page_0328,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,景,景,景,等,sub,,,此,,True
M3_0167,stt11,page_0232,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,导,sub,几,忆,忆,答,True
M3_0168,stt2,page_0220,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,,del,寻,哥,等,,True
M3_0169,stt2,page_0286,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,景,sub,星,望,皇,,True
M3_0170,stt4,page_0170,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,导,享,,,True
M3_0171,stt2,page_0324,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,旱,旱,旱,是,sub,是,,景,,True
M3_0172,stt2,page_0220,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,留,sub,是,景,景,,True
M3_0173,stt2,page_0192,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,康,康,康,寻,sub,屠,磨,虎,,True
M3_0174,stt4,page_0196,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,擒,擒,擒,寻,sub,寻,寻,寻,,True
M3_0175,stt2,page_0034,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,艾,好,如,,True
M3_0176,stt2,page_0314,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,旱,旱,旱,导,sub,本,杰,木,,True
M3_0177,stt2,page_0094,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,吃,吃,吃,哥,sub,,心,艺,曰,True
M3_0178,stt4,page_0224,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,學,寻,寻,,True
M3_0179,stt2,page_0124,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,等,导,等,曰,True
M3_0180,stt2,page_0126,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,朱,朱,朱,暑,sub,喜,,今,,True
M3_0181,stt2,page_0040,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,寻,寻,尊,,True
M3_0182,stt11,page_0256,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,忌,忌,忌,,del,导,尊,导,,True
M3_0183,stt2,page_0308,9,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,草,母,时,时,True
M3_0184,stt11,page_0092,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,导,sub,寻,寻,早,,True
M3_0185,stt11,page_0034,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,意,sub,早,早,旱,,True
M3_0186,stt2,page_0304,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,景,景,景,寻,sub,,号,景,,True
M3_0187,stt2,page_0290,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,导,sub,等,导,等,,True
M3_0188,stt2,page_0212,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,是,是,是,寻,sub,等,,等,,True
M3_0189,stt2,page_0240,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,等,寻,等,,True
M3_0190,stt2,page_0110,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,老,老,老得,寻,sub,尼,寻,生,,True
M3_0191,stt4,page_0244,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,仍,尋,尋,哥,sub,,化,但,,True
M3_0192,stt2,page_0256,8,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,导,sub,导,母,故,,True
M3_0193,stt4,page_0172,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,,,弓,,True
M3_0194,stt4,page_0264,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,寻,sub,等,,导,,True
M3_0195,stt2,page_0220,7,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,景,景,景,寻,sub,导,,等,,True
M3_0196,stt2,page_0130,2,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,等,等,等,吆,sub,,武,等,,True
M3_0197,stt2,page_0268,4,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,导,寻,公,,True
M3_0198,stt2,page_0026,1,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,寻,sub,是,,尊,,True
M3_0199,stt4,page_0262,5,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,,del,号,导,导,,True
M3_0200,stt2,page_0054,3,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,尋,尋,尋,号,sub,子,等,奇,,True
