ヌ	U+30CC
嚵	U+56B5
嚶	U+56B6
囉	U+56C9
囐	U+56D0
囖	U+56D6
囚	U+56DA
囝	U+56DD
回	U+56DE
团	U+56E2
囤	U+56E4
囦	U+56E6
园	U+56ED
囯	U+56EF
围	U+56F4
固	U+56FA
囻	U+56FB
国	U+56FD
囿	U+56FF
圄	U+5704
圅	U+5705
圆	U+5706
圈	U+5708
圉	U+5709
圊	U+570A
國	U+570B
圍	U+570D
圏	U+570F
團	U+5718
土	U+571F
圡	U+5721
圣	U+5723
圤	U+5724
圩	U+5729
圫	U+572B
圭	U+572D
圱	U+5731
圲	U+5732
圽	U+573D
坆	U+5746
坌	U+574C
坎	U+574E
坔	U+5754
坖	U+5756
坡	U+5761
坤	U+5764
坳	U+5773
坺	U+577A
坻	U+577B
坼	U+577C
垎	U+578E
垕	U+5795
垝	U+579D
垦	U+57A6
垩	U+57A9
垯	U+57AF
垰	U+57B0
埃	U+57C3
埆	U+57C6
埋	U+57CB
城	U+57CE
埏	U+57CF
埘	U+57D8
埶	U+57F6
基	U+57FA
堂	U+5802
堆	U+5806
堇	U+5807
堊	U+580A
堏	U+580F
堐	U+5810
堠	U+5820
堭	U+582D
堯	U+582F
堲	U+5832
堵	U+5835
堿	U+583F
塊	U+584A
塒	U+5852
塘	U+5858
塙	U+5859
塚	U+585A
塠	U+5860
填	U+586B
墉	U+5889
墎	U+588E
墓	U+5893
墧	U+58A7
墴	U+58B4
壂	U+58C2
壇	U+58C7
壈	U+58C8
壙	U+58D9
壩	U+58E9
士	U+58EB
壳	U+58F3
夂	U+5902
备	U+5907
夈	U+5908
复	U+590D
夏	U+590F
夕	U+5915
多	U+591A
夝	U+591D
夥	U+5925
夦	U+5926
大	U+5927
天	U+5929
太	U+592A
夬	U+592C
央	U+592E
失	U+5931
夲	U+5932
头	U+5934
夷	U+5937
夾	U+593E
奇	U+5947
奔	U+5954
女	U+5973
奾	U+597E
如	U+5982
妈	U+5988
妑	U+5991
妛	U+599B
妢	U+59A2
妬	U+59AC
妸	U+59B8
妻	U+59BB
姣	U+59E3
姨	U+59E8
姴	U+59F4
姽	U+59FD
威	U+5A01
娆	U+5A06
娎	U+5A0E
娘	U+5A18
娜	U+5A1C
娥	U+5A25
娿	U+5A3F
婀	U+5A40
婂	U+5A42
婆	U+5A46
婐	U+5A50
婪	U+5A6A
婫	U+5A6B
婭	U+5A6D
婱	U+5A71
婴	U+5A74
媒	U+5A92
媓	U+5A93
媖	U+5A96
媥	U+5AA5
媸	U+5AB8
媽	U+5ABD
嫛	U+5ADB
嫫	U+5AEB
嬈	U+5B08
嬑	U+5B11
嬖	U+5B16
嬤	U+5B24
嬰	U+5B30
嬷	U+5B37
孆	U+5B46
子	U+5B50
孖	U+5B56
存	U+5B58
孾	U+5B7E
它	U+5B83
宅	U+5B85
安	U+5B89
宊	U+5B8A
宋	U+5B8B
宐	U+5B90
宜	U+5B9C
実	U+5B9F
客	U+5BA2
宫	U+5BAB
宮	U+5BAE
害	U+5BB3
家	U+5BB6
容	U+5BB9
寺	U+5BFA
少	U+5C11
尖	U+5C16
尗	U+5C17
尛	U+5C1B
尺	U+5C3A
尼	U+5C3C
尽	U+5C3D
屄	U+5C44
屉	U+5C49
屙	U+5C59
屜	U+5C5C
屟	U+5C5F
屧	U+5C67
屯	U+5C6F
岃	U+5C83
岉	U+5C89
岎	U+5C8E
岙	U+5C99
岞	U+5C9E
岥	U+5CA5
岸	U+5CB8
峕	U+5CD5
峜	U+5CDC
峨	U+5CE8
峺	U+5CFA
嶓	U+5D93
嶱	U+5DB1
巊	U+5DCA
巛	U+5DDB
工	U+5DE5
巨	U+5DE8
差	U+5DEE
巳	U+5DF3
巴	U+5DF4
巺	U+5DFA
巽	U+5DFD
巾	U+5DFE
巿	U+5DFF
市	U+5E02
布	U+5E03
希	U+5E0C
帝	U+5E1D
席	U+5E2D
常	U+5E38
帿	U+5E3F
年	U+5E74
并	U+5E76
幼	U+5E7C
幾	U+5E7E
広	U+5E83
庄	U+5E84
庅	U+5E85
庋	U+5E8B
庒	U+5E92
库	U+5E93
底	U+5E95
店	U+5E97
庛	U+5E9B
庞	U+5E9E
庥	U+5EA5
度	U+5EA6
庪	U+5EAA
庶	U+5EB6
庸	U+5EB8
庻	U+5EBB
廈	U+5EC8
廣	U+5EE3
廩	U+5EE9
廪	U+5EEA
廾	U+5EFE
廿	U+5EFF
弄	U+5F04
弅	U+5F05
弋	U+5F0B
弤	U+5F24
弮	U+5F2E
弯	U+5F2F
強	U+5F37
彈	U+5F48
彊	U+5F4A
彦	U+5F66
彨	U+5F68
彲	U+5F72
彳	U+5F73
彴	U+5F74
彻	U+5F7B
待	U+5F85
後	U+5F8C
徐	U+5F90
得	U+5F97
徙	U+5F99
徜	U+5F9C
徧	U+5FA7
徨	U+5FA8
循	U+5FAA
徱	U+5FB1
徳	U+5FB3
德	U+5FB7
必	U+5FC5
忊	U+5FCA
忌	U+5FCC
忍	U+5FCD
忏	U+5FCF
忝	U+5FDD
忺	U+5FFA
忻	U+5FFB
怃	U+6003
怛	U+601B
思	U+601D
怡	U+6021
怩	U+6029
恐	U+6050
恑	U+6051
恕	U+6055
恪	U+606A
恴	U+6074
悇	U+6087
悉	U+6089
悌	U+608C
悕	U+6095
悥	U+60A5
悫	U+60AB
悲	U+60B2
悳	U+60B3
惚	U+60DA
惞	U+60DE
惡	U+60E1
惪	U+60EA
惱	U+60F1
惶	U+60F6
惽	U+60FD
愍	U+610D
意	U+610F
愐	U+6110
愨	U+6128
愬	U+612C
慄	U+6144
慤	U+6164
慵	U+6175
憵	U+61B5
憶	U+61B6
懔	U+61D4
懭	U+61ED
懯	U+61EF
懿	U+61FF
戎	U+620E
戚	U+621A
戝	U+621D
戤	U+6224
戧	U+6227
戫	U+622B
扁	U+6241
扃	U+6243
扇	U+6247
扉	U+6249
才	U+624D
扎	U+624E
払	U+6255
托	U+6258
扜	U+625C
扡	U+6261
扥	U+6265
扦	U+6266
扵	U+6275
扺	U+627A
扻	U+627B
扽	U+627D
承	U+627F
抁	U+6281
抈	U+6288
把	U+628A
抌	U+628C
抍	U+628D
抑	U+6291
抒	U+6292
折	U+6298
抡	U+62A1
披	U+62AB
抬	U+62AC
抴	U+62B4
抵	U+62B5
拆	U+62C6
拎	U+62CE
拖	U+62D6
拗	U+62D7
拜	U+62DC
拝	U+62DD
拞	U+62DE
拟	U+62DF
拪	U+62EA
拯	U+62EF
拱	U+62F1
拲	U+62F2
拳	U+62F3
拸	U+62F8
持	U+6301
挗	U+6317
挙	U+6319
挧	U+6327
挪	U+632A
挴	U+6334
挵	U+6335
挼	U+633C
捇	U+6347
捈	U+6348
捓	U+6353
捧	U+6367
捼	U+637C
掄	U+6384
掋	U+638B
掌	U+638C
措	U+63AA
掱	U+63B1
掲	U+63B2
掺	U+63BA
揅	U+63C5
揌	U+63CC
提	U+63D0
揑	U+63D1
揚	U+63DA
揮	U+63EE
揰	U+63F0
揶	U+63F6
搁	U+6401
搈	U+6408
搉	U+6409
搊	U+640A
搘	U+6418
搞	U+641E
搩	U+6429
搫	U+642B
搰	U+6430
搷	U+6437
摛	U+645B
摩	U+6469
摵	U+6475
摻	U+647B
撄	U+6484
撜	U+649C
撝	U+649D
撟	U+649F
播	U+64AD
撰	U+64B0
擂	U+64C2
擱	U+64F1
擵	U+64F5
擻	U+64FB
擿	U+64FF
攂	U+6502
攉	U+6509
攖	U+6516
攠	U+6520
支	U+652F
故	U+6545
敇	U+6547
效	U+6548
敕	U+6555
敘	U+6558
散	U+6563
敬	U+656C
数	U+6570
數	U+6578
斉	U+6589
斗	U+6597
斜	U+659C
斠	U+65A0
於	U+65BC
日	U+65E5
旦	U+65E6
旯	U+65EF
时	U+65F6
旹	U+65F9
昂	U+6602
昆	U+6606
昊	U+660A
昌	U+660C
明	U+660E
昒	U+6612
易	U+6613
春	U+6625
昦	U+6626
昵	U+6635
時	U+6642
晃	U+6643
晕	U+6655
晜	U+665C
晨	U+6668
暇	U+6687
暗	U+6697
暢	U+66A2
曀	U+66C0
曊	U+66CA
曟	U+66DF
曠	U+66E0
更	U+66F4
月	U+6708
朋	U+670B
朗	U+6717
朙	U+6719
朝	U+671D
朧	U+6727
木	U+6728
朩	U+6729
未	U+672A
末	U+672B
本	U+672C
札	U+672D
朱	U+6731
朳	U+6733
朿	U+673F
杏	U+674F
杓	U+6753
杙	U+6759
杜	U+675C
束	U+675F
杦	U+6766
東	U+6771
杷	U+6777
杸	U+6778
极	U+6781
枉	U+6789
枌	U+678C
枒	U+6792
枔	U+6794
林	U+6797
枚	U+679A
枝	U+679D
架	U+67B6
枷	U+67B7
柃	U+67C3
柄	U+67C4
柊	U+67CA
柍	U+67CD
某	U+67D0
柢	U+67E2
柴	U+67F4
柵	U+67F5
栀	U+6800
栂	U+6802
栅	U+6805
栗	U+6817
栘	U+6818
栨	U+6828
株	U+682A
核	U+6838
格	U+683C
桃	U+6843
桜	U+685C
桡	U+6861
桩	U+6869
桽	U+687D
梅	U+6885
梌	U+688C
梔	U+6894
梛	U+689B
梜	U+689C
條	U+689D
梞	U+689E
梪	U+68AA
梳	U+68B3
棟	U+68DF
棬	U+68EC
椀	U+6900
椅	U+6905
植	U+690D
椤	U+6924
椮	U+692E
椰	U+6930
椷	U+6937
楃	U+6943
楆	U+6946
楊	U+694A
楍	U+694D
楮	U+696E
楳	U+6973
極	U+6975
榕	U+6995
榖	U+6996
榯	U+69AF
榷	U+69B7
槑	U+69D1
槮	U+69EE
標	U+6A19
樛	U+6A1B
樣	U+6A23
樱	U+6A31
樿	U+6A3F
橈	U+6A48
橡	U+6A61
檠	U+6AA0
檯	U+6AAF
櫲	U+6AF2
櫻	U+6AFB
欚	U+6B1A
欛	U+6B1B
次	U+6B21
欢	U+6B22
欣	U+6B23
欥	U+6B25
歆	U+6B46
歖	U+6B56
歯	U+6B6F
歹	U+6B79
歺	U+6B7A
歾	U+6B7E
歿	U+6B7F
殁	U+6B81
殖	U+6B96
殛	U+6B9B
殦	U+6BA6
殳	U+6BB3
段	U+6BB5
殷	U+6BB7
殹	U+6BB9
殻	U+6BBB
殼	U+6BBC
殿	U+6BBF
毀	U+6BC0
毁	U+6BC1
每	U+6BCF
毢	U+6BE2
氏	U+6C0F
氐	U+6C10
水	U+6C34
氶	U+6C36
氷	U+6C37
永	U+6C38
汀	U+6C40
汇	U+6C47
汏	U+6C4F
汑	U+6C51
汖	U+6C56
汜	U+6C5C
池	U+6C60
汣	U+6C63
汷	U+6C77
沒	U+6C92
沕	U+6C95
沖	U+6C96
沙	U+6C99
沛	U+6C9B
没	U+6CA1
沫	U+6CAB
沲	U+6CB2
治	U+6CBB
泈	U+6CC8
泍	U+6CCD
泑	U+6CD1
泡	U+6CE1
波	U+6CE2
注	U+6CE8
泮	U+6CEE
泱	U+6CF1
泶	U+6CF6
泿	U+6CFF
洏	U+6D0F
洟	U+6D1F
洡	U+6D21
洵	U+6D35
洸	U+6D38
洼	U+6D3C
派	U+6D3E
浄	U+6D44
浪	U+6D6A
涁	U+6D81
涅	U+6D85
涕	U+6D95
淁	U+6DC1
淄	U+6DC4
淆	U+6DC6
淒	U+6DD2
淪	U+6DEA
淶	U+6DF6
淿	U+6DFF
渃	U+6E03
渗	U+6E17
渚	U+6E1A
渡	U+6E21
渥	U+6E25
湟	U+6E5F
湩	U+6E69
湳	U+6E73
湶	U+6E76
湼	U+6E7C
湿	U+6E7F
溉	U+6E89
溊	U+6E8A
溶	U+6EB6
溹	U+6EB9
滉	U+6EC9
滓	U+6ED3
滝	U+6EDD
滥	U+6EE5
滲	U+6EF2
滷	U+6EF7
漂	U+6F02
漑	U+6F11
漡	U+6F21
漤	U+6F24
潇	U+6F47
潒	U+6F52
潖	U+6F56
潠	U+6F60
潢	U+6F62
澟	U+6F9F
澧	U+6FA7
濐	U+6FD0
濕	U+6FD5
濫	U+6FEB
瀜	U+701C
瀣	U+7023
瀦	U+7026
瀴	U+7034
灑	U+7051
灠	U+7060
灱	U+7071
灲	U+7072
灼	U+707C
災	U+707D
灾	U+707E
炊	U+708A
炧	U+70A7
炭	U+70AD
炯	U+70AF
炵	U+70B5
炷	U+70B7
為	U+70BA
烏	U+70CF
烖	U+70D6
烥	U+70E5
烧	U+70E7
烺	U+70FA
焖	U+7116
煆	U+7146
煌	U+714C
煏	U+714F
煒	U+7152
煤	U+7164
煬	U+716C
煮	U+716E
熊	U+718A
熔	U+7194
熿	U+71BF
燒	U+71D2
燣	U+71E3
爊	U+720A
爑	U+7211
爪	U+722A
爫	U+722B
爬	U+722C
爯	U+722F
爲	U+7232
爸	U+7238
爻	U+723B
牐	U+7250
牙	U+7259
牢	U+7262
牦	U+7266
物	U+7269
牴	U+7274
特	U+7279
犂	U+7282
犆	U+7286
犬	U+72AC
狆	U+72C6
狊	U+72CA
狡	U+72E1
狻	U+72FB
狼	U+72FC
猆	U+7306
猖	U+7316
猪	U+732A
獕	U+7355
獚	U+735A
玉	U+7389
王	U+738B
玌	U+738C
玟	U+739F
玠	U+73A0
玧	U+73A7
玪	U+73AA
玫	U+73AB
玻	U+73BB
珄	U+73C4
珉	U+73C9
珕	U+73D5
珙	U+73D9
珞	U+73DE
珠	U+73E0
珳	U+73F3
珻	U+73FB
琅	U+7405
理	U+7406
琞	U+741E
琩	U+7429
琶	U+7436
琾	U+743E
瑇	U+7447
瑋	U+744B
瑛	U+745B
瑨	U+7468
瑿	U+747F
璏	U+748F
璜	U+749C
瓢	U+74E2
瓬	U+74EC
瓵	U+74F5
瓽	U+74FD
生	U+751F
用	U+7528
甪	U+752A
田	U+7530
由	U+7531
申	U+7533
甾	U+753E
畀	U+7540
畏	U+754F
畑	U+7551
畟	U+755F
畠	U+7560
畤	U+7564
番	U+756A
當	U+7576
畹	U+7579
疤	U+75A4
痗	U+75D7
痘	U+75D8
痠	U+75E0
痲	U+75F2
痳	U+75F3
痴	U+75F4
瘡	U+7621
瘥	U+7625
瘴	U+7634
癀	U+7640
癍	U+764D
癡	U+7661
百	U+767E
皂	U+7682
皃	U+7683
的	U+7684
皅	U+7685
皇	U+7687
皐	U+7690
皚	U+769A
皤	U+76A4
皮	U+76AE
盅	U+76C5
益	U+76CA
盖	U+76D6
盟	U+76DF
盠	U+76E0
監	U+76E3
直	U+76F4
眀	U+7700
眈	U+7708
県	U+770C
眜	U+771C
眵	U+7735
眺	U+773A
睹	U+7779
瞅	U+7785
瞆	U+7786
瞝	U+779D
矁	U+77C1
矇	U+77C7
矌	U+77CC
矎	U+77CE
矓	U+77D3
知	U+77E5
矦	U+77E6
矯	U+77EF
砏	U+780F
研	U+7814
砙	U+7819
砥	U+7825
砧	U+7827
破	U+7834
硃	U+7843
硌	U+784C
硎	U+784E
确	U+786E
硯	U+786F
碆	U+7886
碑	U+7891
碒	U+7892
碜	U+789C
確	U+78BA
碻	U+78BB
磈	U+78C8
磨	U+78E8
磻	U+78FB
磽	U+78FD
礜	U+791C
礦	U+7926
礭	U+792D
礼	U+793C
祀	U+7940
祄	U+7944
祌	U+794C
祖	U+7956
祘	U+7958
祠	U+7960
祥	U+7965
祪	U+796A
禀	U+7980
禂	U+7982
禎	U+798E
禮	U+79AE
禷	U+79B7
禾	U+79BE
禿	U+79BF
秀	U+79C0
秃	U+79C3
秩	U+79E9
秲	U+79F2
移	U+79FB
稙	U+7A19
稟	U+7A1F
稦	U+7A26
稳	U+7A33
稽	U+7A3D
穀	U+7A40
穊	U+7A4A
穬	U+7A6C
穴	U+7A74
穷	U+7A77
穹	U+7A79
突	U+7A81
窂	U+7A82
窌	U+7A8C
窐	U+7A90
窒	U+7A92
窖	U+7A96
窮	U+7AAE
窵	U+7AB5
窺	U+7ABA
竃	U+7AC3
竅	U+7AC5
竆	U+7AC6
竇	U+7AC7
竈	U+7AC8
竊	U+7ACA
竒	U+7AD2
竗	U+7AD7
竜	U+7ADC
竬	U+7AEC
笆	U+7B06
笇	U+7B07
笌	U+7B0C
笏	U+7B0F
笧	U+7B27
笨	U+7B28
筅	U+7B45
策	U+7B56
筞	U+7B5E
筭	U+7B6D
箇	U+7B87
箕	U+7B95
算	U+7B97
箭	U+7BAD
箲	U+7BB2
箸	U+7BB8
箹	U+7BB9
篭	U+7BED
篹	U+7BF9
簸	U+7C38
籑	U+7C51
籠	U+7C60
米	U+7C73
籸	U+7C78
类	U+7C7B
籾	U+7C7E
粉	U+7C89
粑	U+7C91
粜	U+7C9C
粧	U+7CA7
粰	U+7CB0
粴	U+7CB4
糁	U+7CC1
糂	U+7CC2
糝	U+7CDD
糣	U+7CE3
糶	U+7CF6
約	U+7D04
紡	U+7D21
索	U+7D22
終	U+7D42
綮	U+7DAE
緟	U+7DDF
緯	U+7DEF
緸	U+7DF8
繄	U+7E44
繞	U+7E5E
纙	U+7E99
约	U+7EA6
纷	U+7EB7
绪	U+7EEA
缽	U+7F3D
罗	U+7F57
罛	U+7F5B
罜	U+7F5C
罢	U+7F62
罤	U+7F64
罵	U+7F75
罷	U+7F77
羅	U+7F85
羌	U+7F8C
羙	U+7F99
羛	U+7F9B
羝	U+7F9D
羣	U+7FA3
群	U+7FA4
義	U+7FA9
羿	U+7FBF
翁	U+7FC1
翅	U+7FC5
翍	U+7FCD
翙	U+7FD9
翥	U+7FE5
翦	U+7FE6
者	U+8005
而	U+800C
耍	U+800D
耐	U+8010
耡	U+8021
耪	U+802A
耰	U+8030
耽	U+803D
聖	U+8056
聣	U+8063
聪	U+806A
聽	U+807D
聿	U+807F
肀	U+8080
肢	U+80A2
肫	U+80AB
胣	U+80E3
胳	U+80F3
能	U+80FD
胾	U+80FE
脁	U+8101
腈	U+8148
腊	U+814A
腤	U+8164
腦	U+8166
腮	U+816E
腶	U+8176
腿	U+817F
膙	U+8199
自	U+81EA
致	U+81F4
臺	U+81FA
臿	U+81FF
舄	U+8204
與	U+8207
舌	U+820C
舍	U+820D
舐	U+8210
般	U+822C
艞	U+825E
芁	U+8281
芇	U+8287
芋	U+828B
芐	U+8290
芖	U+8296
芙	U+8299
芬	U+82AC
芭	U+82AD
芴	U+82B4
芹	U+82B9
芺	U+82BA
芽	U+82BD
芾	U+82BE
苇	U+82C7
苓	U+82D3
苝	U+82DD
苩	U+82E9
苵	U+82F5
苺	U+82FA
苼	U+82FC
茂	U+8302
茄	U+8304
茟	U+831F
茧	U+8327
茨	U+8328
茹	U+8339
荑	U+8351
荗	U+8357
荘	U+8358
荚	U+835A
荛	U+835B
荭	U+836D
荮	U+836E
药	U+836F
荳	U+8373
荷	U+8377
莊	U+838A
莓	U+8393
莳	U+83B3
莽	U+83BD
莿	U+83BF
菐	U+83D0
菑	U+83D1
菖	U+83D6
菞	U+83DE
菻	U+83FB
萁	U+8401
萉	U+8409
萏	U+840F
葁	U+8441
葒	U+8452
著	U+8457
葘	U+8458
葢	U+8462
葩	U+8469
葯	U+846F
蒇	U+8487
蒔	U+8494
蓆	U+84C6
蓉	U+84C9
蓊	U+84CA
蓋	U+84CB
蓑	U+84D1
蓮	U+84EE
蔑	U+8511
蔞	U+851E
蔴	U+8534
蕘	U+8558
蕱	U+8571
薏	U+858F
薑	U+8591
薬	U+85AC
薵	U+85B5
薶	U+85B6
藍	U+85CD
藥	U+85E5
藭	U+85ED
蚛	U+869B
蚝	U+869D
蚩	U+86A9
蛦	U+86E6
蛩	U+86E9
蛫	U+86EB
蛬	U+86EC
蛲	U+86F2
蛽	U+86FD
蛾	U+86FE
