ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
趍,đi,94,58,1,SYLLABLE,True,di so tri xu xô xúc,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,1,,,syllable/stt11_page_0010_c08_136.png syllable/stt11_page_0026_c01_003.png syllable/stt11_page_0026_c04_065.png syllable/stt11_page_0028_c02_034.png syllable/stt11_page_0032_c01_001.png
𭔿,ông,93,61,2,SYLLABLE,False,,17, 嗡 東 王 翁 蓊 螉 鶲 䈵 𣸜 𩔚 𪂔 𪪳 󰎰 塕 滃 鹟,,0,,,syllable/stt2_page_0024_c03_048.png syllable/stt2_page_0024_c04_069.png syllable/stt2_page_0024_c09_184.png syllable/stt2_page_0026_c04_077.png syllable/stt2_page_0026_c07_135.png
異,là,92,66,3,SYLLABLE,True,di dị lạ,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,1,,,syllable/stt2_page_0116_c02_039.png syllable/stt2_page_0210_c09_157.png syllable/stt2_page_0228_c03_039.png syllable/stt2_page_0228_c03_044.png syllable/stt2_page_0228_c04_052.png
妃,bà,90,69,3,SYLLABLE,True,phi phối,36,𱙘 嘙 堏 壩 妑 婆 把 掱 搫 朳 杷 欛 波 潖 爬 琶 番 皤 磻 粑,,0,,,syllable/stt2_page_0040_c05_101.png syllable/stt2_page_0056_c08_168.png syllable/stt2_page_0058_c03_062.png syllable/stt2_page_0058_c05_090.png syllable/stt2_page_0058_c07_152.png
𡖋,làm,80,65,3,SYLLABLE,True,diệc,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,0,,,syllable/stt2_page_0014_c04_068.png syllable/stt2_page_0014_c04_083.png syllable/stt2_page_0028_c05_101.png syllable/stt2_page_0036_c09_169.png syllable/stt2_page_0046_c05_102.png
知,đức,77,54,2,SYLLABLE,True,si tre tri trê trí trơ,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,4,,,syllable/stt2_page_0026_c02_033.png syllable/stt2_page_0026_c07_127.png syllable/stt2_page_0030_c01_002.png syllable/stt2_page_0030_c04_088.png syllable/stt2_page_0030_c09_196.png
瑪,ma,76,63,3,SYLLABLE,True,mã mẽ,59,么 吗 嗎 嘛 嚒 嚜 妈 媽 嫫 嬤 嬷 孖 尛 庅 摩 擵 攠 痲 痳 磨,嗎,0,,,syllable/stt2_page_0012_c04_040.png syllable/stt2_page_0012_c05_065.png syllable/stt2_page_0014_c06_135.png syllable/stt2_page_0018_c02_025.png syllable/stt2_page_0018_c02_040.png
万,đức,73,60,2,SYLLABLE,True,muôn mặc vàn vạn,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,0,,,syllable/stt2_page_0026_c08_147.png syllable/stt2_page_0030_c05_096.png syllable/stt2_page_0056_c07_134.png syllable/stt2_page_0058_c03_054.png syllable/stt2_page_0086_c06_113.png
凜,lăm,71,62,3,SYLLABLE,True,bòm bõm lẫm lắm lịm,11,啉 婪 惏 林 𠄻 𠄼 𠵂 𢆥 𬂽 󰢵 𭸓,,80,,,syllable/stt2_page_0122_c03_059.png syllable/stt2_page_0150_c04_078.png syllable/stt2_page_0184_c08_143.png syllable/stt2_page_0190_c08_140.png syllable/stt2_page_0192_c01_014.png
無,vồ,67,51,3,SYLLABLE,True,mô vu vô,13,拊 捬 摹 撫 模 橅 釪 𢸮 𢺌 𢻬 𢻲 𨅮 𨑑,,40,,,syllable/stt2_page_0012_c02_011.png syllable/stt2_page_0036_c03_057.png syllable/stt2_page_0036_c05_086.png syllable/stt2_page_0036_c07_128.png syllable/stt2_page_0048_c02_024.png
至,thánh,60,45,3,SYLLABLE,True,cháy chí giạ gịa điệt,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,圣,0,,,syllable/stt2_page_0228_c04_065.png syllable/stt2_page_0230_c03_057.png syllable/stt2_page_0238_c02_023.png syllable/stt2_page_0238_c07_116.png syllable/stt2_page_0244_c01_010.png
要,là,59,53,3,SYLLABLE,True,eo oeo ro yêu yếu éo,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,19,,,syllable/stt2_page_0012_c03_019.png syllable/stt2_page_0028_c08_171.png syllable/stt2_page_0052_c05_096.png syllable/stt2_page_0054_c07_122.png syllable/stt2_page_0072_c09_177.png
好,đức,56,40,2,SYLLABLE,True,hiếu háo háu hão hảo hấu hẩu hếu,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,1,,,syllable/stt2_page_0024_c07_141.png syllable/stt2_page_0024_c09_193.png syllable/stt2_page_0030_c08_167.png syllable/stt2_page_0054_c09_173.png syllable/stt2_page_0058_c04_085.png
署,rô,56,37,3,SYLLABLE,True,dánh dính dĩnh giảnh nhảnh thùy thợ thử thự,11,噜 嚕 魲 鮋 鯈 鱸 𩼁 𩽬 𫙔 𬠩 󱅫,,9,,,syllable/stt2_page_0014_c06_134.png syllable/stt2_page_0018_c02_039.png syllable/stt2_page_0022_c09_169.png syllable/stt2_page_0028_c07_144.png syllable/stt2_page_0028_c08_166.png
炤,lửa,55,36,3,SYLLABLE,True,bảnh chiu chiêu chiếu chiểu,8, 𱪵 呂 帞 火 焒 󰌎 󰌕,,1,,,syllable/stt2_page_0030_c08_176.png syllable/stt2_page_0044_c04_073.png syllable/stt2_page_0048_c06_110.png syllable/stt2_page_0058_c02_023.png syllable/stt2_page_0058_c02_043.png
得,ngày,55,50,3,SYLLABLE,True,đác được đắc đắt,11,ヌ  匕 又 挧 時 㝵 𣈗 𣈜 𣦍 𬏝,𣈜,0,,,syllable/stt2_page_0024_c02_030.png syllable/stt2_page_0090_c08_163.png syllable/stt2_page_0092_c09_196.png syllable/stt2_page_0182_c09_160.png syllable/stt2_page_0232_c05_084.png
𦤳,thánh,54,40,1,SYLLABLE,True,chí,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,,0,,,syllable/stt4_page_0012_c01_005.png syllable/stt4_page_0022_c08_168.png syllable/stt4_page_0026_c05_097.png syllable/stt4_page_0030_c06_123.png syllable/stt4_page_0030_c09_185.png
因,có,53,49,3,SYLLABLE,True,dăn nhân nhăn nhơn nhưng nhận nhằn,15,世 个 個 古 同 固 堵 故 杏 沛 窖 箇 者 𣎏 󰡏,,20,,,syllable/stt2_page_0228_c08_137.png syllable/stt2_page_0238_c03_049.png syllable/stt2_page_0238_c07_125.png syllable/stt2_page_0260_c01_011.png syllable/stt2_page_0264_c03_046.png
用,bấy,52,47,3,SYLLABLE,True,dong dung dòng dùng dúng dầu dộng dụng giòng giùm giùng giọng,34,卑 悲 曊 碑 罢 罷 貝 買 閇 閈 閉 闭 䠋 𠇍 𠐌 𠾚 𡭼 𡮁 𤰞 𥓓,,53,,,syllable/stt2_page_0036_c09_166.png syllable/stt2_page_0054_c03_045.png syllable/stt2_page_0076_c02_036.png syllable/stt2_page_0092_c01_022.png syllable/stt2_page_0096_c01_000.png
昇,người,52,48,2,SYLLABLE,True,thăng thưng,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,0,,,syllable/stt4_page_0022_c03_065.png syllable/stt4_page_0088_c07_131.png syllable/stt4_page_0112_c09_158.png syllable/stt4_page_0126_c06_117.png syllable/stt4_page_0128_c03_047.png
之,pha,50,37,3,SYLLABLE,True,ap chi chỉ chị giây gì gì; sao,29,叵 坡 岥 披 波 玻 皅 破 簸 翍 芭 苩 萉 葩 陂 頗 颇 㓟 㩺 䔤,,327,,,syllable/stt2_page_0116_c08_138.png syllable/stt2_page_0122_c02_024.png syllable/stt2_page_0122_c05_105.png syllable/stt2_page_0246_c07_136.png syllable/stt4_page_0012_c06_107.png
僥,nhiều,48,38,2,SYLLABLE,True,khiếu khỉu kiểu nghiêu nghêu nghẹo nghễu nghệu nhau nhiêu,18, 堯 嬈 澆 蜫 迻 饒 𡗉 𡗊 𤄮 𩜙 𬲢 𬼀 󰕦 󰕩 󰕭 󰞬 󰬥,堯 嬈 澆 饒,18,,,syllable/stt2_page_0018_c01_009.png syllable/stt2_page_0020_c04_070.png syllable/stt2_page_0026_c04_069.png syllable/stt2_page_0026_c05_096.png syllable/stt2_page_0032_c01_008.png
罪,là,48,40,2,SYLLABLE,True,tội tụi,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,149,,,syllable/stt2_page_0012_c05_067.png syllable/stt2_page_0016_c01_000.png syllable/stt2_page_0030_c07_142.png syllable/stt2_page_0052_c08_152.png syllable/stt2_page_0054_c01_005.png
洋,còn,47,40,2,SYLLABLE,True,dương tiêu,15, 哙 喂 噲 存 羣 群 自 䭽 𠹩 𡥵 𫲳 󰅹 󱟟 󱫦,群,0,,,syllable/stt2_page_0044_c04_078.png syllable/stt2_page_0086_c03_065.png syllable/stt2_page_0094_c03_057.png syllable/stt2_page_0148_c02_038.png syllable/stt2_page_0148_c08_151.png
以,làm,46,44,3,SYLLABLE,True,dãi dí dĩ lấy,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,1,,,syllable/stt2_page_0014_c05_105.png syllable/stt2_page_0126_c02_029.png syllable/stt2_page_0164_c08_130.png syllable/stt2_page_0168_c04_057.png syllable/stt2_page_0228_c08_144.png
色,đã,45,39,3,SYLLABLE,True,hình sắc sắo sắt sặc,16,乑 也 卒 吏 吔 它 拖 易 胣 諸 陀 㐌 𠰹 𢒕 𣦁 𧭷,也 㐌,3,,,syllable/stt2_page_0094_c02_039.png syllable/stt2_page_0262_c05_083.png syllable/stt2_page_0298_c09_164.png syllable/stt2_page_0302_c09_152.png syllable/stt2_page_0304_c04_074.png
礼,lê,45,39,3,SYLLABLE,True,lãi lưỡi lạy lấy lẩy lẫy lẻ lẽ lể lễ lệ lởi,48,栛 梨 梸 棃 犁 犂 琍 璃 瓈 筣 茘 荔 莉 菞 蔾 藜 蠡 黎 黧 㰀,,271,,,syllable/stt2_page_0038_c07_140.png syllable/stt2_page_0074_c04_076.png syllable/stt2_page_0080_c03_064.png syllable/stt2_page_0104_c07_130.png syllable/stt2_page_0208_c09_155.png
餘,thờ,44,39,3,SYLLABLE,True,dơ dư dờ hơn thừa,25,𰨂 俆 徐 悇 扵 承 於 烏 祀 祠 蜍 蠩 賒 踈 除 䜹 𠄜 𣱏 𤋬 𤕘,徐 悇 蜍,2,,,syllable/stt2_page_0026_c06_117.png syllable/stt2_page_0026_c08_155.png syllable/stt2_page_0050_c07_148.png syllable/stt2_page_0060_c03_061.png syllable/stt2_page_0082_c03_061.png
百,làm,44,30,1,SYLLABLE,True,bá bách mạch trăm,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,0,,,syllable/stt2_page_0148_c04_074.png syllable/stt2_page_0232_c07_135.png syllable/stt2_page_0236_c01_010.png syllable/stt2_page_0244_c03_053.png syllable/stt2_page_0244_c05_080.png
𡬦,ông,42,35,2,SYLLABLE,True,đấng đẳng đứng,17, 嗡 東 王 翁 蓊 螉 鶲 䈵 𣸜 𩔚 𪂔 𪪳 󰎰 塕 滃 鹟,,0,,,syllable/stt2_page_0118_c08_173.png syllable/stt2_page_0170_c04_059.png syllable/stt2_page_0170_c09_152.png syllable/stt2_page_0172_c09_166.png syllable/stt11_page_0014_c04_068.png
夜,lời,42,40,3,SYLLABLE,True,dà dạ dại dịch già rà rá rạ,27,例 俐 分 利 吝 唎 坘 塁 痢 行 調 𠅜 𠇮 𠜫 𠳐 𠳒 𡗶 𢈱 𢚸 𥒥,,1,,,syllable/stt2_page_0012_c09_159.png syllable/stt2_page_0014_c03_045.png syllable/stt2_page_0018_c02_033.png syllable/stt2_page_0022_c01_015.png syllable/stt2_page_0022_c07_127.png
身,người,39,31,1,SYLLABLE,True,nhân quyên tam than thàn thâm thân thây,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,2,,,syllable/stt4_page_0014_c07_159.png syllable/stt4_page_0016_c08_176.png syllable/stt4_page_0018_c08_132.png syllable/stt4_page_0022_c08_183.png syllable/stt4_page_0024_c09_183.png
庄,chắng,39,38,2,SYLLABLE,True,bành chăng chăng? chằng chẳng dặng giằng không trang ằng,1,𪭽,,609,,,syllable/stt2_page_0016_c08_146.png syllable/stt2_page_0042_c08_158.png syllable/stt2_page_0062_c07_137.png syllable/stt2_page_0070_c03_028.png syllable/stt2_page_0078_c05_094.png
入,ấy,38,28,2,SYLLABLE,True,nhép nhạp nhấp nhập nhắp nhẹp vào,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,syllable/stt2_page_0176_c05_075.png syllable/stt2_page_0230_c05_093.png syllable/stt2_page_0230_c09_189.png syllable/stt2_page_0232_c07_125.png syllable/stt2_page_0234_c05_087.png
弇,ông,37,33,2,SYLLABLE,True,yêm yểm,17, 嗡 東 王 翁 蓊 螉 鶲 䈵 𣸜 𩔚 𪂔 𪪳 󰎰 塕 滃 鹟,,0,,,syllable/stt2_page_0030_c05_102.png syllable/stt2_page_0030_c05_106.png syllable/stt2_page_0046_c05_095.png syllable/stt2_page_0048_c06_114.png syllable/stt2_page_0098_c03_054.png
㸔,khen,37,35,3,SYLLABLE,True,khan khán khản,9,  看 㗂 𠰙 𠸦 𪮒 𫽯 𠳦,,0,,,syllable/stt2_page_0034_c06_105.png syllable/stt2_page_0082_c07_121.png syllable/stt2_page_0094_c09_184.png syllable/stt2_page_0148_c05_099.png syllable/stt2_page_0164_c04_051.png
罡,là,36,32,2,SYLLABLE,True,cang cương,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt2_page_0018_c02_028.png syllable/stt2_page_0022_c07_130.png syllable/stt2_page_0030_c04_069.png syllable/stt2_page_0054_c08_149.png syllable/stt2_page_0058_c08_167.png
吞,trời,36,32,1,SYLLABLE,True,thôn xôn,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,syllable/stt2_page_0014_c09_186.png syllable/stt2_page_0022_c06_117.png syllable/stt2_page_0024_c05_091.png syllable/stt2_page_0030_c01_004.png syllable/stt2_page_0030_c06_133.png
肆,sau,34,32,2,SYLLABLE,True,dị thích tư tớ tứ,37,嗟 娄 婁 差 搂 楼 牢 畧 畱 瘥 窂 罒 荖 蹉 䁟 𡕘 𡘠 𡢐 𢀞 𢀠,,0,,,syllable/stt2_page_0076_c03_052.png syllable/stt2_page_0100_c09_167.png syllable/stt2_page_0160_c09_138.png syllable/stt2_page_0170_c03_053.png syllable/stt2_page_0194_c02_037.png
可,làm,34,23,1,SYLLABLE,True,ca cà há hả khá khả khắc,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,5,,,syllable/stt2_page_0236_c04_070.png syllable/stt2_page_0252_c03_051.png syllable/stt2_page_0254_c02_026.png syllable/stt2_page_0254_c04_055.png syllable/stt2_page_0254_c07_111.png
廪,lăm,34,33,2,SYLLABLE,True,bám bấm bẩm bẳm bặm bụm lúm lũm lẫm lắm rắm,11,啉 婪 惏 林 𠄻 𠄼 𠵂 𢆥 𬂽 󰢵 𭸓,,44,,,syllable/stt2_page_0032_c04_074.png syllable/stt2_page_0042_c07_140.png syllable/stt2_page_0070_c04_054.png syllable/stt2_page_0086_c03_064.png syllable/stt2_page_0092_c02_039.png
䏻,đi,34,26,1,SYLLABLE,True,hay năn năng nưng nấng nằng toe,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,24,,,syllable/stt2_page_0030_c06_119.png syllable/stt2_page_0038_c03_043.png syllable/stt2_page_0038_c07_144.png syllable/stt2_page_0050_c02_036.png syllable/stt2_page_0050_c06_110.png
槎,si,34,33,3,SYLLABLE,True,chà già sậy tra xay,99,嗟 嗤 妛 媸 差 希 彨 彲 徙 抬 摛 柴 殦 灑 痴 瘥 癡 眵 瞝 知,蹉,0,,,syllable/stt2_page_0108_c09_152.png syllable/stt2_page_0244_c03_051.png syllable/stt2_page_0262_c08_150.png syllable/stt2_page_0274_c01_005.png syllable/stt2_page_0282_c08_159.png
分,đức,33,25,2,SYLLABLE,True,biện bẹ hề lời phen phân phấn phần phận,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,62,,,syllable/stt2_page_0084_c04_086.png syllable/stt2_page_0098_c09_155.png syllable/stt2_page_0148_c03_048.png syllable/stt11_page_0022_c01_005.png syllable/stt11_page_0056_c05_089.png
計,ghê,33,31,3,SYLLABLE,True,ghế gầy ké kê kẻ kẽ kế kể ể,19,世 乩 卟 稽 䭫 䭬 𠺳 𡃊 𥞞 𥟵 𥠻 𥡞 𥡳 𥡴 𩠜 𩠥 𩠦 𩠨 󰏲,,43,,,syllable/stt2_page_0116_c08_152.png syllable/stt2_page_0134_c08_169.png syllable/stt2_page_0206_c01_009.png syllable/stt2_page_0246_c07_128.png syllable/stt2_page_0262_c02_029.png
街,về,32,29,3,SYLLABLE,True,dai nhai nhây,23,𱸳 揮 撝 皮 米 耒 衛 衞 還 駆 䘙 𠀄 𡗅 𢠿 𧗱 𩤸 𬩍 󰓟 󰡲 󱘌,衛 𧗱,0,,,syllable/stt2_page_0184_c04_061.png syllable/stt2_page_0234_c05_089.png syllable/stt2_page_0284_c04_070.png syllable/stt4_page_0014_c01_018.png syllable/stt4_page_0042_c03_053.png
㓜,chém,32,23,3,SYLLABLE,True,ao âu ấu,22,剣 剱 劍 劎 劒 劔 占 呫 斬 釰 釼 鉆 鐱 㓠 𠛤 𠝏 𠠆 𡃍 𪟂 𫥸,,7,,,syllable/stt2_page_0046_c03_061.png syllable/stt2_page_0052_c07_132.png syllable/stt2_page_0084_c01_018.png syllable/stt2_page_0096_c07_147.png syllable/stt2_page_0110_c07_137.png
衣,i,32,28,3,SYLLABLE,True,e y ý ấy ỉ ỵ,9,匱 季 揆 櫃 貴 跪 軌 鬼 䠏,,281,,,syllable/stt2_page_0018_c02_029.png syllable/stt2_page_0024_c09_186.png syllable/stt2_page_0026_c04_079.png syllable/stt2_page_0086_c01_013.png syllable/stt2_page_0106_c02_028.png
鲁,rô,31,26,3,SYLLABLE,True,lỗ trổ,11,噜 嚕 魲 鮋 鯈 鱸 𩼁 𩽬 𫙔 𬠩 󱅫,噜 嚕,1,,,syllable/stt2_page_0212_c07_102.png syllable/stt2_page_0240_c02_023.png syllable/stt2_page_0246_c03_055.png syllable/stt2_page_0318_c03_045.png syllable/stt2_page_0326_c02_035.png
個,vua,31,20,2,SYLLABLE,True,cá cái có rá,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,6,,,syllable/stt2_page_0232_c08_140.png syllable/stt2_page_0238_c03_043.png syllable/stt2_page_0318_c03_057.png syllable/stt2_page_0318_c07_136.png syllable/stt4_page_0026_c01_009.png
竈,xuống,30,28,3,SYLLABLE,True,bếp diếu giáo khiếu khéo táo,17, 下 笹 𠁑 𠖈 𡬈 𨑜 𪧍 𫳭 𫴋 𬕹 𬺗 󰞘 󰡎 󱚏 󱟫 󱪞,,0,,,syllable/stt2_page_0094_c08_167.png syllable/stt4_page_0020_c03_043.png syllable/stt4_page_0040_c07_146.png syllable/stt4_page_0126_c07_146.png syllable/stt4_page_0168_c09_171.png
方,đức,29,26,1,SYLLABLE,True,bàng phăng phương phạng phỏng phổng phỗng vuông,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,4,,,syllable/stt11_page_0014_c01_005.png syllable/stt11_page_0026_c05_095.png syllable/stt11_page_0028_c09_178.png syllable/stt11_page_0070_c02_034.png syllable/stt11_page_0092_c02_027.png
例,vua,29,18,1,SYLLABLE,True,liệt loẹt lìa lít lướt lề lể lệ lệch lịt lời riệt,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,7,,,syllable/stt4_page_0024_c09_188.png syllable/stt4_page_0026_c01_005.png syllable/stt4_page_0068_c02_039.png syllable/stt4_page_0068_c04_084.png syllable/stt4_page_0068_c05_109.png
𭴾,vồ,29,24,2,SYLLABLE,False,,13,拊 捬 摹 撫 模 橅 釪 𢸮 𢺌 𢻬 𢻲 𨅮 𨑑,,0,,,syllable/stt2_page_0244_c08_142.png syllable/stt2_page_0246_c01_006.png syllable/stt2_page_0286_c06_103.png syllable/stt2_page_0316_c06_096.png syllable/stt2_page_0318_c05_085.png
并,ông,27,18,2,SYLLABLE,True,bình bính phanh sánh tinh tính tỉnh tịnh,17, 嗡 東 王 翁 蓊 螉 鶲 䈵 𣸜 𩔚 𪂔 𪪳 󰎰 塕 滃 鹟,,1,,,syllable/stt2_page_0266_c02_037.png syllable/stt2_page_0280_c02_039.png syllable/stt2_page_0280_c03_054.png syllable/stt2_page_0280_c03_057.png syllable/stt2_page_0280_c08_165.png
輝,sau,27,22,2,SYLLABLE,True,hoe huy hùy vĩ,37,嗟 娄 婁 差 搂 楼 牢 畧 畱 瘥 窂 罒 荖 蹉 䁟 𡕘 𡘠 𡢐 𢀞 𢀠,,0,,,syllable/stt2_page_0210_c05_072.png syllable/stt2_page_0216_c01_010.png syllable/stt2_page_0230_c02_028.png syllable/stt2_page_0230_c03_050.png syllable/stt2_page_0230_c03_064.png
茂,một,27,27,2,SYLLABLE,True,mù mấu mầu mậu ngồng tốt,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,0,,,syllable/stt2_page_0014_c05_104.png syllable/stt2_page_0024_c08_167.png syllable/stt2_page_0030_c07_143.png syllable/stt2_page_0044_c05_087.png syllable/stt2_page_0046_c03_046.png
