image,book,page,column,nom_idx,syl_idx,ocr_char,syllable,tier,tier_v3,rule,tier_goc,rule_goc,bbox,p_syl_v3,argmax,max_prob,p_left,p_right,fold,gate_09,gate_08,rule_de_xuat
,stt11,page_0016,6,1,1,醐,thịt,REVIEW,REVIEW,no_context,,,"[732, 533, 838, 651]",0.855867,thịt,0.855867,,1.29061e-05,0,0,1,visual_syl_gate
,stt11,page_0016,6,5,5,弟,phải,REVIEW,REVIEW,no_context,,,"[734, 910, 838, 1024]",0.807357,phải,0.807357,0.000511519,0.000480528,0,0,1,visual_syl_gate
,stt11,page_0016,8,2,2,姊,phải,REVIEW,REVIEW,no_context,,,"[425, 621, 529, 740]",0.950371,phải,0.950371,9.97304e-06,9.02885e-05,0,1,1,visual_syl_gate
,stt11,page_0016,8,18,18,紛,mình,REVIEW,REVIEW,no_context,,,"[411, 2126, 520, 2247]",0.915079,mình,0.915079,0.02104,9.24297e-05,0,1,1,visual_syl_gate
,stt11,page_0018,3,11,11,灯,đức,REVIEW,REVIEW,no_context,,,"[1155, 1448, 1265, 1562]",0.905965,đức,0.905965,0.000415862,0.0243592,0,1,1,visual_syl_gate
,stt11,page_0018,4,9,8,今,làm,REVIEW,REVIEW,no_context,,,"[1020, 1264, 1130, 1376]",0.958292,làm,0.958292,0.000699164,4.61149e-05,0,1,1,visual_syl_gate
,stt11,page_0018,6,3,3,拈,xem,REVIEW,REVIEW,no_context,,,"[712, 698, 821, 817]",0.964424,xem,0.964424,0.00038461,4.23174e-05,0,1,1,visual_syl_gate
,stt11,page_0020,7,1,1,𭮀,a,REVIEW,REVIEW,no_context,,,"[565, 533, 670, 643]",0.98615,a,0.98615,,0.000157228,0,1,1,visual_syl_gate
,stt11,page_0020,7,14,14,障,và,REVIEW,REVIEW,no_context,,,"[563, 1681, 672, 1792]",0.990184,và,0.990184,7.82793e-06,1.1213e-05,0,1,1,visual_syl_gate
,stt11,page_0022,2,13,15,𠅙,đâu,REVIEW,REVIEW,no_context,,,"[1276, 1584, 1392, 1695]",0.934666,đâu,0.934666,1.14789e-05,9.83909e-05,3,1,1,visual_syl_gate
,stt11,page_0022,4,15,15,把,lấy,REVIEW,REVIEW,no_context,,,"[971, 1805, 1085, 1918]",0.865005,lấy,0.865005,0.000403068,1.68327e-05,3,0,1,visual_syl_gate
,stt11,page_0022,7,0,0,㬰,thật,REVIEW,REVIEW,no_context,,,"[537, 440, 638, 541]",0.890396,thật,0.890396,,5.05409e-06,3,0,1,visual_syl_gate
,stt11,page_0022,9,15,15,姊,phải,REVIEW,REVIEW,no_context,,,"[233, 1698, 322, 1798]",0.860897,phải,0.860897,0.000178163,8.01356e-06,3,0,1,visual_syl_gate
,stt11,page_0024,7,8,8,逹,lên,REVIEW,REVIEW,no_context,,,"[556, 1124, 661, 1236]",0.961368,lên,0.961368,0.000151205,0.000305442,4,1,1,visual_syl_gate
,stt11,page_0026,7,1,1,燭,lửa,REVIEW,REVIEW,no_context,,,"[552, 501, 658, 610]",0.81022,lửa,0.81022,1.2509e-05,0.000180969,3,0,1,visual_syl_gate
,stt11,page_0026,7,13,13,來,cầu,REVIEW,REVIEW,no_context,,,"[535, 1555, 636, 1663]",0.955431,cầu,0.955431,0.000707406,8.25058e-07,3,1,1,visual_syl_gate
,stt11,page_0026,8,10,10,紡,ghét,REVIEW,REVIEW,no_context,,,"[397, 1270, 497, 1375]",0.855137,ghét,0.855137,0.000664546,0.000172681,3,0,1,visual_syl_gate
,stt11,page_0026,9,17,17,明,nói,REVIEW,REVIEW,no_context,,,"[258, 1925, 362, 2032]",0.850971,nói,0.850971,0.00219605,7.19843e-05,3,0,1,visual_syl_gate
,stt11,page_0026,9,19,19,殚,tôi,REVIEW,REVIEW,no_context,,,"[260, 2102, 361, 2210]",0.908346,tôi,0.908346,0.000359899,0.00054451,3,1,1,visual_syl_gate
,stt11,page_0028,1,4,4,留,cả,REVIEW,REVIEW,no_context,,,"[1482, 799, 1589, 920]",0.9089,cả,0.9089,0.0202736,4.18999e-06,4,1,1,visual_syl_gate
,stt11,page_0032,4,5,5,媚,em,REVIEW,REVIEW,no_context,,,"[1003, 885, 1114, 1003]",0.843525,em,0.843525,4.53999e-05,8.8197e-05,4,0,1,visual_syl_gate
,stt11,page_0032,4,16,16,嗜,tiếng,REVIEW,REVIEW,no_context,,,"[1016, 1961, 1123, 2082]",0.901332,tiếng,0.901332,0.00124154,5.18483e-05,4,1,1,visual_syl_gate
,stt11,page_0032,9,1,1,海,giải,REVIEW,REVIEW,no_context,,,"[250, 485, 349, 599]",0.926657,giải,0.926657,1.21241e-05,0.00137963,4,1,1,visual_syl_gate
,stt11,page_0032,9,22,22,斈,sau,REVIEW,REVIEW,no_context,,,"[259, 2399, 362, 2502]",0.981257,sau,0.981257,2.58681e-05,,4,1,1,visual_syl_gate
,stt11,page_0034,1,6,4,把,lấy,REVIEW,REVIEW,no_context,,,"[1471, 788, 1579, 899]",0.971647,lấy,0.971647,7.35366e-06,1.0868e-05,2,1,1,visual_syl_gate
,stt11,page_0034,2,9,11,手,lòng,REVIEW,REVIEW,no_context,,,"[1314, 1259, 1420, 1372]",0.987875,lòng,0.987875,1.56898e-05,1.92235e-05,2,1,1,visual_syl_gate
,stt11,page_0034,4,1,0,吻,hay,REVIEW,REVIEW,no_context,,,"[1013, 518, 1115, 631]",0.972863,hay,0.972863,,0.00236524,2,1,1,visual_syl_gate
,stt11,page_0034,6,3,3,鷺,và,REVIEW,REVIEW,no_context,,,"[714, 706, 817, 824]",0.820872,và,0.820872,0.00436737,2.33699e-05,2,0,1,visual_syl_gate
,stt11,page_0036,3,9,9,萎,sau,REVIEW,REVIEW,no_context,,,"[1204, 1286, 1311, 1398]",0.860267,sau,0.860267,0.00010231,2.85732e-06,1,0,1,visual_syl_gate
,stt11,page_0036,6,3,3,𭃡,xem,REVIEW,REVIEW,no_context,,,"[755, 699, 858, 811]",0.880452,xem,0.880452,0.000533978,0.00102526,1,0,1,visual_syl_gate
,stt11,page_0036,7,11,11,盜,nghe,REVIEW,REVIEW,no_context,,,"[596, 1425, 698, 1536]",0.89399,nghe,0.89399,0.000866732,1.74665e-06,1,0,1,visual_syl_gate
,stt11,page_0036,7,16,16,徐,bỏ,REVIEW,REVIEW,no_context,,,"[592, 1883, 701, 1999]",0.957152,bỏ,0.957152,3.6766e-05,2.99445e-06,1,1,1,visual_syl_gate
,stt11,page_0036,7,17,17,见,con,REVIEW,REVIEW,no_context,,,"[592, 1978, 702, 2093]",0.887737,con,0.887737,3.37384e-05,3.76379e-05,1,0,1,visual_syl_gate
,stt11,page_0036,8,2,2,笇,thầy,REVIEW,REVIEW,no_context,,,"[466, 602, 570, 712]",0.989051,thầy,0.989051,0.000387626,1.1213e-05,1,1,1,visual_syl_gate
,stt11,page_0036,9,7,7,徊,lấy,REVIEW,REVIEW,no_context,,,"[320, 1042, 420, 1151]",0.970328,lấy,0.970328,9.97304e-06,2.96491e-07,1,1,1,visual_syl_gate
,stt11,page_0040,2,6,6,紏,buộc,REVIEW,REVIEW,no_context,,,"[1327, 967, 1435, 1073]",0.915079,buộc,0.915079,,5.17395e-06,1,1,1,visual_syl_gate
,stt11,page_0040,4,7,7,学,hai,REVIEW,REVIEW,no_context,,,"[1008, 1083, 1119, 1193]",0.986609,hai,0.986609,4.53046e-06,,1,1,1,visual_syl_gate
,stt11,page_0040,6,13,13,喚,ăn,REVIEW,REVIEW,no_context,,,"[691, 1536, 799, 1644]",0.975361,ăn,0.975361,0.000286936,8.09341e-05,1,1,1,visual_syl_gate
,stt11,page_0040,7,8,8,见,quỷ,REVIEW,REVIEW,no_context,,,"[544, 1154, 650, 1267]",0.943147,quỷ,0.943147,6.54048e-06,7.8444e-05,1,1,1,visual_syl_gate
,stt11,page_0042,6,3,3,吩,hai,REVIEW,REVIEW,no_context,,,"[731, 688, 838, 799]",0.896832,hai,0.896832,0.00018526,0.000101514,4,0,1,visual_syl_gate
,stt11,page_0042,8,20,20,飬,lành,REVIEW,REVIEW,no_context,,,"[396, 2282, 500, 2394]",0.924454,lành,0.924454,8.2036e-06,6.30316e-05,4,1,1,visual_syl_gate
,stt11,page_0044,3,6,6,益,vui,REVIEW,REVIEW,no_context,,,"[1200, 922, 1303, 1030]",0.919502,vui,0.919502,0.000206673,1.58129e-05,3,1,1,visual_syl_gate
,stt11,page_0046,1,0,0,蛻,ong,REVIEW,REVIEW,no_context,,,"[1428, 418, 1544, 524]",0.921524,ong,0.921524,,1.84871e-05,3,1,1,visual_syl_gate
,stt11,page_0046,5,15,15,婘,em,REVIEW,REVIEW,no_context,,,"[837, 1947, 949, 2078]",0.98256,em,0.98256,4.9089e-05,0.00260788,3,1,1,visual_syl_gate
,stt11,page_0046,6,14,13,杷,lấy,REVIEW,REVIEW,no_context,,,"[679, 1690, 790, 1810]",0.957737,lấy,0.957737,5.21453e-06,0.010559,3,1,1,visual_syl_gate
,stt11,page_0046,9,1,1,到,biết,REVIEW,REVIEW,no_context,,,"[230, 495, 333, 611]",0.987182,biết,0.987182,1.67017e-05,1.25806e-06,3,1,1,visual_syl_gate
,stt11,page_0046,9,8,8,玊,vậy,REVIEW,REVIEW,no_context,,,"[240, 1157, 340, 1269]",0.956422,vậy,0.956422,2.93124e-05,2.48771e-05,3,1,1,visual_syl_gate
,stt11,page_0048,1,11,12,𠦡,thánh,REVIEW,REVIEW,no_context,,,"[1439, 1412, 1548, 1529]",0.930568,thánh,0.930568,5.47628e-05,8.68296e-05,2,1,1,visual_syl_gate
,stt11,page_0048,1,14,15,衆,là,REVIEW,REVIEW,no_context,,,"[1441, 1679, 1544, 1793]",0.949182,là,0.949182,3.16943e-05,4.8707e-05,2,1,1,visual_syl_gate
,stt11,page_0048,1,20,21,㡬,một,REVIEW,REVIEW,no_context,,,"[1439, 2247, 1546, 2358]",0.872641,một,0.872641,0.000422411,0.000263308,2,0,1,visual_syl_gate
,stt11,page_0048,2,4,4,拈,xem,REVIEW,REVIEW,no_context,,,"[1283, 769, 1384, 884]",0.878198,xem,0.878198,2.03041e-05,7.41133e-06,2,0,1,visual_syl_gate
,stt11,page_0048,6,13,13,蔓,một,REVIEW,REVIEW,no_context,,,"[680, 1643, 785, 1766]",0.960371,một,0.960371,3.48093e-05,0.00210369,2,1,1,visual_syl_gate
,stt11,page_0048,9,6,6,歎,khi,REVIEW,REVIEW,no_context,,,"[224, 958, 330, 1078]",0.805978,khi,0.805978,0.000439238,0.000208293,2,0,1,visual_syl_gate
,stt11,page_0050,1,6,6,明,nói,REVIEW,REVIEW,no_context,,,"[1465, 1004, 1569, 1120]",0.830548,nói,0.830548,0.000846654,3.09601e-05,3,0,1,visual_syl_gate
,stt11,page_0050,5,12,12,把,lấy,REVIEW,REVIEW,no_context,,,"[862, 1524, 969, 1637]",0.984361,lấy,0.984361,1.11024e-06,2.97115e-06,3,1,1,visual_syl_gate
,stt11,page_0050,5,20,20,𭤧,đức,REVIEW,REVIEW,no_context,,,"[873, 2263, 976, 2380]",0.951125,đức,0.951125,6.90812e-06,0.0168074,3,1,1,visual_syl_gate
,stt11,page_0052,1,11,11,祇,áo,REVIEW,REVIEW,no_context,,,"[1459, 1464, 1567, 1582]",0.868921,áo,0.868921,0.00587694,7.29643e-06,1,0,1,visual_syl_gate
,stt11,page_0054,4,8,8,邱,mình,REVIEW,REVIEW,no_context,,,"[1054, 1193, 1163, 1307]",0.948371,mình,0.948371,8.95859e-05,0.000273797,3,1,1,visual_syl_gate
,stt11,page_0054,8,20,20,弘,càng,REVIEW,REVIEW,no_context,,,"[446, 2297, 549, 2409]",0.930681,càng,0.930681,0.000904786,,3,1,1,visual_syl_gate
,stt11,page_0056,5,11,11,抛,lấy,REVIEW,REVIEW,no_context,,,"[874, 1564, 987, 1685]",0.963071,lấy,0.963071,0.000584174,7.96794e-05,1,1,1,visual_syl_gate
,stt11,page_0058,2,17,17,判,đoạn,REVIEW,REVIEW,no_context,,,"[1330, 1879, 1433, 1986]",0.986233,đoạn,0.986233,3.52832e-06,3.69765e-06,1,1,1,visual_syl_gate
,stt11,page_0058,2,18,18,昊,linh,REVIEW,REVIEW,no_context,,,"[1329, 1964, 1434, 2072]",0.972463,linh,0.972463,1.59034e-06,0.000226985,1,1,1,visual_syl_gate
,stt11,page_0058,8,19,19,𬼘,ra,REVIEW,REVIEW,no_context,,,"[419, 2139, 521, 2255]",0.872641,ra,0.872641,0.0367107,4.25597e-06,1,0,1,visual_syl_gate
,stt11,page_0058,9,2,2,杷,lấy,REVIEW,REVIEW,no_context,,,"[253, 628, 354, 737]",0.822979,lấy,0.822979,0.000131369,5.47628e-05,1,0,1,visual_syl_gate
,stt11,page_0058,9,15,16,𥙊,hạ,REVIEW,REVIEW,no_context,,,"[263, 1820, 362, 1936]",0.965867,hạ,0.965867,,4.86047e-06,1,1,1,visual_syl_gate
,stt11,page_0060,2,0,0,壹,xác,REVIEW,REVIEW,no_context,,,"[1330, 436, 1433, 545]",0.925244,xác,0.925244,,4.19881e-05,2,1,1,visual_syl_gate
,stt11,page_0060,5,16,18,拾,cầm,REVIEW,REVIEW,no_context,,,"[879, 1864, 993, 1979]",0.804897,cầm,0.804897,0.000738464,3.04801e-05,2,0,1,visual_syl_gate
,stt11,page_0060,6,5,5,區,sang,REVIEW,REVIEW,no_context,,,"[714, 887, 819, 1007]",0.986399,sang,0.986399,9.08056e-06,2.62755e-05,2,1,1,visual_syl_gate
,stt11,page_0060,9,1,1,藂,một,REVIEW,REVIEW,no_context,,,"[264, 530, 362, 620]",0.952577,một,0.952577,6.65746e-05,1.19362e-05,2,1,1,visual_syl_gate
,stt11,page_0062,1,19,18,𣏌,lấy,REVIEW,REVIEW,no_context,,,"[1463, 2209, 1566, 2318]",0.891266,lấy,0.891266,0.00477792,0.000282488,2,0,1,visual_syl_gate
,stt11,page_0062,2,17,17,寽,là,REVIEW,REVIEW,no_context,,,"[1304, 1955, 1409, 2066]",0.917876,là,0.917876,8.61539e-05,,2,1,1,visual_syl_gate
,stt11,page_0062,3,3,4,咢,là,REVIEW,REVIEW,no_context,,,"[1163, 711, 1258, 816]",0.899957,là,0.899957,0.00315801,0.000143158,2,0,1,visual_syl_gate
,stt11,page_0062,5,19,19,扮,cầm,REVIEW,REVIEW,no_context,,,"[859, 2188, 965, 2303]",0.88056,cầm,0.88056,,0.00199953,2,0,1,visual_syl_gate
,stt11,page_0062,9,6,6,燻,lăm,REVIEW,REVIEW,no_context,,,"[261, 949, 342, 1050]",0.904639,lăm,0.904639,4.42551e-06,0.000195674,2,1,1,visual_syl_gate
,stt11,page_0064,1,6,6,帚,vua,REVIEW,REVIEW,no_context,,,"[1528, 1000, 1627, 1121]",0.839006,vua,0.839006,6.81534e-05,0.000305442,3,0,1,visual_syl_gate
,stt11,page_0064,2,2,2,卒,trời,REVIEW,REVIEW,no_context,,,"[1388, 621, 1490, 739]",0.886492,trời,0.886492,0.00635449,0.000876948,3,0,1,visual_syl_gate
,stt11,page_0064,2,5,5,畢,cả,REVIEW,REVIEW,no_context,,,"[1379, 914, 1483, 1036]",0.871151,cả,0.871151,1.47392e-05,0.0115515,3,0,1,visual_syl_gate
,stt11,page_0064,6,8,8,㴱,nước,REVIEW,REVIEW,no_context,,,"[774, 1213, 880, 1327]",0.935579,nước,0.935579,,1.67017e-05,3,1,1,visual_syl_gate
,stt11,page_0064,7,16,16,醬,rô,REVIEW,REVIEW,no_context,,,"[626, 2002, 735, 2120]",0.800195,rô,0.800195,0.000255207,0.000188177,3,0,1,visual_syl_gate
,stt11,page_0064,8,3,3,胳,khác,REVIEW,REVIEW,no_context,,,"[482, 690, 586, 801]",0.984406,khác,0.984406,0.000162219,4.86047e-06,3,1,1,visual_syl_gate
,stt11,page_0066,1,4,4,缺,hơn,REVIEW,REVIEW,no_context,,,"[1468, 808, 1572, 919]",0.897927,hơn,0.897927,0.000154791,7.01691e-06,2,0,1,visual_syl_gate
,stt11,page_0066,2,1,1,築,thầy,REVIEW,REVIEW,no_context,,,"[1332, 548, 1433, 665]",0.995957,thầy,0.995957,4.8328e-05,8.57924e-07,2,1,1,visual_syl_gate
,stt11,page_0066,2,8,7,姝,thờ,REVIEW,REVIEW,no_context,,,"[1329, 1189, 1435, 1300]",0.831868,thờ,0.831868,0.00201521,0.000228766,2,0,1,visual_syl_gate
,stt11,page_0066,3,12,12,嘉,vua,REVIEW,REVIEW,no_context,,,"[1170, 1577, 1277, 1692]",0.945251,vua,0.945251,7.14241e-05,0.000484297,2,1,1,visual_syl_gate
,stt11,page_0066,3,16,15,敗,gần,REVIEW,REVIEW,no_context,,,"[1170, 1948, 1277, 2064]",0.925131,gần,0.925131,0.0317704,2.22997e-05,2,1,1,visual_syl_gate
,stt11,page_0066,6,18,17,拈,xem,REVIEW,REVIEW,no_context,,,"[706, 2122, 809, 2232]",0.852427,xem,0.852427,0.000122449,2.04634e-05,2,0,1,visual_syl_gate
,stt11,page_0066,9,15,15,䓁,lòng,REVIEW,REVIEW,no_context,,,"[263, 1803, 359, 1913]",0.801172,lòng,0.801172,0.00173722,0.000570641,2,0,1,visual_syl_gate
,stt11,page_0068,1,9,12,荊,phán,REVIEW,REVIEW,no_context,,,"[1446, 1288, 1543, 1405]",0.914967,phán,0.914967,5.96771e-05,0.000293741,3,1,1,visual_syl_gate
,stt11,page_0068,4,12,12,寿,lòng,REVIEW,REVIEW,no_context,,,"[998, 1535, 1104, 1645]",0.909455,lòng,0.909455,0.00019264,2.56129e-06,3,1,1,visual_syl_gate
,stt11,page_0068,5,18,18,度,mà,REVIEW,REVIEW,no_context,,,"[860, 2068, 965, 2186]",0.888116,mà,0.888116,2.50196e-06,0.000425724,3,0,1,visual_syl_gate
,stt11,page_0068,9,7,7,末,có,REVIEW,REVIEW,no_context,,,"[241, 1029, 339, 1135]",0.830548,có,0.830548,0.000191141,0.00123187,3,0,1,visual_syl_gate
,stt11,page_0070,8,1,1,畜,năm,REVIEW,REVIEW,no_context,,,"[409, 553, 515, 669]",0.843319,năm,0.843319,3.94441e-05,0.000145412,3,0,1,visual_syl_gate
,stt11,page_0072,6,19,20,鼂,pha,REVIEW,REVIEW,no_context,,,"[725, 2208, 826, 2322]",0.981017,pha,0.981017,0.00019264,0.981017,0,1,1,visual_syl_gate
,stt11,page_0072,8,17,17,呫,hai,REVIEW,REVIEW,no_context,,,"[400, 2032, 516, 2157]",0.973428,hai,0.973428,5.82947e-05,,0,1,1,visual_syl_gate
,stt11,page_0074,3,18,18,看,vua,REVIEW,REVIEW,no_context,,,"[1191, 2201, 1297, 2320]",0.879486,vua,0.879486,0.00468551,9.3688e-06,1,0,1,visual_syl_gate
,stt11,page_0074,6,1,1,略,hai,REVIEW,REVIEW,no_context,,,"[744, 520, 849, 640]",0.956685,hai,0.956685,2.10686e-06,0.000168681,1,1,1,visual_syl_gate
,stt11,page_0074,6,17,18,听,hai,REVIEW,REVIEW,no_context,,,"[732, 2028, 839, 2148]",0.827917,hai,0.827917,0.0141532,0.000300707,1,0,1,visual_syl_gate
,stt11,page_0076,1,15,14,趨,đi,REVIEW,REVIEW,no_context,,,"[1525, 1763, 1627, 1877]",0.939987,đi,0.939987,5.63825e-06,0.00127098,3,1,1,visual_syl_gate
,stt11,page_0076,3,4,4,掩,bỏ,REVIEW,REVIEW,no_context,,,"[1228, 809, 1331, 934]",0.96569,bỏ,0.96569,0.000200314,1.45938e-06,3,1,1,visual_syl_gate
,stt11,page_0076,5,14,14,喝,hai,REVIEW,REVIEW,no_context,,,"[918, 1703, 1035, 1830]",0.917596,hai,0.917596,0.000550928,0.00221328,3,1,1,visual_syl_gate
,stt11,page_0076,9,1,1,品,sang,REVIEW,REVIEW,no_context,,,"[302, 481, 406, 603]",0.95156,sang,0.95156,1.1213e-05,0.000214905,3,1,1,visual_syl_gate
,stt11,page_0078,1,0,0,枯,xem,REVIEW,REVIEW,no_context,,,"[1452, 425, 1558, 536]",0.897325,xem,0.897325,,0.00114823,1,0,1,visual_syl_gate
,stt11,page_0078,3,4,4,怜,khác,REVIEW,REVIEW,no_context,,,"[1157, 763, 1260, 869]",0.83065,khác,0.83065,0.000330262,0.000361307,1,0,1,visual_syl_gate
,stt11,page_0078,5,5,5,赳,lên,REVIEW,REVIEW,no_context,,,"[845, 858, 958, 968]",0.97095,lên,0.97095,1.81623e-06,2.01461e-05,1,1,1,visual_syl_gate
,stt11,page_0078,8,2,2,兾,một,REVIEW,REVIEW,no_context,,,"[386, 593, 490, 707]",0.960224,một,0.960224,3.6196e-05,2.00616e-07,1,1,1,visual_syl_gate
,stt11,page_0080,2,10,10,桃,lấy,REVIEW,REVIEW,no_context,,,"[1317, 1403, 1421, 1526]",0.926091,lấy,0.926091,5.43366e-05,0.000911882,0,1,1,visual_syl_gate
,stt11,page_0080,4,11,11,惲,sợ,REVIEW,REVIEW,no_context,,,"[1015, 1500, 1124, 1621]",0.92677,sợ,0.92677,0.00114376,2.3188e-05,0,1,1,visual_syl_gate
,stt11,page_0080,4,13,13,接,đi,REVIEW,REVIEW,no_context,,,"[1015, 1689, 1125, 1813]",0.981227,đi,0.981227,0.00310905,5.32697e-07,0,1,1,visual_syl_gate
,stt11,page_0080,6,7,7,曄,thì,REVIEW,REVIEW,no_context,,,"[718, 1080, 826, 1193]",0.812002,thì,0.812002,0.000154791,0.0014515,0,0,1,visual_syl_gate
,stt11,page_0080,8,21,23,突,thật,REVIEW,REVIEW,no_context,,,"[417, 2366, 529, 2478]",0.995076,thật,0.995076,2.15682e-06,,0,1,1,visual_syl_gate
,stt11,page_0086,3,5,5,噶,rô,REVIEW,REVIEW,no_context,,,"[1168, 915, 1268, 1028]",0.931704,rô,0.931704,8.88887e-05,0.00360656,4,1,1,visual_syl_gate
,stt11,page_0086,3,21,21,𭤧,đức,REVIEW,REVIEW,no_context,,,"[1165, 2401, 1270, 2506]",0.907404,đức,0.907404,3.34758e-05,,4,1,1,visual_syl_gate
,stt11,page_0086,6,14,14,了,pha,REVIEW,REVIEW,no_context,,,"[701, 1687, 800, 1791]",0.897599,pha,0.897599,0.897599,0.000338094,4,0,1,visual_syl_gate
,stt11,page_0086,7,7,7,歙,ca,REVIEW,REVIEW,no_context,,,"[560, 1080, 661, 1186]",0.813789,ca,0.813789,,2.06238e-05,4,0,1,visual_syl_gate
,stt11,page_0086,8,9,9,噶,rô,REVIEW,REVIEW,no_context,,,"[412, 1279, 511, 1392]",0.93307,rô,0.93307,0.0139883,1.64428e-05,4,1,1,visual_syl_gate
,stt11,page_0088,4,15,15,没,việc,REVIEW,REVIEW,no_context,,,"[1058, 1821, 1165, 1943]",0.922425,việc,0.922425,1.32121e-05,2.77524e-05,4,1,1,visual_syl_gate
,stt11,page_0088,8,3,3,肖,về,REVIEW,REVIEW,no_context,,,"[429, 702, 532, 824]",0.864583,về,0.864583,8.73269e-06,0.00062918,4,0,1,visual_syl_gate
,stt11,page_0088,9,8,8,寒,ra,REVIEW,REVIEW,no_context,,,"[269, 1170, 374, 1285]",0.948053,ra,0.948053,9.74202e-06,1.14789e-05,4,1,1,visual_syl_gate
,stt11,page_0090,3,0,0,尺,linh,REVIEW,REVIEW,no_context,,,"[1157, 443, 1261, 542]",0.869239,linh,0.869239,,0.000685641,4,0,1,visual_syl_gate
,stt11,page_0090,4,13,13,反,gia,REVIEW,REVIEW,no_context,,,"[987, 1577, 1095, 1687]",0.841879,gia,0.841879,0.000915451,,4,0,1,visual_syl_gate
,stt11,page_0090,5,6,6,遫,lên,REVIEW,REVIEW,no_context,,,"[847, 973, 955, 1086]",0.859217,lên,0.859217,0.00131646,0.000145412,4,0,1,visual_syl_gate
,stt11,page_0090,5,20,20,趙,lên,REVIEW,REVIEW,no_context,,,"[819, 2283, 924, 2391]",0.846103,lên,0.846103,3.42697e-05,5.47628e-05,4,0,1,visual_syl_gate
,stt11,page_0090,9,9,9,浸,nước,REVIEW,REVIEW,no_context,,,"[251, 1239, 342, 1346]",0.818971,nước,0.818971,6.01451e-05,8.66473e-06,4,0,1,visual_syl_gate
,stt11,page_0092,5,4,4,表,i,REVIEW,REVIEW,no_context,,,"[869, 783, 983, 900]",0.847136,i,0.847136,4.98621e-05,0.000411017,1,0,1,visual_syl_gate
,stt11,page_0092,6,16,14,遂,một,REVIEW,REVIEW,no_context,,,"[709, 1898, 819, 2009]",0.978446,một,0.978446,7.14241e-05,1.59369e-05,1,1,1,visual_syl_gate
,stt11,page_0094,2,16,16,浄,phải,REVIEW,REVIEW,no_context,,,"[1320, 1939, 1424, 2056]",0.842907,phải,0.842907,0.000325142,0.000327692,4,0,1,visual_syl_gate
,stt11,page_0094,3,16,16,茯,áo,REVIEW,REVIEW,no_context,,,"[1159, 1927, 1268, 2048]",0.831969,áo,0.831969,0.000148861,3.34758e-05,4,0,1,visual_syl_gate
,stt11,page_0094,4,6,6,牂,còn,REVIEW,REVIEW,no_context,,,"[1013, 1014, 1120, 1138]",0.971336,còn,0.971336,2.26509e-05,4.39107e-06,4,1,1,visual_syl_gate
,stt11,page_0096,2,7,7,䢖,trên,REVIEW,REVIEW,no_context,,,"[1327, 1089, 1433, 1210]",0.948864,trên,0.948864,5.63825e-06,2.22997e-05,1,1,1,visual_syl_gate
