page,canvas_nom,first_seq,n_pairs,n_cau,formula_verse_no,formula_thieu,formula_trung,formula_cau_dau,formula_qn_page,anchor_start_seq,anchor_offset,anchor_neo_verse,anchor_neo_seq,anchor_neo_nguon,anchor_nhip,anchor_n_neo,anchor_offsets_trong_dai,anchor_cau_dau,anchor_qn_page,n_cau_khac,khuyen_nghi
116,51,2301,10,20,2301–2320,-,-,"Chiếu danh, tầm hoạch, bắt về, đãi tra.",vol2 canvas 0147,2299,2,2230,2228,ocr_num,20/20,23,1,"„9300 Mấy người phụ bạc xưa kia,",vol2 canvas 0147,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
117,50,2321,10,20,2321–2340,-,-,«Hãy xim bảo đáp ân tình cho phu!,vol2 canvas 0151,2319,2,2230,2228,ocr_num,20/20,23,1,"Nàng rằng : «Nhờ cậy oai linh,",vol2 canvas 0151,20,"CẦN NGƯỜI XÁC NHẬN: neo 2230 cho offset +2 (hợp nhịp), neo 2240 cho +1; giả thuyết offset 0 (tiếp từ 1580) cũng hợp nhịp nhưng ngoài cửa sổ ±100 → xem QN vol2 canvas 133–137 đối chiếu nội dung với Nôm"
148,19,2941,10,20,2941–2960,-,-,"Vào sanh, ra tử, hoạ là thấy nhau!",vol2 canvas 0251,2939,2,3055,3053,margin_digits,18/20,39,1,"Bãn mình trong đảm can qua,",vol2 canvas 0251,20,CẦN NGƯỜI XÁC NHẬN: chỉ neo 3055 (margin_digits) offset +2; đối chiếu 1 câu bất kỳ với Nôm để chốt
149,18,2961,10,20,2961–2980,-,-,«Lệnh quan lại bất ép đuyên thổ tù.,vol2 canvas 0253,2959,2,3055,3053,margin_digits,20/20,38,1,«Nàng #/Z8¿ công cả chẳng đến!,vol2 canvas 0253,20,CẦN NGƯỜI XÁC NHẬN: chỉ neo 3055 (margin_digits) offset +2; đối chiếu 1 câu bất kỳ với Nôm để chốt
150,17,2981,10,20,2981–3000,-,-,«Nãy là em ruột; nãy là em dân!,vol2 canvas 0257,2979,2,3055,3053,margin_digits,19/20,40,1,"«Nẩy chồng, nấy mẹ, nẩy cha!",vol2 canvas 0257,20,CẦN NGƯỜI XÁC NHẬN: chỉ neo 3055 (margin_digits) offset +2; đối chiếu 1 câu bất kỳ với Nôm để chốt
151,16,3001,10,20,3001–3020,-,-,Bộ hành một lũ theo liền một khi.,vol2 canvas 0259,2999,2,3055,3053,margin_digits,18/20,38,1,"Bắp nhan, lạy tạ G2ác duyên,",vol2 canvas 0259,20,CẦN NGƯỜI XÁC NHẬN: chỉ neo 3055 (margin_digits) offset +2; đối chiếu 1 câu bất kỳ với Nôm để chốt
152,15,3021,10,20,3021–3040,-,-,«Kiếp nãy ai lại còn cầm gặp đây?»,vol2 canvas 0263,3019,2,3055,3053,margin_digits,19/20,37,1,« ỨÍnh rằng sông nước cát lầm!,vol2 canvas 0263,20,CẦN NGƯỜI XÁC NHẬN: chỉ neo 3055 (margin_digits) offset +2; đối chiếu 1 câu bất kỳ với Nôm để chốt
153,14,3041,10,20,3041–3060,3054,-,"cTuỗi nầy gổi với cổ cây, cũng vừa!",vol2 canvas 0265,3040,1,3040,3039,ocr_num,14/20,36,2,"cTuỗi nầy gổi với cổ cây, cũng vừa!",vol2 canvas 0265,7,"DÙNG anchor (offset +1): sau chỗ QN thiếu dòng 3046 ('Đã tu tu trót, qua thì thì thôi') offset +1 mới giữ nhịp; 153 nhịp 14/20 vì chứa chỗ thiếu → cột chứa 3046 cần người kiểm"
154,13,3061,10,20,3061–3080,-,-,"Đứng lên, Vi» mới giäi bày một hai.",vol2 canvas 0269,3060,1,3040,3039,ocr_num,19/20,35,2,"Rằng : « Trong tác hiệp cơ Trời,",vol2 canvas 0269,20,"DÙNG anchor (offset +1): sau chỗ QN thiếu dòng 3046 ('Đã tu tu trót, qua thì thì thôi') offset +1 mới giữ nhịp; 153 nhịp 14/20 vì chứa chỗ thiếu → cột chứa 3046 cần người kiểm"
155,12,3081,10,20,3081–3100,-,-,«Thì cho ngọn nước thủy triều chẩy xuôi!›,vol2 canvas 0273,3080,1,3040,3039,ocr_num,20/20,35,2,Chàng rằng : «Nói cũng lạ đời!,vol2 canvas 0273,20,"DÙNG anchor (offset +1): sau chỗ QN thiếu dòng 3046 ('Đã tu tu trót, qua thì thì thôi') offset +1 mới giữ nhịp; 153 nhịp 14/20 vì chứa chỗ thiếu → cột chứa 3046 cần người kiểm"
156,11,3101,10,20,3101–3120,-,-,‹Đã xong thân thế! Còn toan nỗi nào?,vol2 canvas 0277,3100,1,3040,3039,ocr_num,20/20,34,2,"«Nghỉ mình, chẳng hỗ mình sao?",vol2 canvas 0277,20,"DÙNG anchor (offset +1): sau chỗ QN thiếu dòng 3046 ('Đã tu tu trót, qua thì thì thôi') offset +1 mới giữ nhịp; 153 nhịp 14/20 vì chứa chỗ thiếu → cột chứa 3046 cần người kiểm"
157,10,3121,10,20,3121–3140,-,-,"«Tan sương, biết tổ áng mây giữa tròi!",vol2 canvas 0281,3120,1,3040,3039,ocr_num,19/20,31,2,"«Hoa tàn, mà lại thêm tươi!",vol2 canvas 0281,20,"DÙNG anchor (offset +1): sau chỗ QN thiếu dòng 3046 ('Đã tu tu trót, qua thì thì thôi') offset +1 mới giữ nhịp; 153 nhịp 14/20 vì chứa chỗ thiếu → cột chứa 3046 cần người kiểm"
163,4,3241,8,16,3241–3256,3254 3255 3256,-,"""Trời kia đã bất làm người có thân!",vol2 canvas 0303,,,,,,,0,-,(không có dòng),,-,"BỎ TRANG (--skip-uncovered): không neo; QN kết thúc ở số in 3253 ('Mua vui cũng được một vài trống canh'), Nôm 8 cặp tới 3256 → 3 câu cuối không có QN; muốn giữ thì bổ sung QN tay 3254–3256 vào verses.tsv"
