syllable,ma_troi,so_o_troi,sach_troi,ma_phu,so_o_phu,sach_phu,giong_hai_chieu,ty_le,may_nghi,NGUOI_DUYET,GHI_CHU
tôi,碎,481,3,砕,12,2,mot_chieu,0.025,CAN_NGUOI_XEM,,
rừng,棱,21,3,稜,12,3,CO,0.571,CAN_NGUOI_XEM,,
hãy,矣,29,3,唉,12,3,mot_chieu,0.414,CAN_NGUOI_XEM,,
mọi,每,135,3,毎,11,2,CO,0.081,DI_THE,,
đã,㐌,114,3,拖,11,3,CO,0.096,DI_THE,,
đã,也,20,2,拖,11,3,mot_chieu,0.550,CAN_NGUOI_XEM,,
dối,対,20,3,对,11,3,CO,0.550,CAN_NGUOI_XEM,,
một,没,136,3,殁,10,3,mot_chieu,0.074,CAN_NGUOI_XEM,,
hồn,魂,83,3,塊,9,1,CO,0.108,DI_THE,,
tuổi,歳,13,3,𡻕,9,3,CO,0.692,CAN_NGUOI_XEM,,
có,固,785,3,同,8,2,mot_chieu,0.010,CAN_NGUOI_XEM,,
thành,城,199,3,成,8,3,CO,0.040,DI_THE,,
giê,支,344,3,枝,8,1,CO,0.023,DI_THE,,
lâu,楼,40,3,娄,8,3,CO,0.200,DI_THE,,
ru,由,15,3,油,8,3,CO,0.533,CAN_NGUOI_XEM,,
nói,呐,84,3,吶,8,3,CO,0.095,DI_THE,,
em,俺,12,2,奄,8,1,CO,0.667,CAN_NGUOI_XEM,,
rút,椊,22,3,捽,8,2,CO,0.364,CAN_NGUOI_XEM,,
xác,殻,10,2,殼,7,2,CO,0.700,CAN_NGUOI_XEM,,
trước,畧,151,3,略,7,1,CO,0.046,DI_THE,,
lắm,凜,81,3,凛,7,3,CO,0.086,DI_THE,,
lắm,廪,45,3,凛,7,3,CO,0.156,DI_THE,,
nết,涅,11,2,湼,7,1,CO,0.636,CAN_NGUOI_XEM,,
lộc,禄,13,3,祿,7,2,CO,0.538,CAN_NGUOI_XEM,,
liên,連,140,3,蓮,7,2,CO,0.050,DI_THE,,
tốt,窣,12,2,𡨧,7,1,mot_chieu,0.583,CAN_NGUOI_XEM,,
rừng,棱,21,3,楼,7,3,mot_chieu,0.333,CAN_NGUOI_XEM,,
ai,埃,74,3,挨,6,3,CO,0.081,DI_THE,,
ai,唉,15,3,挨,6,3,CO,0.400,CAN_NGUOI_XEM,,
đi,多,215,3,移,6,2,CO,0.028,DI_THE,,
mô,模,33,3,摸,6,2,CO,0.182,DI_THE,,
mua,謨,6,3,模,6,1,CO,1.000,CAN_NGUOI_XEM,,
hãi,駭,8,1,㤥,6,2,mot_chieu,0.750,CAN_NGUOI_XEM,,
lên,連,121,3,蓮,5,2,CO,0.041,DI_THE,,
chưng,徵,10,2,徴,5,2,CO,0.500,CAN_NGUOI_XEM,,
ước,約,24,3,约,5,2,CO,0.208,DI_THE,,
tô,穌,43,3,酥,5,1,CO,0.116,DI_THE,,
sa,沙,67,3,抄,5,1,CO,0.075,DI_THE,,
ngọc,玉,5,1,王,5,3,CO,1.000,CAN_NGUOI_XEM,,
đâu,兜,6,2,兠,5,2,mot_chieu,0.833,CAN_NGUOI_XEM,,
đẹp,葉,19,3,枼,5,1,CO,0.263,CAN_NGUOI_XEM,,
đói,対,15,3,对,5,2,CO,0.333,CAN_NGUOI_XEM,,
nhau,燒,20,2,僥,5,1,CO,0.250,CAN_NGUOI_XEM,,
chào,朝,8,3,嘲,5,2,CO,0.625,CAN_NGUOI_XEM,,
tra,查,13,3,査,5,1,CO,0.385,CAN_NGUOI_XEM,,
cùng,共,705,3,拱,4,2,CO,0.006,DI_THE,,
kẻ,几,672,3,凡,4,3,CO,0.006,DI_THE,,
sen,蓮,10,3,連,4,2,CO,0.400,CAN_NGUOI_XEM,,
sau,娄,58,1,楼,4,2,CO,0.069,DI_THE,,
chưa,渚,22,3,猪,4,3,CO,0.182,DI_THE,,
khác,恪,85,3,格,4,2,CO,0.047,DI_THE,,
phi,丕,17,3,不,4,2,CO,0.235,DI_THE,,
bạc,泊,19,3,白,4,1,CO,0.211,DI_THE,,
thưa,踈,40,3,疎,4,2,CO,0.100,DI_THE,,
cướp,刧,11,3,劫,4,1,CO,0.364,CAN_NGUOI_XEM,,
đóng,㨂,14,3,棟,4,2,CO,0.286,CAN_NGUOI_XEM,,
rét,烈,10,2,列,4,3,CO,0.400,CAN_NGUOI_XEM,,
sang,郎,51,3,朗,4,2,CO,0.078,DI_THE,,
gọi,噲,17,3,𨆝,4,2,mot_chieu,0.235,CAN_NGUOI_XEM,,
nuôi,挼,4,2,浽,4,1,CO,1.000,CAN_NGUOI_XEM,,
mừng,明,85,3,眀,3,1,CO,0.035,DI_THE,,
còn,群,221,3,羣,3,2,CO,0.014,DI_THE,,
ma,魔,22,3,摩,3,1,CO,0.136,DI_THE,,
ma,麻,16,3,摩,3,1,CO,0.188,DI_THE,,
bà,把,41,3,杷,3,2,CO,0.073,DI_THE,,
sao,牢,72,3,年,3,2,mot_chieu,0.042,CAN_NGUOI_XEM,,
cô,姑,37,3,估,3,1,CO,0.081,DI_THE,,
hồ,胡,4,3,湖,3,1,CO,0.750,CAN_NGUOI_XEM,,
phạt,罰,94,3,罸,3,2,CO,0.032,DI_THE,,
rằng,浪,217,3,娘,3,2,CO,0.014,DI_THE,,
việc,役,65,3,伇,3,2,mot_chieu,0.046,CAN_NGUOI_XEM,,
việc,役,65,3,沒,3,2,CO,0.046,DI_THE,,
việc,伇,3,2,沒,3,2,CO,1.000,CAN_NGUOI_XEM,,
ngọc,玉,5,1,玊,3,3,CO,0.600,CAN_NGUOI_XEM,,
bạc,泊,19,3,伯,3,2,CO,0.158,DI_THE,,
bạc,白,4,1,伯,3,2,CO,0.750,CAN_NGUOI_XEM,,
chê,支,5,3,吱,3,2,CO,0.600,CAN_NGUOI_XEM,,
câu,句,4,2,勾,3,1,CO,0.750,CAN_NGUOI_XEM,,
đinh,汀,4,2,灯,3,2,mot_chieu,0.750,CAN_NGUOI_XEM,,
nhau,僥,5,1,饒,3,1,CO,0.600,CAN_NGUOI_XEM,,
sớm,欽,8,3,歛,3,2,CO,0.375,CAN_NGUOI_XEM,,
cáo,告,7,3,吿,3,2,CO,0.429,CAN_NGUOI_XEM,,
xứ,䖏,4,1,處,3,2,CO,0.750,CAN_NGUOI_XEM,,
thuốc,束,19,3,朿,3,2,CO,0.158,DI_THE,,
chớ,渚,58,3,𤀞,3,2,CO,0.052,DI_THE,,
gánh,挭,7,1,梗,3,2,CO,0.429,CAN_NGUOI_XEM,,
ác,悪,5,3,惡,3,2,CO,0.600,CAN_NGUOI_XEM,,
có,故,2,2,古,2,2,CO,1.000,CAN_NGUOI_XEM,,
một,殁,10,3,歿,2,1,CO,0.200,DI_THE,,
pha,披,2,1,破,2,1,CO,1.000,CAN_NGUOI_XEM,,
thờ,蜍,83,3,徐,2,1,CO,0.024,DI_THE,,
thờ,除,18,1,徐,2,1,CO,0.111,DI_THE,,
ma,魔,22,3,磨,2,2,CO,0.091,DI_THE,,
ma,麻,16,3,磨,2,2,CO,0.125,DI_THE,,
ma,摩,3,1,磨,2,2,CO,0.667,CAN_NGUOI_XEM,,
lại,束,2,1,來,2,1,CO,1.000,CAN_NGUOI_XEM,,
ấy,衣,248,2,𧘇,2,2,mot_chieu,0.008,CAN_NGUOI_XEM,,
cũng,共,62,3,珙,2,2,mot_chieu,0.032,CAN_NGUOI_XEM,,
cũng,拱,58,3,珙,2,2,CO,0.034,DI_THE,,
dù,油,53,3,由,2,1,CO,0.038,DI_THE,,
chước,斫,40,3,斮,2,1,CO,0.050,DI_THE,,
hồn,魂,83,3,魄,2,2,CO,0.024,DI_THE,,
men,綿,7,2,绵,2,1,CO,0.286,CAN_NGUOI_XEM,,
em,俺,12,2,㛪,2,2,CO,0.167,DI_THE,,
áo,袄,25,2,㤇,2,1,CO,0.080,DI_THE,,
độc,讀,3,1,櫝,2,1,CO,0.667,CAN_NGUOI_XEM,,
mô,模,33,3,獏,2,2,CO,0.061,DI_THE,,
mô,摸,6,2,獏,2,2,CO,0.333,CAN_NGUOI_XEM,,
trở,呂,4,2,吕,2,1,CO,0.500,CAN_NGUOI_XEM,,
giận,陣,41,3,𢚷,2,2,CO,0.049,DI_THE,,
ẩn,𨼆,3,3,隠,2,1,CO,0.667,CAN_NGUOI_XEM,,
ẩn,隠,2,1,隐,2,2,mot_chieu,1.000,CAN_NGUOI_XEM,,
đưa,迻,6,3,多,2,2,mot_chieu,0.333,CAN_NGUOI_XEM,,
roi,檑,3,2,擂,2,1,CO,0.667,CAN_NGUOI_XEM,,
nhau,燒,20,2,澆,2,2,CO,0.100,DI_THE,,
nhau,僥,5,1,澆,2,2,CO,0.400,CAN_NGUOI_XEM,,
phô,甫,7,2,哺,2,1,CO,0.286,CAN_NGUOI_XEM,,
ngần,垠,2,2,銀,2,2,mot_chieu,1.000,CAN_NGUOI_XEM,,
hèn,閑,24,3,闲,2,1,mot_chieu,0.083,CAN_NGUOI_XEM,,
cởi,𢶒,3,2,繪,2,1,CO,0.667,CAN_NGUOI_XEM,,
chung,終,6,2,终,2,1,CO,0.333,CAN_NGUOI_XEM,,
ngựa,馭,22,3,驭,2,1,mot_chieu,0.091,CAN_NGUOI_XEM,,
nát,涅,4,2,湼,2,1,CO,0.500,CAN_NGUOI_XEM,,
nhiều,澆,6,2,堯,2,1,CO,0.333,CAN_NGUOI_XEM,,
ác,惡,3,2,恶,2,1,CO,0.667,CAN_NGUOI_XEM,,
ao,拗,6,2,泑,2,1,CO,0.333,CAN_NGUOI_XEM,,
dơ,汿,2,2,抒,2,1,CO,1.000,CAN_NGUOI_XEM,,
đổi,対,6,3,对,2,1,CO,0.333,CAN_NGUOI_XEM,,
củi,檜,4,3,𢶒,2,2,CO,0.500,CAN_NGUOI_XEM,,
chay,粂,3,1,夈,2,1,CO,0.667,CAN_NGUOI_XEM,,
cải,改,6,2,攺,2,1,CO,0.333,CAN_NGUOI_XEM,,
hư,虚,11,2,虛,2,1,CO,0.182,DI_THE,,
gởi,攺,3,1,改,2,1,CO,0.667,CAN_NGUOI_XEM,,
mươi,迈,34,2,𨒒,1,1,mot_chieu,0.029,CAN_NGUOI_XEM,,
mừng,明,85,3,朋,1,1,CO,0.012,DI_THE,,
mừng,眀,3,1,朋,1,1,CO,0.333,CAN_NGUOI_XEM,,
được,特,634,3,待,1,1,CO,0.002,DI_THE,,
được,持,21,3,待,1,1,CO,0.048,DI_THE,,
tường,詳,8,3,祥,1,1,mot_chieu,0.125,CAN_NGUOI_XEM,,
cho,朱,1488,3,木,1,1,mot_chieu,0.001,CAN_NGUOI_XEM,,
pha,頗,2,1,颇,1,1,CO,0.500,CAN_NGUOI_XEM,,
ni,尼,21,3,坭,1,1,CO,0.048,DI_THE,,
ni,坭,1,1,伲,1,1,CO,1.000,CAN_NGUOI_XEM,,
ô,塢,2,2,摀,1,1,CO,0.500,CAN_NGUOI_XEM,,
ô,溩,1,1,摀,1,1,CO,1.000,CAN_NGUOI_XEM,,
ở,於,508,3,扵,1,1,CO,0.002,DI_THE,,
khéo,窖,5,3,害,1,1,CO,0.200,DI_THE,,
ma,魔,22,3,麽,1,1,CO,0.045,DI_THE,,
ma,摩,3,1,麽,1,1,mot_chieu,0.333,CAN_NGUOI_XEM,,
ma,磨,2,2,麽,1,1,CO,0.500,CAN_NGUOI_XEM,,
xác,殻,10,2,觳,1,1,CO,0.100,DI_THE,,
xác,殼,7,2,觳,1,1,CO,0.143,DI_THE,,
bởi,羆,1,1,罷,1,1,CO,1.000,CAN_NGUOI_XEM,,
đàng,唐,12,2,塘,1,1,CO,0.083,DI_THE,,
bạn,伴,29,3,拌,1,1,CO,0.034,DI_THE,,
kẻo,矯,54,3,嬌,1,1,CO,0.019,DI_THE,,
kẻo,喬,15,1,嬌,1,1,CO,0.067,DI_THE,,
nước,箸,4,2,著,1,1,CO,0.250,CAN_NGUOI_XEM,,
vật,物,22,3,𢪱,1,1,mot_chieu,0.045,CAN_NGUOI_XEM,,
răng,淩,1,1,凌,1,1,CO,1.000,CAN_NGUOI_XEM,,
để,底,81,3,低,1,1,CO,0.012,DI_THE,,
đường,唐,44,3,塘,1,1,CO,0.023,DI_THE,,
đường,瑭,1,1,塘,1,1,CO,1.000,CAN_NGUOI_XEM,,
đường,瑭,1,1,榶,1,1,mot_chieu,1.000,CAN_NGUOI_XEM,,
đường,塘,1,1,榶,1,1,CO,1.000,CAN_NGUOI_XEM,,
theo,燒,96,3,蹺,1,1,CO,0.010,DI_THE,,
theo,燒,96,3,嘵,1,1,CO,0.010,DI_THE,,
theo,蹺,1,1,嘵,1,1,CO,1.000,CAN_NGUOI_XEM,,
nghe,宜,129,3,冝,1,1,CO,0.008,DI_THE,,
như,茄,19,1,茹,1,1,CO,0.053,DI_THE,,
chân,真,62,3,嗔,1,1,mot_chieu,0.016,CAN_NGUOI_XEM,,
dại,曳,5,3,曵,1,1,CO,0.200,DI_THE,,
hồn,魂,83,3,䰟,1,1,CO,0.012,DI_THE,,
hồn,魄,2,2,隗,1,1,mot_chieu,0.500,CAN_NGUOI_XEM,,
tịnh,浄,1,1,净,1,1,CO,1.000,CAN_NGUOI_XEM,,
phi,丕,17,3,苤,1,1,mot_chieu,0.059,CAN_NGUOI_XEM,,
chầy,遲,5,2,遅,1,1,CO,0.200,DI_THE,,
chầy,遟,1,1,遅,1,1,CO,1.000,CAN_NGUOI_XEM,,
sa,沙,67,3,砂,1,1,CO,0.015,DI_THE,,
rằng,浪,217,3,哴,1,1,CO,0.005,DI_THE,,
ru,由,15,3,𠱋,1,1,mot_chieu,0.067,CAN_NGUOI_XEM,,
lời,𢈱,3,2,唎,1,1,CO,0.333,CAN_NGUOI_XEM,,
tranh,争,4,3,爭,1,1,CO,0.250,CAN_NGUOI_XEM,,
mọn,悶,6,2,𨳒,1,1,mot_chieu,0.167,CAN_NGUOI_XEM,,
viếng,永,6,2,咏,1,1,CO,0.167,DI_THE,,
đi,多,215,3,迻,1,1,mot_chieu,0.005,CAN_NGUOI_XEM,,
đi,移,6,2,迻,1,1,mot_chieu,0.167,CAN_NGUOI_XEM,,
điều,調,39,3,调,1,1,CO,0.026,DI_THE,,
thí,譬,2,1,辟,1,1,CO,0.500,CAN_NGUOI_XEM,,
áo,襖,46,2,澳,1,1,CO,0.022,DI_THE,,
gần,近,1,1,斤,1,1,CO,1.000,CAN_NGUOI_XEM,,
tốt,𡨧,7,1,崒,1,1,CO,0.143,DI_THE,,
cướp,刧,11,3,刼,1,1,CO,0.091,DI_THE,,
cướp,劫,4,1,刼,1,1,CO,0.250,CAN_NGUOI_XEM,,
chết,折,137,3,托,1,1,mot_chieu,0.007,CAN_NGUOI_XEM,,
chừa,除,17,3,徐,1,1,CO,0.059,DI_THE,,
mô,模,33,3,謨,1,1,CO,0.030,DI_THE,,
mô,獏,2,2,謨,1,1,CO,0.500,CAN_NGUOI_XEM,,
câu,拘,25,3,抅,1,1,CO,0.040,DI_THE,,
câu,枸,15,3,朐,1,1,CO,0.067,DI_THE,,
tiếc,惜,12,3,昔,1,1,CO,0.083,DI_THE,,
ván,板,5,3,鈑,1,1,CO,0.200,DI_THE,,
yêu,夭,16,3,妖,1,1,CO,0.062,DI_THE,,
yêu,㤇,3,1,妖,1,1,CO,0.333,CAN_NGUOI_XEM,,
lô,芦,1,1,卢,1,1,CO,1.000,CAN_NGUOI_XEM,,
về,衛,14,3,衞,1,1,CO,0.071,DI_THE,,
mến,勉,20,3,免,1,1,CO,0.050,DI_THE,,
hầu,侯,7,3,候,1,1,mot_chieu,0.143,CAN_NGUOI_XEM,,
cha,吒,71,3,托,1,1,CO,0.014,DI_THE,,
thưởng,賞,8,3,赏,1,1,CO,0.125,DI_THE,,
phô,鋪,6,2,舖,1,1,CO,0.167,DI_THE,,
cầm,今,2,1,吟,1,1,CO,0.500,CAN_NGUOI_XEM,,
sạch,瀝,1,1,歷,1,1,mot_chieu,1.000,CAN_NGUOI_XEM,,
tượng,像,14,3,象,1,1,CO,0.071,DI_THE,,
rình,伶,16,3,冷,1,1,CO,0.062,DI_THE,,
chớ,渚,58,3,陼,1,1,mot_chieu,0.017,CAN_NGUOI_XEM,,
chớ,陼,1,1,䐗,1,1,mot_chieu,1.000,CAN_NGUOI_XEM,,
săn,詵,1,1,駪,1,1,CO,1.000,CAN_NGUOI_XEM,,
tháp,塔,1,1,㙮,1,1,CO,1.000,CAN_NGUOI_XEM,,
lạnh,冷,2,1,泠,1,1,CO,0.500,CAN_NGUOI_XEM,,
bớt,扒,9,3,八,1,1,CO,0.111,DI_THE,,
côi,塊,2,2,瑰,1,1,CO,0.500,CAN_NGUOI_XEM,,
hám,憾,3,1,撼,1,1,CO,0.333,CAN_NGUOI_XEM,,
cánh,梗,2,1,更,1,1,CO,0.500,CAN_NGUOI_XEM,,
khát,渇,4,2,喝,1,1,mot_chieu,0.250,CAN_NGUOI_XEM,,
khát,渴,4,2,喝,1,1,CO,0.250,CAN_NGUOI_XEM,,
mùi,味,14,3,未,1,1,CO,0.071,DI_THE,,
họa,禍,1,1,祸,1,1,CO,1.000,CAN_NGUOI_XEM,,
trộm,滥,1,1,濫,1,1,CO,1.000,CAN_NGUOI_XEM,,
biến,变,8,3,𣷷,1,1,CO,0.125,DI_THE,,
thơm,貪,4,3,𦹳,1,1,mot_chieu,0.250,CAN_NGUOI_XEM,,
mẻ,美,1,1,羙,1,1,CO,1.000,CAN_NGUOI_XEM,,
hát,喝,10,3,𠿒,1,1,CO,0.100,DI_THE,,
treo,撩,3,2,僚,1,1,CO,0.333,CAN_NGUOI_XEM,,
liệu,料,4,3,科,1,1,CO,0.250,CAN_NGUOI_XEM,,
lóc,禄,14,2,祿,1,1,CO,0.071,DI_THE,,
ngăn,銀,1,1,垠,1,1,mot_chieu,1.000,CAN_NGUOI_XEM,,
âm,音,1,1,喑,1,1,mot_chieu,1.000,CAN_NGUOI_XEM,,
thoát,率,1,1,卒,1,1,CO,1.000,CAN_NGUOI_XEM,,
chải,扯,1,1,止,1,1,CO,1.000,CAN_NGUOI_XEM,,
ngang,昂,3,2,昻,1,1,CO,0.333,CAN_NGUOI_XEM,,
mắng,莽,2,1,莾,1,1,CO,0.500,CAN_NGUOI_XEM,,
mắng,莽,2,1,𠻵,1,1,CO,0.500,CAN_NGUOI_XEM,,
mắng,莾,1,1,𠻵,1,1,CO,1.000,CAN_NGUOI_XEM,,
mượn,慢,5,2,漫,1,1,CO,0.200,DI_THE,,
xua,樞,9,2,摳,1,1,CO,0.111,DI_THE,,
ê,𠲖,1,1,依,1,1,CO,1.000,CAN_NGUOI_XEM,,
phao,抛,5,2,拋,1,1,CO,0.200,DI_THE,,
sắc,勑,2,1,勅,1,1,CO,0.500,CAN_NGUOI_XEM,,
than,熯,1,1,嘆,1,1,mot_chieu,1.000,CAN_NGUOI_XEM,,
than,熯,1,1,歎,1,1,mot_chieu,1.000,CAN_NGUOI_XEM,,
tiêu,摽,1,1,標,1,1,CO,1.000,CAN_NGUOI_XEM,,
tính,性,3,1,生,1,1,CO,0.333,CAN_NGUOI_XEM,,
quế,挂,1,1,桂,1,1,CO,1.000,CAN_NGUOI_XEM,,
chú,注,2,1,主,1,1,CO,0.500,CAN_NGUOI_XEM,,
quyển,巻,1,1,卷,1,1,CO,1.000,CAN_NGUOI_XEM,,
