luat,set,n,fired,fired_pct,fired_ci,prop_n,prop_inR,prop_inR_pct_of_fired,prop_inR_pct_of_n,prop_inR_ci_of_n,prop_eqK,prop_eqK_pct_of_fired,prop_inR_neK,perm_fired_mean,perm_fired_p95,perm_inR_mean,perm_inR_p95,lift_fired_vs_perm,lift_inR_vs_perm,lift_inR_vs_freq,p_perm_ge_obs,p_random_freq,p_random_uniform,by_tier,by_book,SILVER_inR_eq_pipeline_label,dist_top,pct_𠊚,pct_㝵
B3 chỉ P∈R,M1,600,343,57.2,"[53.2, 61.1]",343.0,343.0,100.0,57.17,"[53.17, 61.07]",311.0,90.7,32.0,6.9,11.0,6.874,11.0,49.9,49.9,62.0,0.0,0.922,0.059,,,,,,
B4 chỉ G∈R,M1,600,361,60.2,"[56.2, 64.0]",361.0,361.0,100.0,60.17,"[56.2, 64.01]",337.0,93.4,24.0,6.4,11.0,6.354,11.0,56.8,56.8,65.2,0.0,0.922,0.059,,,,,,
B5 P∈R ∧ G∈R ∧ P==G (2 cầu ∈R),M1,600,222,37.0,"[33.2, 40.9]",222.0,222.0,100.0,37.0,"[33.23, 40.93]",212.0,95.5,10.0,0.1,1.0,0.08,1.0,2775.0,2775.0,40.1,0.0,0.922,0.059,,,,,,
"B6 đúng 1 ứng viên ∈R trong {P,G} (không mâu thuẫn)",M1,600,454,75.7,"[72.1, 78.9]",454.0,454.0,100.0,75.67,"[72.08, 78.93]",422.0,93.0,32.0,13.1,19.0,13.056,19.0,34.8,34.8,82.0,0.0,0.922,0.059,,,,,,
C1 phủ quyết nếu P≠K (P≠∅),M1,600,264,44.0,"[40.1, 48.0]",,,,,,,,,570.8,574.0,0.0,0.0,0.5,,,,0.922,0.059,,,,,,
C2 phủ quyết nếu G≠K (G≠∅),M1,600,186,31.0,"[27.4, 34.8]",,,,,,,,,518.8,521.0,0.0,0.0,0.4,,,,0.922,0.059,,,,,,
C3 phủ quyết nếu P≠K ∧ G≠K (cả hai ≠∅),M1,600,123,20.5,"[17.5, 23.9]",,,,,,,,,493.5,499.0,0.0,0.0,0.2,,,,0.922,0.059,,,,,,
C4 phủ quyết nếu P≠K ∨ G≠K (kể cả rỗng),M1,600,388,64.7,"[60.8, 68.4]",,,,,,,,,599.9,600.0,0.0,0.0,0.6,,,,0.922,0.059,,,,,,
C5 phủ quyết nếu P==G≠K,M1,600,23,3.8,"[2.6, 5.7]",,,,,,,,,3.2,6.0,0.0,0.0,7.2,,,,0.922,0.059,,,,,,
C6 phủ quyết nếu (P≠K ∧ P∈R) ∨ (G≠K ∧ G∈R),M1,600,46,7.7,"[5.8, 10.1]",,,,,,,,,4.8,9.0,0.0,0.0,9.6,,,,0.922,0.059,,,,,,
"D1 ({P}∪P_all∪{G})∩R, ứng viên duy nhất/nhiều cầu nhất",M1,600,466,77.7,"[74.2, 80.8]",466.0,466.0,100.0,77.67,"[74.16, 80.82]",426.0,91.4,40.0,19.8,27.049999999999955,19.832,27.049999999999955,23.5,23.5,84.2,0.0,0.922,0.059,,,,,,
D2 mở rộng 7 luồng (thêm crop v6/v5/VL/GLM-force)∩R,M1,600,493,82.2,"[78.9, 85.0]",493.0,493.0,100.0,82.17,"[78.9, 85.02]",451.0,91.5,42.0,33.4,43.0,33.42,43.0,14.8,14.8,89.1,0.0,0.922,0.059,,,,,,
D3 ∈R được CẢ Paddle lẫn GLM đọc ra (bất kỳ cấu hình),M1,600,281,46.8,"[42.9, 50.8]",281.0,281.0,100.0,46.83,"[42.87, 50.83]",263.0,93.6,18.0,0.4,2.0,0.402,2.0,699.0,699.0,50.8,0.0,0.922,0.059,,,,,,
A1 P==G (2 engine mới trùng nhau),M2,600,90,15.0,"[12.4, 18.1]",90.0,19.0,21.1,3.17,"[2.04, 4.89]",42.0,46.7,19.0,0.9,3.0,0.004,0.0,103.9,4750.0,5.0,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 33, 'inR': 11, 'inR_ci': [2.8, 8.8]}, 'SYLLABLE': {'n': 381, 'fired': 57, 'inR': 8, 'inR_ci': [1.1, 4.1]}}","{'stt11': {'n': 200, 'fired': 32, 'inR': 6}, 'stt2': {'n': 200, 'fired': 28, 'inR': 4}, 'stt4': {'n': 200, 'fired': 30, 'inR': 9}}",11/11,,,
A2 P==G ∧ ∈R,M2,600,19,3.2,"[2.0, 4.9]",19.0,19.0,100.0,3.17,"[2.04, 4.89]",0.0,0.0,19.0,0.0,0.0,0.004,0.0,4750.0,4750.0,5.0,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 11, 'inR': 11, 'inR_ci': [2.8, 8.8]}, 'SYLLABLE': {'n': 381, 'fired': 8, 'inR': 8, 'inR_ci': [1.1, 4.1]}}","{'stt11': {'n': 200, 'fired': 6, 'inR': 6}, 'stt2': {'n': 200, 'fired': 4, 'inR': 4}, 'stt4': {'n': 200, 'fired': 9, 'inR': 9}}",11/11,,,
"A3 ≥2/3 trong {K,P,G} trùng (bất kỳ)",M2,600,219,36.5,"[32.7, 40.4]",219.0,19.0,8.7,3.17,"[2.04, 4.89]",171.0,78.1,19.0,3.3,6.0,0.004,0.0,66.6,4750.0,5.0,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 66, 'inR': 11, 'inR_ci': [2.8, 8.8]}, 'SYLLABLE': {'n': 381, 'fired': 153, 'inR': 8, 'inR_ci': [1.1, 4.1]}}","{'stt11': {'n': 200, 'fired': 79, 'inR': 6}, 'stt2': {'n': 200, 'fired': 69, 'inR': 4}, 'stt4': {'n': 200, 'fired': 71, 'inR': 9}}",11/11,,,
A4 K==P hoặc K==G (engine mới XÁC NHẬN K),M2,600,171,28.5,"[25.0, 32.2]",171.0,0.0,0.0,0.0,"[0.0, 0.64]",171.0,100.0,0.0,2.4,5.0,0.0,0.0,70.5,>0.0,0.0,1.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 46, 'inR': 0, 'inR_ci': [0.0, 1.7]}, 'SYLLABLE': {'n': 381, 'fired': 125, 'inR': 0, 'inR_ci': [0.0, 1.0]}}","{'stt11': {'n': 200, 'fired': 60, 'inR': 0}, 'stt2': {'n': 200, 'fired': 56, 'inR': 0}, 'stt4': {'n': 200, 'fired': 55, 'inR': 0}}",0/0,,,
A5 K==P==G (3/3),M2,600,42,7.0,"[5.2, 9.3]",42.0,0.0,0.0,0.0,"[0.0, 0.64]",42.0,100.0,0.0,0.0,0.0,0.0,0.0,10500.0,>0.0,0.0,1.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 13, 'inR': 0, 'inR_ci': [0.0, 1.7]}, 'SYLLABLE': {'n': 381, 'fired': 29, 'inR': 0, 'inR_ci': [0.0, 1.0]}}","{'stt11': {'n': 200, 'fired': 13, 'inR': 0}, 'stt2': {'n': 200, 'fired': 15, 'inR': 0}, 'stt4': {'n': 200, 'fired': 14, 'inR': 0}}",0/0,,,
A1v P≈G (chuẩn hoá giản/phồn),M2,600,98,16.3,"[13.6, 19.5]",98.0,20.0,20.4,3.33,"[2.17, 5.09]",43.0,43.9,20.0,1.1,3.0,0.004,0.0,91.4,5000.0,5.2,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 41, 'inR': 12, 'inR_ci': [3.2, 9.3]}, 'SYLLABLE': {'n': 381, 'fired': 57, 'inR': 8, 'inR_ci': [1.1, 4.1]}}","{'stt11': {'n': 200, 'fired': 33, 'inR': 6}, 'stt2': {'n': 200, 'fired': 29, 'inR': 5}, 'stt4': {'n': 200, 'fired': 36, 'inR': 9}}",11/12,,,
A2v P≈G ∧ (P∈R ∨ G∈R) → lấy dạng ∈R,M2,600,20,3.3,"[2.2, 5.1]",20.0,20.0,100.0,3.33,"[2.17, 5.09]",0.0,0.0,20.0,0.0,0.0,0.004,0.0,5000.0,5000.0,5.2,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 12, 'inR': 12, 'inR_ci': [3.2, 9.3]}, 'SYLLABLE': {'n': 381, 'fired': 8, 'inR': 8, 'inR_ci': [1.1, 4.1]}}","{'stt11': {'n': 200, 'fired': 6, 'inR': 6}, 'stt2': {'n': 200, 'fired': 5, 'inR': 5}, 'stt4': {'n': 200, 'fired': 9, 'inR': 9}}",11/12,,,
"A4v K≈P hoặc K≈G (xác nhận K, chuẩn hoá giản/phồn)",M2,600,176,29.3,"[25.8, 33.1]",176.0,0.0,0.0,0.0,"[0.0, 0.64]",176.0,100.0,0.0,2.5,5.0,0.0,0.0,69.5,>0.0,0.0,1.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 47, 'inR': 0, 'inR_ci': [0.0, 1.7]}, 'SYLLABLE': {'n': 381, 'fired': 129, 'inR': 0, 'inR_ci': [0.0, 1.0]}}","{'stt11': {'n': 200, 'fired': 60, 'inR': 0}, 'stt2': {'n': 200, 'fired': 57, 'inR': 0}, 'stt4': {'n': 200, 'fired': 59, 'inR': 0}}",0/0,,,
B1 P∈R ? P : (G∈R ? G : ∅),M2,600,100,16.7,"[13.9, 19.9]",100.0,100.0,100.0,16.67,"[13.9, 19.86]",0.0,0.0,100.0,3.6,7.0,3.6,7.0,27.8,27.8,26.2,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 56, 'inR': 56, 'inR_ci': [20.2, 31.7]}, 'SYLLABLE': {'n': 381, 'fired': 44, 'inR': 44, 'inR_ci': [8.7, 15.1]}}","{'stt11': {'n': 200, 'fired': 32, 'inR': 32}, 'stt2': {'n': 200, 'fired': 29, 'inR': 29}, 'stt4': {'n': 200, 'fired': 39, 'inR': 39}}",47/56,,,
B2 G∈R ? G : (P∈R ? P : ∅),M2,600,100,16.7,"[13.9, 19.9]",100.0,100.0,100.0,16.67,"[13.9, 19.86]",0.0,0.0,100.0,3.6,7.0,3.6,7.0,27.8,27.8,26.2,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 56, 'inR': 56, 'inR_ci': [20.2, 31.7]}, 'SYLLABLE': {'n': 381, 'fired': 44, 'inR': 44, 'inR_ci': [8.7, 15.1]}}","{'stt11': {'n': 200, 'fired': 32, 'inR': 32}, 'stt2': {'n': 200, 'fired': 29, 'inR': 29}, 'stt4': {'n': 200, 'fired': 39, 'inR': 39}}",47/56,,,
B3 chỉ P∈R,M2,600,57,9.5,"[7.4, 12.1]",57.0,57.0,100.0,9.5,"[7.4, 12.11]",0.0,0.0,57.0,2.1,5.0,2.072,5.0,27.5,27.5,14.9,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 31, 'inR': 31, 'inR_ci': [10.2, 19.4]}, 'SYLLABLE': {'n': 381, 'fired': 26, 'inR': 26, 'inR_ci': [4.7, 9.8]}}","{'stt11': {'n': 200, 'fired': 15, 'inR': 15}, 'stt2': {'n': 200, 'fired': 20, 'inR': 20}, 'stt4': {'n': 200, 'fired': 22, 'inR': 22}}",24/31,,,
B4 chỉ G∈R,M2,600,62,10.3,"[8.1, 13.0]",62.0,62.0,100.0,10.33,"[8.14, 13.03]",0.0,0.0,62.0,1.5,3.0499999999999545,1.542,3.0499999999999545,40.2,40.2,16.2,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 36, 'inR': 36, 'inR_ci': [12.1, 21.9]}, 'SYLLABLE': {'n': 381, 'fired': 26, 'inR': 26, 'inR_ci': [4.7, 9.8]}}","{'stt11': {'n': 200, 'fired': 23, 'inR': 23}, 'stt2': {'n': 200, 'fired': 13, 'inR': 13}, 'stt4': {'n': 200, 'fired': 26, 'inR': 26}}",34/36,,,
B5 P∈R ∧ G∈R ∧ P==G (2 cầu ∈R),M2,600,19,3.2,"[2.0, 4.9]",19.0,19.0,100.0,3.17,"[2.04, 4.89]",0.0,0.0,19.0,0.0,0.0,0.004,0.0,4750.0,4750.0,5.0,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 11, 'inR': 11, 'inR_ci': [2.8, 8.8]}, 'SYLLABLE': {'n': 381, 'fired': 8, 'inR': 8, 'inR_ci': [1.1, 4.1]}}","{'stt11': {'n': 200, 'fired': 6, 'inR': 6}, 'stt2': {'n': 200, 'fired': 4, 'inR': 4}, 'stt4': {'n': 200, 'fired': 9, 'inR': 9}}",11/11,,,
"B6 đúng 1 ứng viên ∈R trong {P,G} (không mâu thuẫn)",M2,600,100,16.7,"[13.9, 19.9]",100.0,100.0,100.0,16.67,"[13.9, 19.86]",0.0,0.0,100.0,3.6,7.0,3.59,7.0,27.9,27.9,26.2,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 56, 'inR': 56, 'inR_ci': [20.2, 31.7]}, 'SYLLABLE': {'n': 381, 'fired': 44, 'inR': 44, 'inR_ci': [8.7, 15.1]}}","{'stt11': {'n': 200, 'fired': 32, 'inR': 32}, 'stt2': {'n': 200, 'fired': 29, 'inR': 29}, 'stt4': {'n': 200, 'fired': 39, 'inR': 39}}",47/56,,,
C1 phủ quyết nếu P≠K (P≠∅),M2,600,444,74.0,"[70.3, 77.3]",,,,,,,,,573.5,575.0,0.0,0.0,0.8,,,,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 178, 'inR': 0, 'inR_ci': [0.0, 1.7]}, 'SYLLABLE': {'n': 381, 'fired': 266, 'inR': 0, 'inR_ci': [0.0, 1.0]}}","{'stt11': {'n': 200, 'fired': 145, 'inR': 0}, 'stt2': {'n': 200, 'fired': 151, 'inR': 0}, 'stt4': {'n': 200, 'fired': 148, 'inR': 0}}",0/0,,,
C2 phủ quyết nếu G≠K (G≠∅),M2,600,433,72.2,"[68.4, 75.6]",,,,,,,,,514.1,515.0,0.0,0.0,0.8,,,,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 165, 'inR': 0, 'inR_ci': [0.0, 1.7]}, 'SYLLABLE': {'n': 381, 'fired': 268, 'inR': 0, 'inR_ci': [0.0, 1.0]}}","{'stt11': {'n': 200, 'fired': 145, 'inR': 0}, 'stt2': {'n': 200, 'fired': 135, 'inR': 0}, 'stt4': {'n': 200, 'fired': 153, 'inR': 0}}",0/0,,,
C3 phủ quyết nếu P≠K ∧ G≠K (cả hai ≠∅),M2,600,346,57.7,"[53.7, 61.6]",,,,,,,,,491.3,495.0,0.0,0.0,0.7,,,,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 141, 'inR': 0, 'inR_ci': [0.0, 1.7]}, 'SYLLABLE': {'n': 381, 'fired': 205, 'inR': 0, 'inR_ci': [0.0, 1.0]}}","{'stt11': {'n': 200, 'fired': 113, 'inR': 0}, 'stt2': {'n': 200, 'fired': 112, 'inR': 0}, 'stt4': {'n': 200, 'fired': 121, 'inR': 0}}",0/0,,,
C4 phủ quyết nếu P≠K ∨ G≠K (kể cả rỗng),M2,600,558,93.0,"[90.7, 94.8]",,,,,,,,,600.0,600.0,0.0,0.0,0.9,,,,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 206, 'inR': 0, 'inR_ci': [0.0, 1.7]}, 'SYLLABLE': {'n': 381, 'fired': 352, 'inR': 0, 'inR_ci': [0.0, 1.0]}}","{'stt11': {'n': 200, 'fired': 187, 'inR': 0}, 'stt2': {'n': 200, 'fired': 185, 'inR': 0}, 'stt4': {'n': 200, 'fired': 186, 'inR': 0}}",0/0,,,
C5 phủ quyết nếu P==G≠K,M2,600,48,8.0,"[6.1, 10.4]",,,,,,,,,0.9,3.0,0.0,0.0,55.7,,,,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 20, 'inR': 0, 'inR_ci': [0.0, 1.7]}, 'SYLLABLE': {'n': 381, 'fired': 28, 'inR': 0, 'inR_ci': [0.0, 1.0]}}","{'stt11': {'n': 200, 'fired': 19, 'inR': 0}, 'stt2': {'n': 200, 'fired': 13, 'inR': 0}, 'stt4': {'n': 200, 'fired': 16, 'inR': 0}}",0/0,,,
C6 phủ quyết nếu (P≠K ∧ P∈R) ∨ (G≠K ∧ G∈R),M2,600,100,16.7,"[13.9, 19.9]",,,,,,,,,3.6,7.0,0.0,0.0,27.8,,,,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 56, 'inR': 0, 'inR_ci': [0.0, 1.7]}, 'SYLLABLE': {'n': 381, 'fired': 44, 'inR': 0, 'inR_ci': [0.0, 1.0]}}","{'stt11': {'n': 200, 'fired': 32, 'inR': 0}, 'stt2': {'n': 200, 'fired': 29, 'inR': 0}, 'stt4': {'n': 200, 'fired': 39, 'inR': 0}}",0/0,,,
"D1 ({P}∪P_all∪{G})∩R, ứng viên duy nhất/nhiều cầu nhất",M2,600,101,16.8,"[14.1, 20.0]",101.0,101.0,100.0,16.83,"[14.05, 20.04]",0.0,0.0,101.0,5.7,10.0,5.712,10.0,17.7,17.7,26.5,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 56, 'inR': 56, 'inR_ci': [20.2, 31.7]}, 'SYLLABLE': {'n': 381, 'fired': 45, 'inR': 45, 'inR_ci': [8.9, 15.4]}}","{'stt11': {'n': 200, 'fired': 32, 'inR': 32}, 'stt2': {'n': 200, 'fired': 29, 'inR': 29}, 'stt4': {'n': 200, 'fired': 40, 'inR': 40}}",47/56,,,
D2 mở rộng 7 luồng (thêm crop v6/v5/VL/GLM-force)∩R,M2,600,150,25.0,"[21.7, 28.6]",150.0,150.0,100.0,25.0,"[21.7, 28.62]",0.0,0.0,150.0,10.7,16.0,10.658,16.0,14.1,14.1,39.3,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 74, 'inR': 74, 'inR_ci': [27.9, 40.3]}, 'SYLLABLE': {'n': 381, 'fired': 76, 'inR': 76, 'inR_ci': [16.2, 24.3]}}","{'stt11': {'n': 200, 'fired': 48, 'inR': 48}, 'stt2': {'n': 200, 'fired': 48, 'inR': 48}, 'stt4': {'n': 200, 'fired': 54, 'inR': 54}}",59/74,,,
D3 ∈R được CẢ Paddle lẫn GLM đọc ra (bất kỳ cấu hình),M2,600,33,5.5,"[3.9, 7.6]",33.0,33.0,100.0,5.5,"[3.94, 7.62]",0.0,0.0,33.0,0.0,0.0,0.024,0.0,1375.0,1375.0,8.6,0.0,0.636,0.058,"{'SILVER': {'n': 219, 'fired': 19, 'inR': 19, 'inR_ci': [5.6, 13.2]}, 'SYLLABLE': {'n': 381, 'fired': 14, 'inR': 14, 'inR_ci': [2.2, 6.1]}}","{'stt11': {'n': 200, 'fired': 10, 'inR': 10}, 'stt2': {'n': 200, 'fired': 7, 'inR': 7}, 'stt4': {'n': 200, 'fired': 16, 'inR': 16}}",18/19,,,
A1 P==G (2 engine mới trùng nhau),M3,300,6,2.0,"[0.9, 4.3]",6.0,0.0,0.0,0.0,"[0.0, 1.26]",0.0,0.0,0.0,2.3,5.0,0.0,0.0,2.6,>0.0,0.0,1.0,2.287,0.048,,,,"[('等', 2), ('義', 1), ('旱', 1), ('早', 1), ('景', 1)]",0.0,0.0
A2 P==G ∧ ∈R,M3,300,0,0.0,"[0.0, 1.3]",,,,,,,,,0.0,0.0,0.0,0.0,>0.0,,,,2.287,0.048,,,,[],0.0,0.0
"A3 ≥2/3 trong {K,P,G} trùng (bất kỳ)",M3,300,6,2.0,"[0.9, 4.3]",6.0,0.0,0.0,0.0,"[0.0, 1.26]",0.0,0.0,0.0,2.3,5.0,0.0,0.0,2.6,>0.0,0.0,1.0,2.287,0.048,,,,"[('等', 2), ('義', 1), ('旱', 1), ('早', 1), ('景', 1)]",0.0,0.0
A4 K==P hoặc K==G (engine mới XÁC NHẬN K),M3,300,0,0.0,"[0.0, 1.3]",,,,,,,,,0.0,0.0,0.0,0.0,>0.0,,,,2.287,0.048,,,,[],0.0,0.0
A5 K==P==G (3/3),M3,300,0,0.0,"[0.0, 1.3]",,,,,,,,,0.0,0.0,0.0,0.0,>0.0,,,,2.287,0.048,,,,[],0.0,0.0
A1v P≈G (chuẩn hoá giản/phồn),M3,300,67,22.3,"[18.0, 27.4]",67.0,0.0,0.0,0.0,"[0.0, 1.26]",0.0,0.0,0.0,49.3,56.0,0.0,0.0,1.4,>0.0,0.0,1.0,2.287,0.048,,,,"[('尋', 60), ('等', 2), ('義', 1), ('爲', 1), ('旱', 1), ('早', 1), ('景', 1)]",0.0,0.0
A2v P≈G ∧ (P∈R ∨ G∈R) → lấy dạng ∈R,M3,300,0,0.0,"[0.0, 1.3]",,,,,,,,,0.0,0.0,0.0,0.0,>0.0,,,,2.287,0.048,,,,[],0.0,0.0
"A4v K≈P hoặc K≈G (xác nhận K, chuẩn hoá giản/phồn)",M3,300,0,0.0,"[0.0, 1.3]",,,,,,,,,0.0,0.0,0.0,0.0,>0.0,,,,2.287,0.048,,,,[],0.0,0.0
B1 P∈R ? P : (G∈R ? G : ∅),M3,300,2,0.7,"[0.2, 2.4]",2.0,2.0,100.0,0.67,"[0.18, 2.4]",0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.3,1.0,2.287,0.048,,,,"[('命', 2)]",0.0,0.0
B2 G∈R ? G : (P∈R ? P : ∅),M3,300,2,0.7,"[0.2, 2.4]",2.0,2.0,100.0,0.67,"[0.18, 2.4]",0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.3,1.0,2.287,0.048,,,,"[('命', 2)]",0.0,0.0
B3 chỉ P∈R,M3,300,2,0.7,"[0.2, 2.4]",2.0,2.0,100.0,0.67,"[0.18, 2.4]",0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.3,1.0,2.287,0.048,,,,"[('命', 2)]",0.0,0.0
B4 chỉ G∈R,M3,300,0,0.0,"[0.0, 1.3]",,,,,,,,,0.0,0.0,0.0,0.0,>0.0,,,,2.287,0.048,,,,[],0.0,0.0
B5 P∈R ∧ G∈R ∧ P==G (2 cầu ∈R),M3,300,0,0.0,"[0.0, 1.3]",,,,,,,,,0.0,0.0,0.0,0.0,>0.0,,,,2.287,0.048,,,,[],0.0,0.0
"B6 đúng 1 ứng viên ∈R trong {P,G} (không mâu thuẫn)",M3,300,2,0.7,"[0.2, 2.4]",2.0,2.0,100.0,0.67,"[0.18, 2.4]",0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.3,1.0,2.287,0.048,,,,"[('命', 2)]",0.0,0.0
C1 phủ quyết nếu P≠K (P≠∅),M3,300,291,97.0,"[94.4, 98.4]",,,,,,,,,291.0,291.0,0.0,0.0,1.0,,,,2.287,0.048,,,,[],0.0,0.0
C2 phủ quyết nếu G≠K (G≠∅),M3,300,265,88.3,"[84.2, 91.5]",,,,,,,,,265.0,265.0,0.0,0.0,1.0,,,,2.287,0.048,,,,[],0.0,0.0
C3 phủ quyết nếu P≠K ∧ G≠K (cả hai ≠∅),M3,300,256,85.3,"[80.9, 88.9]",,,,,,,,,257.0,258.0,0.0,0.0,1.0,,,,2.287,0.048,,,,[],0.0,0.0
C4 phủ quyết nếu P≠K ∨ G≠K (kể cả rỗng),M3,300,300,100.0,"[98.7, 100.0]",,,,,,,,,300.0,300.0,0.0,0.0,1.0,,,,2.287,0.048,,,,[],0.0,0.0
C5 phủ quyết nếu P==G≠K,M3,300,6,2.0,"[0.9, 4.3]",,,,,,,,,2.3,5.0,0.0,0.0,2.6,,,,2.287,0.048,,,,[],0.0,0.0
C6 phủ quyết nếu (P≠K ∧ P∈R) ∨ (G≠K ∧ G∈R),M3,300,2,0.7,"[0.2, 2.4]",,,,,,,,,2.0,2.0,0.0,0.0,1.0,,,,2.287,0.048,,,,[],0.0,0.0
"D1 ({P}∪P_all∪{G})∩R, ứng viên duy nhất/nhiều cầu nhất",M3,300,2,0.7,"[0.2, 2.4]",2.0,2.0,100.0,0.67,"[0.18, 2.4]",0.0,0.0,2.0,4.0,4.0,3.988,4.0,0.5,0.5,0.3,1.0,2.287,0.048,,,,"[('命', 2)]",0.0,0.0
D2 mở rộng 7 luồng (thêm crop v6/v5/VL/GLM-force)∩R,M3,300,2,0.7,"[0.2, 2.4]",2.0,2.0,100.0,0.67,"[0.18, 2.4]",0.0,0.0,2.0,4.0,4.0,3.988,4.0,0.5,0.5,0.3,1.0,2.287,0.048,,,,"[('命', 2)]",0.0,0.0
D3 ∈R được CẢ Paddle lẫn GLM đọc ra (bất kỳ cấu hình),M3,300,0,0.0,"[0.0, 1.3]",,,,,,,,,0.0,0.0,0.0,0.0,>0.0,,,,2.287,0.048,,,,[],0.0,0.0
