ヌ	U+30CC
噒	U+5652
噖	U+5656
噫	U+566B
噯	U+566F
嚉	U+5689
嚒	U+5692
嚜	U+569C
嚟	U+569F
囄	U+56C4
囉	U+56C9
囍	U+56CD
囏	U+56CF
囖	U+56D6
囚	U+56DA
四	U+56DB
囝	U+56DD
因	U+56E0
团	U+56E2
囤	U+56E4
囪	U+56EA
囱	U+56F1
固	U+56FA
囻	U+56FB
囼	U+56FC
图	U+56FE
圈	U+5708
國	U+570B
圏	U+570F
土	U+571F
圡	U+5721
圣	U+5723
圤	U+5724
圩	U+5729
圬	U+572C
圭	U+572D
圯	U+572F
地	U+5730
圽	U+573D
坌	U+574C
坍	U+574D
坐	U+5750
坒	U+5752
块	U+5757
坛	U+575B
坡	U+5761
坤	U+5764
坫	U+576B
坮	U+576E
坳	U+5773
坸	U+5778
坺	U+577A
垃	U+5783
垉	U+5789
垝	U+579D
垥	U+57A5
垩	U+57A9
垬	U+57AC
垰	U+57B0
埃	U+57C3
埆	U+57C6
埊	U+57CA
埋	U+57CB
埘	U+57D8
埜	U+57DC
埤	U+57E4
埮	U+57EE
埯	U+57EF
埶	U+57F6
執	U+57F7
基	U+57FA
堆	U+5806
堇	U+5807
堊	U+580A
堍	U+580D
堏	U+580F
堐	U+5810
堛	U+581B
堵	U+5835
堹	U+5839
塊	U+584A
塒	U+5852
塘	U+5858
塚	U+585A
塞	U+585E
墀	U+5880
境	U+5883
墓	U+5893
墧	U+58A7
墬	U+58AC
墰	U+58B0
墲	U+58B2
壇	U+58C7
壗	U+58D7
壜	U+58DC
壩	U+58E9
壮	U+58EE
处	U+5904
复	U+590D
夔	U+5914
多	U+591A
夢	U+5922
夣	U+5923
夥	U+5925
天	U+5929
头	U+5934
夵	U+5935
夷	U+5937
奄	U+5944
奇	U+5947
奈	U+5948
奌	U+594C
奢	U+5962
女	U+5973
奴	U+5974
奸	U+5978
妁	U+5981
如	U+5982
妃	U+5983
妄	U+5984
妈	U+5988
妑	U+5991
妠	U+59A0
妥	U+59A5
妲	U+59B2
妸	U+59B8
妻	U+59BB
姅	U+59C5
姆	U+59C6
始	U+59CB
姚	U+59DA
姟	U+59DF
姣	U+59E3
姦	U+59E6
姧	U+59E7
姮	U+59EE
姽	U+59FD
姿	U+59FF
威	U+5A01
娂	U+5A02
娃	U+5A03
娄	U+5A04
娇	U+5A07
娉	U+5A09
娋	U+5A0B
娎	U+5A0E
娑	U+5A11
娘	U+5A18
娙	U+5A19
娛	U+5A1B
娞	U+5A1E
娭	U+5A2D
娸	U+5A38
娿	U+5A3F
婀	U+5A40
婁	U+5A41
婅	U+5A45
婆	U+5A46
婐	U+5A50
婖	U+5A56
婘	U+5A58
婝	U+5A5D
婠	U+5A60
婪	U+5A6A
婫	U+5A6B
婭	U+5A6D
婵	U+5A75
媄	U+5A84
媍	U+5A8D
媑	U+5A91
媒	U+5A92
媕	U+5A95
媛	U+5A9B
媠	U+5AA0
媭	U+5AAD
媽	U+5ABD
嫉	U+5AC9
嫦	U+5AE6
嫫	U+5AEB
嬃	U+5B03
嬤	U+5B24
嬨	U+5B28
嬪	U+5B2A
嬷	U+5B37
嬾	U+5B3E
孖	U+5B56
存	U+5B58
孜	U+5B5C
孡	U+5B61
季	U+5B63
孥	U+5B65
孬	U+5B6C
孳	U+5B73
孾	U+5B7E
宁	U+5B81
它	U+5B83
宄	U+5B84
守	U+5B88
安	U+5B89
宋	U+5B8B
定	U+5B9A
实	U+5B9E
客	U+5BA2
宥	U+5BA5
宫	U+5BAB
宮	U+5BAE
害	U+5BB3
容	U+5BB9
宿	U+5BBF
寄	U+5BC4
寞	U+5BDE
寺	U+5BFA
尒	U+5C12
尗	U+5C17
尛	U+5C1B
尢	U+5C22
尤	U+5C24
尼	U+5C3C
尽	U+5C3D
屄	U+5C44
屉	U+5C49
屙	U+5C59
屜	U+5C5C
屟	U+5C5F
屧	U+5C67
屮	U+5C6E
屴	U+5C74
岃	U+5C83
岞	U+5C9E
岥	U+5CA5
岸	U+5CB8
岹	U+5CB9
岺	U+5CBA
峕	U+5CD5
峺	U+5CFA
崀	U+5D00
崎	U+5D0E
崒	U+5D12
崪	U+5D2A
崽	U+5D3D
嵗	U+5D57
嵞	U+5D5E
嵤	U+5D64
嵬	U+5D6C
嶖	U+5D96
嶠	U+5DA0
嶪	U+5DAA
嶫	U+5DAB
巄	U+5DC4
州	U+5DDE
工	U+5DE5
巩	U+5DE9
巫	U+5DEB
差	U+5DEE
已	U+5DF2
巳	U+5DF3
巴	U+5DF4
巾	U+5DFE
巿	U+5DFF
市	U+5E02
希	U+5E0C
帏	U+5E0F
帑	U+5E11
帝	U+5E1D
常	U+5E38
幅	U+5E45
幕	U+5E55
干	U+5E72
年	U+5E74
幵	U+5E75
幹	U+5E79
幼	U+5E7C
幽	U+5E7D
庄	U+5E84
庅	U+5E85
床	U+5E8A
庋	U+5E8B
庑	U+5E91
庒	U+5E92
店	U+5E97
庝	U+5E9D
庞	U+5E9E
废	U+5E9F
庥	U+5EA5
庪	U+5EAA
庫	U+5EAB
庯	U+5EAF
廊	U+5ECA
廌	U+5ECC
廡	U+5EE1
廾	U+5EFE
廿	U+5EFF
弄	U+5F04
弔	U+5F14
弧	U+5F27
弭	U+5F2D
弮	U+5F2E
弯	U+5F2F
強	U+5F37
弹	U+5F39
弽	U+5F3D
弾	U+5F3E
彈	U+5F48
彣	U+5F63
彦	U+5F66
彴	U+5F74
待	U+5F85
徎	U+5F8E
徐	U+5F90
徕	U+5F95
得	U+5F97
徛	U+5F9B
徜	U+5F9C
徠	U+5FA0
復	U+5FA9
徳	U+5FB3
德	U+5FB7
必	U+5FC5
忉	U+5FC9
忍	U+5FCD
志	U+5FD7
忘	U+5FD8
忴	U+5FF4
忻	U+5FFB
怀	U+6000
怉	U+6009
怏	U+600F
怑	U+6011
怒	U+6012
怖	U+6016
怜	U+601C
怡	U+6021
性	U+6027
怩	U+6029
怮	U+602E
怰	U+6030
恃	U+6043
恑	U+6051
恚	U+605A
恪	U+606A
恰	U+6070
恴	U+6074
恵	U+6075
恶	U+6076
悑	U+6091
悥	U+60A5
悫	U+60AB
悲	U+60B2
悳	U+60B3
悶	U+60B6
惊	U+60CA
惞	U+60DE
惡	U+60E1
惪	U+60EA
惰	U+60F0
惱	U+60F1
惽	U+60FD
愀	U+6100
愊	U+610A
愍	U+610D
意	U+610F
愐	U+6110
愘	U+6118
愙	U+6119
愧	U+6127
愨	U+6128
愬	U+612C
愯	U+612F
愴	U+6134
慖	U+6156
慤	U+6164
慾	U+617E
憐	U+6190
憵	U+61B5
憶	U+61B6
憽	U+61BD
懒	U+61D2
懙	U+61D9
懯	U+61EF
懶	U+61F6
戈	U+6208
戎	U+620E
戕	U+6215
戗	U+6217
战	U+6218
戣	U+6223
戥	U+6225
戧	U+6227
戽	U+623D
所	U+6240
扃	U+6243
手	U+624B
才	U+624D
扔	U+6254
払	U+6255
扗	U+6257
扠	U+6260
扡	U+6261
扵	U+6275
承	U+627F
抄	U+6284
抅	U+6285
把	U+628A
抋	U+628B
抌	U+628C
抍	U+628D
抒	U+6292
抔	U+6294
投	U+6295
折	U+6298
抚	U+629A
択	U+629E
抢	U+62A2
抪	U+62AA
披	U+62AB
抭	U+62AD
抳	U+62B3
抻	U+62BB
拊	U+62CA
拌	U+62CC
拐	U+62D0
拖	U+62D6
拗	U+62D7
拜	U+62DC
拝	U+62DD
拧	U+62E7
拯	U+62EF
拱	U+62F1
拲	U+62F2
拸	U+62F8
拼	U+62FC
持	U+6301
挎	U+630E
挑	U+6311
挗	U+6317
挦	U+6326
挧	U+6327
挨	U+6328
挭	U+632D
挱	U+6331
挲	U+6332
挸	U+6338
挼	U+633C
捂	U+6342
捄	U+6344
捆	U+6346
捉	U+6349
捕	U+6355
捙	U+6359
捬	U+636C
捭	U+636D
捰	U+6370
捱	U+6371
捹	U+6379
捼	U+637C
捽	U+637D
排	U+6392
掘	U+6398
掱	U+63B1
掸	U+63B8
揂	U+63C2
揋	U+63CB
提	U+63D0
握	U+63E1
揪	U+63EA
揭	U+63ED
揮	U+63EE
揰	U+63F0
揱	U+63F1
揸	U+63F8
搁	U+6401
搂	U+6402
搉	U+6409
損	U+640D
搠	U+6420
搩	U+6429
搫	U+642B
搰	U+6430
搶	U+6436
搷	U+6437
摀	U+6440
摁	U+6441
摆	U+6446
摏	U+644F
摐	U+6450
摛	U+645B
摤	U+6464
摩	U+6469
摸	U+6478
摹	U+6479
撜	U+649C
撝	U+649D
撟	U+649F
撣	U+64A3
撫	U+64AB
撰	U+64B0
撺	U+64BA
擟	U+64DF
擤	U+64E4
擰	U+64F0
擱	U+64F1
擵	U+64F5
攅	U+6505
攎	U+650E
攔	U+6514
攗	U+6517
攞	U+651E
攠	U+6520
攲	U+6532
攸	U+6538
放	U+653E
故	U+6545
敌	U+654C
敕	U+6555
敗	U+6557
敚	U+655A
敝	U+655D
敞	U+655E
敟	U+655F
散	U+6563
敧	U+6567
斎	U+658E
斐	U+6590
斛	U+659B
斠	U+65A0
斤	U+65A4
斫	U+65AB
斮	U+65AE
斲	U+65B2
斵	U+65B5
斸	U+65B8
於	U+65BC
旃	U+65C3
旈	U+65C8
旉	U+65C9
旌	U+65CC
无	U+65E0
旡	U+65E1
既	U+65E2
旦	U+65E6
时	U+65F6
旹	U+65F9
昆	U+6606
明	U+660E
易	U+6613
昝	U+661D
昮	U+662E
昰	U+6630
昴	U+6634
昵	U+6635
昻	U+663B
時	U+6642
晜	U+665C
晝	U+665D
晨	U+6668
晫	U+666B
暑	U+6691
暮	U+66AE
曊	U+66CA
曚	U+66DA
曟	U+66DF
曩	U+66E9
更	U+66F4
最	U+6700
朋	U+670B
朔	U+6714
朗	U+6717
朙	U+6719
朝	U+671D
期	U+671F
朦	U+6726
木	U+6728
朩	U+6729
朱	U+6731
朳	U+6733
机	U+673A
杅	U+6745
杆	U+6746
杇	U+6747
杏	U+674F
杓	U+6753
杜	U+675C
束	U+675F
杦	U+6766
杰	U+6770
東	U+6771
杳	U+6773
杵	U+6775
杷	U+6777
枊	U+678A
林	U+6797
枙	U+6799
枚	U+679A
枣	U+67A3
枪	U+67AA
架	U+67B6
柀	U+67C0
某	U+67D0
染	U+67D3
查	U+67E5
柰	U+67F0
柴	U+67F4
柸	U+67F8
栖	U+6816
栘	U+6818
栠	U+6820
株	U+682A
栱	U+6831
核	U+6838
格	U+683C
栾	U+683E
桀	U+6840
案	U+6848
桉	U+6849
桋	U+684B
桒	U+6852
桙	U+6859
桤	U+6864
桥	U+6865
桫	U+686B
桬	U+686C
桽	U+687D
桿	U+687F
梂	U+6882
梅	U+6885
梌	U+688C
梗	U+6897
梘	U+6898
條	U+689D
梦	U+68A6
梵	U+68B5
梿	U+68BF
棬	U+68EC
棱	U+68F1
椅	U+6905
植	U+690D
椤	U+6924
楂	U+6942
楃	U+6943
楅	U+6945
楎	U+694E
業	U+696D
極	U+6975
楸	U+6978
楼	U+697C
榔	U+6994
榦	U+69A6
榯	U+69AF
榷	U+69B7
榿	U+69BF
槃	U+69C3
槊	U+69CA
槍	U+69CD
槐	U+69D0
槗	U+69D7
槤	U+69E4
樞	U+6A1E
模	U+6A21
樴	U+6A34
樿	U+6A3F
橅	U+6A45
橆	U+6A46
橇	U+6A47
橋	U+6A4B
檀	U+6A80
檊	U+6A8A
檠	U+6AA0
檯	U+6AAF
櫡	U+6AE1
櫲	U+6AF2
欏	U+6B0F
欛	U+6B1B
欢	U+6B22
欣	U+6B23
欱	U+6B31
欲	U+6B32
欶	U+6B36
欸	U+6B38
欹	U+6B39
欺	U+6B3A
歇	U+6B47
歍	U+6B4D
此	U+6B64
歯	U+6B6F
歲	U+6B72
歳	U+6B73
歷	U+6B77
歾	U+6B7E
歿	U+6B7F
殁	U+6B81
殞	U+6B9E
殡	U+6BA1
殥	U+6BA5
殳	U+6BB3
殷	U+6BB7
毃	U+6BC3
毋	U+6BCB
毌	U+6BCC
母	U+6BCD
毕	U+6BD5
毘	U+6BD8
毛	U+6BDB
毬	U+6BEC
毹	U+6BF9
毺	U+6BFA
氏	U+6C0F
氖	U+6C16
氘	U+6C18
氨	U+6C28
氶	U+6C36
求	U+6C42
汄	U+6C44
汅	U+6C45
汋	U+6C4B
汏	U+6C4F
汖	U+6C56
汙	U+6C59
汚	U+6C5A
汜	U+6C5C
汝	U+6C5D
汞	U+6C5E
污	U+6C61
汬	U+6C6C
沅	U+6C85
沒	U+6C92
沕	U+6C95
沖	U+6C96
沙	U+6C99
沚	U+6C9A
沛	U+6C9B
没	U+6CA1
沫	U+6CAB
油	U+6CB9
治	U+6CBB
泑	U+6CD1
泖	U+6CD6
泚	U+6CDA
泟	U+6CDF
波	U+6CE2
泥	U+6CE5
泸	U+6CF8
洔	U+6D14
洟	U+6D1F
洪	U+6D2A
洫	U+6D2B
洽	U+6D3D
派	U+6D3E
浑	U+6D51
浓	U+6D53
浪	U+6D6A
浽	U+6D7D
涁	U+6D81
涞	U+6D9E
涟	U+6D9F
淙	U+6DD9
混	U+6DF7
淹	U+6DF9
渁	U+6E01
渃	U+6E03
渗	U+6E17
渚	U+6E1A
渾	U+6E3E
湈	U+6E48
湏	U+6E4F
湦	U+6E66
湩	U+6E69
溁	U+6E81
溕	U+6E95
滀	U+6EC0
滌	U+6ECC
滝	U+6EDD
滥	U+6EE5
滲	U+6EF2
漣	U+6F23
漤	U+6F24
漧	U+6F27
漴	U+6F34
漾	U+6F3E
潕	U+6F55
潖	U+6F56
潭	U+6F6D
濐	U+6FD0
濑	U+6FD1
濔	U+6FD4
濧	U+6FE7
濫	U+6FEB
瀝	U+701D
瀾	U+703E
灠	U+7060
灼	U+707C
炊	U+708A
炏	U+708F
炟	U+709F
炧	U+70A7
炱	U+70B1
炲	U+70B2
炳	U+70B3
為	U+70BA
無	U+7121
焮	U+712E
焯	U+712F
煍	U+714D
煏	U+714F
煵	U+7175
熏	U+718F
燋	U+71CB
燏	U+71CF
燔	U+71D4
爊	U+720A
爑	U+7211
爪	U+722A
爫	U+722B
爬	U+722C
爯	U+722F
爲	U+7232
爹	U+7239
牎	U+724E
牕	U+7255
牝	U+725D
牠	U+7260
牢	U+7262
物	U+7269
牲	U+7272
特	U+7279
犂	U+7282
犆	U+7286
犤	U+72A4
犪	U+72AA
狆	U+72C6
狌	U+72CC
狡	U+72E1
狱	U+72F1
狻	U+72FB
猀	U+7300
猗	U+7317
猜	U+731C
猡	U+7321
猣	U+7323
猾	U+733E
獄	U+7344
獻	U+737B
玀	U+7380
玆	U+7386
玊	U+738A
王	U+738B
玒	U+7392
玕	U+7395
玗	U+7397
玦	U+73A6
环	U+73AF
玶	U+73B6
玹	U+73B9
玺	U+73BA
玻	U+73BB
玼	U+73BC
珂	U+73C2
珕	U+73D5
珙	U+73D9
珠	U+73E0
珣	U+73E3
珧	U+73E7
珪	U+73EA
珬	U+73EC
珲	U+73F2
現	U+73FE
球	U+7403
琘	U+7418
琛	U+741B
琞	U+741E
琶	U+7436
琾	U+743E
琿	U+743F
瑇	U+7447
瑨	U+7468
瑰	U+7470
瑹	U+7479
璆	U+7486
璉	U+7489
璋	U+748B
璏	U+748F
璖	U+7496
璟	U+749F
瓵	U+74F5
甑	U+7511
甒	U+7512
甘	U+7518
生	U+751F
甥	U+7525
由	U+7531
甲	U+7532
申	U+7533
电	U+7535
画	U+753B
畀	U+7540
畏	U+754F
畐	U+7550
畗	U+7557
畤	U+7564
畧	U+7567
番	U+756A
畫	U+756B
異	U+7570
畱	U+7571
疈	U+7588
疓	U+7593
疠	U+75A0
疣	U+75A3
疪	U+75AA
疲	U+75B2
痗	U+75D7
痠	U+75E0
痧	U+75E7
痪	U+75EA
痲	U+75F2
痳	U+75F3
瘊	U+760A
瘏	U+760F
瘐	U+7610
瘥	U+7625
癙	U+7659
百	U+767E
皀	U+7680
的	U+7684
皅	U+7685
皚	U+769A
皤	U+76A4
皮	U+76AE
皱	U+76B1
皳	U+76B3
盂	U+76C2
盃	U+76C3
盅	U+76C5
盈	U+76C8
盖	U+76D6
盟	U+76DF
盡	U+76E1
直	U+76F4
眀	U+7700
眈	U+7708
眝	U+771D
眵	U+7735
瞷	U+77B7
瞻	U+77BB
矇	U+77C7
矟	U+77DF
石	U+77F3
矸	U+77F8
砂	U+7802
砇	U+7807
砙	U+7819
砦	U+7826
破	U+7834
砹	U+7839
硃	U+7843
硌	U+784C
硤	U+7864
确	U+786E
硳	U+7873
碍	U+788D
碎	U+788E
碑	U+7891
磊	U+78CA
磋	U+78CB
磨	U+78E8
磻	U+78FB
礼	U+793C
礽	U+793D
祂	U+7942
祌	U+794C
祐	U+7950
祖	U+7956
祘	U+7958
祚	U+795A
祛	U+795B
祜	U+795C
祡	U+7961
祥	U+7965
祪	U+796A
祸	U+7978
禍	U+798D
福	U+798F
禑	U+7991
禚	U+799A
禟	U+799F
禰	U+79B0
离	U+79BB
禾	U+79BE
秀	U+79C0
秋	U+79CB
秤	U+79E4
秧	U+79E7
称	U+79F0
秲	U+79F2
秹	U+79F9
移	U+79FB
稙	U+7A19
稚	U+7A1A
稱	U+7A31
稺	U+7A3A
稽	U+7A3D
穉	U+7A49
穊	U+7A4A
穌	U+7A4C
穪	U+7A6A
究	U+7A76
穷	U+7A77
穹	U+7A79
穼	U+7A7C
窂	U+7A82
窑	U+7A91
窓	U+7A93
窖	U+7A96
窗	U+7A97
窜	U+7A9C
窝	U+7A9D
窣	U+7AA3
窮	U+7AAE
窻	U+7ABB
竆	U+7AC6
竒	U+7AD2
竚	U+7ADA
竞	U+7ADE
竢	U+7AE2
竬	U+7AEC
竭	U+7AED
竳	U+7AF3
竻	U+7AFB
竼	U+7AFC
竿	U+7AFF
笇	U+7B07
笏	U+7B0F
笒	U+7B12
笙	U+7B19
笯	U+7B2F
笱	U+7B31
笴	U+7B34
笹	U+7B39
答	U+7B54
筣	U+7B63
筭	U+7B6D
筸	U+7B78
箇	U+7B87
箈	U+7B88
算	U+7B97
箩	U+7BA9
箸	U+7BB8
箺	U+7BBA
箾	U+7BBE
篷	U+7BF7
簱	U+7C31
簸	U+7C38
籮	U+7C6E
米	U+7C73
籵	U+7C75
籸	U+7C78
粎	U+7C8E
粑	U+7C91
粛	U+7C9B
糁	U+7CC1
糂	U+7CC2
糌	U+7CCC
糝	U+7CDD
糣	U+7CE3
紆	U+7D06
紇	U+7D07
紗	U+7D17
細	U+7D30
結	U+7D50
絛	U+7D5B
絬	U+7D6C
絯	U+7D6F
絿	U+7D7F
綕	U+7D95
綰	U+7DB0
緝	U+7DDD
緟	U+7DDF
緰	U+7DF0
緷	U+7DF7
織	U+7E54
纙	U+7E99
纡	U+7EA1
纱	U+7EB1
织	U+7EC7
罀	U+7F40
罒	U+7F52
罗	U+7F57
罙	U+7F59
罛	U+7F5B
罝	U+7F5D
罢	U+7F62
罤	U+7F64
罪	U+7F6A
署	U+7F72
罳	U+7F73
罴	U+7F74
罵	U+7F75
罷	U+7F77
羅	U+7F85
羆	U+7F86
美	U+7F8E
羕	U+7F95
羘	U+7F98
羞	U+7F9E
群	U+7FA4
翁	U+7FC1
翍	U+7FCD
翡	U+7FE1
翥	U+7FE5
老	U+8001
考	U+8003
者	U+8005
耍	U+800D
耒	U+8012
耳	U+8033
耶	U+8036
耽	U+803D
聀	U+8040
职	U+804C
聍	U+804D
联	U+8054
聖	U+8056
聨	U+8068
聫	U+806B
聮	U+806E
聯	U+806F
職	U+8077
聽	U+807D
