page,column,syllable,nom_char,unicode,matched,tier,ocr_char,bbox,crop_file
page_0012,8,nặng,𥘀,U+25600,True,3,義,"[187, 112, 269, 197]",crops/page_0012/col08_char001.png
page_0012,8,ấy,意,U+610F,True,1,意,"[187, 197, 269, 282]",crops/page_0012/col08_char002.png
page_0012,8,là,号,U+53F7,True,3,要,"[187, 282, 269, 367]",crops/page_0012/col08_char003.png
page_0012,8,xem,𫀅,U+2B005,True,3,被,"[187, 367, 269, 452]",crops/page_0012/col08_char004.png
page_0012,8,sóc,朔,U+6714,True,1,朔,"[187, 452, 269, 537]",crops/page_0012/col08_char005.png
page_0012,8,các,各,U+5404,True,1,各,"[187, 537, 269, 622]",crops/page_0012/col08_char006.png
page_0012,8,linh,灵,U+7075,True,1,灵,"[187, 622, 269, 707]",crops/page_0012/col08_char007.png
page_0012,8,hồn,𭡏,U+2D84F,True,3,𢙣,"[187, 707, 269, 792]",crops/page_0012/col08_char008.png
page_0012,8,con,昆,U+6606,True,1,昆,"[187, 792, 269, 877]",crops/page_0012/col08_char009.png
page_0012,8,Đức,徳,U+5FB3,True,1,徳,"[187, 877, 269, 962]",crops/page_0012/col08_char010.png
page_0012,8,Chúa,主,U+4E3B,True,1,主,"[187, 962, 269, 1046]",crops/page_0012/col08_char011.png
page_0012,8,Giê,支,U+652F,True,1,支,"[187, 1046, 269, 1131]",crops/page_0012/col08_char012.png
page_0012,8,su,秋,U+79CB,True,1,秋,"[187, 1131, 269, 1216]",crops/page_0012/col08_char013.png
page_0012,8,xưa,𫋶,U+2B2F6,True,3,𭃡,"[187, 1216, 269, 1301]",crops/page_0012/col08_char014.png
page_0012,8,lấy,礼,U+793C,True,1,礼,"[187, 1301, 269, 1386]",crops/page_0012/col08_char015.png
page_0012,8,máu,泖,U+6CD6,True,1,泖,"[187, 1386, 269, 1471]",crops/page_0012/col08_char016.png
page_0012,8,mình,命,U+547D,True,1,命,"[187, 1471, 269, 1556]",crops/page_0012/col08_char017.png
page_0012,8,mà,蔴,U+8534,True,3,本,"[187, 1556, 269, 1641]",crops/page_0012/col08_char018.png
page_0012,8,chuộc,贖,U+8D16,True,1,贖,"[187, 1641, 269, 1726]",crops/page_0012/col08_char019.png
page_0012,8,Vậy,丕,U+4E15,True,3,左,"[187, 1726, 269, 1811]",crops/page_0012/col08_char020.png
page_0012,8,người,㝵,U+3775,True,1,㝵,"[187, 1811, 269, 1896]",crops/page_0012/col08_char021.png
page_0012,9,,,,False,0,,,
page_0012,9,phải,派,U+6D3E,True,3,石,"[50, 107, 136, 193]",crops/page_0012/col09_char000.png
page_0012,9,chịu,受,U+53D7,True,3,聀,"[50, 193, 136, 279]",crops/page_0012/col09_char001.png
page_0012,9,chức,軄,U+8EC4,True,3,意,"[50, 279, 136, 365]",crops/page_0012/col09_char002.png
page_0012,9,ấy,𫢚,U+2B89A,True,3,欣,"[50, 365, 136, 450]",crops/page_0012/col09_char003.png
page_0012,9,hơn,惞,U+60DE,True,3,南,"[50, 450, 136, 536]",crops/page_0012/col09_char004.png
page_0012,9,năm,秊,U+F995,True,3,邁,"[50, 536, 136, 622]",crops/page_0012/col09_char005.png
page_0012,9,mươi,邁,U+9081,True,3,南,"[50, 622, 136, 708]",crops/page_0012/col09_char006.png
page_0012,9,năm,󱙌,U+F164C,True,3,仍,"[50, 708, 136, 793]",crops/page_0012/col09_char007.png
page_0012,9,nhưng,󱼑,U+F1F11,True,3,麻,"[50, 793, 136, 879]",crops/page_0012/col09_char008.png
page_0012,9,mà,蔴,U+8534,True,3,特,"[50, 879, 136, 965]",crops/page_0012/col09_char009.png
page_0012,9,nhiều,饒,U+9952,True,1,饒,"[50, 965, 136, 1051]",crops/page_0012/col09_char010.png
page_0012,9,công,功,U+529F,True,1,功,"[50, 1051, 136, 1137]",crops/page_0012/col09_char011.png
page_0012,9,lắm,凜,U+51DC,True,1,凜,"[50, 1137, 136, 1222]",crops/page_0012/col09_char012.png
page_0012,9,và,喡,U+55A1,True,2,韋,"[50, 1222, 136, 1308]",crops/page_0012/col09_char013.png
page_0012,9,cho,朱,U+6731,True,2,末,"[50, 1308, 136, 1394]",crops/page_0012/col09_char014.png
page_0012,9,mình,命,U+547D,True,1,命,"[50, 1394, 136, 1480]",crops/page_0012/col09_char015.png
page_0012,9,và,頗,U+9817,True,3,諱,"[50, 1480, 136, 1565]",crops/page_0012/col09_char016.png
page_0012,9,cho,朱,U+6731,True,2,末,"[50, 1565, 136, 1651]",crops/page_0012/col09_char017.png
page_0012,9,bổn,本,U+672C,True,1,本,"[50, 1651, 136, 1737]",crops/page_0012/col09_char018.png
page_0012,9,đạo,道,U+9053,True,1,道,"[50, 1737, 136, 1823]",crops/page_0012/col09_char019.png
page_0012,9,Trước,畧,U+7567,True,1,畧,"[50, 1823, 136, 1908]",crops/page_0012/col09_char020.png
page_0014,1,hết,歇,U+6B47,True,1,歇,"[1202, 43, 1308, 127]",crops/page_0014/col01_char000.png
page_0014,1,Đức,徳,U+5FB3,True,1,徳,"[1202, 127, 1308, 212]",crops/page_0014/col01_char001.png
page_0014,1,Chúa,主,U+4E3B,True,1,主,"[1202, 212, 1308, 297]",crops/page_0014/col01_char002.png
page_0014,1,Trời,𢚸,U+226B8,True,3,夜,"[1202, 297, 1308, 381]",crops/page_0014/col01_char003.png
page_0014,1,thử,此,U+6B64,True,1,此,"[1202, 381, 1308, 466]",crops/page_0014/col01_char004.png
page_0014,1,người,㝵,U+3775,True,1,㝵,"[1202, 466, 1308, 551]",crops/page_0014/col01_char005.png
page_0014,1,hơn,欣,U+6B23,True,1,欣,"[1202, 551, 1308, 636]",crops/page_0014/col01_char006.png
page_0014,1,mười,邁,U+9081,True,3,道,"[1202, 636, 1308, 720]",crops/page_0014/col01_char007.png
page_0014,1,bốn,本,U+672C,True,1,本,"[1202, 720, 1308, 805]",crops/page_0014/col01_char008.png
page_0014,1,năm,年,U+5E74,True,3,原,"[1202, 805, 1308, 890]",crops/page_0014/col01_char009.png
page_0014,1,vì,爲,U+7232,True,1,爲,"[1202, 890, 1308, 975]",crops/page_0014/col01_char010.png
page_0014,1,để,底,U+5E95,True,1,底,"[1202, 975, 1308, 1059]",crops/page_0014/col01_char011.png
page_0014,1,cho,朱,U+6731,True,1,朱,"[1202, 1059, 1308, 1144]",crops/page_0014/col01_char012.png
page_0014,1,ma,嗎,U+55CE,True,3,慰,"[1202, 1144, 1308, 1229]",crops/page_0014/col01_char013.png
page_0014,1,quỷ,鬼,U+9B3C,True,3,思,"[1202, 1229, 1308, 1313]",crops/page_0014/col01_char014.png
page_0014,1,cám,感,U+611F,True,1,感,"[1202, 1313, 1308, 1398]",crops/page_0014/col01_char015.png
page_0014,1,dỗ,杜,U+675C,True,1,杜,"[1202, 1398, 1308, 1483]",crops/page_0014/col01_char016.png
page_0014,1,sự,事,U+4E8B,True,1,事,"[1202, 1483, 1308, 1568]",crops/page_0014/col01_char017.png
page_0014,1,về,𧗱,U+275F1,True,2,街,"[1202, 1568, 1308, 1652]",crops/page_0014/col01_char018.png
page_0014,1,Đức,徳,U+5FB3,True,1,徳,"[1202, 1652, 1308, 1737]",crops/page_0014/col01_char019.png
page_0014,1,Chúa,主,U+4E3B,True,1,主,"[1202, 1737, 1308, 1822]",crops/page_0014/col01_char020.png
page_0014,1,Trời,𢚸,U+226B8,True,3,爾,"[1202, 1822, 1308, 1907]",crops/page_0014/col01_char021.png
page_0014,2,Vì,為,U+70BA,True,1,為,"[1066, 52, 1152, 123]",crops/page_0014/col02_char000.png
page_0014,2,chưng,徵,U+5FB5,True,1,徵,"[1066, 123, 1152, 194]",crops/page_0014/col02_char001.png
page_0014,2,thấy,体,U+4F53,True,1,体,"[1066, 194, 1152, 265]",crops/page_0014/col02_char002.png
page_0014,2,kẻ,几,U+51E0,True,1,几,"[1066, 265, 1152, 336]",crops/page_0014/col02_char003.png
page_0014,2,có,箇,U+7B87,True,3,國,"[1066, 336, 1152, 407]",crops/page_0014/col02_char004.png
page_0014,2,tội,罪,U+7F6A,True,3,眾,"[1066, 407, 1152, 478]",crops/page_0014/col02_char005.png
page_0014,2,lỗi,磊,U+78CA,True,1,磊,"[1066, 478, 1152, 550]",crops/page_0014/col02_char006.png
page_0014,2,lên,苓,U+82D3,True,3,遇,"[1066, 550, 1152, 621]",crops/page_0014/col02_char007.png
page_0014,2,làm,𫜵,U+2B735,True,3,以,"[1066, 621, 1152, 692]",crops/page_0014/col02_char008.png
page_0014,2,vua,𪻟,U+2AEDF,True,3,例,"[1066, 692, 1152, 763]",crops/page_0014/col02_char009.png
page_0014,2,chúa,主,U+4E3B,True,1,主,"[1066, 763, 1152, 834]",crops/page_0014/col02_char010.png
page_0014,2,trị,胾,U+80FE,True,3,沉,"[1066, 834, 1152, 905]",crops/page_0014/col02_char011.png
page_0014,2,thiên,天,U+5929,True,1,天,"[1066, 905, 1152, 977]",crops/page_0014/col02_char012.png
page_0014,2,hạ,下,U+4E0B,True,1,下,"[1066, 977, 1152, 1048]",crops/page_0014/col02_char013.png
page_0014,2,và,喡,U+55A1,True,2,韋,"[1066, 1048, 1152, 1119]",crops/page_0014/col02_char014.png
page_0014,2,làm,𫜵,U+2B735,True,3,以,"[1066, 1119, 1152, 1190]",crops/page_0014/col02_char015.png
page_0014,2,khốn,困,U+56F0,True,1,困,"[1066, 1190, 1152, 1261]",crops/page_0014/col02_char016.png
page_0014,2,cho,朱,U+6731,True,1,朱,"[1066, 1261, 1152, 1332]",crops/page_0014/col02_char017.png
page_0014,2,dân,民,U+6C11,True,1,民,"[1066, 1332, 1152, 1403]",crops/page_0014/col02_char018.png
page_0014,2,lại,吏,U+540F,True,1,吏,"[1066, 1403, 1152, 1475]",crops/page_0014/col02_char019.png
page_0014,2,thấy,体,U+4F53,True,1,体,"[1066, 1475, 1152, 1546]",crops/page_0014/col02_char020.png
page_0014,2,kẻ,几,U+51E0,True,1,几,"[1066, 1546, 1152, 1617]",crops/page_0014/col02_char021.png
page_0014,2,sạch,𤁋,U+2404B,True,3,死,"[1066, 1617, 1152, 1688]",crops/page_0014/col02_char022.png
page_0014,2,tội,罪,U+7F6A,True,1,罪,"[1066, 1688, 1152, 1759]",crops/page_0014/col02_char023.png
page_0014,2,giữ,㑏,U+344F,True,3,𠋣,"[1066, 1759, 1152, 1830]",crops/page_0014/col02_char024.png
page_0014,2,đạo,道,U+9053,True,1,道,"[1066, 1830, 1152, 1902]",crops/page_0014/col02_char025.png
page_0014,3,nên,年,U+5E74,True,1,年,"[921, 40, 1010, 125]",crops/page_0014/col03_char000.png
page_0014,3,mà,蔴,U+8534,True,3,在,"[921, 125, 1010, 210]",crops/page_0014/col03_char001.png
page_0014,3,phải,伂,U+4F02,True,2,布,"[921, 210, 1010, 295]",crops/page_0014/col03_char002.png
page_0014,3,ghe,稽,U+7A3D,True,1,稽,"[921, 295, 1010, 380]",crops/page_0014/col03_char003.png
