page,W,H,x0,y0,x1,y1,frame_w,frame_h,area_ratio,flag
page_0224,1738,2731,272,431,1562,2524,1290,2093,0.569,
page_0226,1701,2707,251,430,1590,2497,1339,2067,0.601,
page_0228,1717,2717,274,420,1574,2493,1300,2073,0.578,
page_0232,1743,2735,266,426,1581,2516,1315,2090,0.577,
page_0234,1691,2701,250,441,1577,2504,1327,2063,0.599,
page_0236,1743,2735,278,429,1596,2521,1318,2092,0.578,
page_0238,1701,2707,241,434,1602,2498,1361,2064,0.61,
page_0240,1733,2728,253,431,1591,2518,1338,2087,0.591,
page_0242,1717,2717,248,459,1582,2514,1334,2055,0.588,
page_0244,1712,2714,264,439,1597,2515,1333,2076,0.596,
page_0246,1701,2707,265,445,1591,2506,1326,2061,0.594,
page_0248,1727,2724,261,436,1570,2525,1309,2089,0.581,
page_0250,1691,2701,251,425,1570,2499,1319,2074,0.599,
page_0252,1722,2721,257,418,1583,2503,1326,2085,0.59,
page_0254,1696,2704,242,426,1603,2501,1361,2075,0.616,
page_0256,1749,2738,276,433,1618,2500,1342,2067,0.579,
page_0258,1717,2717,282,423,1579,2512,1297,2089,0.581,
page_0260,1706,2711,253,412,1587,2506,1334,2094,0.604,
page_0262,1706,2711,253,455,1587,2507,1334,2052,0.592,
page_0264,1738,2731,275,440,1585,2524,1310,2084,0.575,
page_0266,1722,2721,259,465,1560,2516,1301,2051,0.569,
page_0268,1743,2735,262,418,1600,2518,1338,2100,0.589,
page_0270,1691,2701,228,417,1585,2494,1357,2077,0.617,
page_0272,1775,2757,276,438,1648,2526,1372,2088,0.585,
page_0274,1706,2711,255,420,1594,2500,1339,2080,0.602,
page_0276,1727,2724,285,415,1618,2515,1333,2100,0.595,
page_0278,1701,2707,270,425,1591,2504,1321,2079,0.596,
page_0280,1743,2735,244,428,1619,2508,1375,2080,0.6,
page_0282,1706,2711,279,442,1581,2485,1302,2043,0.575,
page_0284,1717,2717,264,410,1592,2501,1328,2091,0.595,
page_0286,1706,2711,258,420,1590,2497,1332,2077,0.598,
page_0288,1754,2742,277,434,1652,2518,1375,2084,0.596,
page_0290,1696,2704,246,421,1547,2483,1301,2062,0.585,
page_0292,1743,2735,288,424,1620,2508,1332,2084,0.582,
page_0294,1696,2704,258,420,1585,2496,1327,2076,0.601,
page_0296,1722,2721,267,439,1587,2510,1320,2071,0.583,
page_0298,1696,2704,236,419,1604,2490,1368,2071,0.618,
