syllable,so_o,phan_bo_sach,chu_ocr_pho_bien_nhat,ty_le_dong_thuan,phan_loai
559,1,stt11:1,瓣,100.0%,tu_co_hoac_di_the
gưong,1,stt11:1,嗣,100.0%,tu_co_hoac_di_the
wringhe,1,stt11:1,宜,100.0%,tên_riêng_latinh
buon,1,stt11:1,盆,100.0%,tu_co_hoac_di_the
nàv,1,stt11:1,尺,100.0%,tu_co_hoac_di_the
1032,1,stt11:1,衅,100.0%,tu_co_hoac_di_the
biể,1,stt11:1,渡,100.0%,tu_co_hoac_di_the
biếhỏi,1,stt11:1,塊,100.0%,tu_co_hoac_di_the
mastruoc,1,stt11:1,畧,100.0%,tu_co_hoac_di_the
mammuon,1,stt11:1,閑,100.0%,tu_co_hoac_di_the
698,1,stt11:1,尅,100.0%,tu_co_hoac_di_the
pa,1,stt11:1,丶,100.0%,tu_co_hoac_di_the
gố,1,stt11:1,枚,100.0%,tu_co_hoac_di_the
phy,1,stt11:1,批,100.0%,tu_co_hoac_di_the
bn,1,stt11:1,命,100.0%,tu_co_hoac_di_the
commen,1,stt11:1,净,100.0%,tu_co_hoac_di_the
rach,1,stt11:1,症,100.0%,tu_co_hoac_di_the
sớinhà,1,stt11:1,理,100.0%,tu_co_hoac_di_the
ginuyet,1,stt11:1,穴,100.0%,tu_co_hoac_di_the
mìnhép,1,stt11:1,命,100.0%,tu_co_hoac_di_the
net,1,stt11:1,湟,100.0%,tu_co_hoac_di_the
kieu,1,stt11:1,驕,100.0%,tu_co_hoac_di_the
ien,1,stt11:1,倒,100.0%,tu_co_hoac_di_the
402,1,stt11:1,郁,100.0%,tu_co_hoac_di_the
manguoi,1,stt11:1,府,100.0%,tu_co_hoac_di_the
gio,1,stt11:1,拏,100.0%,tu_co_hoac_di_the
1197,1,stt11:1,彝,100.0%,tu_co_hoac_di_the
199,1,stt11:1,禄,100.0%,tu_co_hoac_di_the
1246,1,stt11:1,婢,100.0%,tu_co_hoac_di_the
giau,1,stt11:1,廟,100.0%,tu_co_hoac_di_the
chiudao,1,stt11:1,道,100.0%,tu_co_hoac_di_the
backetus,1,stt11:1,妃,100.0%,tu_co_hoac_di_the
hãv,1,stt11:1,灾,100.0%,tu_co_hoac_di_the
viecay,1,stt11:1,役,100.0%,tu_co_hoac_di_the
mac,1,stt11:1,黙,100.0%,tu_co_hoac_di_the
cuan,1,stt11:1,官,100.0%,tu_co_hoac_di_the
266,1,stt11:1,柳,100.0%,tu_co_hoac_di_the
10,1,stt11:1,嘗,100.0%,tu_co_hoac_di_the
231,1,stt11:1,当,100.0%,tu_co_hoac_di_the
tray,1,stt11:1,祀,100.0%,tu_co_hoac_di_the
1231,1,stt11:1,𢎯,100.0%,tu_co_hoac_di_the
rôi,1,stt11:1,姦,100.0%,tu_co_hoac_di_the
15,1,stt11:1,梅,100.0%,tu_co_hoac_di_the
35,1,stt11:1,萬,100.0%,tu_co_hoac_di_the
25,1,stt11:1,訴,100.0%,tu_co_hoac_di_the
cáchánh,1,stt11:1,垩,100.0%,tu_co_hoac_di_the
irơ,1,stt11:1,尽,100.0%,tu_co_hoac_di_the
232,1,stt11:1,舜,100.0%,tu_co_hoac_di_the
troảis,1,stt11:1,列,100.0%,tu_co_hoac_di_the
phal,1,stt11:1,沛,100.0%,tu_co_hoac_di_the
songnua,1,stt11:1,女,100.0%,tu_co_hoac_di_the
hal,1,stt11:1,唱,100.0%,tu_co_hoac_di_the
165,1,stt11:1,椒,100.0%,tu_co_hoac_di_the
t000000000201,1,stt11:1,聶,100.0%,tên_riêng_latinh
oat,1,stt11:1,蜜,100.0%,tu_co_hoac_di_the
oue,1,stt11:1,穢,100.0%,tu_co_hoac_di_the
couthermans,1,stt11:1,几,100.0%,tên_riêng_latinh
chono,1,stt11:1,朱,100.0%,tu_co_hoac_di_the
tr,1,stt11:1,尽,100.0%,tu_co_hoac_di_the
trờil,1,stt11:1,華,100.0%,tu_co_hoac_di_the
truyen,1,stt11:1,岱,100.0%,tu_co_hoac_di_the
400,1,stt11:1,𣄳,100.0%,tu_co_hoac_di_the
val,1,stt11:1,撝,100.0%,tu_co_hoac_di_the
themereratiousness,1,stt11:1,团,100.0%,tên_riêng_latinh
bam,1,stt11:1,巴,100.0%,tu_co_hoac_di_the
lavalitiousness,1,stt11:1,礼,100.0%,tên_riêng_latinh
aoda,1,stt11:1,色,100.0%,tu_co_hoac_di_the
rut,1,stt11:1,梓,100.0%,tu_co_hoac_di_the
lước,1,stt11:1,約,100.0%,tu_co_hoac_di_the
ina,1,stt2:1,那,100.0%,tu_co_hoac_di_the
aé,1,stt2:1,何,100.0%,tu_co_hoac_di_the
mortthay,1,stt2:1,某,100.0%,tu_co_hoac_di_the
sốt/6,1,stt2:1,煒,100.0%,tu_co_hoac_di_the
concu,1,stt2:1,海,100.0%,tu_co_hoac_di_the
măm,1,stt2:1,靉,100.0%,tu_co_hoac_di_the
nóing,1,stt2:1,祿,100.0%,tu_co_hoac_di_the
tram,1,stt2:1,霖,100.0%,tu_co_hoac_di_the
truvện,1,stt2:1,傳,100.0%,tu_co_hoac_di_the
gióp,1,stt2:1,樞,100.0%,tu_co_hoac_di_the
thánhê,1,stt2:1,批,100.0%,tu_co_hoac_di_the
disstrong,1,stt2:1,王,100.0%,tên_riêng_latinh
038struyen,1,stt2:1,傳,100.0%,tên_riêng_latinh
rút2%,1,stt2:1,擠,100.0%,tu_co_hoac_di_the
marang,1,stt2:1,屐,100.0%,tu_co_hoac_di_the
kảy,1,stt2:1,鄂,100.0%,tu_co_hoac_di_the
giem,1,stt2:1,塩,100.0%,tu_co_hoac_di_the
maxin,1,stt2:1,嗔,100.0%,tu_co_hoac_di_the
intexpleman,1,stt2:1,下,100.0%,tên_riêng_latinh
%,1,stt2:1,祖,100.0%,tu_co_hoac_di_the
khuênh,1,stt2:1,傾,100.0%,tu_co_hoac_di_the
thanthanh,1,stt2:1,芼,100.0%,tên_riêng_latinh
pô,1,stt2:1,穌,100.0%,tu_co_hoac_di_the
xuốngừ,1,stt2:1,自,100.0%,tu_co_hoac_di_the
góm,1,stt2:1,憶,100.0%,tu_co_hoac_di_the
ởnơi,1,stt2:1,君,100.0%,tu_co_hoac_di_the
duỗé,1,stt2:1,在,100.0%,tu_co_hoac_di_the
muon,1,stt2:1,閣,100.0%,tu_co_hoac_di_the
kihần,1,stt2:1,神,100.0%,tu_co_hoac_di_the
aythi,1,stt2:1,寺,100.0%,tu_co_hoac_di_the
bat,1,stt2:1,孤,100.0%,tu_co_hoac_di_the
tichay,1,stt2:1,合,100.0%,tu_co_hoac_di_the
gays,1,stt2:1,𢪊,100.0%,tu_co_hoac_di_the
gri,1,stt2:1,教,100.0%,tu_co_hoac_di_the
s000000020,1,stt2:1,劍,100.0%,tên_riêng_latinh
ch,1,stt2:1,之,100.0%,tu_co_hoac_di_the
wranghe,1,stt2:1,直,100.0%,tên_riêng_latinh
troàicanh,1,stt2:1,思,100.0%,tên_riêng_latinh
xina,1,stt2:1,那,100.0%,tu_co_hoac_di_the
dệu,1,stt2:1,姚,100.0%,tu_co_hoac_di_the
ên,1,stt2:1,蓬,100.0%,tu_co_hoac_di_the
côtô,1,stt2:1,穌,100.0%,tu_co_hoac_di_the
mươihai,1,stt2:1,公,100.0%,tu_co_hoac_di_the
eu,1,stt2:1,夭,100.0%,tu_co_hoac_di_the
a%,1,stt2:1,何,100.0%,tu_co_hoac_di_the
catalônha,1,stt2:1,寸,100.0%,tên_riêng_latinh
kial,1,stt2:1,其,100.0%,tu_co_hoac_di_the
x,1,stt2:1,虎,100.0%,tu_co_hoac_di_the
mư,1,stt2:1,遍,100.0%,tu_co_hoac_di_the
khuva,1,stt2:1,亐,100.0%,tu_co_hoac_di_the
dậv,1,stt2:1,曳,100.0%,tu_co_hoac_di_the
hõi,1,stt2:1,矣,100.0%,tu_co_hoac_di_the
atina,1,stt2:1,那,100.0%,tu_co_hoac_di_the
tinh%,1,stt2:1,星,100.0%,tu_co_hoac_di_the
thầv,1,stt2:1,柴,100.0%,tu_co_hoac_di_the
quanay,1,stt2:1,似,100.0%,tu_co_hoac_di_the
tieng,1,stt2:1,咱,100.0%,tu_co_hoac_di_the
0001000000,1,stt2:1,𤰞,100.0%,tên_riêng_latinh
nôngiau,1,stt2:1,奏,100.0%,tu_co_hoac_di_the
leg,1,stt2:1,之,100.0%,tu_co_hoac_di_the
mieng,1,stt2:1,四,100.0%,tu_co_hoac_di_the
exuống,1,stt2:1,蜜,100.0%,tu_co_hoac_di_the
mat,1,stt2:1,相,100.0%,tu_co_hoac_di_the
irởi,1,stt2:1,忝,100.0%,tu_co_hoac_di_the
cain,1,stt2:1,即,100.0%,tu_co_hoac_di_the
ơnơi,1,stt2:1,君,100.0%,tu_co_hoac_di_the
giuli,1,stt2:1,爵,100.0%,tu_co_hoac_di_the
290,1,stt2:1,呪,100.0%,tu_co_hoac_di_the
ẳm,1,stt2:1,瘖,100.0%,tu_co_hoac_di_the
ngot,1,stt2:1,呪,100.0%,tu_co_hoac_di_the
lãy,1,stt2:1,祀,100.0%,tu_co_hoac_di_the
xôli,1,stt2:1,因,100.0%,tu_co_hoac_di_the
giệt,1,stt2:1,㓕,100.0%,tu_co_hoac_di_the
carôlô,1,stt2:1,歌,100.0%,tu_co_hoac_di_the
môt,1,stt2:1,𫞖,100.0%,tu_co_hoac_di_the
arabia,1,stt2:1,随,100.0%,tu_co_hoac_di_the
chicô,1,stt2:1,姑,100.0%,tu_co_hoac_di_the
cat,1,stt2:1,法,100.0%,tu_co_hoac_di_the
chôi,1,stt2:1,暦,100.0%,tu_co_hoac_di_the
100,1,stt2:1,林,100.0%,tu_co_hoac_di_the
gơm,1,stt2:1,愴,100.0%,tu_co_hoac_di_the
ghiec,1,stt2:1,两,100.0%,tu_co_hoac_di_the
giêgiung,1,stt2:1,赱,100.0%,tu_co_hoac_di_the
sot,1,stt2:1,煒,100.0%,tu_co_hoac_di_the
uong,1,stt2:1,王,100.0%,tu_co_hoac_di_the
itiôphia,1,stt2:1,鳥,100.0%,tu_co_hoac_di_the
ôliva,1,stt2:1,馮,100.0%,tu_co_hoac_di_the
mươisau,1,stt2:1,極,100.0%,tu_co_hoac_di_the
vitôri,1,stt2:1,移,100.0%,tu_co_hoac_di_the
vil,1,stt2:1,為,100.0%,tu_co_hoac_di_the
babila,1,stt2:1,粤,100.0%,tu_co_hoac_di_the
lưõi,1,stt2:1,祗,100.0%,tu_co_hoac_di_the
đấv,1,stt4:1,帝,100.0%,tu_co_hoac_di_the
doan,1,stt4:1,叚,100.0%,tu_co_hoac_di_the
hế,1,stt4:1,條,100.0%,tu_co_hoac_di_the
0000000000,1,stt4:1,用,100.0%,tên_riêng_latinh
thuì,1,stt4:1,等,100.0%,tu_co_hoac_di_the
ơc,1,stt4:1,德,100.0%,tu_co_hoac_di_the
chúahúa,1,stt4:1,主,100.0%,tu_co_hoac_di_the
nh,1,stt4:1,邁,100.0%,tu_co_hoac_di_the
mari,1,stt4:1,移,100.0%,tu_co_hoac_di_the
cácho,1,stt4:1,朱,100.0%,tu_co_hoac_di_the
chúch,1,stt4:1,爾,100.0%,tu_co_hoac_di_the
sốnha,1,stt4:1,乇,100.0%,tu_co_hoac_di_the
hồm,1,stt4:1,教,100.0%,tu_co_hoac_di_the
cng,1,stt4:1,庄,100.0%,tu_co_hoac_di_the
đếnô,1,stt4:1,𦝫,100.0%,tu_co_hoac_di_the
formalialam,1,stt4:1,𫝗,100.0%,tên_riêng_latinh
cầngười,1,stt4:1,𢎯,100.0%,tu_co_hoac_di_the
liềny,1,stt4:1,我,100.0%,tu_co_hoac_di_the
mea,1,stt4:1,夷,100.0%,tu_co_hoac_di_the
mẹnghe,1,stt4:1,宜,100.0%,tu_co_hoac_di_the
comintermeptionalis,1,stt4:1,意,100.0%,tên_riêng_latinh
đooạn,1,stt4:1,改,100.0%,tu_co_hoac_di_the
dụn,1,stt4:1,庵,100.0%,tu_co_hoac_di_the
thúa,1,stt4:1,厕,100.0%,tu_co_hoac_di_the
ông thánh này là con cả vua lê-ô-vi-giê du trị nước vi-,1,stt4:1,罢,100.0%,tên_riêng_latinh
si-gô-dô. mà bởi cha,1,stt4:1,死,100.0%,tên_riêng_latinh
theo sự thắng a-ri-ô bày đặt răng đức chúa giê-su,1,stt4:1,徳,100.0%,tên_riêng_latinh
chăng có tính bằng đức chúa,1,stt4:1,主,100.0%,tên_riêng_latinh
"cha, thì ghét con lắm, vì tin đạo nghịch cùng cha thì thà",1,stt4:1,乇,100.0%,tên_riêng_latinh
chết chăng thà bỏ. vậy cha bắt,1,stt4:1,扵,100.0%,tên_riêng_latinh
"con cầm tù rạc lậu ngày, cùng cất chức và mọi sự trọng",1,stt4:1,乇,100.0%,tên_riêng_latinh
"vê làm vua, mà con trọng cha trọng",1,stt4:1,重,100.0%,tên_riêng_latinh
vô cùng và trông nước trên trời hơn nước thế gian thì,1,stt4:1,礼,100.0%,tên_riêng_latinh
chẳng kể sự ấy. đến ngày lễ phục,1,stt4:1,後,100.0%,tên_riêng_latinh
"sinh, vua sai thầy đạo rối đem cô-mô-nhong cho con, có",1,stt4:1,病,100.0%,tên_riêng_latinh
ý cho theo đạo ấy. song le người,1,stt4:1,𭔿,100.0%,tên_riêng_latinh
chẳng chịu vì ghét kẻ đem đến là kẻ chẳng tin đức chúa,1,stt4:1,乇,100.0%,tên_riêng_latinh
"giê-su cho nên. vì sư ấy, cha giận",1,stt4:1,陣,100.0%,tên_riêng_latinh
"lắm thì sai một quan lấy búa bổ đầu con, mà con chịu",1,stt4:1,星,100.0%,tên_riêng_latinh
"chết bằng lòng, thà chịu mất",1,stt4:1,末,100.0%,tên_riêng_latinh
nước cùng mất sống chẳng thà chịu người ta cất sự chức,1,stt4:1,𠑶,100.0%,tên_riêng_latinh
trọng là bỏ đức chúa giê-su. đoạn cha chăng,1,stt4:1,在,100.0%,tên_riêng_latinh
1t,1,stt4:1,丕,100.0%,tu_co_hoac_di_the
207,1,stt4:1,兹,100.0%,tu_co_hoac_di_the
b,1,stt4:1,補,100.0%,tu_co_hoac_di_the
ngườinh,1,stt4:1,字,100.0%,tu_co_hoac_di_the
chếnhứng,1,stt4:1,仍,100.0%,tu_co_hoac_di_the
nướca,1,stt4:1,亜,100.0%,tu_co_hoac_di_the
s1,1,stt4:1,瘥,100.0%,tu_co_hoac_di_the
lôngép,1,stt4:1,甲,100.0%,tu_co_hoac_di_the
tnh,1,stt4:1,道,100.0%,tu_co_hoac_di_the
m1,1,stt4:1,眉,100.0%,tu_co_hoac_di_the
nhữnhững,1,stt4:1,仍,100.0%,tu_co_hoac_di_the
