ヌ	U+30CC
参	U+53C2
參	U+53C3
叄	U+53C4
叅	U+53C5
又	U+53C8
叉	U+53C9
及	U+53CA
双	U+53CC
叓	U+53D3
受	U+53D7
变	U+53D8
叝	U+53DD
古	U+53E4
另	U+53E6
叨	U+53E8
只	U+53EA
召	U+53EC
可	U+53EF
台	U+53F0
叱	U+53F1
右	U+53F3
叴	U+53F4
叵	U+53F5
叶	U+53F6
号	U+53F7
司	U+53F8
叹	U+53F9
叻	U+53FB
叿	U+53FF
吀	U+5400
各	U+5404
合	U+5408
吉	U+5409
同	U+540C
吏	U+540F
吒	U+5412
吔	U+5414
吗	U+5417
吙	U+5419
君	U+541B
吝	U+541D
吟	U+541F
吧	U+5427
吱	U+5431
吲	U+5432
吳	U+5433
吶	U+5436
吿	U+543F
呀	U+5440
呂	U+5442
呅	U+5445
呈	U+5448
呐	U+5450
呑	U+5451
呛	U+545B
呜	U+545C
呞	U+545E
呢	U+5462
呤	U+5464
呦	U+5466
呬	U+546C
呰	U+5470
味	U+5473
呵	U+5475
呶	U+5476
呸	U+5478
命	U+547D
呿	U+547F
咀	U+5480
咂	U+5482
和	U+548C
咍	U+548D
咔	U+5494
咕	U+5495
咖	U+5496
咚	U+549A
咛	U+549B
咝	U+549D
咠	U+54A0
咦	U+54A6
咨	U+54A8
咪	U+54AA
咮	U+54AE
咯	U+54AF
咱	U+54B1
咴	U+54B4
咸	U+54B8
咹	U+54B9
哂	U+54C2
哄	U+54C4
哈	U+54C8
哏	U+54CF
哑	U+54D1
哙	U+54D9
哥	U+54E5
哪	U+54EA
哭	U+54ED
哴	U+54F4
哺	U+54FA
哿	U+54FF
唁	U+5501
唄	U+5504
唊	U+550A
唎	U+550E
唐	U+5510
唓	U+5513
唗	U+5517
唦	U+5526
唭	U+552D
唶	U+5536
唷	U+5537
唹	U+5539
啊	U+554A
啑	U+5551
啔	U+5554
啙	U+5559
啞	U+555E
啟	U+555F
啤	U+5564
啦	U+5566
啨	U+5568
啫	U+556B
啸	U+5578
啺	U+557A
啻	U+557B
喀	U+5580
喂	U+5582
善	U+5584
喍	U+558D
喒	U+5592
喝	U+559D
喟	U+559F
喠	U+55A0
喡	U+55A1
喨	U+55A8
喬	U+55AC
喭	U+55AD
喱	U+55B1
喾	U+55BE
嗄	U+55C4
嗆	U+55C6
嗎	U+55CE
嗐	U+55D0
嗔	U+55D4
嗚	U+55DA
嗞	U+55DE
嗟	U+55DF
嗡	U+55E1
嗣	U+55E3
嗤	U+55E4
嗨	U+55E8
嗹	U+55F9
嗺	U+55FA
嘌	U+560C
嘎	U+560E
嘛	U+561B
嘠	U+5620
嘡	U+5621
嘤	U+5624
嘩	U+5629
嘫	U+562B
嘰	U+5630
嘳	U+5633
嘵	U+5635
嘶	U+5636
嘺	U+563A
噖	U+5656
噙	U+5659
噜	U+565C
噝	U+565D
噫	U+566B
噲	U+5672
噵	U+5675
嚒	U+5692
嚕	U+5695
嚜	U+569C
嚟	U+569F
嚧	U+56A7
嚱	U+56B1
嚶	U+56B6
嚼	U+56BC
囁	U+56C1
囄	U+56C4
囉	U+56C9
囍	U+56CD
囖	U+56D6
囘	U+56D8
回	U+56DE
囤	U+56E4
囪	U+56EA
园	U+56ED
囯	U+56EF
囱	U+56F1
围	U+56F4
囷	U+56F7
囸	U+56F8
囹	U+56F9
固	U+56FA
国	U+56FD
囿	U+56FF
圄	U+5704
圆	U+5706
圉	U+5709
圊	U+570A
國	U+570B
圍	U+570D
團	U+5718
圣	U+5723
圤	U+5724
在	U+5728
圬	U+572C
圭	U+572D
圽	U+573D
址	U+5740
坁	U+5741
均	U+5747
坉	U+5749
坊	U+574A
坏	U+574F
坔	U+5754
坘	U+5758
坙	U+5759
坟	U+575F
坣	U+5763
坤	U+5764
坧	U+5767
坪	U+576A
坫	U+576B
坭	U+576D
坳	U+5773
坵	U+5775
坺	U+577A
垃	U+5783
垆	U+5786
垎	U+578E
垐	U+5790
垖	U+5796
垝	U+579D
垥	U+57A5
垩	U+57A9
垬	U+57AC
垰	U+57B0
埃	U+57C3
埈	U+57C8
埋	U+57CB
城	U+57CE
埘	U+57D8
埣	U+57E3
埴	U+57F4
埼	U+57FC
埽	U+57FD
堂	U+5802
堃	U+5803
堆	U+5806
堇	U+5807
堊	U+580A
堋	U+580B
堍	U+580D
堗	U+5817
堞	U+581E
堡	U+5821
堣	U+5823
堦	U+5826
堵	U+5835
堷	U+5837
堿	U+583F
塁	U+5841
塇	U+5847
塊	U+584A
塍	U+584D
塒	U+5852
塘	U+5858
塚	U+585A
塞	U+585E
填	U+586B
墐	U+5890
墓	U+5893
墛	U+589B
墜	U+589C
墩	U+58A9
墫	U+58AB
墲	U+58B2
墳	U+58B3
墻	U+58BB
壙	U+58D9
壞	U+58DE
壥	U+58E5
壦	U+58E6
士	U+58EB
声	U+58F0
壱	U+58F1
壴	U+58F4
壹	U+58F9
壼	U+58FC
备	U+5907
多	U+591A
夝	U+591D
夤	U+5924
夥	U+5925
夦	U+5926
天	U+5929
夯	U+592F
失	U+5931
夲	U+5932
头	U+5934
夷	U+5937
夾	U+593E
奄	U+5944
奅	U+5945
奆	U+5946
奇	U+5947
奋	U+594B
奌	U+594C
奍	U+594D
奏	U+594F
奓	U+5953
奔	U+5954
奖	U+5956
奙	U+5959
奢	U+5962
奨	U+5968
奬	U+596C
女	U+5973
奴	U+5974
奸	U+5978
她	U+5979
奾	U+597E
如	U+5982
妅	U+5985
妈	U+5988
妋	U+598B
妕	U+5995
妛	U+599B
妞	U+599E
妡	U+59A1
妨	U+59A8
妯	U+59AF
妰	U+59B0
妲	U+59B2
妸	U+59B8
妽	U+59BD
姃	U+59C3
姅	U+59C5
姈	U+59C8
姐	U+59D0
姝	U+59DD
姣	U+59E3
姤	U+59E4
姨	U+59E8
姬	U+59EC
姹	U+59F9
姽	U+59FD
威	U+5A01
娌	U+5A0C
娎	U+5A0E
娑	U+5A11
娘	U+5A18
娜	U+5A1C
娞	U+5A1E
娲	U+5A32
娴	U+5A34
娸	U+5A38
娿	U+5A3F
婀	U+5A40
婁	U+5A41
婐	U+5A50
婢	U+5A62
婫	U+5A6B
婭	U+5A6D
婴	U+5A74
婶	U+5A76
媕	U+5A95
媖	U+5A96
媚	U+5A9A
媟	U+5A9F
媩	U+5AA9
媵	U+5AB5
媸	U+5AB8
媽	U+5ABD
嫠	U+5AE0
嫦	U+5AE6
嫫	U+5AEB
嬈	U+5B08
嬌	U+5B0C
嬤	U+5B24
嬰	U+5B30
嬷	U+5B37
嬹	U+5B39
嬾	U+5B3E
孁	U+5B41
孆	U+5B46
孋	U+5B4B
子	U+5B50
孓	U+5B53
孕	U+5B55
孖	U+5B56
孛	U+5B5B
孞	U+5B5E
孾	U+5B7E
宁	U+5B81
它	U+5B83
宆	U+5B86
宇	U+5B87
守	U+5B88
安	U+5B89
宊	U+5B8A
宋	U+5B8B
宐	U+5B90
宓	U+5B93
宕	U+5B95
宙	U+5B99
宜	U+5B9C
实	U+5B9E
実	U+5B9F
客	U+5BA2
宣	U+5BA3
宫	U+5BAB
宬	U+5BAC
宮	U+5BAE
宲	U+5BB2
害	U+5BB3
容	U+5BB9
宺	U+5BBA
宻	U+5BBB
宾	U+5BBE
寃	U+5BC3
寄	U+5BC4
寅	U+5BC5
密	U+5BC6
寎	U+5BCE
寔	U+5BD4
實	U+5BE6
寶	U+5BF6
寺	U+5BFA
导	U+5BFC
尃	U+5C03
專	U+5C08
尉	U+5C09
導	U+5C0E
尕	U+5C15
尖	U+5C16
尗	U+5C17
尛	U+5C1B
尜	U+5C1C
尤	U+5C24
尸	U+5C38
尼	U+5C3C
尽	U+5C3D
尾	U+5C3E
局	U+5C40
屁	U+5C41
屖	U+5C56
屙	U+5C59
属	U+5C5E
層	U+5C64
屳	U+5C73
屿	U+5C7F
岂	U+5C82
岃	U+5C83
岌	U+5C8C
岙	U+5C99
岝	U+5C9D
岞	U+5C9E
岨	U+5CA8
岭	U+5CAD
岹	U+5CB9
峕	U+5CD5
峜	U+5CDC
峮	U+5CEE
峺	U+5CFA
峼	U+5CFC
崎	U+5D0E
崒	U+5D12
崪	U+5D2A
崷	U+5D37
崽	U+5D3D
嵋	U+5D4B
嵬	U+5D6C
嶼	U+5DBC
巊	U+5DCA
巌	U+5DCC
巛	U+5DDB
工	U+5DE5
左	U+5DE6
巨	U+5DE8
巪	U+5DEA
差	U+5DEE
己	U+5DF1
已	U+5DF2
巴	U+5DF4
巵	U+5DF5
师	U+5E08
希	U+5E0C
帘	U+5E18
帝	U+5E1D
帞	U+5E1E
帤	U+5E24
師	U+5E2B
帵	U+5E35
帶	U+5E36
常	U+5E38
幍	U+5E4D
幞	U+5E5E
幪	U+5E6A
平	U+5E73
年	U+5E74
幼	U+5E7C
幾	U+5E7E
庅	U+5E85
床	U+5E8A
庋	U+5E8B
序	U+5E8F
庒	U+5E92
店	U+5E97
庥	U+5EA5
庪	U+5EAA
庫	U+5EAB
庯	U+5EAF
庳	U+5EB3
廊	U+5ECA
廌	U+5ECC
廛	U+5EDB
廝	U+5EDD
廩	U+5EE9
廪	U+5EEA
廬	U+5EEC
廾	U+5EFE
弄	U+5F04
弅	U+5F05
弋	U+5F0B
弌	U+5F0C
弔	U+5F14
引	U+5F15
弧	U+5F27
弯	U+5F2F
強	U+5F37
弸	U+5F38
当	U+5F53
彗	U+5F57
彣	U+5F63
彨	U+5F68
彲	U+5F72
彷	U+5F77
彸	U+5F78
彼	U+5F7C
彾	U+5F7E
径	U+5F84
待	U+5F85
很	U+5F88
律	U+5F8B
徎	U+5F8E
徐	U+5F90
徑	U+5F91
徕	U+5F95
得	U+5F97
徙	U+5F99
徛	U+5F9B
徜	U+5F9C
徠	U+5FA0
徣	U+5FA3
循	U+5FAA
徱	U+5FB1
徳	U+5FB3
徴	U+5FB4
德	U+5FB7
忀	U+5FC0
忇	U+5FC7
忋	U+5FCB
快	U+5FEB
忬	U+5FEC
忯	U+5FEF
忱	U+5FF1
忴	U+5FF4
忻	U+5FFB
怒	U+6012
怖	U+6016
怗	U+6017
怚	U+601A
怜	U+601C
思	U+601D
怡	U+6021
怤	U+6024
怩	U+6029
恑	U+6051
恓	U+6053
恡	U+6061
恣	U+6063
恪	U+606A
恰	U+6070
恴	U+6074
恶	U+6076
悆	U+6086
悇	U+6087
悈	U+6088
悉	U+6089
悋	U+608B
悑	U+6091
悖	U+6096
悜	U+609C
悥	U+60A5
悫	U+60AB
悲	U+60B2
悳	U+60B3
悶	U+60B6
情	U+60C5
惞	U+60DE
惡	U+60E1
惣	U+60E3
惪	U+60EA
想	U+60F3
惵	U+60F5
惻	U+60FB
惼	U+60FC
愊	U+610A
意	U+610F
愐	U+6110
愒	U+6112
愖	U+6116
愘	U+6118
愙	U+6119
愡	U+6121
愧	U+6127
愨	U+6128
愯	U+612F
愴	U+6134
愸	U+6138
慄	U+6144
慅	U+6145
慒	U+6152
慤	U+6164
慮	U+616E
慰	U+6170
慾	U+617E
慿	U+617F
憑	U+6191
憢	U+61A2
憶	U+61B6
憼	U+61BC
懆	U+61C6
懐	U+61D0
懒	U+61D2
懙	U+61D9
懞	U+61DE
懠	U+61E0
懮	U+61EE
懶	U+61F6
懺	U+61FA
懿	U+61FF
戈	U+6208
戊	U+620A
戌	U+620C
戍	U+620D
戎	U+620E
成	U+6210
我	U+6211
戒	U+6212
戕	U+6215
戗	U+6217
戝	U+621D
戞	U+621E
戧	U+6227
戴	U+6234
戽	U+623D
扁	U+6241
扃	U+6243
扄	U+6244
手	U+624B
扐	U+6250
扑	U+6251
払	U+6255
扗	U+6257
托	U+6258
扙	U+6259
扛	U+625B
扠	U+6260
扣	U+6263
扫	U+626B
扯	U+626F
扱	U+6271
扲	U+6272
扵	U+6275
扺	U+627A
找	U+627E
抄	U+6284
抌	U+628C
抑	U+6291
抒	U+6292
折	U+6298
抜	U+629C
抢	U+62A2
抣	U+62A3
抨	U+62A8
抪	U+62AA
披	U+62AB
抬	U+62AC
抴	U+62B4
抺	U+62BA
拉	U+62C9
拊	U+62CA
拎	U+62CE
拐	U+62D0
拖	U+62D6
拗	U+62D7
招	U+62DB
拜	U+62DC
拝	U+62DD
拟	U+62DF
拡	U+62E1
拧	U+62E7
拪	U+62EA
拱	U+62F1
拲	U+62F2
拳	U+62F3
拸	U+62F8
拽	U+62FD
拾	U+62FE
持	U+6301
指	U+6307
挊	U+630A
挓	U+6313
挔	U+6314
挗	U+6317
挤	U+6324
挧	U+6327
挨	U+6328
挪	U+632A
挰	U+6330
挱	U+6331
挲	U+6332
挴	U+6334
挵	U+6335
挼	U+633C
挾	U+633E
捂	U+6342
捆	U+6346
捈	U+6348
捊	U+634A
捕	U+6355
捘	U+6358
捙	U+6359
捚	U+635A
捠	U+6360
捥	U+6365
捦	U+6366
捬	U+636C
捱	U+6371
捷	U+6377
捼	U+637C
捽	U+637D
掌	U+638C
排	U+6392
掘	U+6398
探	U+63A2
接	U+63A5
掺	U+63BA
掻	U+63BB
揁	U+63C1
揂	U+63C2
揊	U+63CA
揌	U+63CC
提	U+63D0
插	U+63D2
握	U+63E1
揥	U+63E5
揬	U+63EC
揭	U+63ED
揰	U+63F0
揺	U+63FA
搁	U+6401
搊	U+640A
搋	U+640B
搓	U+6413
搔	U+6414
搖	U+6416
搘	U+6418
搚	U+641A
搧	U+6427
搩	U+6429
搪	U+642A
搱	U+6431
搲	U+6432
搳	U+6433
搶	U+6436
摀	U+6440
摅	U+6445
摇	U+6447
摈	U+6448
摐	U+6450
摚	U+645A
摛	U+645B
摢	U+6462
摤	U+6464
摩	U+6469
摴	U+6474
摹	U+6479
摺	U+647A
摻	U+647B
摿	U+647F
撄	U+6484
撕	U+6495
撙	U+6499
撟	U+649F
撦	U+64A6
撨	U+64A8
撫	U+64AB
撲	U+64B2
撸	U+64B8
撼	U+64BC
擈	U+64C8
擒	U+64D2
擔	U+64D4
擖	U+64D6
擛	U+64DB
擠	U+64E0
擰	U+64F0
擱	U+64F1
擵	U+64F5
攄	U+6504
攖	U+6516
攟	U+651F
攠	U+6520
支	U+652F
攲	U+6532
攴	U+6534
改	U+6539
攻	U+653B
放	U+653E
故	U+6545
敌	U+654C
敎	U+654E
敏	U+654F
救	U+6551
敕	U+6555
敖	U+6556
敗	U+6557
敘	U+6558
教	U+6559
敝	U+655D
敟	U+655F
散	U+6563
敦	U+6566
敧	U+6567
敬	U+656C
敷	U+6577
斄	U+6584
斉	U+6589
斊	U+658A
斍	U+658D
斠	U+65A0
断	U+65AD
斮	U+65AE
斯	U+65AF
斷	U+65B7
於	U+65BC
旃	U+65C3
旄	U+65C4
旉	U+65C9
旜	U+65DC
日	U+65E5
旦	U+65E6
旬	U+65EC
旭	U+65ED
旮	U+65EE
旯	U+65EF
旱	U+65F1
时	U+65F6
旹	U+65F9
昀	U+6600
昂	U+6602
昆	U+6606
昋	U+660B
明	U+660E
易	U+6613
昚	U+661A
昝	U+661D
春	U+6625
昰	U+6630
昵	U+6635
昼	U+663C
時	U+6642
晃	U+6643
晚	U+665A
晜	U+665C
晝	U+665D
晡	U+6661
晢	U+6662
晨	U+6668
晫	U+666B
晬	U+666C
普	U+666E
晻	U+667B
曀	U+66C0
曄	U+66C4
曉	U+66C9
曊	U+66CA
曑	U+66D1
曟	U+66DF
曰	U+66F0
曳	U+66F3
更	U+66F4
曵	U+66F5
曷	U+66F7
書	U+66F8
曹	U+66F9
最	U+6700
朇	U+6707
月	U+6708
有	U+6709
朋	U+670B
朎	U+670E
朑	U+6711
朗	U+6717
朙	U+6719
朝	U+671D
朞	U+671E
期	U+671F
朦	U+6726
木	U+6728
朩	U+6729
未	U+672A
末	U+672B
本	U+672C
札	U+672D
朱	U+6731
机	U+673A
权	U+6743
杅	U+6745
杆	U+6746
杇	U+6747
杍	U+674D
杏	U+674F
村	U+6751
杕	U+6755
杙	U+6759
杜	U+675C
杝	U+675D
束	U+675F
来	U+6765
杯	U+676F
東	U+6771
杲	U+6772
杴	U+6774
杼	U+677C
杽	U+677D
极	U+6781
枃	U+6783
构	U+6784
枉	U+6789
枋	U+678B
枔	U+6794
林	U+6797
枚	U+679A
枝	U+679D
枟	U+679F
枢	U+67A2
枣	U+67A3
枪	U+67AA
架	U+67B6
枺	U+67BA
枼	U+67BC
柀	U+67C0
柁	U+67C1
柃	U+67C3
柆	U+67C6
柍	U+67CD
柏	U+67CF
某	U+67D0
染	U+67D3
柢	U+67E2
柣	U+67E3
柤	U+67E4
柳	U+67F3
柴	U+67F4
柶	U+67F6
柼	U+67FC
栀	U+6800
栍	U+680D
栐	U+6810
栖	U+6816
栗	U+6817
栘	U+6818
栠	U+6820
株	U+682A
栭	U+682D
栴	U+6834
核	U+6838
格	U+683C
桃	U+6843
桇	U+6847
案	U+6848
桉	U+6849
桕	U+6855
桜	U+685C
桤	U+6864
桨	U+6868
桫	U+686B
桬	U+686C
桲	U+6872
桽	U+687D
梀	U+6880
梄	U+6884
梅	U+6885
梌	U+688C
梎	U+688E
梏	U+688F
梓	U+6893
梔	U+6894
梛	U+689B
梭	U+68AD
梳	U+68B3
棂	U+68C2
棄	U+68C4
棚	U+68DA
棠	U+68E0
棨	U+68E8
棲	U+68F2
棶	U+68F6
椀	U+6900
椅	U+6905
検	U+691C
椝	U+691D
椞	U+691E
椠	U+6920
椴	U+6934
椶	U+6936
椼	U+693C
楂	U+6942
楃	U+6943
楍	U+694D
楎	U+694E
楝	U+695D
楢	U+6962
楣	U+6963
楪	U+696A
楽	U+697D
榘	U+6998
榟	U+699F
榯	U+69AF
榰	U+69B0
榶	U+69B6
榷	U+69B7
榿	U+69BF
槃	U+69C3
槊	U+69CA
槍	U+69CD
槎	U+69CE
槔	U+69D4
槤	U+69E4
槧	U+69E7
槳	U+69F3
槹	U+69F9
樊	U+6A0A
樗	U+6A17
樘	U+6A18
標	U+6A19
樞	U+6A1E
模	U+6A21
樨	U+6A28
樱	U+6A31
樴	U+6A34
橅	U+6A45
機	U+6A5F
檀	U+6A80
檁	U+6A81
檎	U+6A8E
檐	U+6A90
檗	U+6A97
檠	U+6AA0
檤	U+6AA4
檯	U+6AAF
檰	U+6AB0
櫡	U+6AE1
櫰	U+6AF0
櫺	U+6AFA
櫻	U+6AFB
欕	U+6B15
欚	U+6B1A
欞	U+6B1E
次	U+6B21
欢	U+6B22
欣	U+6B23
欤	U+6B24
欱	U+6B31
欲	U+6B32
欳	U+6B33
欹	U+6B39
欺	U+6B3A
欻	U+6B3B
歇	U+6B47
歌	U+6B4C
歍	U+6B4D
歖	U+6B56
歟	U+6B5F
止	U+6B62
正	U+6B63
此	U+6B64
歧	U+6B67
歯	U+6B6F
死	U+6B7B
歾	U+6B7E
歿	U+6B7F
殁	U+6B81
殖	U+6B96
殦	U+6BA6
殳	U+6BB3
段	U+6BB5
殷	U+6BB7
毃	U+6BC3
毈	U+6BC8
每	U+6BCF
毛	U+6BDB
毠	U+6BE0
毡	U+6BE1
毹	U+6BF9
毺	U+6BFA
毼	U+6BFC
氂	U+6C02
氈	U+6C08
氊	U+6C0A
氏	U+6C0F
氐	U+6C10
氨	U+6C28
氶	U+6C36
氷	U+6C37
氻	U+6C3B
汅	U+6C45
汒	U+6C52
汖	U+6C56
汙	U+6C59
汚	U+6C5A
汝	U+6C5D
污	U+6C61
汬	U+6C6C
汮	U+6C6E
汰	U+6C70
汲	U+6C72
汴	U+6C74
沃	U+6C83
沒	U+6C92
沖	U+6C96
沙	U+6C99
