ヌ	U+30CC
侟	U+4F9F
侬	U+4FAC
侭	U+4FAD
侮	U+4FAE
侯	U+4FAF
侱	U+4FB1
侴	U+4FB4
侼	U+4FBC
促	U+4FC3
俅	U+4FC5
俆	U+4FC6
俐	U+4FD0
俓	U+4FD3
俕	U+4FD5
俙	U+4FD9
俛	U+4FDB
俞	U+4FDE
俠	U+4FE0
信	U+4FE1
俢	U+4FE2
俣	U+4FE3
俧	U+4FE7
俫	U+4FEB
俬	U+4FEC
修	U+4FEE
俰	U+4FF0
俲	U+4FF2
俺	U+4FFA
俼	U+4FFC
俽	U+4FFD
俾	U+4FFE
倂	U+5002
倅	U+5005
倈	U+5008
倉	U+5009
個	U+500B
倎	U+500E
倏	U+500F
倐	U+5010
倓	U+5013
倗	U+5017
倘	U+5018
候	U+5019
倚	U+501A
倛	U+501B
倞	U+501E
借	U+501F
倡	U+5021
倢	U+5022
値	U+5024
倳	U+5033
倹	U+5039
倻	U+503B
值	U+503C
倿	U+503F
偀	U+5040
偁	U+5041
假	U+5047
偉	U+5049
偏	U+504F
偕	U+5055
偖	U+5056
偟	U+505F
偦	U+5066
偨	U+5068
偪	U+506A
偯	U+506F
偲	U+5072
偵	U+5075
偺	U+507A
偾	U+507E
傀	U+5080
傉	U+5089
傌	U+508C
傏	U+508F
傓	U+5093
傕	U+5095
傞	U+509E
傢	U+50A2
傦	U+50A6
傩	U+50A9
傪	U+50AA
傭	U+50AD
傮	U+50AE
僄	U+50C4
僎	U+50CE
像	U+50CF
僕	U+50D5
僘	U+50D8
僚	U+50DA
僛	U+50DB
僤	U+50E4
僥	U+50E5
儀	U+5100
億	U+5104
儉	U+5109
儋	U+510B
儍	U+510D
儕	U+5115
儗	U+5117
儘	U+5118
儩	U+5129
儸	U+5138
儺	U+513A
儻	U+513B
儿	U+513F
兀	U+5140
允	U+5141
充	U+5145
先	U+5148
免	U+514D
児	U+5150
兑	U+5151
兒	U+5152
兙	U+5159
党	U+515A
兛	U+515B
兜	U+515C
兠	U+5160
入	U+5165
兦	U+5166
內	U+5167
全	U+5168
八	U+516B
公	U+516C
六	U+516D
兮	U+516E
共	U+5171
兲	U+5172
关	U+5173
兴	U+5174
兵	U+5175
其	U+5176
具	U+5177
典	U+5178
兹	U+5179
养	U+517B
兽	U+517D
冃	U+5183
内	U+5185
冇	U+5187
冉	U+5189
冊	U+518A
册	U+518C
冘	U+5198
写	U+5199
军	U+519B
农	U+519C
冝	U+519D
冤	U+51A4
冥	U+51A5
冧	U+51A7
冬	U+51AC
冮	U+51AE
冯	U+51AF
冲	U+51B2
决	U+51B3
冷	U+51B7
凃	U+51C3
凅	U+51C5
凌	U+51CC
凘	U+51D8
凛	U+51DB
凜	U+51DC
几	U+51E0
凡	U+51E1
凢	U+51E2
凣	U+51E3
処	U+51E6
凨	U+51E8
凫	U+51EB
凭	U+51ED
凰	U+51F0
凴	U+51F4
凷	U+51F7
凹	U+51F9
出	U+51FA
击	U+51FB
凼	U+51FC
刀	U+5200
刅	U+5205
分	U+5206
切	U+5207
刍	U+520D
刎	U+520E
创	U+521B
初	U+521D
刢	U+5222
別	U+5225
利	U+5229
刮	U+522E
到	U+5230
刱	U+5231
刴	U+5234
刵	U+5235
券	U+5238
刺	U+523A
刾	U+523E
剀	U+5240
剃	U+5243
剎	U+524E
剏	U+524F
剒	U+5252
剔	U+5254
剖	U+5256
剗	U+5257
剙	U+5259
剚	U+525A
剢	U+5262
剫	U+526B
副	U+526F
剴	U+5274
創	U+5275
剺	U+527A
剾	U+527E
劎	U+528E
劘	U+5298
力	U+529B
办	U+529E
功	U+529F
加	U+52A0
务	U+52A1
劣	U+52A3
劤	U+52A4
劥	U+52A5
努	U+52AA
劭	U+52AD
劯	U+52AF
励	U+52B1
劲	U+52B2
劳	U+52B3
劺	U+52BA
势	U+52BF
勁	U+52C1
勃	U+52C3
勅	U+52C5
勑	U+52D1
勔	U+52D4
勜	U+52DC
勢	U+52E2
勧	U+52E7
勯	U+52EF
勸	U+52F8
勺	U+52FA
勻	U+52FB
勽	U+52FD
勿	U+52FF
匀	U+5300
匂	U+5302
匃	U+5303
匄	U+5304
包	U+5305
匆	U+5306
匕	U+5315
匙	U+5319
匛	U+531B
匞	U+531E
匠	U+5320
匹	U+5339
匾	U+533E
匿	U+533F
十	U+5341
千	U+5343
卆	U+5346
午	U+5348
半	U+534A
卋	U+534B
卍	U+534D
卐	U+5350
卑	U+5351
卒	U+5352
南	U+5357
単	U+5358
卜	U+535C
卟	U+535F
占	U+5360
卡	U+5361
卢	U+5362
卣	U+5363
卥	U+5365
卦	U+5366
卮	U+536E
卯	U+536F
即	U+5373
厇	U+5387
厉	U+5389
压	U+538B
厎	U+538E
厏	U+538F
厘	U+5398
厙	U+5399
厚	U+539A
厠	U+53A0
厢	U+53A2
厦	U+53A6
厮	U+53AE
厰	U+53B0
厲	U+53B2
厶	U+53B6
厷	U+53B7
厹	U+53B9
去	U+53BB
厼	U+53BC
厾	U+53BE
参	U+53C2
參	U+53C3
叄	U+53C4
叅	U+53C5
又	U+53C8
叉	U+53C9
及	U+53CA
双	U+53CC
叐	U+53D0
叓	U+53D3
受	U+53D7
变	U+53D8
叚	U+53DA
叝	U+53DD
古	U+53E4
另	U+53E6
叨	U+53E8
只	U+53EA
召	U+53EC
可	U+53EF
台	U+53F0
叱	U+53F1
右	U+53F3
叴	U+53F4
叵	U+53F5
叶	U+53F6
号	U+53F7
司	U+53F8
叹	U+53F9
叺	U+53FA
叻	U+53FB
叼	U+53FC
叿	U+53FF
吀	U+5400
吁	U+5401
各	U+5404
合	U+5408
吉	U+5409
同	U+540C
后	U+540E
吏	U+540F
吒	U+5412
吓	U+5413
吔	U+5414
吕	U+5415
吗	U+5417
吙	U+5419
君	U+541B
吝	U+541D
吟	U+541F
吠	U+5420
吧	U+5427
吨	U+5428
吱	U+5431
吲	U+5432
吳	U+5433
吵	U+5435
吶	U+5436
吹	U+5439
吻	U+543B
吽	U+543D
吿	U+543F
呀	U+5440
呂	U+5442
呅	U+5445
呇	U+5447
呈	U+5448
呉	U+5449
呋	U+544B
呌	U+544C
呍	U+544D
呎	U+544E
呐	U+5450
呑	U+5451
呒	U+5452
呛	U+545B
呜	U+545C
呞	U+545E
呠	U+5460
呢	U+5462
呣	U+5463
呤	U+5464
呦	U+5466
呧	U+5467
呫	U+546B
呬	U+546C
呭	U+546D
呯	U+546F
呰	U+5470
呲	U+5472
味	U+5473
呵	U+5475
呶	U+5476
呸	U+5478
命	U+547D
呾	U+547E
呿	U+547F
咀	U+5480
咂	U+5482
和	U+548C
咍	U+548D
咏	U+548F
咓	U+5493
咔	U+5494
咕	U+5495
咖	U+5496
咚	U+549A
咛	U+549B
咝	U+549D
咠	U+54A0
咦	U+54A6
咨	U+54A8
咪	U+54AA
咮	U+54AE
咯	U+54AF
咱	U+54B1
咴	U+54B4
咸	U+54B8
咹	U+54B9
咿	U+54BF
哀	U+54C0
哂	U+54C2
哄	U+54C4
哇	U+54C7
哈	U+54C8
哉	U+54C9
哎	U+54CE
哏	U+54CF
哑	U+54D1
哙	U+54D9
哥	U+54E5
哪	U+54EA
哭	U+54ED
哰	U+54F0
哴	U+54F4
哸	U+54F8
哺	U+54FA
哿	U+54FF
唁	U+5501
唄	U+5504
唆	U+5506
唉	U+5509
唊	U+550A
唎	U+550E
唏	U+550F
唐	U+5510
唒	U+5512
唓	U+5513
唔	U+5514
唗	U+5517
唞	U+551E
唤	U+5524
唦	U+5526
唬	U+552C
唭	U+552D
唱	U+5531
唶	U+5536
唷	U+5537
唹	U+5539
唻	U+553B
啉	U+5549
啊	U+554A
啑	U+5551
啔	U+5554
啙	U+5559
啝	U+555D
啞	U+555E
啟	U+555F
啤	U+5564
啦	U+5566
啧	U+5567
啨	U+5568
啪	U+556A
啫	U+556B
啰	U+5570
啴	U+5574
啵	U+5575
啸	U+5578
啺	U+557A
啻	U+557B
啾	U+557E
喀	U+5580
喁	U+5581
喂	U+5582
喃	U+5583
善	U+5584
喍	U+558D
喒	U+5592
喓	U+5593
喝	U+559D
喟	U+559F
喠	U+55A0
喡	U+55A1
喤	U+55A4
喨	U+55A8
喬	U+55AC
喭	U+55AD
單	U+55AE
喯	U+55AF
喱	U+55B1
喲	U+55B2
喻	U+55BB
喾	U+55BE
嗄	U+55C4
嗆	U+55C6
嗎	U+55CE
嗐	U+55D0
嗔	U+55D4
嗚	U+55DA
嗞	U+55DE
嗟	U+55DF
嗡	U+55E1
嗣	U+55E3
嗤	U+55E4
嗦	U+55E6
嗨	U+55E8
嗩	U+55E9
嗳	U+55F3
嗹	U+55F9
嗺	U+55FA
嗻	U+55FB
嘆	U+5606
嘇	U+5607
嘉	U+5609
嘌	U+560C
嘎	U+560E
嘓	U+5613
嘖	U+5616
嘙	U+5619
嘛	U+561B
嘠	U+5620
嘡	U+5621
嘤	U+5624
嘩	U+5629
嘫	U+562B
嘰	U+5630
嘳	U+5633
嘵	U+5635
嘶	U+5636
嘸	U+5638
嘺	U+563A
噀	U+5640
噅	U+5645
噍	U+564D
噎	U+564E
噒	U+5652
噔	U+5654
噖	U+5656
噙	U+5659
噜	U+565C
噝	U+565D
噫	U+566B
噯	U+566F
噲	U+5672
噵	U+5675
噺	U+567A
嚉	U+5689
嚒	U+5692
嚕	U+5695
嚜	U+569C
嚟	U+569F
嚧	U+56A7
嚬	U+56AC
嚱	U+56B1
嚵	U+56B5
嚶	U+56B6
嚼	U+56BC
囁	U+56C1
囄	U+56C4
囉	U+56C9
囍	U+56CD
囏	U+56CF
囐	U+56D0
囖	U+56D6
囘	U+56D8
囚	U+56DA
四	U+56DB
囝	U+56DD
回	U+56DE
因	U+56E0
团	U+56E2
囤	U+56E4
囦	U+56E6
囪	U+56EA
园	U+56ED
囯	U+56EF
囱	U+56F1
围	U+56F4
囷	U+56F7
囸	U+56F8
囹	U+56F9
固	U+56FA
囻	U+56FB
囼	U+56FC
国	U+56FD
图	U+56FE
囿	U+56FF
圄	U+5704
圅	U+5705
圆	U+5706
圈	U+5708
圉	U+5709
圊	U+570A
國	U+570B
圍	U+570D
圏	U+570F
團	U+5718
土	U+571F
圡	U+5721
圣	U+5723
圤	U+5724
在	U+5728
圩	U+5729
圫	U+572B
圬	U+572C
圭	U+572D
圯	U+572F
地	U+5730
圱	U+5731
圲	U+5732
圽	U+573D
址	U+5740
坁	U+5741
坆	U+5746
均	U+5747
坉	U+5749
坊	U+574A
坌	U+574C
坍	U+574D
坎	U+574E
坏	U+574F
坐	U+5750
坒	U+5752
坔	U+5754
坖	U+5756
块	U+5757
坘	U+5758
坙	U+5759
坛	U+575B
坟	U+575F
坡	U+5761
坣	U+5763
坤	U+5764
坧	U+5767
坪	U+576A
坫	U+576B
坭	U+576D
坮	U+576E
坳	U+5773
坵	U+5775
坸	U+5778
坺	U+577A
坻	U+577B
坼	U+577C
垃	U+5783
垆	U+5786
垉	U+5789
垎	U+578E
垐	U+5790
垕	U+5795
垖	U+5796
垝	U+579D
垥	U+57A5
垦	U+57A6
垩	U+57A9
垬	U+57AC
垯	U+57AF
垰	U+57B0
埃	U+57C3
埆	U+57C6
埈	U+57C8
埊	U+57CA
埋	U+57CB
城	U+57CE
埏	U+57CF
埘	U+57D8
埜	U+57DC
埣	U+57E3
埤	U+57E4
埮	U+57EE
埯	U+57EF
埴	U+57F4
埶	U+57F6
執	U+57F7
基	U+57FA
埼	U+57FC
埽	U+57FD
堂	U+5802
堃	U+5803
堆	U+5806
堇	U+5807
堊	U+580A
堋	U+580B
堍	U+580D
堏	U+580F
堐	U+5810
堗	U+5817
堛	U+581B
堞	U+581E
堠	U+5820
堡	U+5821
堣	U+5823
堦	U+5826
堭	U+582D
堯	U+582F
堲	U+5832
堵	U+5835
堷	U+5837
堹	U+5839
堿	U+583F
塁	U+5841
塇	U+5847
塊	U+584A
塍	U+584D
塒	U+5852
塘	U+5858
塙	U+5859
塚	U+585A
塞	U+585E
塠	U+5860
填	U+586B
墀	U+5880
境	U+5883
墉	U+5889
墎	U+588E
墐	U+5890
墓	U+5893
墛	U+589B
墜	U+589C
墧	U+58A7
墩	U+58A9
墫	U+58AB
墬	U+58AC
墰	U+58B0
墲	U+58B2
墳	U+58B3
墴	U+58B4
墻	U+58BB
壂	U+58C2
壇	U+58C7
壈	U+58C8
壗	U+58D7
壙	U+58D9
壜	U+58DC
壞	U+58DE
壥	U+58E5
壦	U+58E6
壩	U+58E9
士	U+58EB
壮	U+58EE
声	U+58F0
壱	U+58F1
壳	U+58F3
壴	U+58F4
壹	U+58F9
壼	U+58FC
夂	U+5902
处	U+5904
备	U+5907
夈	U+5908
复	U+590D
夏	U+590F
夔	U+5914
夕	U+5915
多	U+591A
夝	U+591D
夢	U+5922
夣	U+5923
夤	U+5924
夥	U+5925
夦	U+5926
大	U+5927
天	U+5929
太	U+592A
夬	U+592C
央	U+592E
夯	U+592F
失	U+5931
夲	U+5932
头	U+5934
夵	U+5935
夷	U+5937
夾	U+593E
奄	U+5944
奅	U+5945
奆	U+5946
奇	U+5947
奈	U+5948
奋	U+594B
奌	U+594C
奍	U+594D
奏	U+594F
奓	U+5953
奔	U+5954
奖	U+5956
奙	U+5959
奢	U+5962
奨	U+5968
奬	U+596C
女	U+5973
奴	U+5974
奸	U+5978
她	U+5979
奾	U+597E
妁	U+5981
如	U+5982
妃	U+5983
妄	U+5984
妅	U+5985
妈	U+5988
妋	U+598B
妑	U+5991
妕	U+5995
妛	U+599B
妞	U+599E
妠	U+59A0
妡	U+59A1
妢	U+59A2
妥	U+59A5
妨	U+59A8
妬	U+59AC
妯	U+59AF
妰	U+59B0
妲	U+59B2
妸	U+59B8
妻	U+59BB
妽	U+59BD
姃	U+59C3
姅	U+59C5
姆	U+59C6
姈	U+59C8
始	U+59CB
姐	U+59D0
姚	U+59DA
姝	U+59DD
姟	U+59DF
姣	U+59E3
姤	U+59E4
姦	U+59E6
姧	U+59E7
姨	U+59E8
姬	U+59EC
姮	U+59EE
姴	U+59F4
姹	U+59F9
姽	U+59FD
姿	U+59FF
威	U+5A01
娂	U+5A02
娃	U+5A03
娄	U+5A04
娆	U+5A06
娇	U+5A07
娉	U+5A09
娋	U+5A0B
娌	U+5A0C
娎	U+5A0E
娑	U+5A11
娘	U+5A18
娙	U+5A19
娛	U+5A1B
娜	U+5A1C
娞	U+5A1E
娥	U+5A25
娭	U+5A2D
娲	U+5A32
娴	U+5A34
娸	U+5A38
娿	U+5A3F
婀	U+5A40
婁	U+5A41
婂	U+5A42
婅	U+5A45
婆	U+5A46
婐	U+5A50
婖	U+5A56
婘	U+5A58
婝	U+5A5D
婠	U+5A60
婢	U+5A62
婪	U+5A6A
婫	U+5A6B
婭	U+5A6D
婱	U+5A71
婴	U+5A74
婵	U+5A75
婶	U+5A76
媄	U+5A84
媍	U+5A8D
媑	U+5A91
媒	U+5A92
媓	U+5A93
媕	U+5A95
媖	U+5A96
媚	U+5A9A
媛	U+5A9B
媟	U+5A9F
媠	U+5AA0
媥	U+5AA5
媩	U+5AA9
媭	U+5AAD
媵	U+5AB5
媸	U+5AB8
媽	U+5ABD
嫉	U+5AC9
嫛	U+5ADB
嫠	U+5AE0
嫦	U+5AE6
嫫	U+5AEB
嬃	U+5B03
嬈	U+5B08
嬌	U+5B0C
嬑	U+5B11
嬖	U+5B16
嬤	U+5B24
嬨	U+5B28
嬪	U+5B2A
嬰	U+5B30
嬷	U+5B37
嬹	U+5B39
嬾	U+5B3E
孁	U+5B41
孆	U+5B46
孋	U+5B4B
子	U+5B50
孓	U+5B53
孕	U+5B55
孖	U+5B56
存	U+5B58
孛	U+5B5B
孜	U+5B5C
孞	U+5B5E
孡	U+5B61
季	U+5B63
孥	U+5B65
孬	U+5B6C
孳	U+5B73
孾	U+5B7E
宁	U+5B81
它	U+5B83
宄	U+5B84
宅	U+5B85
宆	U+5B86
宇	U+5B87
守	U+5B88
安	U+5B89
宊	U+5B8A
宋	U+5B8B
宐	U+5B90
宓	U+5B93
宕	U+5B95
宙	U+5B99
定	U+5B9A
宜	U+5B9C
实	U+5B9E
実	U+5B9F
客	U+5BA2
宣	U+5BA3
宥	U+5BA5
宫	U+5BAB
宬	U+5BAC
宮	U+5BAE
宲	U+5BB2
害	U+5BB3
家	U+5BB6
容	U+5BB9
宺	U+5BBA
宻	U+5BBB
宾	U+5BBE
宿	U+5BBF
寃	U+5BC3
寄	U+5BC4
寅	U+5BC5
密	U+5BC6
寎	U+5BCE
寔	U+5BD4
寞	U+5BDE
實	U+5BE6
寶	U+5BF6
寺	U+5BFA
导	U+5BFC
尃	U+5C03
專	U+5C08
尉	U+5C09
導	U+5C0E
少	U+5C11
尒	U+5C12
尕	U+5C15
尖	U+5C16
尗	U+5C17
尛	U+5C1B
尜	U+5C1C
尢	U+5C22
尤	U+5C24
尸	U+5C38
尺	U+5C3A
尼	U+5C3C
尽	U+5C3D
尾	U+5C3E
局	U+5C40
屁	U+5C41
屄	U+5C44
屉	U+5C49
屖	U+5C56
屙	U+5C59
屜	U+5C5C
属	U+5C5E
屟	U+5C5F
層	U+5C64
屧	U+5C67
屮	U+5C6E
屯	U+5C6F
屳	U+5C73
屴	U+5C74
屿	U+5C7F
岂	U+5C82
岃	U+5C83
岉	U+5C89
岌	U+5C8C
岎	U+5C8E
岙	U+5C99
岝	U+5C9D
岞	U+5C9E
岥	U+5CA5
岨	U+5CA8
岭	U+5CAD
岸	U+5CB8
岹	U+5CB9
岺	U+5CBA
峕	U+5CD5
峜	U+5CDC
峨	U+5CE8
峮	U+5CEE
峺	U+5CFA
峼	U+5CFC
崀	U+5D00
崎	U+5D0E
崒	U+5D12
崪	U+5D2A
崷	U+5D37
崽	U+5D3D
嵋	U+5D4B
嵗	U+5D57
嵞	U+5D5E
嵤	U+5D64
嵬	U+5D6C
嶓	U+5D93
嶖	U+5D96
嶠	U+5DA0
嶪	U+5DAA
嶫	U+5DAB
嶱	U+5DB1
嶼	U+5DBC
巄	U+5DC4
巊	U+5DCA
巌	U+5DCC
巛	U+5DDB
州	U+5DDE
工	U+5DE5
左	U+5DE6
巨	U+5DE8
巩	U+5DE9
巪	U+5DEA
巫	U+5DEB
差	U+5DEE
己	U+5DF1
已	U+5DF2
巳	U+5DF3
巴	U+5DF4
巵	U+5DF5
巺	U+5DFA
巽	U+5DFD
巾	U+5DFE
巿	U+5DFF
市	U+5E02
布	U+5E03
师	U+5E08
希	U+5E0C
帏	U+5E0F
帑	U+5E11
帘	U+5E18
帝	U+5E1D
帞	U+5E1E
帤	U+5E24
師	U+5E2B
席	U+5E2D
帵	U+5E35
帶	U+5E36
常	U+5E38
帿	U+5E3F
幅	U+5E45
幍	U+5E4D
幕	U+5E55
幞	U+5E5E
幪	U+5E6A
干	U+5E72
平	U+5E73
年	U+5E74
幵	U+5E75
并	U+5E76
幹	U+5E79
幼	U+5E7C
幽	U+5E7D
幾	U+5E7E
広	U+5E83
庄	U+5E84
庅	U+5E85
床	U+5E8A
庋	U+5E8B
序	U+5E8F
庑	U+5E91
庒	U+5E92
库	U+5E93
底	U+5E95
店	U+5E97
庛	U+5E9B
庝	U+5E9D
庞	U+5E9E
废	U+5E9F
庥	U+5EA5
度	U+5EA6
庪	U+5EAA
庫	U+5EAB
庯	U+5EAF
庳	U+5EB3
庶	U+5EB6
庸	U+5EB8
庻	U+5EBB
廈	U+5EC8
廊	U+5ECA
廌	U+5ECC
廛	U+5EDB
廝	U+5EDD
廡	U+5EE1
