book,page,column,ocr_char,syllable,label,confirmed,rule,s3_cosine,s3_top,bbox
yen2,page_0012,9,馬,vì,,0,diverged_column,,,"[18, 794, 104, 885]"
yen2,page_0012,9,奎,tao,,0,diverged_column,,,"[18, 885, 104, 976]"
yen2,page_0012,9,寺,bụt,,0,diverged_column,,,"[18, 1157, 104, 1248]"
yen2,page_0012,9,𦔳,chữa,,1,diverged_column,,,"[18, 1248, 104, 1339]"
yen2,page_0012,9,落,nước,,0,diverged_column,,,"[18, 1339, 104, 1429]"
yen2,page_0012,9,文,nữa,,0,diverged_column,,,"[18, 1429, 104, 1520]"
yen2,page_0012,9,呻,ru,,0,diverged_column,,,"[18, 1520, 104, 1611]"
yen2,page_0012,9,夜,lời,,0,diverged_column,,,"[18, 1792, 104, 1883]"
yen2,page_0012,9,浪,răng,,1,diverged_column,,,"[18, 1883, 104, 1974]"
yen2,page_0012,9,用,Vua,,0,diverged_column,,,"[18, 1974, 104, 2065]"
yen2,page_0014,1,覄,một,,0,diverged_column,,,"[1270, 533, 1367, 626]"
yen2,page_0014,1,羣,Trời,,0,diverged_column,,,"[1270, 905, 1367, 998]"
yen2,page_0014,1,却,dựng,,0,diverged_column,,,"[1270, 998, 1367, 1091]"
yen2,page_0014,1,年,nên,,1,diverged_column,,,"[1270, 1091, 1367, 1184]"
yen2,page_0014,1,季,trời,,0,diverged_column,,,"[1270, 1184, 1367, 1277]"
yen2,page_0014,1,救,vật,,0,diverged_column,,,"[1270, 1556, 1367, 1649]"
yen2,page_0014,2,我,diệt,,0,unconfirmed_no_s3,,,"[1098, 73, 1202, 165]"
yen2,page_0014,2,医,nước,,0,unconfirmed_no_s3,,,"[1098, 165, 1202, 258]"
yen2,page_0014,2,传,chó,,0,below_visual_threshold,0.8,犬,"[1098, 351, 1202, 444]"
yen2,page_0014,2,乙,Chó,,0,below_visual_threshold,0.851,㹥,"[1098, 444, 1202, 537]"
yen2,page_0014,2,相,vua,,0,below_visual_threshold,0.77,相,"[1098, 630, 1202, 723]"
yen2,page_0014,2,侣,này,,0,below_visual_threshold,0.808,𠽬,"[1098, 908, 1202, 1001]"
yen2,page_0014,2,主,chăng,,0,below_visual_threshold,0.87,𧜖,"[1098, 1280, 1202, 1373]"
yen2,page_0014,2,月,Vua,,0,below_visual_threshold,0.772,𠱰,"[1098, 2023, 1202, 2116]"
yen2,page_0014,3,夜,lời,,0,unconfirmed_no_s3,,,"[946, 164, 1044, 262]"
yen2,page_0014,3,履,rằng,,0,below_visual_threshold,0.809,喨,"[946, 457, 1044, 555]"
yen2,page_0014,3,石,làm,,0,below_visual_threshold,0.869,濫,"[946, 946, 1044, 1044]"
yen2,page_0014,4,𡖋,làm,,0,diverged_column,,,"[796, 321, 888, 406]"
yen2,page_0014,4,交,lại,,0,diverged_column,,,"[796, 913, 888, 997]"
yen2,page_0014,4,罷,là,,0,diverged_column,,,"[796, 1251, 888, 1336]"
yen2,page_0014,4,𡖋,làm,,0,diverged_column,,,"[796, 1674, 888, 1758]"
yen2,page_0014,4,地,hồn,,0,diverged_column,,,"[796, 1927, 888, 2012]"
yen2,page_0014,4,几,kẻ,,1,diverged_column,,,"[796, 2012, 888, 2097]"
yen2,page_0014,5,運,tội,,0,below_visual_threshold,0.843,𤾐,"[646, 506, 755, 595]"
yen2,page_0014,5,常,và,,0,below_visual_threshold,0.847,和,"[646, 595, 755, 684]"
yen2,page_0014,5,㘴,hai,,0,below_visual_threshold,0.894,𠘭,"[646, 684, 755, 773]"
yen2,page_0014,5,畏,là,,0,below_visual_threshold,0.845,浪,"[646, 862, 755, 952]"
yen2,page_0014,5,郎,sa,,0,below_visual_threshold,0.787,沙,"[646, 952, 755, 1041]"
yen2,page_0014,5,獅,se,,0,below_visual_threshold,0.75,癡,"[646, 1041, 755, 1130]"
yen2,page_0014,5,司,tê,,0,below_visual_threshold,0.786,齊,"[646, 1219, 755, 1309]"
yen2,page_0014,5,茂,một,,0,below_visual_threshold,0.806,刎,"[646, 1487, 755, 1576]"
yen2,page_0014,5,以,làm,,0,below_visual_threshold,0.816,以,"[646, 1576, 755, 1665]"
yen2,page_0014,5,禮,lê,,0,below_visual_threshold,0.833,琍,"[646, 1665, 755, 1755]"
yen2,page_0014,5,小,sa,,0,below_visual_threshold,0.824,桬,"[646, 1844, 755, 1933]"
yen2,page_0014,6,乇,đã,,0,unconfirmed_no_s3,,,"[491, 304, 600, 386]"
yen2,page_0014,6,𡰱,chịu,,0,below_visual_threshold,0.759,𡰱,"[491, 386, 600, 468]"
yen2,page_0014,6,姻,Vua,,0,below_visual_threshold,0.834,噖,"[491, 712, 600, 794]"
yen2,page_0014,6,呵,nói,,0,below_visual_threshold,0.819,呵,"[491, 876, 600, 957]"
yen2,page_0014,6,而,làm,,0,below_visual_threshold,0.812,𬈋,"[491, 957, 600, 1039]"
yen2,page_0014,6,危,đem,,0,below_visual_threshold,0.769,𨈠,"[491, 1610, 600, 1692]"
yen2,page_0014,6,繈,đi,,0,below_visual_threshold,0.851,繈,"[491, 1773, 600, 1855]"
yen2,page_0014,6,署,Rô,,0,below_visual_threshold,0.841,署,"[491, 1936, 600, 2018]"
yen2,page_0014,6,瑪,ma,,0,below_visual_threshold,0.932,妈,"[491, 2018, 600, 2100]"
yen2,page_0014,7,羽,thịt,,0,below_visual_threshold,0.83,䏦,"[352, 592, 445, 680]"
yen2,page_0014,7,伐,ấy,,0,below_visual_threshold,0.829,意,"[352, 944, 445, 1032]"
yen2,page_0014,7,濼,lăm,,0,below_visual_threshold,0.884,濼,"[352, 1209, 445, 1297]"
yen2,page_0014,7,伙,hơn,,0,below_visual_threshold,0.805,䜣,"[352, 1297, 445, 1385]"
yen2,page_0014,8,妄,An,,0,below_visual_threshold,0.759,𠕷,"[194, 341, 291, 433]"
yen2,page_0014,8,民,một,,0,below_visual_threshold,0.806,默,"[194, 986, 291, 1078]"
yen2,page_0014,8,柘,mặt,,0,below_visual_threshold,0.87,炦,"[194, 1447, 291, 1539]"
yen2,page_0014,8,冠,kẻo,,0,below_visual_threshold,0.713,嬌,"[194, 1723, 291, 1815]"
yen2,page_0014,8,陞,ta,,0,below_visual_threshold,0.909,喒,"[194, 1907, 291, 1999]"
yen2,page_0014,9,吞,Trời,,0,unconfirmed_no_s3,,,"[46, 502, 148, 591]"
yen2,page_0014,9,侍,giữ,,0,unconfirmed_no_s3,,,"[46, 679, 148, 768]"
yen2,page_0014,9,犒,kẻo,,0,unconfirmed_no_s3,,,"[46, 1298, 148, 1386]"
yen2,page_0014,9,瑰,tay,,0,unconfirmed_no_s3,,,"[46, 1475, 148, 1563]"
yen2,page_0014,9,族,sói,,0,unconfirmed_no_s3,,,"[46, 1563, 148, 1652]"
yen2,page_0014,9,罟,là,,0,unconfirmed_no_s3,,,"[46, 1652, 148, 1740]"
yen2,page_0014,9,县,giữ,,0,unconfirmed_no_s3,,,"[46, 2005, 148, 2094]"
yen2,page_0016,1,罪,là,,0,unconfirmed_no_s3,,,"[1227, 22, 1331, 110]"
yen2,page_0016,1,攺,Đoạn,,0,unconfirmed_no_s3,,,"[1227, 287, 1331, 376]"
yen2,page_0016,1,冬,các,,0,below_visual_threshold,0.903,搁,"[1227, 465, 1331, 553]"
yen2,page_0016,1,丘,đã,,0,below_visual_threshold,0.816,諸,"[1227, 731, 1331, 819]"
yen2,page_0016,1,深,bốn,,0,below_visual_threshold,0.799,深,"[1227, 997, 1331, 1085]"
yen2,page_0016,1,辭,năm,,0,below_visual_threshold,0.775,朩,"[1227, 1174, 1331, 1263]"
yen2,page_0016,1,阁,muốn,,0,below_visual_threshold,0.807,𫹰,"[1227, 1529, 1331, 1617]"
yen2,page_0016,1,祕,lấy,,0,below_visual_threshold,0.917,礼,"[1227, 1883, 1331, 1972]"
yen2,page_0016,1,練,lòi,,0,below_visual_threshold,0.893,𥋸,"[1227, 1972, 1331, 2061]"
yen2,page_0016,2,郊,buộc,,0,below_visual_threshold,0.749,扑,"[1080, 214, 1183, 310]"
yen2,page_0016,2,𠇭,mình,,0,unconfirmed_no_s3,,,"[1080, 310, 1183, 407]"
yen2,page_0016,2,冬,các,,0,below_visual_threshold,0.896,袼,"[1080, 697, 1183, 793]"
yen2,page_0016,2,危,đem,,0,below_visual_threshold,0.77,𨑴,"[1080, 890, 1183, 987]"
yen2,page_0016,2,然,đi,,0,below_visual_threshold,0.808,岃,"[1080, 987, 1183, 1083]"
yen2,page_0016,2,庚,đường,,0,below_visual_threshold,0.761,棠,"[1080, 1180, 1183, 1277]"
yen2,page_0016,2,依,I,,0,below_visual_threshold,0.907,軌,"[1080, 1470, 1183, 1566]"
yen2,page_0016,3,褾,lăm,,0,unconfirmed_no_s3,,,"[929, 14, 1039, 107]"
yen2,page_0016,3,烱,đút,,0,below_visual_threshold,0.842,賥,"[929, 947, 1039, 1040]"
yen2,page_0016,3,嘱,kẻo,,0,below_visual_threshold,0.784,嬌,"[929, 1133, 1039, 1227]"
yen2,page_0016,3,而,làm,,0,below_visual_threshold,0.908,𣩂,"[929, 1227, 1039, 1320]"
yen2,page_0016,3,架,thầy,,0,below_visual_threshold,0.853,賴,"[929, 1413, 1039, 1507]"
yen2,page_0016,3,𠇭,mình,,0,below_visual_threshold,0.806,𨉟,"[929, 1507, 1039, 1600]"
yen2,page_0016,3,右,của,,0,below_visual_threshold,0.888,晫,"[929, 1973, 1039, 2067]"
yen2,page_0016,4,徒,đi,,0,below_visual_threshold,0.856,跢,"[781, 675, 884, 768]"
yen2,page_0016,4,御,Se,,0,below_visual_threshold,0.884,𤶢,"[781, 954, 884, 1047]"
yen2,page_0016,4,槎,SI,,0,below_visual_threshold,0.827,𩳩,"[781, 1140, 884, 1233]"
yen2,page_0016,4,酉,A,,0,below_visual_threshold,0.782,𠲞,"[781, 1233, 884, 1326]"
yen2,page_0016,4,眉,MỚI,,0,below_visual_threshold,0.794,𠇍,"[781, 1326, 884, 1419]"
yen2,page_0016,4,寳,XUỐNG,,0,below_visual_threshold,0.9,笹,"[781, 1419, 884, 1512]"
yen2,page_0016,4,吹,SI,,0,below_visual_threshold,0.931,鵄,"[781, 1977, 884, 2070]"
yen2,page_0016,5,𭺾,là,,0,diverged_column,,,"[627, 213, 734, 312]"
yen2,page_0016,5,面,Phô,,0,diverged_column,,,"[627, 607, 734, 705]"
yen2,page_0016,5,爵,li,,0,diverged_column,,,"[627, 705, 734, 804]"
yen2,page_0016,5,白,3,,0,diverged_column,,,"[627, 1000, 734, 1099]"
yen2,page_0016,5,無,vồ,,0,diverged_column,,,"[627, 1099, 734, 1197]"
yen2,page_0016,5,困,Bấy,,0,diverged_column,,,"[627, 1197, 734, 1295]"
yen2,page_0016,5,常,và,,0,diverged_column,,,"[627, 1492, 734, 1591]"
yen2,page_0016,5,嗌,hai,,0,diverged_column,,,"[627, 1591, 734, 1689]"
yen2,page_0016,6,麻,được,,0,diverged_column,,,"[472, 117, 565, 210]"
yen2,page_0016,6,𭔿,phúc,,0,diverged_column,,,"[472, 210, 565, 303]"
yen2,page_0016,6,垩,chịu,,0,diverged_column,,,"[472, 303, 565, 396]"
yen2,page_0016,6,庙,chết,,0,diverged_column,,,"[472, 396, 565, 489]"
yen2,page_0016,6,肉,vì,,0,diverged_column,,,"[472, 489, 565, 582]"
yen2,page_0016,6,歌,Đức,,0,diverged_column,,,"[472, 582, 565, 675]"
yen2,page_0016,6,浦,Chúa,,0,diverged_column,,,"[472, 675, 565, 768]"
yen2,page_0016,6,哭,Giê,,0,diverged_column,,,"[472, 768, 565, 861]"
yen2,page_0016,6,云,su,,0,diverged_column,,,"[472, 861, 565, 954]"
yen2,page_0016,6,漂,người,,0,diverged_column,,,"[472, 954, 565, 1048]"
yen2,page_0016,6,爲,đã,,0,diverged_column,,,"[472, 1048, 565, 1141]"
yen2,page_0016,6,传,rình,,0,diverged_column,,,"[472, 1141, 565, 1234]"
yen2,page_0016,6,時,được,,1,diverged_column,,,"[472, 1234, 565, 1327]"
yen2,page_0016,6,支,chức,,0,diverged_column,,,"[472, 1885, 565, 1978]"
yen2,page_0016,6,秋,trong,,0,diverged_column,,,"[472, 1978, 565, 2072]"
yen2,page_0016,7,奇,Cả,,1,diverged_column,,,"[325, 710, 417, 807]"
yen2,page_0016,7,眾,và,,0,diverged_column,,,"[325, 807, 417, 904]"
yen2,page_0016,7,諶,giảng,,0,diverged_column,,,"[325, 1291, 417, 1388]"
yen2,page_0016,7,練,lòi,,0,diverged_column,,,"[325, 1679, 417, 1776]"
yen2,page_0016,7,緞,tói,,0,diverged_column,,,"[325, 1776, 417, 1873]"
yen2,page_0016,7,半,cầm,,0,diverged_column,,,"[325, 1873, 417, 1970]"
yen2,page_0016,7,㝵,người,,1,diverged_column,,,"[325, 1970, 417, 2067]"
yen2,page_0016,8,文,như,,0,unconfirmed_no_s3,,,"[159, 118, 257, 207]"
yen2,page_0016,8,庄,Chắng,,0,below_visual_threshold,0.696,𪭽,"[159, 738, 257, 826]"
yen2,page_0016,8,夜,I,,0,below_visual_threshold,0.788,鬼,"[159, 915, 257, 1003]"
yen2,page_0016,8,醫,rê,,0,below_visual_threshold,0.711,𠼪,"[159, 1003, 257, 1092]"
yen2,page_0016,8,撥,rê,,0,below_visual_threshold,0.895,𠴓,"[159, 1092, 257, 1180]"
yen2,page_0016,8,衣,ghê,,0,below_visual_threshold,0.727,卟,"[159, 1269, 257, 1357]"
yen2,page_0016,8,薔,I,,0,below_visual_threshold,0.773,䠏,"[159, 1623, 257, 1711]"
yen2,page_0016,8,移,ghê,,0,below_visual_threshold,0.763,卟,"[159, 1711, 257, 1800]"
yen2,page_0016,8,君,rê,,0,below_visual_threshold,0.832,𠼪,"[159, 1800, 257, 1888]"
yen2,page_0016,9,原,lắm,,0,unconfirmed_no_s3,,,"[14, 386, 95, 475]"
yen2,page_0016,9,遁,đạo,,0,unconfirmed_no_s3,,,"[14, 653, 95, 741]"
yen2,page_0016,9,壽,thì,,0,unconfirmed_no_s3,,,"[14, 919, 95, 1008]"
yen2,page_0016,9,𫝕,rằng,,0,unconfirmed_no_s3,,,"[14, 1097, 95, 1186]"
yen2,page_0016,9,琵,anh,,0,unconfirmed_no_s3,,,"[14, 1275, 95, 1364]"
yen2,page_0016,9,鐘,em,,0,unconfirmed_no_s3,,,"[14, 1364, 95, 1452]"
yen2,page_0016,9,水,cầu,,0,unconfirmed_no_s3,,,"[14, 1452, 95, 1541]"
yen2,page_0016,9,銜,Đức,,0,unconfirmed_no_s3,,,"[14, 1630, 95, 1719]"
yen2,page_0016,9,丞,Trời,,0,unconfirmed_no_s3,,,"[14, 1808, 95, 1897]"
yen2,page_0016,9,某,mortthay,,0,unconfirmed_no_s3,,,"[14, 1986, 95, 2075]"
yen2,page_0018,1,序,phải,,0,unconfirmed_no_s3,,,"[1223, 15, 1354, 108]"
yen2,page_0018,1,據,chóng,,0,below_visual_threshold,0.808,𬩓,"[1223, 387, 1354, 480]"
yen2,page_0018,1,吞,lần,,0,below_visual_threshold,0.844,寅,"[1223, 945, 1354, 1039]"
yen2,page_0018,1,𢡖,khác,,0,below_visual_threshold,0.892,㤩,"[1223, 1225, 1354, 1318]"
yen2,page_0018,2,𣈆,Rô,,0,below_visual_threshold,0.735,𩽬,"[1089, 221, 1192, 317]"
yen2,page_0018,2,瑪,ma,,0,unconfirmed_no_s3,,,"[1089, 317, 1192, 413]"
yen2,page_0018,2,罡,là,,0,below_visual_threshold,0.851,容,"[1089, 606, 1192, 702]"
yen2,page_0018,2,衣,I,,0,below_visual_threshold,0.904,軌,"[1089, 702, 1192, 798]"
yen2,page_0018,2,揠,xu,,0,below_visual_threshold,0.876,𧼜,"[1089, 895, 1192, 991]"
yen2,page_0018,2,夜,lời,,0,below_visual_threshold,0.89,坘,"[1089, 1087, 1192, 1183]"
yen2,page_0018,2,瑪,ma,,0,below_visual_threshold,0.749,嚜,"[1089, 1761, 1192, 1857]"
yen2,page_0018,2,征,đã,,0,below_visual_threshold,0.797,它,"[1089, 1953, 1192, 2050]"
yen2,page_0018,3,谷,các,,0,diverged_column,,,"[925, 382, 1034, 471]"
yen2,page_0018,3,每,mọi,,1,diverged_column,,,"[925, 471, 1034, 560]"
yen2,page_0018,3,君,nơi,,0,diverged_column,,,"[925, 560, 1034, 649]"
yen2,page_0018,3,潮,ao,,0,diverged_column,,,"[925, 1273, 1034, 1362]"
yen2,page_0018,3,防,Đức,,0,diverged_column,,,"[925, 1630, 1034, 1719]"
yen2,page_0018,3,主,Chúa,,1,diverged_column,,,"[925, 1719, 1034, 1808]"
yen2,page_0018,3,克,Giê,,0,diverged_column,,,"[925, 1808, 1034, 1897]"
yen2,page_0018,3,敢,su,,0,diverged_column,,,"[925, 1897, 1034, 1986]"
yen2,page_0018,3,群,còn,,1,diverged_column,,,"[925, 1986, 1034, 2076]"
yen2,page_0018,4,或,dái,,0,unconfirmed_no_s3,,,"[771, 19, 875, 112]"
yen2,page_0018,4,曙,Rô,,0,below_visual_threshold,0.808,噜,"[771, 392, 875, 485]"
yen2,page_0018,4,瑪,ma,,0,below_visual_threshold,0.807,么,"[771, 485, 875, 579]"
yen2,page_0018,4,而,làm,,0,below_visual_threshold,0.796,而,"[771, 1232, 875, 1326]"
yen2,page_0018,4,文,chi,,0,below_visual_threshold,0.829,𡳿,"[771, 1326, 875, 1419]"
yen2,page_0018,4,而,làm,,0,below_visual_threshold,0.913,漤,"[771, 1512, 875, 1606]"
yen2,page_0018,4,丢,hại,,0,below_visual_threshold,0.823,𠄩,"[771, 1606, 875, 1699]"
yen2,page_0018,4,解,sư,,0,below_visual_threshold,0.93,𪝜,"[771, 1979, 875, 2073]"
yen2,page_0018,5,俊,xay,,0,unconfirmed_no_s3,,,"[620, 115, 722, 204]"
yen2,page_0018,5,𠇭,mình,,0,unconfirmed_no_s3,,,"[620, 204, 722, 293]"
yen2,page_0018,5,喁,ra,,0,below_visual_threshold,0.763,廾,"[620, 382, 722, 471]"
yen2,page_0018,5,活,chó,,0,below_visual_threshold,0.845,犾,"[620, 1270, 722, 1359]"
yen2,page_0018,5,文,như,,0,below_visual_threshold,0.768,茹,"[620, 1448, 722, 1537]"
yen2,page_0018,5,乾,hạt,,0,below_visual_threshold,0.799,𣿌,"[620, 1537, 722, 1625]"
yen2,page_0018,5,按,gao,,0,below_visual_threshold,0.88,按,"[620, 1625, 722, 1714]"
yen2,page_0018,5,寿,thì,,0,below_visual_threshold,0.857,𪰛,"[620, 1714, 722, 1803]"
yen2,page_0018,5,隘,muốn,,0,below_visual_threshold,0.89,𫺓,"[620, 1803, 722, 1892]"
yen2,page_0018,5,那,sư,,0,below_visual_threshold,0.894,𨸲,"[620, 1981, 722, 2070]"
yen2,page_0018,6,俊,xay,,0,unconfirmed_no_s3,,,"[457, 111, 571, 204]"
yen2,page_0018,6,䍐,ra,,0,unconfirmed_no_s3,,,"[457, 204, 571, 297]"
yen2,page_0018,6,危,đâm,,0,below_visual_threshold,0.756,擔,"[457, 391, 571, 484]"
yen2,page_0018,6,秩,gạo,,0,below_visual_threshold,0.766,𥽌,"[457, 577, 571, 670]"
yen2,page_0018,6,六,làm,,0,below_visual_threshold,0.881,滥,"[457, 764, 571, 857]"
yen2,page_0018,6,寧,tốt,,0,below_visual_threshold,0.809,挨,"[457, 1230, 571, 1323]"
yen2,page_0018,6,驊,trước,,0,below_visual_threshold,0.782,𠓀,"[457, 1323, 571, 1417]"
yen2,page_0018,6,栖,mặt,,0,below_visual_threshold,0.842,栖,"[457, 1417, 571, 1510]"
yen2,page_0018,7,迎,giục,,0,diverged_column,,,"[298, 211, 407, 309]"
yen2,page_0018,7,竝,nó,,0,diverged_column,,,"[298, 309, 407, 407]"
yen2,page_0018,7,摩,chôn,,0,diverged_column,,,"[298, 407, 407, 505]"
yen2,page_0018,7,碎,tôi,,1,diverged_column,,,"[298, 505, 407, 603]"
yen2,page_0018,7,趣,trong,,0,diverged_column,,,"[298, 603, 407, 701]"
yen2,page_0018,7,肆,ruột,,0,diverged_column,,,"[298, 701, 407, 798]"
yen2,page_0018,7,寺,thì,,1,diverged_column,,,"[298, 798, 407, 896]"
yen2,page_0018,7,首,mới,,0,diverged_column,,,"[298, 896, 407, 994]"
yen2,page_0018,7,年,nên,,1,diverged_column,,,"[298, 994, 407, 1092]"
yen2,page_0018,7,玄,đầy,,0,diverged_column,,,"[298, 1092, 407, 1190]"
yen2,page_0018,7,扣,bắt,,0,diverged_column,,,"[298, 1875, 407, 1973]"
yen2,page_0018,7,碎,tôi,,1,diverged_column,,,"[298, 1973, 407, 2071]"
yen2,page_0018,8,罽,rày,,0,diverged_column,,,"[162, 197, 248, 287]"
yen2,page_0018,8,困,hèn,,0,diverged_column,,,"[162, 736, 248, 826]"
yen2,page_0018,8,帯,dưới,,0,diverged_column,,,"[162, 826, 248, 916]"
yen2,page_0018,8,房,Si,,0,diverged_column,,,"[162, 1275, 248, 1365]"
yen2,page_0018,8,擾,ri,,0,diverged_column,,,"[162, 1365, 248, 1455]"
yen2,page_0018,8,移,a,,1,diverged_column,,,"[162, 1455, 248, 1545]"
yen2,page_0018,8,何,5,,0,diverged_column,,,"[162, 1545, 248, 1634]"
yen2,page_0018,8,房,nước,,0,diverged_column,,,"[162, 1814, 248, 1904]"
yen2,page_0018,8,普,Rô,,0,diverged_column,,,"[162, 1904, 248, 1994]"
yen2,page_0018,8,現,ma,,0,diverged_column,,,"[162, 1994, 248, 2084]"
yen2,page_0018,9,舟,cùng,,0,diverged_column,,,"[19, 281, 117, 370]"
yen2,page_0018,9,艨,muông,,0,diverged_column,,,"[19, 370, 117, 459]"
yen2,page_0018,9,店,biển,,0,diverged_column,,,"[19, 994, 117, 1084]"
yen2,page_0018,9,眠,là,,0,diverged_column,,,"[19, 1619, 117, 1708]"
yen2,page_0018,9,言,quân,,0,diverged_column,,,"[19, 1886, 117, 1975]"
yen2,page_0018,9,得,giữ,,0,diverged_column,,,"[19, 1975, 117, 2065]"
yen2,page_0020,1,𬼘,dữ,,0,below_visual_threshold,0.801,予,"[1264, 223, 1374, 316]"
