coverage,selective_risk,generalised_risk
0.35557,0.01366,0.00486
0.3579,0.01357,0.00486
0.36022,0.01348,0.00486
0.36254,0.0134,0.00486
0.36486,0.01447,0.00528
0.36719,0.01438,0.00528
0.36951,0.01429,0.00528
0.37183,0.0142,0.00528
0.37416,0.01467,0.00549
0.37648,0.01458,0.00549
0.3788,0.01449,0.00549
0.38112,0.0144,0.00549
0.38345,0.01432,0.00549
0.38577,0.01478,0.0057
0.38809,0.01523,0.00591
0.39041,0.01514,0.00591
0.39274,0.01505,0.00591
0.39506,0.01497,0.00591
0.39738,0.01541,0.00612
0.3997,0.01532,0.00612
0.40203,0.01523,0.00612
0.40435,0.01514,0.00612
0.40667,0.0161,0.00655
0.40899,0.016,0.00655
0.41132,0.01643,0.00676
0.41364,0.01633,0.00676
0.41596,0.01624,0.00676
0.41829,0.01666,0.00697
0.42061,0.01707,0.00718
0.42293,0.01697,0.00718
0.42525,0.01738,0.00739
0.42758,0.01778,0.0076
0.4299,0.01817,0.00781
0.43222,0.01808,0.00781
0.43454,0.01798,0.00781
0.43687,0.01788,0.00781
0.43919,0.01875,0.00823
0.44151,0.01865,0.00823
0.44383,0.01855,0.00823
0.44616,0.01846,0.00823
0.44848,0.01836,0.00823
0.4508,0.01827,0.00823
0.45312,0.01864,0.00845
0.45545,0.01901,0.00866
0.45777,0.01891,0.00866
0.46009,0.01882,0.00866
0.46242,0.01872,0.00866
0.46474,0.01863,0.00866
0.46706,0.01899,0.00887
0.46938,0.01889,0.00887
0.47171,0.01925,0.00908
0.47403,0.02004,0.0095
0.47635,0.02039,0.00971
0.47867,0.02029,0.00971
0.481,0.02019,0.00971
0.48332,0.02097,0.01014
0.48564,0.02087,0.01014
0.48796,0.0212,0.01035
0.49029,0.02153,0.01056
0.49261,0.02186,0.01077
0.49493,0.02176,0.01077
0.49726,0.02251,0.01119
0.49958,0.0224,0.01119
0.5019,0.02272,0.0114
0.50422,0.02261,0.0114
0.50655,0.02251,0.0114
0.50887,0.02241,0.0114
0.51119,0.0223,0.0114
0.51351,0.02303,0.01182
0.51584,0.02333,0.01204
0.51816,0.02363,0.01225
0.52048,0.02353,0.01225
0.5228,0.02342,0.01225
0.52513,0.02332,0.01225
0.52745,0.02322,0.01225
0.52977,0.02352,0.01246
0.53209,0.02341,0.01246
0.53442,0.02331,0.01246
0.53674,0.02321,0.01246
0.53906,0.02389,0.01288
0.54139,0.02418,0.01309
0.54371,0.02408,0.01309
0.54603,0.02436,0.0133
0.54835,0.02426,0.0133
0.55068,0.02492,0.01372
0.553,0.02482,0.01372
0.55532,0.0251,0.01394
0.55764,0.02537,0.01415
0.55997,0.02564,0.01436
0.56229,0.02554,0.01436
0.56461,0.02543,0.01436
0.56693,0.0257,0.01457
0.56926,0.02596,0.01478
0.57158,0.0266,0.0152
0.5739,0.02686,0.01541
0.57622,0.02675,0.01541
0.57855,0.02737,0.01584
0.58087,0.02726,0.01584
0.58319,0.02715,0.01584
0.58552,0.02705,0.01584
0.58784,0.02694,0.01584
0.59016,0.02719,0.01605
0.59248,0.02744,0.01626
0.59481,0.02804,0.01668
0.59713,0.02829,0.01689
0.59945,0.02853,0.0171
0.60177,0.02877,0.01731
0.6041,0.02901,0.01753
0.60642,0.0296,0.01795
0.60874,0.02983,0.01816
0.61106,0.02972,0.01816
0.61339,0.0296,0.01816
0.61571,0.02984,0.01837
0.61803,0.03006,0.01858
0.62035,0.02995,0.01858
0.62268,0.02984,0.01858
0.625,0.02973,0.01858
0.62732,0.02996,0.01879
0.62965,0.03052,0.01921
0.63197,0.03141,0.01985
0.63429,0.03196,0.02027
0.63661,0.0325,0.02069
0.63894,0.03272,0.0209
0.64126,0.03293,0.02111
0.64358,0.03281,0.02111
0.6459,0.03302,0.02133
0.64823,0.0329,0.02133
0.65055,0.03343,0.02175
0.65287,0.03364,0.02196
0.65519,0.03384,0.02217
0.65752,0.03404,0.02238
0.65984,0.03392,0.02238
0.66216,0.03412,0.02259
0.66448,0.03432,0.0228
0.66681,0.03452,0.02302
0.66913,0.03471,0.02323
0.67145,0.03459,0.02323
0.67378,0.0351,0.02365
0.6761,0.03498,0.02365
0.67842,0.03517,0.02386
0.68074,0.03567,0.02428
0.68307,0.03586,0.02449
0.68539,0.03604,0.0247
0.68771,0.03623,0.02492
0.69003,0.03703,0.02555
0.69236,0.0369,0.02555
0.69468,0.03708,0.02576
0.697,0.03726,0.02597
0.69932,0.03774,0.02639
0.70165,0.03762,0.02639
0.70397,0.03839,0.02703
0.70629,0.03827,0.02703
0.70861,0.03814,0.02703
0.71094,0.03831,0.02724
0.71326,0.03819,0.02724
0.71558,0.03865,0.02766
0.71791,0.03853,0.02766
0.72023,0.03841,0.02766
0.72255,0.03945,0.02851
0.72487,0.03932,0.02851
0.7272,0.03949,0.02872
0.72952,0.03994,0.02914
0.73184,0.0401,0.02935
0.73416,0.04026,0.02956
0.73649,0.04014,0.02956
0.73881,0.0403,0.02977
0.74113,0.04046,0.02998
0.74345,0.0409,0.03041
0.74578,0.04105,0.03062
0.7481,0.04093,0.03062
0.75042,0.04164,0.03125
0.75274,0.04208,0.03167
0.75507,0.04223,0.03188
0.75739,0.04238,0.03209
0.75971,0.04252,0.03231
0.76204,0.04295,0.03273
0.76436,0.04337,0.03315
0.76668,0.04351,0.03336
0.769,0.04393,0.03378
0.77133,0.0438,0.03378
0.77365,0.04394,0.03399
0.77597,0.04435,0.03442
0.77829,0.04476,0.03484
0.78062,0.04517,0.03526
0.78294,0.04558,0.03568
0.78526,0.04571,0.0359
0.78758,0.04584,0.03611
0.78991,0.04624,0.03653
0.79223,0.04691,0.03716
0.79455,0.0473,0.03758
0.79688,0.04769,0.03801
0.7992,0.04808,0.03843
0.80152,0.04874,0.03906
0.80384,0.04912,0.03948
0.80617,0.0495,0.03991
0.80849,0.04936,0.03991
0.81081,0.04948,0.04012
0.81313,0.0496,0.04033
0.81546,0.04972,0.04054
0.81778,0.05009,0.04096
0.8201,0.04995,0.04096
0.82242,0.04981,0.04096
0.82475,0.05044,0.0416
0.82707,0.05106,0.04223
0.82939,0.05168,0.04286
0.83171,0.05255,0.04371
0.83404,0.05316,0.04434
0.83636,0.05377,0.04497
0.83868,0.05438,0.04561
0.84101,0.05448,0.04582
0.84333,0.05483,0.04624
0.84565,0.05543,0.04688
0.84797,0.05578,0.0473
0.8503,0.05637,0.04793
0.85262,0.05646,0.04814
0.85494,0.05755,0.0492
0.85726,0.05837,0.05004
0.85959,0.05871,0.05046
0.86191,0.05977,0.05152
0.86423,0.0601,0.05194
0.86655,0.06019,0.05215
0.86888,0.06027,0.05236
0.8712,0.06059,0.05279
0.87352,0.06236,0.05448
0.87584,0.06244,0.05469
0.87817,0.06227,0.05469
0.88049,0.06211,0.05469
0.88281,0.06266,0.05532
0.88514,0.06298,0.05574
0.88746,0.06353,0.05638
0.88978,0.06383,0.0568
0.8921,0.06462,0.05764
0.89443,0.06563,0.0587
0.89675,0.06593,0.05912
0.89907,0.06599,0.05933
0.90139,0.06653,0.05997
0.90372,0.06752,0.06102
0.90604,0.06828,0.06187
0.90836,0.06904,0.06271
0.91068,0.07002,0.06377
0.91301,0.071,0.06482
0.91533,0.07197,0.06588
0.91765,0.0734,0.06736
0.91997,0.07367,0.06778
0.9223,0.07509,0.06926
0.92462,0.07604,0.07031
0.92694,0.07699,0.07137
0.92927,0.07748,0.072
0.93159,0.07888,0.07348
0.93391,0.07981,0.07454
0.93623,0.08006,0.07496
0.93856,0.08009,0.07517
0.94088,0.08012,0.07538
0.9432,0.08104,0.07644
0.94552,0.08196,0.07749
0.94785,0.08309,0.07876
0.95017,0.08378,0.0796
0.95249,0.08468,0.08066
0.95481,0.08536,0.0815
0.95714,0.08648,0.08277
0.95946,0.08737,0.08383
0.96178,0.08847,0.08509
0.9641,0.08958,0.08636
0.96643,0.09023,0.0872
0.96875,0.09154,0.08868
0.97107,0.09328,0.09058
0.9734,0.09458,0.09206
0.97572,0.09543,0.09312
0.97804,0.09693,0.09481
0.98036,0.09821,0.09628
0.98269,0.09948,0.09776
0.98501,0.10011,0.09861
0.98733,0.10137,0.10008
0.98965,0.1022,0.10114
0.99198,0.1026,0.10177
0.9943,0.10384,0.10325
0.99662,0.10466,0.10431
0.99894,0.10611,0.106
