book,page,column,ocr_char,syllable,rescued_label,unicode,head_margin,bbox
yen2,page_0020,8,側,bày,排,U+6392,0.324,"[358, 1249, 445, 1365]"
yen2,page_0020,8,兵,cũng,共,U+5171,0.229,"[358, 1537, 445, 1653]"
yen2,page_0020,9,𫞖,một,蔑,U+8511,0.115,"[183, 2113, 283, 2229]"
yen2,page_0022,2,無,là,罗,U+7F57,0.124,"[1289, 1825, 1388, 1940]"
yen2,page_0022,2,甜,sống,𧚠,U+276A0,0.182,"[1289, 1921, 1388, 2036]"
yen2,page_0022,3,在,chăng,庄,U+5E84,0.139,"[1117, 1067, 1215, 1182]"
yen2,page_0022,3,開,muốn,悶,U+60B6,0.314,"[1117, 2224, 1215, 2339]"
yen2,page_0022,4,棄,đẹp,葉,U+8449,0.21,"[975, 965, 1080, 1081]"
yen2,page_0022,6,夜,I,鬼,U+9B3C,0.139,"[685, 585, 772, 712]"
yen2,page_0022,8,虎,đâu,兠,U+5160,0.281,"[389, 1940, 480, 2050]"
yen2,page_0024,1,録,tích,跡,U+8DE1,0.185,"[1397, 834, 1499, 945]"
yen2,page_0024,1,君,nơi,尼,U+5C3C,0.182,"[1397, 1762, 1499, 1874]"
yen2,page_0024,3,含,họp,合,U+5408,0.314,"[1125, 2390, 1217, 2496]"
yen2,page_0024,5,将,ra,囉,U+56C9,0.197,"[807, 2334, 910, 2436]"
yen2,page_0024,6,𭔿,ông,翁,U+7FC1,0.17,"[650, 551, 764, 662]"
yen2,page_0024,8,乇,đã,也,U+4E5F,0.123,"[342, 1199, 445, 1297]"
yen2,page_0024,8,君,ni,尼,U+5C3C,0.128,"[342, 2180, 445, 2278]"
yen2,page_0026,2,胚,tim,心,U+5FC3,0.213,"[1269, 918, 1384, 1024]"
yen2,page_0026,2,俊,sẽ,士,U+58EB,0.154,"[1269, 1270, 1384, 1377]"
yen2,page_0026,4,昔,nghiệp,業,U+696D,0.519,"[966, 1255, 1065, 1370]"
yen2,page_0026,5,牟,ti,𤰞,U+24C1E,0.133,"[817, 576, 921, 686]"
yen2,page_0026,5,周,vua,君,U+541B,1.278,"[817, 1498, 921, 1608]"
yen2,page_0026,6,洞,vua,君,U+541B,0.177,"[678, 669, 776, 781]"
yen2,page_0026,8,慓,Rất,慄,U+6144,0.15,"[359, 848, 471, 959]"
yen2,page_0026,8,𭔿,Ong,翁,U+7FC1,0.203,"[359, 1964, 471, 2075]"
yen2,page_0028,1,兹,đầy,苔,U+82D4,0.266,"[1424, 1142, 1513, 1242]"
yen2,page_0028,3,哨,tiếng,省,U+7701,0.528,"[1133, 1382, 1232, 1492]"
yen2,page_0028,3,晋,rô,嚕,U+5695,1.086,"[1133, 1751, 1232, 1861]"
yen2,page_0028,3,呼,ăn,安,U+5B89,0.331,"[1133, 2396, 1232, 2498]"
yen2,page_0028,6,晉,rô,嚕,U+5695,1.002,"[653, 1196, 758, 1306]"
yen2,page_0028,6,㓻,biết,别,U+522B,0.22,"[653, 1657, 758, 1767]"
yen2,page_0028,7,相,vua,君,U+541B,1.121,"[496, 1392, 600, 1503]"
yen2,page_0028,7,造,Giê,支,U+652F,0.21,"[496, 1856, 600, 1967]"
yen2,page_0028,7,江,sa,沙,U+6C99,0.119,"[496, 2042, 600, 2153]"
yen2,page_0028,8,𭔿,ông,翁,U+7FC1,0.212,"[340, 1170, 450, 1276]"
yen2,page_0028,9,祿,việc,役,U+5F79,0.229,"[194, 929, 288, 1040]"
yen2,page_0030,1,甚,Bây,悲,U+60B2,0.185,"[1431, 941, 1515, 1047]"
yen2,page_0030,1,嘻,rô,嚕,U+5695,1.008,"[1431, 1384, 1515, 1490]"
yen2,page_0030,4,弃,ông,東,U+6771,0.158,"[985, 851, 1077, 957]"
yen2,page_0030,6,返,mời,𨒒,U+28492,0.135,"[677, 1605, 773, 1716]"
yen2,page_0030,6,桒,thầy,柴,U+67F4,0.363,"[677, 1698, 773, 1809]"
yen2,page_0030,9,𭔿,ông,翁,U+7FC1,0.277,"[209, 2326, 298, 2443]"
yen2,page_0032,1,膺,rô,嚕,U+5695,1.147,"[1422, 557, 1531, 664]"
yen2,page_0032,2,𭔿,ÔNG,翁,U+7FC1,0.226,"[1274, 2232, 1383, 2338]"
yen2,page_0032,5,邳,dựng,鄧,U+9127,0.164,"[827, 919, 919, 1025]"
yen2,page_0032,5,沿,tăm,心,U+5FC3,0.119,"[827, 2239, 919, 2345]"
yen2,page_0032,6,免,đem,冘,U+5198,0.197,"[667, 1764, 776, 1874]"
yen2,page_0032,8,塼,chôn,撙,U+6499,1.326,"[374, 2133, 461, 2242]"
yen2,page_0032,9,質,tiếng,省,U+7701,0.197,"[210, 500, 301, 600]"
yen2,page_0034,1,呂,vào,包,U+5305,0.167,"[1423, 480, 1516, 587]"
yen2,page_0034,1,傳,giận,陣,U+9663,0.161,"[1423, 2410, 1516, 2517]"
yen2,page_0034,2,地,Khỏi,瑰,U+7470,0.165,"[1255, 753, 1364, 869]"
yen2,page_0034,2,乇,đã,它,U+5B83,0.148,"[1255, 1618, 1364, 1734]"
yen2,page_0034,2,首,tiếng,省,U+7701,0.299,"[1255, 1810, 1364, 1926]"
yen2,page_0034,3,兹,lấp,泣,U+6CE3,0.128,"[1101, 559, 1199, 670]"
yen2,page_0034,3,埋,đất,坦,U+5766,0.105,"[1101, 652, 1199, 763]"
yen2,page_0034,3,𠂯,sống,𧚠,U+276A0,0.102,"[1101, 1304, 1199, 1416]"
yen2,page_0034,4,桀,đi,移,U+79FB,0.11,"[953, 2017, 1053, 2134]"
yen2,page_0034,5,𫠉,mỏ,某,U+67D0,1.011,"[796, 1823, 904, 1940]"
yen2,page_0034,7,石,chịu,召,U+53EC,0.246,"[498, 749, 602, 866]"
yen2,page_0034,7,巷,Bây,悲,U+60B2,0.209,"[498, 944, 602, 1061]"
yen2,page_0034,8,隘,lấp,泣,U+6CE3,0.184,"[351, 1430, 447, 1547]"
yen2,page_0036,1,㸃,là,号,U+53F7,0.143,"[1414, 843, 1523, 960]"
yen2,page_0036,2,云,lóc,禄,U+7984,0.111,"[1268, 1203, 1367, 1313]"
yen2,page_0036,5,毘,La,羅,U+7F85,0.132,"[820, 947, 931, 1065]"
yen2,page_0036,7,瘁,tốt,𡨧,U+21A27,0.183,"[515, 468, 613, 570]"
yen2,page_0036,7,椉,lắm,凜,U+51DC,0.205,"[515, 1199, 613, 1310]"
yen2,page_0036,7,摂,chọn,撰,U+64B0,0.308,"[515, 1662, 613, 1773]"
yen2,page_0036,9,嚼,le,离,U+79BB,0.168,"[198, 1143, 297, 1260]"
yen2,page_0036,9,朦,C,極,U+6975,0.927,"[198, 1338, 297, 1455]"
yen2,page_0038,1,骨,mới,買,U+8CB7,0.145,"[1454, 1266, 1552, 1382]"
yen2,page_0038,4,怊,khác,恪,U+606A,0.176,"[984, 1919, 1103, 2035]"
yen2,page_0038,4,屬,hang,香,U+9999,1.065,"[984, 2207, 1103, 2323]"
yen2,page_0038,5,伐,dạy,代,U+4EE3,0.232,"[848, 2130, 953, 2246]"
yen2,page_0038,7,右,nay,尼,U+5C3C,0.158,"[538, 677, 641, 793]"
yen2,page_0038,7,五,Giê,支,U+652F,0.211,"[538, 966, 641, 1082]"
yen2,page_0038,7,我,su,秋,U+79CB,0.173,"[538, 1062, 641, 1178]"
yen2,page_0038,7,乇,đã,也,U+4E5F,0.116,"[538, 1158, 641, 1274]"
yen2,page_0038,8,𬞈,đường,瑭,U+746D,0.139,"[379, 580, 483, 701]"
yen2,page_0040,2,禘,phải,伂,U+4F02,0.137,"[1336, 937, 1423, 1047]"
yen2,page_0040,3,似,ấy,衣,U+8863,0.312,"[1183, 1247, 1285, 1363]"
yen2,page_0040,3,𫝕,rằng,浪,U+6D6A,0.182,"[1183, 1632, 1285, 1748]"
yen2,page_0040,4,䍐,là,囉,U+56C9,0.123,"[1027, 643, 1124, 745]"
yen2,page_0040,4,吞,trời,天,U+5929,0.306,"[1027, 2166, 1124, 2267]"
yen2,page_0040,6,君,này,尼,U+5C3C,0.225,"[717, 1541, 820, 1659]"
yen2,page_0040,7,丈,lại,吏,U+540F,0.256,"[568, 1860, 664, 1971]"
yen2,page_0040,7,哥,bấy,悲,U+60B2,0.144,"[568, 2416, 664, 2518]"
yen2,page_0040,9,将,ra,囉,U+56C9,0.197,"[264, 2406, 355, 2507]"
yen2,page_0042,2,為,thắng,𤯝,U+24BDD,0.389,"[1281, 909, 1382, 1015]"
yen2,page_0042,2,食,ấy,衣,U+8863,0.151,"[1281, 997, 1382, 1103]"
yen2,page_0042,2,爲,xương,昌,U+660C,0.209,"[1281, 1525, 1382, 1631]"
yen2,page_0042,2,征,đã,也,U+4E5F,0.107,"[1281, 2229, 1382, 2335]"
yen2,page_0042,3,疔,đau,𤴬,U+24D2C,0.381,"[1140, 1718, 1231, 1833]"
yen2,page_0042,3,𭔿,ông,翁,U+7FC1,0.258,"[1140, 2200, 1231, 2315]"
yen2,page_0042,5,避,chút,拙,U+62D9,0.158,"[832, 2293, 928, 2415]"
yen2,page_0042,6,鄂,bảy,罢,U+7F62,0.261,"[667, 1436, 780, 1554]"
yen2,page_0042,7,征,chảy,沚,U+6C9A,1.211,"[528, 465, 635, 563]"
yen2,page_0042,7,栖,mặt,末,U+672B,0.258,"[528, 1082, 635, 1190]"
yen2,page_0042,8,雷,bụt,孛,U+5B5B,0.181,"[375, 1199, 475, 1310]"
yen2,page_0042,8,詩,Thìn,辰,U+8FB0,1.055,"[375, 1478, 475, 1589]"
yen2,page_0042,9,名,đem,冘,U+5198,0.235,"[224, 455, 329, 557]"
yen2,page_0042,9,母,bụt,孛,U+5B5B,0.291,"[224, 632, 329, 743]"
yen2,page_0042,9,㳂,tăm,沁,U+6C81,0.231,"[224, 1470, 329, 1581]"
yen2,page_0042,9,𣴑,sạch,泟,U+6CDF,0.132,"[224, 1656, 329, 1768]"
yen2,page_0044,1,祀,lấy,礼,U+793C,0.425,"[1413, 1448, 1510, 1565]"
yen2,page_0044,4,君,này,尼,U+5C3C,0.143,"[959, 491, 1066, 588]"
yen2,page_0044,4,農,nóng,燶,U+71F6,1.267,"[959, 659, 1066, 766]"
yen2,page_0044,6,𭃡,Xưa,初,U+521D,0.125,"[663, 583, 760, 705]"
yen2,page_0044,6,吞,trời,𡗶,U+215F6,0.387,"[663, 2313, 760, 2435]"
yen2,page_0044,7,曷,rày,例,U+4F8B,0.11,"[528, 1435, 619, 1563]"
yen2,page_0044,8,左,vậy,丕,U+4E15,0.292,"[377, 1249, 467, 1365]"
yen2,page_0044,9,祀,trẻ,礼,U+793C,0.581,"[225, 663, 322, 773]"
yen2,page_0046,3,書,thưởng,賞,U+8CDE,0.234,"[1156, 955, 1245, 1071]"
yen2,page_0046,3,𢍆,Đoạn,断,U+65AD,0.232,"[1156, 1245, 1245, 1361]"
yen2,page_0046,4,唫,hai,咍,U+548D,0.148,"[997, 1576, 1099, 1686]"
yen2,page_0046,4,𭔿,ông,東,U+6771,0.126,"[997, 1943, 1099, 2053]"
yen2,page_0046,6,運,trên,連,U+9023,0.282,"[679, 844, 791, 954]"
yen2,page_0046,7,𭭕,sáu,老,U+8001,0.291,"[541, 857, 643, 972]"
yen2,page_0046,7,都,Đoạn,断,U+65AD,0.233,"[541, 2012, 643, 2127]"
yen2,page_0046,8,槎,xi,熾,U+71BE,0.141,"[383, 571, 495, 687]"
yen2,page_0046,8,活,nước,箸,U+7BB8,0.11,"[383, 958, 495, 1074]"
yen2,page_0046,8,依,ấy,衣,U+8863,0.168,"[383, 2215, 495, 2332]"
yen2,page_0046,9,叔,chém,釼,U+91FC,0.125,"[246, 775, 341, 893]"
yen2,page_0048,1,梁,ra,囉,U+56C9,0.219,"[1424, 972, 1532, 1090]"
yen2,page_0048,4,朝,sóc,朔,U+6714,0.415,"[958, 920, 1083, 1026]"
yen2,page_0048,5,呪,vồ,模,U+6A21,0.101,"[828, 1830, 920, 1930]"
yen2,page_0048,6,𠵊,nghĩa,义,U+4E49,0.123,"[677, 1152, 776, 1253]"
yen2,page_0048,6,仁,này,尼,U+5C3C,0.221,"[677, 2327, 776, 2427]"
yen2,page_0048,7,奉,Trời,𡗶,U+215F6,0.116,"[530, 731, 625, 831]"
yen2,page_0048,7,公,chịu,召,U+53EC,0.311,"[530, 1402, 625, 1502]"
yen2,page_0048,8,倨,nước,箸,U+7BB8,0.156,"[377, 2162, 475, 2262]"
yen2,page_0050,1,爵,li,离,U+79BB,0.104,"[1440, 664, 1562, 774]"
yen2,page_0050,1,按,xê,支,U+652F,0.227,"[1440, 756, 1562, 867]"
yen2,page_0050,1,𥘍,lấy,礼,U+793C,0.186,"[1440, 1956, 1562, 2067]"
yen2,page_0050,3,必,làm,乄,U+4E44,0.107,"[1159, 2385, 1253, 2484]"
yen2,page_0050,4,銜,Đức,德,U+5FB7,0.128,"[1020, 1034, 1114, 1144]"
yen2,page_0050,5,議,nhường,譲,U+8B72,0.219,"[853, 1098, 965, 1203]"
yen2,page_0050,5,于,ngõ,午,U+5348,0.174,"[853, 2146, 965, 2250]"
yen2,page_0050,8,𭔿,ông,翁,U+7FC1,0.218,"[392, 1572, 501, 1673]"
yen2,page_0050,8,君,này,尼,U+5C3C,0.295,"[392, 1740, 501, 1841]"
yen2,page_0050,8,都,sáu,老,U+8001,0.208,"[392, 1993, 501, 2094]"
yen2,page_0050,9,靖,tê,躋,U+8E8B,0.203,"[249, 1439, 349, 1544]"
yen2,page_0052,1,兹,coi,瑰,U+7470,0.112,"[1417, 2313, 1517, 2423]"
yen2,page_0052,5,還,mình,命,U+547D,0.188,"[832, 846, 932, 955]"
yen2,page_0052,5,𫠉,vì,為,U+70BA,0.126,"[832, 1119, 932, 1229]"
yen2,page_0052,6,吰,hay,咍,U+548D,0.254,"[669, 568, 774, 674]"
yen2,page_0052,6,𭔿,Ông,翁,U+7FC1,0.132,"[669, 1185, 774, 1291]"
yen2,page_0052,6,困,Bấy,闭,U+95ED,0.105,"[669, 2154, 774, 2260]"
yen2,page_0052,8,麾,sông,江,U+6C5F,1.047,"[393, 752, 483, 863]"
yen2,page_0052,8,团,Bây,闭,U+95ED,0.24,"[393, 1861, 483, 1972]"
yen2,page_0052,9,似,ấy,衣,U+8863,0.237,"[238, 1629, 328, 1745]"
yen2,page_0054,1,未,cầu,求,U+6C42,0.328,"[1437, 866, 1540, 986]"
yen2,page_0054,1,景,người,㝵,U+3775,0.432,"[1437, 1465, 1540, 1585]"
yen2,page_0054,1,𭩮,ra,囉,U+56C9,0.105,"[1437, 1964, 1540, 2084]"
yen2,page_0054,2,正,làm,爫,U+722B,0.161,"[1287, 1295, 1392, 1405]"
yen2,page_0054,3,𦀇,lấy,礼,U+793C,0.157,"[1125, 654, 1239, 770]"
yen2,page_0054,3,用,bấy,闭,U+95ED,0.281,"[1125, 751, 1239, 867]"
yen2,page_0054,4,祀,trẻ,礼,U+793C,0.391,"[979, 653, 1100, 769]"
yen2,page_0054,4,烽,sốt,焠,U+7120,0.126,"[979, 1707, 1100, 1822]"
yen2,page_0054,4,輒,mặt,末,U+672B,0.167,"[979, 2090, 1100, 2205]"
yen2,page_0054,6,献,NĂM,𠄼,U+2013C,0.342,"[659, 680, 769, 801]"
yen2,page_0054,7,㘴,ra,囉,U+56C9,0.146,"[526, 1947, 631, 2057]"
yen2,page_0054,8,𠾖,bốn,本,U+672C,0.338,"[365, 829, 470, 936]"
yen2,page_0054,8,首,quý,貴,U+8CB4,0.419,"[365, 2064, 470, 2171]"
yen2,page_0056,1,取,Khi,欺,U+6B3A,0.213,"[1400, 1165, 1516, 1280]"
yen2,page_0056,2,深,đòi,隊,U+968A,0.216,"[1257, 1286, 1367, 1391]"
yen2,page_0056,3,带,nào,市,U+5E02,0.332,"[1113, 1261, 1223, 1377]"
yen2,page_0056,4,如,nó,奴,U+5974,0.354,"[969, 1784, 1077, 1894]"
yen2,page_0056,5,吞,lần,吝,U+541D,0.169,"[822, 584, 922, 684]"
yen2,page_0056,5,㐫,le,离,U+79BB,0.279,"[822, 1918, 922, 2018]"
yen2,page_0056,6,𠔃,nghĩ,察,U+5BDF,0.977,"[670, 1768, 764, 1869]"
yen2,page_0056,6,祀,lấy,礼,U+793C,0.183,"[670, 1937, 764, 2038]"
yen2,page_0056,6,錦,min,綿,U+7DBF,0.463,"[670, 2358, 764, 2460]"
yen2,page_0056,7,盖,nghĩa,義,U+7FA9,0.201,"[527, 588, 623, 688]"
yen2,page_0056,7,此,hay,咍,U+548D,0.142,"[527, 1009, 623, 1109]"
yen2,page_0056,7,直,trinh,偵,U+5075,0.291,"[527, 1430, 623, 1530]"
yen2,page_0056,7,如,bà,把,U+628A,0.155,"[527, 2272, 623, 2372]"
yen2,page_0056,7,脚,biết,別,U+5225,0.263,"[527, 2440, 623, 2532]"
yen2,page_0056,8,直,nghe,宜,U+5B9C,0.123,"[379, 666, 468, 762]"
yen2,page_0056,8,𡚖,min,綿,U+7DBF,1.326,"[379, 987, 468, 1084]"
yen2,page_0056,8,然,ghét,結,U+7D50,0.198,"[379, 2192, 468, 2289]"
yen2,page_0056,9,𡚖,min,綿,U+7DBF,1.237,"[229, 1861, 316, 1970]"
yen2,page_0058,1,梁,là,羅,U+7F85,0.108,"[1438, 2076, 1554, 2181]"
yen2,page_0058,1,祀,lấy,礼,U+793C,0.366,"[1438, 2426, 1554, 2523]"
yen2,page_0058,2,攸,hơn,欣,U+6B23,0.463,"[1293, 2151, 1396, 2255]"
yen2,page_0058,3,錦,min,綿,U+7DBF,0.173,"[1141, 1030, 1250, 1136]"
yen2,page_0058,4,農,nóng,燶,U+71F6,1.256,"[978, 974, 1094, 1090]"
yen2,page_0058,4,錦,min,綿,U+7DBF,0.158,"[978, 1359, 1094, 1475]"
yen2,page_0058,5,疲,ví,爲,U+7232,0.144,"[845, 1995, 943, 2101]"
yen2,page_0058,6,打,chết,折,U+6298,0.299,"[684, 2135, 800, 2251]"
yen2,page_0058,6,章,đồng,童,U+7AE5,0.195,"[684, 2424, 800, 2530]"
yen2,page_0058,7,睂,hiếp,刼,U+523C,1.083,"[546, 877, 649, 993]"
yen2,page_0058,7,五,lo,卢,U+5362,0.187,"[546, 1357, 649, 1472]"
yen2,page_0058,7,功,cùng,共,U+5171,0.103,"[546, 2028, 649, 2144]"
yen2,page_0058,8,朝,cửa,㪯,U+3AAF,0.174,"[400, 877, 510, 992]"
yen2,page_0058,8,則,gan,肝,U+809D,0.155,"[400, 1929, 510, 2043]"
yen2,page_0060,2,牡,dở,渚,U+6E1A,0.127,"[1299, 1368, 1404, 1473]"
yen2,page_0060,2,祀,lấy,礼,U+793C,0.191,"[1299, 2325, 1404, 2430]"
yen2,page_0060,3,困,hèn,閑,U+9591,0.185,"[1126, 509, 1246, 609]"
yen2,page_0060,3,石,vậy,丕,U+4E15,0.181,"[1126, 864, 1246, 973]"
yen2,page_0060,3,軀,điều,調,U+8ABF,0.201,"[1126, 2322, 1246, 2431]"
yen2,page_0060,4,豫,đòi,隊,U+968A,0.136,"[970, 583, 1089, 693]"
yen2,page_0060,4,何,A,茄,U+8304,0.107,"[970, 859, 1089, 968]"
yen2,page_0060,4,准,dõi,唯,U+552F,0.136,"[970, 2235, 1089, 2345]"
yen2,page_0060,5,簑,nếu,裊,U+88CA,1.232,"[829, 2022, 928, 2137]"
yen2,page_0062,1,君,nơi,尼,U+5C3C,0.243,"[1424, 586, 1551, 702]"
yen2,page_0062,2,吹,hai,咍,U+548D,0.268,"[1279, 2236, 1396, 2346]"
yen2,page_0062,4,牡,dồ,𠱋,U+20C4B,1.012,"[987, 1675, 1093, 1785]"
yen2,page_0062,5,歹,Đức,德,U+5FB7,0.207,"[828, 871, 935, 987]"
yen2,page_0062,5,此,hay,特,U+7279,0.178,"[828, 2312, 935, 2428]"
yen2,page_0062,6,攵,yêu,㤇,U+3907,0.154,"[679, 1440, 788, 1555]"
yen2,page_0062,6,歹,Đức,德,U+5FB7,0.143,"[679, 1729, 788, 1844]"
yen2,page_0062,9,耆,đàng,堂,U+5802,0.154,"[243, 1248, 338, 1363]"
yen2,page_0064,4,庫,sao,牢,U+7262,0.161,"[961, 555, 1085, 677]"
yen2,page_0064,4,躬,ngươi,的,U+7684,0.271,"[961, 862, 1085, 984]"
yen2,page_0064,4,𭺛,đem,冘,U+5198,0.176,"[961, 1884, 1085, 2007]"
yen2,page_0064,5,取,chữa,𦔳,U+26533,0.216,"[807, 648, 909, 760]"
yen2,page_0064,7,屠,rô,嚕,U+5695,1.172,"[504, 1594, 612, 1716]"
yen2,page_0064,8,君,này,尼,U+5C3C,0.207,"[354, 1917, 467, 2034]"
yen2,page_0064,9,抑,Phê,批,U+6279,0.271,"[228, 2380, 314, 2490]"
yen2,page_0066,1,余,chăng,庄,U+5E84,0.284,"[1456, 791, 1567, 907]"
yen2,page_0066,1,貼,ngươi,的,U+7684,0.193,"[1456, 2431, 1567, 2537]"
yen2,page_0066,2,如,làm,爫,U+722B,0.263,"[1320, 514, 1422, 615]"
yen2,page_0066,5,晋,giữ,佇,U+4F47,0.146,"[852, 1646, 957, 1762]"
yen2,page_0066,5,䏻,di,鲐,U+9C90,0.129,"[852, 2125, 957, 2241]"
yen2,page_0066,6,家,chạy,豸,U+8C78,1.137,"[683, 2125, 806, 2241]"
yen2,page_0066,7,眾,bốn,本,U+672C,0.228,"[531, 502, 641, 613]"
yen2,page_0066,8,炷,sành,生,U+751F,1.172,"[374, 1797, 495, 1918]"
yen2,page_0068,2,泰,Trời,𡗶,U+215F6,0.275,"[1274, 587, 1397, 696]"
yen2,page_0068,3,陛,ta,些,U+4E9B,0.178,"[1134, 1846, 1245, 1962]"
yen2,page_0068,3,運,lên,連,U+9023,0.376,"[1134, 2232, 1245, 2348]"
yen2,page_0068,4,或,Giê,支,U+652F,0.2,"[982, 850, 1095, 955]"
yen2,page_0068,5,徐,tôi,碎,U+788E,0.237,"[829, 505, 931, 611]"
yen2,page_0068,5,𫠉,mở,馬,U+99AC,0.282,"[829, 687, 931, 803]"
yen2,page_0068,5,知,đức,德,U+5FB7,0.114,"[829, 1071, 931, 1187]"
yen2,page_0068,5,庐,cùng,穹,U+7A79,0.117,"[829, 1263, 931, 1379]"
yen2,page_0068,6,題,lên,連,U+9023,0.387,"[675, 691, 787, 811]"
yen2,page_0068,6,朕,yêu,腰,U+8170,0.157,"[675, 1694, 787, 1814]"
yen2,page_0068,6,廷,đổi,対,U+5BFE,0.312,"[675, 2195, 787, 2315]"
yen2,page_0068,8,𦖦,đầu,頭,U+982D,0.275,"[383, 2003, 483, 2123]"
yen2,page_0070,2,塟,Pha,葩,U+8469,0.264,"[1294, 2125, 1410, 2246]"
yen2,page_0070,3,淹,sông,江,U+6C5F,1.07,"[1157, 1170, 1263, 1286]"
yen2,page_0070,6,𭩮,ra,囉,U+56C9,0.119,"[684, 598, 795, 714]"
yen2,page_0070,6,個,đồng,洞,U+6D1E,0.149,"[684, 1563, 795, 1678]"
yen2,page_0072,1,吩,hai,咍,U+548D,0.153,"[1431, 1691, 1546, 1801]"
yen2,page_0072,4,立,Giê,支,U+652F,0.213,"[957, 588, 1065, 705]"
yen2,page_0072,4,瘥,đàng,塘,U+5858,0.113,"[957, 977, 1065, 1093]"
yen2,page_0072,4,禁,thầy,柴,U+67F4,0.267,"[957, 1463, 1065, 1579]"
yen2,page_0072,5,淚,nước,渃,U+6E03,0.171,"[808, 679, 901, 795]"
