sample_id,pred,col_pred,col_kinh,pos,align_op,col_lev,n_col_pred,sec
M2_0073,,麻未掬等朱年祣体冒寻民事拯仄敐浪辤,邦夜子麻木斕㝵朱年𬒳体冒㝵召事極瓜叚浪碎,1,del,13,17,2.127
M2_0074,竜,固術知旦店火巴体寻罢乔麻竜挥把淘久皮,将庄固術如旦店次巴体㝵罢乔麻𫝰捽把淘衣皮,14,sub,8,18,1.772
M2_0075,哆,哆朱寻吏文慰蠕悸迈必晤单行囚,庵名賊𡚶朱㝵吏妄慰蹻慱愧返吹時軍停囚,3,sub,14,14,1.872
M2_0076,万,体辫尼橇涌雅特逻文麻牢万主至蜀,赶争嬌祖体辨尼槎浦普推特罪衣麻卑行主吞罰,16,sub,15,15,1.673
M2_0077,麻,寻罘麻拔結如墨何将些存事稏似液只痴羿耳,孤乳㝵䍐麻法妃垩何将些召事極仁没𠯁種𭩮其,3,sub,16,19,1.943
M2_0078,罷,道昭衣承綿供承罷廕寻云犴唐道奇綿,主吞建呐浪道妃弥寺綿我称䍐麻㝵云折店道寺錦,12,sub,17,16,2.051
M2_0079,設,王翁圣末施何五法德主正招豚山藓設建哉支,蚓丕舜棄末陁冈及法徳主左移蘇山蘇股連教受,16,sub,16,19,2.213
M2_0080,隈,棊琛弇至认西刻朱主理隈清卢為末古而,矯柴果弇堊八改爾朱主理辰堵户為末友而,11,sub,11,17,2.440
M2_0081,咒,如姑巴咒稚瞬尔骡固涌唯即重帶包佣朵,禄咯罪加姑波巴罪樞蠎柒群固涵唯郎重鷺色用空,7,sub,16,17,1.742
M2_0082,,之用事之朱衆碎閑衆砰在戲,在特益之羽䓁如事之朱衆𥓓黙週衆𥓓庄浅為,5,del,13,12,1.648
M2_0083,技,施去事還正前罢厹至拒浪德主技摭郎重,柩蠏施古亊遥而石府罢合至推良徳主技極郎重,16,eq,13,17,1.755
M2_0084,必,主奉重依法常街寻些在特事困必至,㸔法遥奸主吞而重彼每法市痴㝵些花時事困六左,19,sub,15,15,1.564
M2_0085,,馬孟依嘟在周漢吥寺賁衣求共歹歪,極漂馬賦並欣紫庄固流呼寺真竒衣求共知主吞,3,del,15,15,1.748
M2_0086,虛,朱昆群帶世間奇閣晁嗔婕朱晃鞋虛至娭,女𭃡摂朱昆辨帯世間寿園昇嗔媛朱昻莊達吞姨,17,sub,14,17,1.876
M2_0087,,天下絳各天神毒兩麻民蜀品王蠕讳罰代棘斟斧墨,石依休天下蜍冬天神寺用冝麻𡰱罰六丕矯沛罰代𢍆断斧主,1,del,17,21,1.888
M2_0088,公,衣罘倘戮先併拈共谣甥朱寻奇寻公值,述嗔㝵衣𠾖传晟吝侘併枯共居䍐朱㝵詩㝵合直,18,sub,16,16,1.772
M2_0089,歹,歹主叁仍麻欺結话儿庄固道先罷葩奴尼何床講帝寺沛刻,馬万主吞仍麻欺結𥚑几庄固遁先乳苑奴尼何麻謁帝寺乕列,1,sub,12,24,2.049
M2_0090,只,只庫屠碎婤响心底曳末功毒代笼寻狱域潺玛,主支耿乇𡰱庫爲碎姻体呵而不麻曳末功寺代危㝵繈城署瑪,4,sub,19,19,1.873
M2_0091,活,寿散伤者旦廓甃奇琺符活天虚,弄歇衡寺旦歳慰奇䏻菩房天虗,10,sub,10,13,1.270
M2_0092,,真張邕丁建麻庄群理之朱堪厄倫所咀,化固志其綏𠨙渴汀建斛麻庄群理之朱塊犯俗孤咀将,2,del,14,16,1.767
M2_0093,而,礼而諸聟因義吞則邪而憂朝天萤寻建那麻而,固至活氏礼而語曉固義吞蜀刑而𫈦朝天黄㝵連邦麻而,5,eq,14,19,1.951
M2_0094,幸,序補寺珐麻品吏芳石幸蚕孫宧遠如暑,𡬦庄補字䏻麻品吏共好主吞應除官遣知㝵,11,sub,14,16,1.738
M2_0095,妃,憬垩万妃宠万主支秋色殿除伞垂拈启窗怎,氏吹祀慓垩万妃免矢主立秋色𭮺餘𭔿垩姑君离得,6,eq,15,18,2.061
M2_0096,托,於須從帝先異托兽罙恨要蔚庄於帝哥,祠屍于須樹於帝先異批署麻罢𫝕要府庄於席㝵,10,sub,13,16,2.162
M2_0097,奇,理之耻特奴連鈷练官履哥立付朱碑狞特岳徜奇百,群理之壮特奴建針殊官辰㝵女付朱𥓓存特舞倘詩𥄂,20,sub,14,21,1.909
M2_0098,噤,則時奪秘刺各本道噤周戢高汉双耿寻诸周戰高奇就,連别碍華被朝各本道案固聀髙衣双賎㝵诸固聀髙詩於,9,sub,18,22,2.320
M2_0099,,何那诸悸之蚕就共眉了笑孔几响共眉麻,樞啻阿那诸慱而之蚤於共眉之唉孔几呐共眉麻,1,del,10,17,1.695
M2_0100,,周戮分燒唐氏朱平韶戮等生奇罘一霖适烽,女固蔑分燒唐仅女朱年䏻幾淂生赶果森道痒,0,del,15,18,2.219
M2_0101,,主奉於鹿勒祕爭共擂卧悉除柴浅矴思庄寺在罢,知主吞於既助礼群共矯折厯除柴民斫思主寺在罕,0,del,13,20,1.944
M2_0102,,认得罢近,天堂欺入㝵也特罢近𫞓,3,del,8,4,0.843
M2_0103,堀,伯麻施朱叔亥凹惜古毒甯礼壤旦欺斧久喂堀氙硢麻,陌麻施朱奴玄四惜古齒南礼碾旦欺并入噀堪𠙚餘麻,18,sub,13,22,2.320
M2_0104,萌,开双萌孩此畦有命如证罪事惊豹淑咒体,並碎共奴詩按產敢首𠇭如证罪舉事碎衆𭃡梁体,4,sub,15,17,1.704
M2_0105,者,者庄毡麻浪斧周死馬道者一紹遷之团徐导戈,实吰庄寿庄䏻麻浪𭔿固死馬道寺一君罪𡖋之困除㝵戈,3,sub,14,19,1.828
M2_0106,,瑪先罘安尊君奴固露寻先罘憬,𭃡代困𣈆瑪先要妄尋君奴固𭁡㝵先罡遁程,0,del,12,13,1.903
M2_0107,幽,王府為開少古副厣釋韻麻退浮吏幽秉,脉恩徳主俞為团丿苦圖洋憂涸其厭退碎吏咽彚,18,sub,17,16,2.132
M2_0108,茸,守姜炎寻建宜如不双霄茸具明央渚解源朱亳酌,固僥与晝次㝵建宜如丕双离架真明共渚觧罪朱磊勧,12,sub,15,20,2.294
M2_0109,美,王旦叁顏宧奇寶朝哥很明雍摆每固美,加信如不不旦畧稱官寿官朝㝵浪明華瘥烏固隻,19,sub,16,16,1.883
M2_0110,在,山诳狱麻体驭在宜麋浪斡启拓呂砌馬道窟,渚灵魂江地獄麻体奴庄宜建浪弇𡰱知召胡𫠉道實,9,sub,16,18,1.786
M2_0111,窗,小去異得氏末功庄可特至之朱埃双窗君四,寺盆凜犬冊䍧氏末功庄可特至之朱咲双膏苔四,17,sub,9,18,1.728
M2_0112,廣,遠悲容几廣者呓兕几庫中叢遺,麻渚柴主遣悲察几屠貴咲異几庫中𫈼遣,8,sub,12,13,2.092
M2_0113,舷,帝欺佯舷寺戊城那于窗麻吃垂召庫,麻折帝聚洋結寺戈城那于离麻哈垩兮召庫,5,sub,10,15,1.656
M2_0114,怨,道庄固怨援事困朱綿詩綱拱不稽朱几公五,𭺾几固道生固慰族弄𡖋事困朱魏寺𡚖拱不福朱衣丕,8,sub,15,18,1.864
M2_0115,屯,恭庇朱几刻庠旦帝奇屯存业翁垂隍乌申濳,位重行主恭堯法朱几列牢旦帝寺乇𫠉功業弇垂崤𫠓由屠,15,sub,18,18,1.721
M2_0116,久,甫柒庄詖垈双雲柒庄年朱团除官久閮,礼古石餘寺柒庄敢至双啻架庄年朱困除官氏悶,18,sub,12,16,1.884
M2_0117,厍,讀坤頃共行役久年壬旱歇陽固豑久厍協等,常𡧱膈坤項共佇役伐年丕㝵欺渚固𣺌入痒傷㝵,17,sub,15,18,1.884
M2_0118,色,色城在吹旦奉城者輊庄後曰每建顧共关六裔,麻戰䆒色城在吹旦㪯城香軽庄授曰每建願女哭云詩,3,eq,12,19,1.826
M2_0119,姑,双需周叔棃佣斉堑支姑庄邦法衣吏謁朱年王,學文双嚼固教榮调𭔿垩支妨庄邦法衣吏諶朱年主,11,sub,12,19,1.909
M2_0120,酉,麻蜡思寻瓷屏尾女双离主鄉年酉坦虚,農炤麻烟瑰㝵𫮰群尾女双离主鄧年裔坦𮓡,15,sub,10,16,1.720
M2_0121,恪,德主互欣必罟通恪欤尚氏先罟巴非心罝煄其康,𡗚其德主底欣𫞹𭺾道條坡㐫久先噐巴悲粤建其殊,9,sub,16,20,2.677
M2_0122,袍,息而之暑戈品囚仍几於帝呼谟算斝射袍聚哞共俸祝,猪息而之㝵戈忌囚仍几於帝呌浪嗔𭔿𦔳祀衆碎共俸祝,17,sub,11,22,2.020
M2_0123,,麻煟設必磕麻底奇嘗命寻中意麻,沛呌寺祀燈麻㷔改祀猛麻底奇嚅命㝵中意麻,3,del,11,14,1.599
M2_0124,弔,信初內共法選寻賀导礼即诺咯先弔,以㝵些信刻内共丿法選㝵百叚㝵礼郎渃啓先民,19,sub,14,15,1.803
M2_0125,师,眉庄仍百侉義命吏作几胳婊而王女喵眉师,些油麻眉庄仍可偽茂命吏升几恪燒如百丕女咄眉师,21,eq,13,18,1.823
M2_0126,釜,平眉心朱奴剽者釜罟信有眉在固奇釜罞别倡,平眉以朱奴創詩𫊫眉信有眉在固寺𫊫眉别眉,15,sub,9,19,2.188
M2_0127,居,居仍事遜初麻斉呈派遷女馬用彏,巴悲屬将君仍事遥𭃡麻𭔿垩濺遥女為用署,4,sub,13,14,1.915
M2_0128,唉,咒愚唉之毒倌在别所之女青代於陳冲麻鉛经,固不脫呪罡鬼其之妻官衣庄别斫之女寺孔於陳中麻然𦀇,6,sub,17,19,1.872
M2_0129,歹,事馬打火燒過尚何接為代複歹主支秋罘等,道又僥事髙相衣燒淜尚何移烏代浪知主支秋罔㝵些,15,sub,14,18,1.798
M2_0130,按,押秘嫣奇沛直王生皆法昆麻得奏折常吠新猖按,吃姨押礼嬸壽沛直丕生将云界麻将義折峯䝨新孺按,21,eq,14,20,2.145
M2_0131,,敬仍傈朱粹式東香旦晤聟社宠罦朝麻兩,礼孛詩碎真歇仍𰂸合朱碎式束奢拒旦得犎任免䍐朝麻羽,7,del,18,17,1.913
M2_0132,取,傀南旦妻取等匝磊奇該於域牷特继桑,於帝僥南旦妻取㝵犯君脊歲茹於城将特巍森,6,eq,13,16,1.740
M2_0133,熠,歆寻於劣玄蚕連熠耸至批嗂朱剐軍化罪寻添運罘麻噲,茹㝵於好主蚕連燔𭔿垩批署朱别軍伐要㝵袷運開麻喻,7,sub,15,23,2.087
M2_0134,常,圣雲常德王技教麻等周法帝世聞共,蜀出位翁圣署常德主技秋麻㝵因法𢃄世闥女,6,eq,12,15,1.901
M2_0135,奇,城遲動峪暑真思官改折戰事休奇呯浪謳咒,左奇嗜城運動哈㝵真思官衣新民事体詩呌浪謳発,16,sub,13,18,1.783
M2_0136,奇,体川世間奇色待几究惟憟碎沁罢麙思龈佯黔,至尼猪体川世閤詩色持几於倠慄碎沁罢魔鬼魂洋黙,7,sub,14,19,1.903
M2_0137,用,之補事道祖景侍朱麻淖遁而牢用直,固理之𥙷事道祖宗侍朱麻𭓇道遥而牢用直,16,eq,7,15,1.713
M2_0138,吆,者速与塘麻奏周張司庄矴吆打中城聚,郎城衣寺䢌手塘麻奏周蒗羽在別吮打中城衆,14,sub,12,16,2.017
M2_0139,審,旦淹奇取秸店沙審連折沉家自衣,圭妃似庄治欺旦淹寺馭法官沙審連折沉麽自衣術,13,eq,12,14,1.581
M2_0140,唐,弇垂骧浪众砷蘇兮主支秋初吕折唐潺天下,折咄𭔿垩踈浪众碎餘知主支秋𭃡呂折店罪天下,16,sub,12,18,1.779
M2_0141,,生體之体末眉孔本可不悸憓所寐罢悸,架耿生赤之体末眉丑車歹不事愴两麻罢悸,1,del,10,16,2.132
M2_0142,毒,色涂毒敝門徐兽腮寻賠丕双需壽庄聑有思罘,安难包除寿赦冏除鲁聘㝵暄丕双爵弄庄𫆅哨思美,4,sub,17,19,1.918
M2_0143,裁,庄周饰帝庄饰裁古之烽团徐孟瓶麻题,油麻祀雜庄固滯带庄沛教古之烽闭除孟輒麻建船,10,sub,14,16,1.943
M2_0144,魁,信体寻舞予道德主吞青哦徐魁孩其,按㐌塊置時官体㝵群乎道徳主忝㫖哦𨻶廻核其,17,sub,15,15,1.572
M2_0145,月,朱年固委体迈哆形思月哦牵仔者寻孔所封故,凜朱年固義吝体返吹形鬼刄𢧐𠇭将寺㝵孔斫时烦,11,sub,15,19,1.807
M2_0146,而,悲而孤帝深昆启扒惩蚕作壕双霓法主蚕,𥙷惮浪悲而新希朱昆君孤衛厯蚤仕賞双离法矢主蚕,4,eq,15,17,2.029
M2_0147,绛,底朱寻些绛麻捕丰实卯年蚕巴寻些共闩物,形像底朱㝵些臻麻補主实鄧年吞四㝵些共門物,6,sub,11,18,1.861
M2_0148,踞,罪朱音奴罟鬼踞双雳事冷寿主思成旦礼,架觧罪朱前奴署鬼庵双齒事今寺主思庚旦礼,8,sub,9,17,1.759
M2_0149,,体不正者卢建安淮源即甫檐卒唳裇皂炽朱,其体不左寺户在妥淮罪即香檜顧率䍐𥙷包烟朱,11,del,15,18,2.090
M2_0150,骆,麻淖翁圣苑乙庄朱戮之連么弄骆森主洋,罢易貯麻陣翁圣葩乙主朱聀之連以弄𠗆麻主洋,16,sub,10,17,1.720
M2_0151,吏,宛歹王垂羌蚕天神宅犼力苯晋吏助昆末共臻奇啭,厚爵知主吞羌虚天神毫孔灯殊号逆𦔳功末共稜奇案,14,sub,16,21,2.260
M2_0152,連,冲南匙公郵銬帮連朱困命旦歇寻辦召事困而,於陳冲南更仁鄰麩鄰逆朱困𠇭旦欺㝵群召事困而,9,sub,12,19,1.823
M2_0153,泮,浪笑珐寻壕宱該浯蔺泮麻社唐寻,𫠉道麻浪突䏻尋壊官兹淚苑蘭郎麻袩清㝵,13,sub,16,14,1.790
M2_0154,,中妃罪后居亂事庫世間,而兹餘塟中衣石妃垩君召哈事庫帯世間啓,0,del,12,10,1.524
M2_0155,安,奇泪泛安甲百县连缅寻麻嘿痕眉沛依那,麻術寺用戈成女𤰞烏冥連師㝵麻噪浪眉怖依那,6,sub,16,17,1.707
M2_0156,思,在悲惟伐弘真思等罔麻击散伤击,塊煜烺在𢙢除官代和扛真理㝵署麻打散防打,11,sub,15,14,1.689
M2_0157,芸,曰狂隱事法衣毒匆主吞吏朱堀薄芸世間常朱,旦欺曰壬隗事兹衣寺好主吞吏朱塊李兹世間常朱,16,sub,10,19,1.855
M2_0158,丘,魔體體寄吆存混而丘毒奴而砾朱暑捕尼,欽求願建廣鬼体㝵咍存𣵀而左寺奴斫朱㝵補君,12,sub,17,17,1.970
M2_0159,奇,主舜欺衣吃谷倌袍吃教麻挽收膍寻奇灵,魂碎於中理主碎欺衣呪冬官祀哈教麻挑收膽㝵詩灵,20,sub,15,17,1.774
M2_0160,凡,邦麻拠嘿几特里共可特仍事迓女如罷各凡,奴建邦麻拠哭几特𠾖其可特仍事選女如喪吝氏,19,sub,9,18,2.028
M2_0161,狄,朱谷绥后涂朱天下别哗约御召打屠伤主克狄群,曰書改朱谷每君餘朱天下别碎約潮召折爲防主克敢群,21,sub,13,20,1.762
M2_0162,离,古峯析欲寻些中认双离德主辱朱导兰惕,歇古常折歇㝵些中㐲双爵徳主屠朱㝵竺塊,10,sub,12,17,1.979
M2_0163,认,巴哩仍见閣壽天下弓罘祈歇為合认異務夏,化歇屍巴得仍石渴薪天下与異折歇為分入異務夏,17,sub,12,18,2.175
