image,nom_char,label,reading,confidence,bbox,page,source
crops_cleaned/page_0012/col03_char000.png,翁,U+7FC1,Ông,high,"1088,381,1283,470",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char001.png,垩,U+57A9,Thánh,high,"1088,470,1283,552",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char002.png,尼,U+5C3C,này,high,"1088,552,1283,660",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char003.png,号,U+53F7,là,high,"1088,660,1283,727",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char004.png,苔,U+82D4,đầy,high,"1088,727,1283,853",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char005.png,四,U+56DB,tớ,high,"1088,853,1283,926",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char006.png,翁,U+7FC1,ông,high,"1088,926,1283,1018",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char007.png,垩,U+57A9,Thánh,high,"1088,1018,1283,1089",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char008.png,幹,U+5E79,Giu,medium,"1088,1089,1283,1200",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char009.png,螉,U+8789,ong,high,"1088,1200,1283,1292",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char010.png,号,U+53F7,là,high,"1088,1292,1283,1350",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char011.png,苔,U+82D4,đầy,high,"1088,1350,1283,1465",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char012.png,四,U+56DB,tớ,high,"1088,1465,1283,1568",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char013.png,奇,U+5947,cả,high,"1088,1568,1283,1629",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char014.png,徳,U+5FB3,Đức,high,"1088,1629,1283,1742",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char015.png,主,U+4E3B,Chúa,high,"1088,1742,1283,1824",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char016.png,支,U+652F,Giê,high,"1088,1824,1283,1918",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char017.png,秋,U+79CB,su,high,"1088,1918,1283,2014",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char018.png,共,U+5171,cùng,high,"1088,2014,1283,2075",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char019.png,体,U+4F53,thấy,high,"1088,2075,1283,2192",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char020.png,慄,U+6144,Rất,high,"1088,2192,1283,2294",12,CacThanhTruyen2
crops_cleaned/page_0012/col03_char021.png,垩,U+57A9,Thánh,high,"1088,2294,1283,2368",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char000.png,徳,U+5FB3,Đức,high,"902,423,1088,491",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char001.png,婆,U+5A46,Bà,high,"902,491,1088,619",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char002.png,嫫,U+5AEB,Ma,high,"902,619,1088,726",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char003.png,蛦,U+86E6,ri,high,"902,726,1088,781",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char004.png,兮,U+516E,a,high,"902,781,1088,882",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char005.png,羣,U+7FA3,còn,high,"902,882,1088,981",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char006.png,於,U+65BC,ở,high,"902,981,1088,1076",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char007.png,世,U+4E16,thế,high,"902,1076,1088,1193",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char008.png,姦,U+59E6,gian,high,"902,1193,1088,1288",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char009.png,朱,U+6731,cho,high,"902,1288,1088,1378",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char010.png,妟,U+599F,nên,high,"902,1378,1088,1467",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char011.png,圤,U+5724,người,high,"902,1467,1088,1569",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char012.png,爫,U+722B,làm,high,"902,1569,1088,1668",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char013.png,垩,U+57A9,Thánh,high,"902,1668,1088,1744",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char014.png,奇,U+5947,cả,high,"902,1744,1088,1864",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char015.png,喡,U+55A1,và,high,"902,1864,1088,1934",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char016.png,爫,U+722B,làm,high,"902,1934,1088,2040",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char017.png,曰,U+66F0,viết,high,"902,2040,1088,2122",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char018.png,釪,U+91EA,vồ,high,"902,2122,1088,2231",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char019.png,城,U+57CE,thành,high,"902,2231,1088,2327",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char020.png,安,U+5B89,An,high,"902,2327,1088,2429",12,CacThanhTruyen2
crops_cleaned/page_0012/col04_char021.png,凘,U+51D8,ti,high,"902,2429,1088,2517",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char000.png,乌,U+4E4C,ô,high,"716,91,902,224",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char001.png,其,U+5176,ki,high,"716,224,902,358",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char002.png,攲,U+6532,Khi,high,"716,358,902,447",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char003.png,意,U+610F,ấy,high,"716,447,902,553",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char004.png,君,U+541B,vua,high,"716,553,902,659",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char005.png,渃,U+6E03,nước,high,"716,659,902,797",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char006.png,鯈,U+9BC8,Rô,high,"716,797,902,953",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char007.png,嘛,U+561B,ma,high,"716,953,902,1060",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char008.png,先,U+5148,tên,high,"716,1060,902,1135",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char009.png,号,U+53F7,là,high,"716,1135,902,1297",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char010.png,喳,U+55B3,Tra,high,"716,1297,902,1403",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char011.png,加,U+52A0,gia,high,"716,1403,902,1547",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char012.png,奴,U+5974,nô,high,"716,1547,902,1626",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char013.png,多,U+591A,đi,high,"716,1626,902,1800",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char014.png,打,U+6253,đánh,high,"716,1800,902,1903",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char015.png,特,U+7279,được,high,"716,1903,902,2001",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char016.png,賊,U+8CCA,giặc,high,"716,2001,902,2160",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char017.png,渃,U+6E03,nước,high,"716,2160,902,2235",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char018.png,批,U+6279,Phê,high,"716,2235,902,2381",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char019.png,吹,U+5439,xi,high,"716,2381,902,2506",12,CacThanhTruyen2
crops_cleaned/page_0012/col05_char020.png,哑,U+54D1,a,high,"716,2506,902,2617",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char000.png,嘛,U+561B,mà,high,"562,315,716,411",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char001.png,米,U+7C73,về,high,"562,411,716,530",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char002.png,寺,U+5BFA,thì,high,"562,530,716,608",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char003.png,君,U+541B,vua,high,"562,608,716,728",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char004.png,剐,U+5250,qua,high,"562,728,716,834",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char005.png,城,U+57CE,thành,high,"562,834,716,943",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char006.png,安,U+5B89,An,high,"562,943,716,1052",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char007.png,丝,U+4E1D,ti,high,"562,1052,716,1135",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char008.png,乌,U+4E4C,ô,high,"562,1135,716,1251",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char009.png,其,U+5176,ki,high,"562,1251,716,1330",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char010.png,聯,U+806F,liền,high,"562,1330,716,1465",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char011.png,頺,U+983A,đòi,high,"562,1465,716,1536",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char012.png,昆,U+6606,người,high,"562,1536,716,1618",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char013.png,嘛,U+561B,mà,high,"562,1618,716,1742",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char014.png,𠵩,U+20D69,quở,high,"562,1742,716,1872",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char015.png,浪,U+6D6A,rằng,high,"562,1872,716,1954",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char016.png,眉,U+7709,Mày,high,"562,1954,716,2064",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char017.png,沛,U+6C9B,phải,high,"562,2064,716,2176",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char018.png,貴,U+8CB4,I,high,"562,2176,716,2236",12,CacThanhTruyen2
crops_cleaned/page_0012/col06_char019.png,那,U+90A3,na,high,"562,2236,716,2375",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char000.png,樞,U+6A1E,xu,high,"348,93,562,233",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char001.png,圤,U+5724,người,high,"348,233,562,371",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char002.png,些,U+4E9B,ta,high,"348,371,562,477",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char003.png,哙,U+54D9,gọi,high,"348,477,562,621",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char004.png,浪,U+6D6A,rằng,high,"348,621,562,732",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char005.png,搖,U+6416,Dêu,high,"348,732,562,901",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char006.png,批,U+6279,phê,high,"348,901,562,995",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char007.png,𬠩,U+2C829,rô,high,"348,995,562,1152",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char008.png,壻,U+58FB,dể,high,"348,1152,562,1285",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char009.png,君,U+541B,vua,high,"348,1285,562,1396",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char010.png,庄,U+5E84,chẳng,high,"348,1396,562,1558",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char011.png,祀,U+7940,thờ,high,"348,1558,562,1671",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char012.png,荸,U+8378,bụt,high,"348,1671,562,1806",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char013.png,庄,U+5E84,chăng,high,"348,1806,562,1945",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char014.png,圤,U+5724,Người,high,"348,1945,562,2083",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char015.png,申,U+7533,thưa,high,"348,2083,562,2213",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char016.png,浪,U+6D6A,rằng,high,"348,2213,562,2361",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char017.png,奏,U+594F,Tâu,high,"348,2361,562,2491",12,CacThanhTruyen2
crops_cleaned/page_0012/col07_char018.png,君,U+541B,vua,high,"348,2491,562,2610",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char000.png,沛,U+6C9B,phải,high,"190,105,348,213",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char001.png,碎,U+788E,Tôi,high,"190,213,348,309",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char002.png,昆,U+6606,người,high,"190,309,348,408",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char003.png,些,U+4E9B,ta,high,"190,408,348,497",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char004.png,哙,U+54D9,gọi,high,"190,497,348,576",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char005.png,浪,U+6D6A,rằng,high,"190,576,348,686",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char006.png,摇,U+6447,Dêu,high,"190,686,348,781",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char007.png,批,U+6279,phê,high,"190,781,348,866",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char008.png,鯈,U+9BC8,rô,high,"190,866,348,956",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char009.png,爲,U+7232,vì,high,"190,956,348,1049",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char010.png,中,U+4E2D,trong,high,"190,1049,348,1137",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char011.png,弄,U+5F04,lòng,high,"190,1137,348,1235",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char012.png,鴴,U+9D34,hằng,high,"190,1235,348,1330",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char013.png,想,U+60F3,tưởng,high,"190,1330,348,1454",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char014.png,徳,U+5FB3,Đức,high,"190,1454,348,1542",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char015.png,主,U+4E3B,Chúa,high,"190,1542,348,1639",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char016.png,支,U+652F,Giê,high,"190,1639,348,1706",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char017.png,秋,U+79CB,su,high,"190,1706,348,1830",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char018.png,囉,U+56C9,là,high,"190,1830,348,1904",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char019.png,主,U+4E3B,Chúa,high,"190,1904,348,2001",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char020.png,衆,U+8846,chúng,high,"190,2001,348,2098",12,CacThanhTruyen2
crops_cleaned/page_0012/col08_char021.png,碎,U+788E,tôi,high,"190,2098,348,2199",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char000.png,君,U+541B,Vua,high,"0,110,190,205",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char001.png,嗨,U+55E8,hỏi,high,"0,205,190,324",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char002.png,浪,U+6D6A,rằng,high,"0,324,190,445",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char003.png,啻,U+557B,Ví,high,"0,445,190,529",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char004.png,平,U+5E73,bằng,high,"0,529,190,661",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char005.png,固,U+56FA,có,high,"0,661,190,749",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char006.png,想,U+60F3,tưởng,high,"0,749,190,869",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char007.png,滥,U+6EE5,làm,high,"0,869,190,977",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char008.png,丕,U+4E15,vậy,high,"0,977,190,1067",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char009.png,爲,U+7232,vì,high,"0,1067,190,1187",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char010.png,溞,U+6E9E,tao,high,"0,1187,190,1304",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char011.png,庄,U+5E84,chăng,high,"0,1304,190,1407",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char012.png,想,U+60F3,Tưởng,high,"0,1407,190,1512",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char013.png,荸,U+8378,bụt,high,"0,1512,190,1625",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char014.png,𦔳,U+26533,chữa,high,"0,1625,190,1727",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char015.png,渃,U+6E03,nước,high,"0,1727,190,1835",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char016.png,女,U+5973,nữa,high,"0,1835,190,1926",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char017.png,遊,U+904A,ru,high,"0,1926,190,2075",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char018.png,昆,U+6606,Người,high,"0,2075,190,2180",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char019.png,把,U+628A,trả,high,"0,2180,190,2262",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char020.png,俐,U+4FD0,lời,high,"0,2262,190,2378",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char021.png,浪,U+6D6A,rằng,high,"0,2378,190,2477",12,CacThanhTruyen2
crops_cleaned/page_0012/col09_char022.png,君,U+541B,Vua,high,"0,2477,190,2594",12,CacThanhTruyen2
crops_cleaned/page_0014/col01_char000.png,梞,U+689E,cậy,high,"1596,253,1744,360",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char001.png,法,U+6CD5,phép,high,"1596,360,1744,448",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char002.png,荸,U+8378,bụt,high,"1596,448,1744,567",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char003.png,爫,U+722B,làm,high,"1596,567,1744,652",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char004.png,之,U+4E4B,gì,high,"1596,652,1744,778",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char005.png,固,U+56FA,có,high,"1596,778,1744,860",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char006.png,刎,U+520E,một,high,"1596,860,1744,967",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char007.png,法,U+6CD5,phép,high,"1596,967,1744,1088",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char008.png,徳,U+5FB3,Đức,high,"1596,1088,1744,1179",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char009.png,主,U+4E3B,Chúa,high,"1596,1179,1744,1262",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char010.png,天,U+5929,Trời,high,"1596,1262,1744,1404",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char011.png,磴,U+78F4,dựng,high,"1596,1404,1744,1489",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char012.png,妟,U+599F,nên,high,"1596,1489,1744,1603",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char013.png,天,U+5929,trời,high,"1596,1603,1744,1704",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char014.png,𡐙,U+21419,đất,high,"1596,1704,1744,1796",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char015.png,共,U+5171,cùng,high,"1596,1796,1744,1899",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char016.png,𲈦,U+32226,muôn,high,"1596,1899,1744,1977",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char017.png,物,U+7269,vật,high,"1596,1977,1744,2111",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char018.png,固,U+56FA,có,high,"1596,2111,1744,2209",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char019.png,法,U+6CD5,phép,high,"1596,2209,1744,2311",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char020.png,破,U+7834,phá,high,"1596,2311,1744,2383",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char021.png,荸,U+8378,bụt,high,"1596,2383,1744,2517",14,CacThanhTruyen2
crops_cleaned/page_0014/col01_char022.png,共,U+5171,cùng,high,"1596,2517,1744,2617",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char000.png,灭,U+706D,diệt,high,"1383,101,1596,200",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char001.png,渃,U+6E03,nước,high,"1383,200,1596,332",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char002.png,蔴,U+8534,mà,high,"1383,332,1596,459",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char003.png,陼,U+967C,chớ,high,"1383,459,1596,576",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char004.png,陼,U+967C,Chớ,high,"1383,576,1596,671",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char005.png,之,U+4E4B,gì,high,"1383,671,1596,763",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char006.png,君,U+541B,vua,high,"1383,763,1596,921",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char007.png,别,U+522B,biết,high,"1383,921,1596,1022",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char008.png,事,U+4E8B,sự,high,"1383,1022,1596,1127",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char009.png,尼,U+5C3C,này,high,"1383,1127,1596,1237",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char010.png,煏,U+714F,tỏ,high,"1383,1237,1596,1374",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char011.png,嬙,U+5B19,tường,high,"1383,1374,1596,1482",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char012.png,寺,U+5BFA,thì,high,"1383,1482,1596,1582",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char013.png,庄,U+5E84,chẳng,high,"1383,1582,1596,1684",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char014.png,卢,U+5362,lo,high,"1383,1684,1596,1818",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char015.png,賊,U+8CCA,giặc,high,"1383,1818,1596,1950",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char016.png,共,U+5171,cùng,high,"1383,1950,1596,2045",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char017.png,每,U+6BCF,mọi,high,"1383,2045,1596,2150",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char018.png,事,U+4E8B,sự,high,"1383,2150,1596,2276",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char019.png,庫,U+5EAB,khó,high,"1383,2276,1596,2401",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char020.png,女,U+5973,nữa,high,"1383,2401,1596,2485",14,CacThanhTruyen2
crops_cleaned/page_0014/col02_char021.png,君,U+541B,Vua,high,"1383,2485,1596,2617",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char000.png,賖,U+8CD6,nghe,high,"1154,232,1383,333",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char001.png,痢,U+75E2,lời,high,"1154,333,1383,449",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char002.png,意,U+610F,ấy,high,"1154,449,1383,587",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char003.png,璉,U+7489,liền,high,"1154,587,1383,689",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char004.png,浪,U+6D6A,rằng,high,"1154,689,1383,827",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char005.png,唁,U+5501,Nói,high,"1154,827,1383,889",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char006.png,旦,U+65E6,đến,high,"1154,889,1383,1035",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char007.png,事,U+4E8B,sự,high,"1154,1035,1383,1133",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char008.png,意,U+610F,ấy,high,"1154,1133,1383,1260",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char009.png,爫,U+722B,làm,high,"1154,1260,1383,1352",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char010.png,之,U+4E4B,gì,high,"1154,1352,1383,1493",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char011.png,眉,U+7709,Mày,high,"1154,1493,1383,1589",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char012.png,满,U+6EE1,muốn,high,"1154,1589,1383,1716",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char013.png,葉,U+8449,đẹp,high,"1154,1716,1383,1808",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char014.png,弄,U+5F04,lòng,high,"1154,1808,1383,1936",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char015.png,溞,U+6E9E,tao,high,"1154,1936,1383,2044",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char016.png,寺,U+5BFA,thì,high,"1154,2044,1383,2149",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char017.png,補,U+88DC,bỏ,high,"1154,2149,1383,2284",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char018.png,意,U+610F,ý,high,"1154,2284,1383,2390",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char019.png,眉,U+7709,mày,high,"1154,2390,1383,2486",14,CacThanhTruyen2
crops_cleaned/page_0014/col03_char020.png,蔴,U+8534,mà,high,"1154,2486,1383,2617",14,CacThanhTruyen2
