book,page,column,nom_idx,fold,p_visual,argmax_syl,max_prob
stt11,page_0010_p0028,6,2,1,0.0,cả,0.9721
stt11,page_0010_p0028,6,3,1,0.0,chưng,0.0913
stt11,page_0010_p0028,6,4,1,1e-04,chưng,0.1949
stt11,page_0010_p0028,6,5,1,0.0014,người,0.1264
stt11,page_0010_p0028,6,6,1,0.0007,dù,0.4902
stt11,page_0010_p0028,6,7,1,0.0009,là,0.1603
stt11,page_0010_p0028,7,0,1,0.2602,ông,0.6801
stt11,page_0010_p0028,7,1,1,0.9596,thánh,0.9596
stt11,page_0010_p0028,7,2,1,0.0002,pha,0.9826
stt11,page_0010_p0028,7,3,1,0.0003,pha,0.9137
stt11,page_0010_p0028,7,4,1,0.0002,vậy,0.8928
stt11,page_0010_p0028,7,5,1,0.0,ô,0.9603
stt11,page_0010_p0028,7,6,1,1e-04,thứ,0.8619
stt11,page_0010_p0028,7,7,1,0.0002,tội,0.146
stt11,page_0010_p0028,7,8,1,0.0,cùng,0.8092
stt11,page_0010_p0028,7,9,1,0.0,triều,0.6561
stt11,page_0010_p0028,7,10,1,0.0,cho,0.4327
stt11,page_0010_p0028,7,11,1,0.0004,có,0.9361
stt11,page_0010_p0028,7,12,1,1e-04,lắm,0.8708
stt11,page_0010_p0028,7,13,1,1e-04,thì,0.8991
stt11,page_0010_p0028,7,14,1,0.0012,chăng,0.4117
stt11,page_0010_p0028,7,15,1,1e-04,kể,0.3807
stt11,page_0010_p0028,7,16,1,0.0,sự,0.9816
stt11,page_0010_p0028,7,17,1,1e-04,ấy,0.8349
stt11,page_0010_p0028,7,18,1,0.0,bằng,0.483
stt11,page_0010_p0028,7,19,1,0.0,giúp,0.9509
stt11,page_0010_p0028,7,20,1,0.0,linh,0.8997
stt11,page_0010_p0028,7,21,1,0.0006,hồn,0.5067
stt11,page_0010_p0028,8,0,1,0.0,người,0.7577
stt11,page_0010_p0028,8,1,1,0.0018,ta,0.4997
stt11,page_0010_p0028,8,2,1,1e-04,lên,0.945
stt11,page_0010_p0028,8,3,1,0.0,thiên,0.987
stt11,page_0010_p0028,8,4,1,0.0002,đàng,0.8811
stt11,page_0010_p0028,8,5,1,0.0363,vậy,0.8414
stt11,page_0010_p0028,8,6,1,0.0,ngày,0.9611
stt11,page_0010_p0028,8,7,1,1e-04,người,0.8034
stt11,page_0010_p0028,8,8,1,0.0007,những,0.6767
stt11,page_0010_p0028,8,9,1,0.8362,cùng,0.8362
stt11,page_0010_p0028,8,10,1,0.0043,người,0.7732
stt11,page_0010_p0028,8,11,1,0.0,ta,0.9207
stt11,page_0010_p0028,8,12,1,0.0188,được,0.6738
stt11,page_0010_p0028,8,13,1,0.0,khỏi,0.7139
stt11,page_0010_p0028,8,14,1,0.0,tay,0.7185
stt11,page_0010_p0028,8,15,1,1e-04,quỷ,0.8133
stt11,page_0010_p0028,8,16,1,0.0,người,0.8318
stt11,page_0010_p0028,8,17,1,0.0002,cai,0.2147
stt11,page_0010_p0028,8,18,1,0.0003,thành,0.6679
stt11,page_0010_p0028,8,19,1,0.0002,rô,0.7815
stt11,page_0010_p0028,9,0,1,0.1055,mày,0.3935
stt11,page_0010_p0028,9,1,1,0.0146,vàng,0.0997
stt11,page_0010_p0028,9,2,1,0.9633,mà,0.9633
stt11,page_0010_p0028,9,3,1,0.9579,thấy,0.9579
stt11,page_0010_p0028,9,4,1,0.7204,đức,0.7204
stt11,page_0010_p0028,9,5,1,0.7987,chúa,0.7987
stt11,page_0010_p0028,9,6,1,0.8225,trời,0.8225
stt11,page_0010_p0028,9,7,1,0.0454,trong,0.0606
stt11,page_0010_p0028,9,8,1,0.5676,thành,0.5676
stt11,page_0010_p0028,9,9,1,0.0323,thánh,0.0871
stt11,page_0010_p0028,9,10,1,0.5395,vì,0.5395
stt11,page_0010_p0028,9,11,1,0.0514,chăng,0.0987
stt11,page_0010_p0028,9,12,1,0.757,tật,0.757
stt11,page_0010_p0028,9,13,1,0.0,mà,0.0618
stt11,page_0010_p0028,9,14,1,0.0311,nơi,0.039
stt11,page_0010_p0028,9,15,1,0.0029,rằng,0.1097
stt11,page_0010_p0028,9,16,1,0.0036,bụt,0.0392
stt11,page_0010_p0028,9,17,1,0.0035,rô,0.0531
stt11,page_0010_p0028,9,18,1,0.7112,người,0.7112
stt11,page_0010_p0028,9,19,1,0.0,trong,0.2066
stt11,page_0010_p0028,9,20,1,0.1836,thì,0.2258
stt11,page_0010_p0028,9,21,1,0.0178,nên,0.0527
stt11,page_0010_p0220,1,0,0,0.3999,trăm,0.3999
stt11,page_0010_p0220,1,1,0,0.8676,người,0.8676
stt11,page_0010_p0220,1,2,0,0.9842,mà,0.9842
stt11,page_0010_p0220,1,3,0,0.9561,trong,0.9561
stt11,page_0010_p0220,1,4,0,0.9768,một,0.9768
stt11,page_0010_p0220,1,5,0,0.5208,năm,0.5208
stt11,page_0010_p0220,1,6,0,0.807,thì,0.807
stt11,page_0010_p0220,1,7,0,0.0002,chữ,0.2168
stt11,page_0010_p0220,1,8,0,0.9085,nên,0.9085
stt11,page_0010_p0220,1,9,0,0.6629,bảy,0.6629
stt11,page_0010_p0220,1,10,0,0.872,mươi,0.872
stt11,page_0010_p0220,1,11,0,0.2498,lăm,0.2498
stt11,page_0010_p0220,1,12,0,0.9811,nhà,0.9811
stt11,page_0010_p0220,1,13,0,1e-04,đức,0.9339
stt11,page_0010_p0220,1,14,0,0.5456,chúa,0.5456
stt11,page_0010_p0220,1,15,0,0.3476,ở,0.3476
stt11,page_0010_p0220,1,16,0,0.2502,chung,0.2502
stt11,page_0010_p0220,1,17,0,0.0302,năng,0.2946
stt11,page_0010_p0220,1,18,0,0.0238,xuống,0.08
stt11,page_0010_p0220,1,19,0,0.9678,vua,0.9678
stt11,page_0010_p0220,2,0,0,0.0152,mẹ,0.0859
stt11,page_0010_p0220,2,1,0,0.5762,tiếng,0.5762
stt11,page_0010_p0220,2,2,0,0.9684,sự,0.9684
stt11,page_0010_p0220,2,3,0,0.8697,làm,0.8697
stt11,page_0010_p0220,2,4,0,0.9406,vậy,0.9406
stt11,page_0010_p0220,2,5,0,0.8427,liền,0.8427
stt11,page_0010_p0220,2,6,0,0.9744,sai,0.9744
stt11,page_0010_p0220,2,7,0,0.7572,một,0.7572
stt11,page_0010_p0220,2,8,0,0.9294,quan,0.9294
stt11,page_0010_p0220,2,9,0,0.7225,phạt,0.7225
stt11,page_0010_p0220,2,10,0,0.8518,kẻ,0.8518
stt11,page_0010_p0220,2,11,0,0.9819,có,0.9819
stt11,page_0010_p0220,2,12,0,0.9832,đạo,0.9832
stt11,page_0010_p0220,2,13,0,0.2071,những,0.4948
stt11,page_0010_p0220,2,14,0,0.8083,mà,0.8083
stt11,page_0010_p0220,2,15,0,0.9703,thấy,0.9703
stt11,page_0010_p0220,2,16,0,0.5649,càng,0.5649
stt11,page_0010_p0220,2,17,0,0.0094,chết,0.6025
stt11,page_0010_p0220,2,18,0,0.1405,nhau,0.3587
stt11,page_0010_p0220,2,19,0,0.8872,người,0.8872
stt11,page_0010_p0220,2,20,0,0.8176,thì,0.8176
stt11,page_0010_p0220,3,0,0,0.8165,càng,0.8165
stt11,page_0010_p0220,3,1,0,0.8606,tin,0.8606
stt11,page_0010_p0220,3,2,0,0.1256,nửa,0.1834
stt11,page_0010_p0220,3,3,0,0.957,thì,0.957
stt11,page_0010_p0220,3,4,0,0.906,dạy,0.906
stt11,page_0010_p0220,3,5,0,0.1768,buộc,0.1768
stt11,page_0010_p0220,3,6,0,0.4635,cổ,0.4635
stt11,page_0010_p0220,3,7,0,0.8965,người,0.8965
stt11,page_0010_p0220,3,8,0,0.0019,cô,0.1464
stt11,page_0010_p0220,3,9,0,0.6382,dây,0.6382
stt11,page_0010_p0220,3,10,0,0.0,nào,0.1068
stt11,page_0010_p0220,3,11,0,0.332,cùng,0.332
stt11,page_0010_p0220,3,12,0,0.4323,cái,0.4323
stt11,page_0010_p0220,3,13,0,0.0457,cắt,0.0687
stt11,page_0010_p0220,3,14,0,0.0,hồn,0.1032
stt11,page_0010_p0220,3,15,0,0.838,mà,0.838
stt11,page_0010_p0220,3,16,0,0.0,ở,0.3527
stt11,page_0010_p0220,3,17,0,0.949,xuống,0.949
stt11,page_0010_p0220,3,18,0,0.0,đấy,0.0421
stt11,page_0010_p0220,3,19,0,0.929,kẻo,0.929
stt11,page_0010_p0220,4,0,0,0.065,bởi,0.3938
stt11,page_0010_p0220,4,1,0,0.6865,tớ,0.6865
stt11,page_0010_p0220,4,2,0,0.7596,lấy,0.7596
stt11,page_0010_p0220,4,3,0,0.7825,xác,0.7825
stt11,page_0010_p0220,4,4,0,0.8575,người,0.8575
stt11,page_0010_p0220,4,5,0,0.9621,mà,0.9621
stt11,page_0010_p0220,4,6,0,0.9676,thờ,0.9676
stt11,page_0010_p0220,4,7,0,0.9152,các,0.9152
stt11,page_0010_p0220,4,8,0,0.0,bổn,0.7812
stt11,page_0010_p0220,4,9,0,0.9751,đạo,0.9751
stt11,page_0010_p0220,4,10,0,0.5341,nghe,0.5341
stt11,page_0010_p0220,4,11,0,0.9067,tin,0.9067
stt11,page_0010_p0220,4,12,0,0.7941,dữ,0.7941
stt11,page_0010_p0220,4,13,0,0.5206,ấy,0.5206
stt11,page_0010_p0220,4,14,0,0.7032,khóc,0.7032
stt11,page_0010_p0220,4,15,0,0.1202,mô,0.1346
stt11,page_0010_p0220,4,16,0,0.6221,kêu,0.6221
stt11,page_0010_p0220,4,17,0,0.9719,cả,0.9719
stt11,page_0010_p0220,4,18,0,0.575,tiếng,0.575
stt11,page_0010_p0220,4,19,0,0.6265,như,0.6265
stt11,page_0010_p0220,4,20,0,0.7939,kẻ,0.7939
stt11,page_0010_p0220,4,21,0,0.0419,sự,0.0796
stt11,page_0010_p0220,4,22,0,0.8128,cha,0.8128
stt11,page_0010_p0220,5,0,0,0.0,khi,0.1866
stt11,page_0010_p0220,5,1,0,0.7214,sinh,0.7214
stt11,page_0010_p0220,5,2,0,0.7737,ra,0.7737
stt11,page_0010_p0220,5,3,0,0.776,mình,0.776
stt11,page_0010_p0220,5,4,0,0.0029,cậy,0.0717
stt11,page_0010_p0220,5,5,0,0.9073,giờ,0.9073
stt11,page_0010_p0220,5,6,0,0.8897,người,0.8897
stt11,page_0010_p0220,5,7,0,0.9523,thương,0.9523
stt11,page_0010_p0220,5,8,0,0.9793,lắm,0.9793
stt11,page_0010_p0220,5,9,0,0.8353,cầm,0.8353
stt11,page_0010_p0220,5,10,0,0.9134,nước,0.9134
stt11,page_0010_p0220,5,11,0,0.0574,mát,0.3757
stt11,page_0010_p0220,5,12,0,0.52,chẳng,0.52
stt11,page_0010_p0220,5,13,0,0.9851,được,0.9851
stt11,page_0010_p0220,5,14,0,0.0004,thứ,0.1226
stt11,page_0010_p0220,5,15,0,0.5573,bỏ,0.5573
stt11,page_0010_p0220,5,16,0,0.828,người,0.828
stt11,page_0010_p0220,5,17,0,0.6183,xuống,0.6183
stt11,page_0010_p0220,5,18,0,0.0,kẻo,0.0507
stt11,page_0010_p0220,5,19,0,0.7869,các,0.7869
stt11,page_0010_p0220,5,20,0,0.0,bổn,0.5735
stt11,page_0010_p0220,6,0,0,0.9474,đạo,0.9474
stt11,page_0010_p0220,6,1,0,0.9029,ở,0.9029
stt11,page_0010_p0220,6,2,0,0.1995,liền,0.4676
stt11,page_0010_p0220,6,3,0,0.0,bởi,0.7003
stt11,page_0010_p0220,6,4,0,0.9199,mà,0.9199
stt11,page_0010_p0220,6,5,0,0.6623,xem,0.6623
stt11,page_0010_p0220,6,6,0,0.8827,cùng,0.8827
stt11,page_0010_p0220,6,7,0,0.4031,kêu,0.4031
stt11,page_0010_p0220,6,8,0,0.8216,cả,0.8216
stt11,page_0010_p0220,6,9,0,0.9922,tiếng,0.9922
stt11,page_0010_p0220,6,10,0,0.7541,răng,0.7541
stt11,page_0010_p0220,6,11,0,0.8041,đức,0.8041
stt11,page_0010_p0220,6,12,0,0.9533,chúa,0.9533
stt11,page_0010_p0220,6,13,0,0.9766,trời,0.9766
stt11,page_0010_p0220,6,14,0,0.7586,hãy,0.7586
stt11,page_0010_p0220,6,15,0,0.9772,chữa,0.9772
stt11,page_0010_p0220,6,16,0,0.9702,lấy,0.9702
stt11,page_0010_p0220,6,17,0,0.826,thầy,0.826
stt11,page_0010_p0220,6,18,0,0.1379,thầy,0.1575
stt11,page_0010_p0220,6,19,0,0.9278,tôi,0.9278
stt11,page_0010_p0220,6,20,0,0.9295,người,0.9295
stt11,page_0010_p0220,6,21,0,0.0,nguyện,0.2721
stt11,page_0010_p0220,7,0,0,0.3562,răng,0.4068
stt11,page_0010_p0220,7,1,0,0.0337,lấy,0.0358
stt11,page_0010_p0220,7,2,0,0.009,tôi,0.4813
stt11,page_0010_p0220,7,3,0,0.5274,tôi,0.5274
