id_lop,uu_tien,nguon,book,syllable,ma_da_so,u_da_so,ma_thieu_so,u_thieu_so,n_da_so,n_thieu_so,n_da_so_moi_tier,n_thieu_so_moi_tier,e3_verdict,e3_nB,e3_knn,e3_hog,e3_look,e3_M,e3_L,hog_bacc_v3,tn_look,da_so_trong_R,thieu_so_trong_R,R_am,nhan_khac_cung_sach,sach_khac,cs_ket_luan,cs_sua_thanh,cs_ung_vien,cs_so_dong,da_co_yaml_id
L017_stt4_như_5982_8304,1,CS+E3+TN,stt4,như,如,U+5982,茄,U+8304,34,19,34,19,MOT,19,0.51,0.46,False,如,茄,0.61,False,True,True,伽侞如娘帤洳茄茹蕠袽銣铷鴽䋈𣹤襦,,stt2: 如 85 / 茄 0; stt11: 如 67 / 茄 0,G. ÂM LỆCH – NÊN XEM LẠI,如,"如(187), 茹(2), 洳(0), 袽(0), 鴽(0)",19,
L018_stt2_lắm_51dc_5eea,1,E3+TN,stt2,lắm,凜,U+51DC,廪,U+5EEA,21,17,21,17,MOT,26,0.54,0.41,False,廪,凜,0.37,False,True,True,凛凜夦廩廪林澟禀稟贑㐭𡀫𡗋𢈺𢊣𢊬𢊸𢋏𢋕𤯑𥜘𥠌𪥀𪩦󰖎󰡌󱚒󱞴󱨫󱪖,凛:5,stt4: 凜 24 / 廪 38; stt11: 凜 69 / 廪 1,,,,,
L019_stt2_được_7279_6642,1,CS+E3+TN,stt2,được,特,U+7279,時,U+6642,206,17,206,17,MOT,17,0.53,0.5,True,特,時,0.5,True,True,True,待得持時特犆㝵㝶䗂䙷䙸𠊚𠭁𢔨𢔶𤙫𤙰𤛀𥩳𧴫󱡓,持:10,stt4: 特 234 / 時 12; stt11: 特 196 / 時 9,G. ÂM LỆCH – NÊN XEM LẠI,特,特(639),39,
L020_stt4_liền_9023_84ee,1,E3+TN,stt4,liền,連,U+9023,蓮,U+84EE,137,17,137,17,MOT,18,0.53,0.5,True,連,蓮,0.5,True,True,True,吝嗹恡悋槤璉聨聫聮聯蓮連㖁㜕䏈𠫤𠯌𠯛𠲲𠳈𠳺𠳻𠴽𢙵𦕱𦖹𦘈𨘑𫢧,,stt2: 連 145 / 蓮 12; stt11: 連 139 / 蓮 2,,,,,
L021_stt11_đến_65e6_4e14,1,CS+E3+TN,stt11,đến,旦,U+65E6,且,U+4E14,189,15,189,15,MOT,15,0.5,0.5,True,旦,且,0.5,True,True,True,且但倎典彣敟旦細蛋貝㫜䓦𠔓𠔩𠔰𢻅𣅂𥮏𦤾𦥃𨀏,,stt2: 旦 212 / 且 1; stt4: 旦 140 / 且 1,G. ÂM LỆCH – NÊN XEM LẠI,旦,"旦(543), 𦤾(0)",17,
L022_stt4_một_6ca1_6bb3,1,CS+E3+TN,stt4,một,没,U+6CA1,殳,U+6BB3,87,15,87,15,MOT,31,0.54,0.48,True,没,殳,0.5,True,True,True,𱥺刎圽堆墓更歾歿殁殳沒没痗蔑車默𠬛𠬠𠬸𣇶𣧒𣨏𣳚𣴬𦐲𩑦󰓳󰜋󱘴,沒:17 殁:7 歿:2 蔑:1,stt2: 没 46 / 殳 0; stt11: 没 5 / 殳 1,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,没,"没(138), 沒(18), 殁(10), 歿(3), 歾(0)",33,
L023_stt11_thì_6642_5bfa,1,CS+E3+TN,stt11,thì,時,U+6642,寺,U+5BFA,608,13,608,13,MOT,14,0.5,0.54,False,時,寺,0.5,False,True,True,𱢑匙埘塒寺峕常提时旹時晨曟榯氏畤秲茄莳蒔辰鍉鰣鲥㔭㫑㫭㮛䈕䢈𠨱𠨷𠩐𠩟𠱾𡗶𡺈𡺞𢁈𣅱𣈜𥊘𥫽𦔌𦱎𦱗𦸎𨑃𨑄𨥌𩶬𪰛𬀦󰣡󱞑㖘,,stt2: 時 16 / 寺 257; stt4: 時 374 / 寺 135,G. ÂM LỆCH – NÊN XEM LẠI,時,"時(1001), 时(2), 莳(2), 鰣(2), 塒(1)",411,
L024_stt2_liền_9023_84ee,1,E3+TN,stt2,liền,連,U+9023,蓮,U+84EE,145,12,145,12,MOT,12,0.5,0.5,True,連,蓮,0.5,True,True,True,吝嗹恡悋槤璉聨聫聮聯蓮連㖁㜕䏈𠫤𠯌𠯛𠲲𠳈𠳺𠳻𠴽𢙵𦕱𦖹𦘈𨘑𫢧,,stt4: 連 137 / 蓮 17; stt11: 連 139 / 蓮 2,,,,,
L025_stt2_đã_340c_4e5f,1,E3+TN,stt2,đã,㐌,U+340C,也,U+4E5F,28,12,28,12,MOT,12,0.48,0.53,True,㐌,也,0.53,True,True,True,乑也卒吏吔它拖易胣諸陀㐌𠰹𢒕𣦁𧭷,拖:3 吔:1,stt4: 㐌 74 / 也 8; stt11: 㐌 12 / 也 0,,,,,
L026_stt4_được_7279_6642,1,CS+E3+TN,stt4,được,特,U+7279,時,U+6642,234,12,234,12,MOT,13,0.5,0.5,True,特,時,0.5,True,True,True,待得持時特犆㝵㝶䗂䙷䙸𠊚𠭁𢔨𢔶𤙫𤙰𤛀𥩳𧴫󱡓,持:10 待:1,stt2: 特 206 / 時 17; stt11: 特 196 / 時 9,G. ÂM LỆCH – NÊN XEM LẠI,特,特(639),39,
L027_stt11_cả_7ad2_54ff,1,E3+TN,stt11,cả,竒,U+7AD2,哿,U+54FF,14,11,14,11,MOT,11,0.57,0.46,False,竒,哿,0.32,False,True,True,仍哿垰奇架竒𠵲𪥘󱝝󱝮󱼓,奇:6,stt2: 竒 3 / 哿 13; stt4: 竒 6 / 哿 7,,,,,
L028_stt2_phải_6c9b_4f02,1,CS+E3+TN,stt2,phải,沛,U+6C9B,伂,U+4F02,66,11,66,11,MOT,11,0.49,0.49,False,沛,伂,0.49,False,True,True,仕伂塊折拜拝朝沛派芾霈㳈𡴬𢪙𢫶𢮠𢰛𢱭𢳎𢴽𢷎𢹄𣧙𣬊𣬓𥙅𨀪𨀲𨙶𬆃,,stt4: 沛 20 / 伂 40; stt11: 沛 78 / 伂 2,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,沛,沛(166),54,
L029_stt11_hồn_9b42_584a,1,CS+E3+TN,stt11,hồn,魂,U+9B42,塊,U+584A,31,10,31,10,MOT,10,0.48,0.45,True,魂,塊,0.44,True,True,True,塊愧捆楎浑混渾珲琿緷諢诨隗顐餛餫馄魂魄鼲䊐䰟𠇌𠺌𧮘𩲉𭡏󰄒,魄:1 混:1,stt2: 魂 50 / 塊 0; stt4: 魂 6 / 塊 0,G. ÂM LỆCH – NÊN XEM LẠI,魂,"魂(87), 浑(0), 渾(0), 珲(0), 琿(0)",10,
L030_stt11_một_66f4_8511,1,E3+TN,stt11,một,更,U+66F4,蔑,U+8511,31,10,31,10,MOT,10,0.58,0.5,False,更,蔑,0.45,False,True,True,𱥺刎圽堆墓更歾歿殁殳沒没痗蔑車默𠬛𠬠𠬸𣇶𣧒𣨏𣳚𣴬𦐲𩑦󰓳󰜋󱘴,没:5 墓:5 殳:1,stt2: 更 0 / 蔑 34; stt4: 更 0 / 蔑 1,,,,,
L031_stt2_được_7279_6301,1,CS+E3+TN,stt2,được,特,U+7279,持,U+6301,206,10,206,10,MOT,10,0.5,0.5,True,特,持,0.5,True,True,True,待得持時特犆㝵㝶䗂䙷䙸𠊚𠭁𢔨𢔶𤙫𤙰𤛀𥩳𧴫󱡓,時:17,stt4: 特 234 / 持 10; stt11: 特 196 / 持 1,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,特,特(639),21,
L032_stt4_xin_771f_55d4,1,CS+E3+TN,stt4,xin,真,U+771F,嗔,U+55D4,22,10,22,10,MOT,10,0.5,0.48,True,真,嗔,0.45,True,True,True,吀吒嗔填真謓㥲𡃑,填:20,stt2: 真 37 / 嗔 38; stt11: 真 29 / 嗔 25,G. ÂM LỆCH – NÊN XEM LẠI,吀,吀(0),75,
L033_stt4_được_7279_6301,1,CS+E3+TN,stt4,được,特,U+7279,持,U+6301,234,10,234,10,MOT,10,0.5,0.5,True,特,持,0.5,True,True,True,待得持時特犆㝵㝶䗂䙷䙸𠊚𠭁𢔨𢔶𤙫𤙰𤛀𥩳𧴫󱡓,時:12 待:1,stt2: 特 206 / 持 10; stt11: 特 196 / 持 1,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,特,特(639),21,
L034_stt11_lần_541d_5404,1,CS+E3+TN,stt11,lần,吝,U+541D,各,U+5404,27,9,27,9,MOT,9,0.5,0.54,True,吝,各,0.63,True,True,True,各吝夤寅層恡悋濥路㖁㝙𠞺𠫤𠯌𠯛𠲲𠳈𠳺𠳻𠴽𡓓𡓵𡨒𡩟𡩪𡫫𡽘𢁐𢙵𢭹𣍵𥦕𦦚𨁮𨱴𫬪󱪻,,stt2: 吝 13 / 各 3; stt4: 吝 34 / 各 4,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,吝,吝(81),17,
L035_stt11_nhà_8339_8304,1,E3+TN,stt11,nhà,茹,U+8339,茄,U+8304,76,9,76,9,MOT,9,0.5,0.5,True,茹,茄,0.5,True,True,True,伽傢如宊家牙芽茄茹䋈𠖔𡧚𡩀𡩅𡩙𡩚𡩵𨔽󰕒,如:4,stt2: 茹 30 / 茄 2; stt4: 茹 4 / 茄 2,,,,,
L036_stt11_được_7279_6642,1,CS+E3+TN,stt11,được,特,U+7279,時,U+6642,196,9,196,9,MOT,9,0.5,0.5,True,特,時,0.5,True,True,True,待得持時特犆㝵㝶䗂䙷䙸𠊚𠭁𢔨𢔶𤙫𤙰𤛀𥩳𧴫󱡓,持:1,stt2: 特 206 / 時 17; stt4: 特 234 / 時 12,G. ÂM LỆCH – NÊN XEM LẠI,特,特(639),39,
L037_stt2_ai_57c3_5509,1,E3+TN,stt2,ai,埃,U+57C3,唉,U+5509,26,9,26,9,MOT,9,0.46,0.44,True,埃,唉,0.46,True,True,True,ヌ些偯剴匕哀哎唉嗳噯埃娭它挨捱捽欸絯誒诶鎄鑀锿㗒𠳒𢖵𢜺𢰇霭靄,挨:4,stt4: 埃 8 / 唉 4; stt11: 埃 40 / 唉 2,,,,,
L038_stt2_khăn_4e2d_5dfe,1,E3+TN,stt2,khăn,中,U+4E2D,巾,U+5DFE,15,8,15,8,MOT,8,0.57,0.5,True,中,巾,0.37,True,True,True,中巾斤看䘜𫋵𫩒󰛷󱏻󱼋,,stt4: 中 5 / 巾 8; stt11: 中 6 / 巾 4,,,,,
L039_stt4_đã_340c_4e5f,1,E3+TN,stt4,đã,㐌,U+340C,也,U+4E5F,74,8,74,8,MOT,8,0.5,0.5,True,㐌,也,0.5,True,True,True,乑也卒吏吔它拖易胣諸陀㐌𠰹𢒕𣦁𧭷,拖:4,stt2: 㐌 28 / 也 12; stt11: 㐌 12 / 也 0,,,,,
L040_stt4_đến_65e6_4f46,1,E3+TN,stt4,đến,旦,U+65E6,但,U+4F46,140,8,140,8,MOT,8,0.5,0.5,True,旦,但,0.5,True,True,True,且但倎典彣敟旦細蛋貝㫜䓦𠔓𠔩𠔰𢻅𣅂𥮏𦤾𦥃𨀏,𨀏:1 且:1,stt2: 旦 212 / 但 2; stt11: 旦 189 / 但 0,,,,,
L041_stt4_một_6ca1_6b81,1,E3+TN,stt4,một,没,U+6CA1,殁,U+6B81,87,7,87,7,MOT,8,0.5,0.5,True,没,殁,0.5,True,True,True,𱥺刎圽堆墓更歾歿殁殳沒没痗蔑車默𠬛𠬠𠬸𣇶𣧒𣨏𣳚𣴬𦐲𩑦󰓳󰜋󱘴,沒:17 殳:15 歿:2 蔑:1,stt2: 没 46 / 殁 0; stt11: 没 5 / 殁 0,,,,,
L042_stt2_về_275f1_885b,1,E3+TN,stt2,về,𧗱,U+275F1,衛,U+885B,43,6,43,6,MOT,8,0.5,0.5,False,𧗱,衛,0.5,False,True,True,𱸳揮撝皮米耒衛衞還駆䘙𠀄𡗅𢠿𧗱𩤸𬩍󰓟󰡲󱘌󱪲󱭚𧖑,衞:1,stt4: 𧗱 11 / 衛 6; stt11: 𧗱 8 / 衛 1,,,,,
L043_stt2_lắm_5eea_51db,1,E3,stt2,lắm,廪,U+5EEA,凛,U+51DB,17,5,17,5,MOT,8,0.59,0.55,True,廪,凛,0.5,,True,True,凛凜夦廩廪林澟禀稟贑㐭𡀫𡗋𢈺𢊣𢊬𢊸𢋏𢋕𤯑𥜘𥠌𪥀𪩦󰖎󰡌󱚒󱞴󱨫󱪖,凜:21,stt4: 廪 38 / 凛 2; stt11: 廪 1 / 凛 2,,,,,
L044_stt11_ngày_6642_2321c,1,E3,stt11,ngày,時,U+6642,𣈜,U+2321C,19,1,19,1,MOT,13,0.49,0.44,False,時,𣈜,,,True,True,ヌ匕又挧時㝵𣈗𣈜𣦍𬏝,,stt2: 時 45 / 𣈜 6; stt4: 時 0 / 𣈜 0,,,,,
L045_stt2_chăng_5e84_751f,2,E3+TN,stt2,chăng,庄,U+5E84,生,U+751F,179,37,179,37,mo,38,0.6,0.52,False,庄,生,0.57,False,True,True,丕仳庄庒弡張拯生空荘莊㔻㽵𠗎𠦓𠲕𤕶𤖄𤖈𦀾𦻊𧜖𫽄󰝸󱣟,庒:12,stt4: 庄 161 / 生 99; stt11: 庄 64 / 生 1,,,,,
L046_stt2_xin_55d4_771f,2,CS+E3+TN,stt2,xin,嗔,U+55D4,真,U+771F,38,37,38,37,mo,39,0.63,0.47,True,嗔,真,0.41,True,True,True,吀吒嗔填真謓㥲𡃑,,stt4: 嗔 10 / 真 22; stt11: 嗔 25 / 真 29,G. ÂM LỆCH – NÊN XEM LẠI,吀,吀(0),90,
L047_stt4_xin_771f_586b,2,CS+E3+TN,stt4,xin,真,U+771F,填,U+586B,22,20,22,20,mo,20,0.61,0.47,True,真,填,0.4,True,True,True,吀吒嗔填真謓㥲𡃑,嗔:10,stt2: 真 37 / 填 0; stt11: 真 29 / 填 0,G. ÂM LỆCH – NÊN XEM LẠI,吀,吀(0),20,
L048_stt2_nhà_8339_5982,2,E3+TN,stt2,nhà,茹,U+8339,如,U+5982,30,17,30,17,mo,17,0.62,0.46,False,茹,如,0.45,False,True,True,伽傢如宊家牙芽茄茹䋈𠖔𡧚𡩀𡩅𡩙𡩚𡩵𨔽󰕒,茄:2,stt4: 茹 4 / 如 7; stt11: 茹 76 / 如 4,,,,,
L049_stt2_càng_5f3a_5f37,2,E3+TN,stt2,càng,强,U+5F3A,強,U+5F37,18,14,18,14,mo,14,0.62,0.48,True,强,強,0.54,True,True,True,乾亘岡強强彊犟綱𢏟𣚦𥆁𧈧𧖑𪨈𫋙𮜓󱢥,,stt4: 强 9 / 強 7; stt11: 强 22 / 強 5,,,,,
L050_stt2_trên_9023_84ee,2,E3+TN,stt2,trên,連,U+9023,蓮,U+84EE,36,11,36,11,mo,12,0.61,0.5,True,連,蓮,0.47,True,True,True,珕蓮連𨑗𨕭𨖲𬨺󰓱,,stt4: 連 63 / 蓮 4; stt11: 連 55 / 蓮 2,,,,,
L051_stt2_để_5e95_3873,2,E3+TN,stt2,để,底,U+5E95,㡳,U+3873,16,11,16,11,mo,11,0.66,0.59,False,底,㡳,0.56,False,True,True,低厎呧坻帝底弤悌扺抵拞掋提柢氐牴的砥羝舐舓觝詆诋軧邸阺骶㡳䂡䣌𠥯𠨿𠫜𠫦𠱎𠱱𠳉𢂇𢇝𢇨𢇹𢪔𤘳𤙆𤙊𤚃𥐺𧣎𧣓𧣜𧤲𧤶𧥮𧦄𧦒𧦚𧦺𧨱𨚎𨚏𩨤󰐆󱲥扙荑,,stt4: 底 37 / 㡳 0; stt11: 底 28 / 㡳 1,,,,,
L052_stt4_tốt_5352_7aa3,2,E3+TN,stt4,tốt,卒,U+5352,窣,U+7AA3,12,11,12,11,mo,11,0.61,0.3,False,卒,窣,0.43,False,True,True,倅卆卒岹崒崪挨捽窣茂䘚䘹𠥾𡄰𡨧𡸝𢪄𢬪𣨛𧍉𨒳𩫛𬙼,𡨧:7 崒:1,stt2: 卒 15 / 窣 1; stt11: 卒 21 / 窣 0,,,,,
L053_stt2_thờ_9664_870d,2,E3+TN,stt2,thờ,除,U+9664,蜍,U+870D,18,10,18,10,mo,10,0.66,0.44,True,除,蜍,0.52,True,True,True,𰨂俆徐悇扵承於烏祀祠蜍蠩賒踈除䜹𠄜𣱏𤋬𤕘𥚤𨑦𫀟󰯺󱡖,,stt4: 除 0 / 蜍 28; stt11: 除 0 / 蜍 45,,,,,
L054_stt2_ngày_6642_2321c,2,E3+TN,stt2,ngày,時,U+6642,𣈜,U+2321C,45,6,45,6,mo,44,0.7,0.53,False,時,𣈜,0.5,False,True,True,ヌ匕又挧時㝵𣈗𣈜𣦍𬏝,㝵:7,stt4: 時 0 / 𣈜 0; stt11: 時 19 / 𣈜 1,,,,,
L055_stt11_nói_5450_5185,3,TN,stt11,nói,呐,U+5450,内,U+5185,16,7,16,7,,,,,,,,0.44,True,True,True,內内叻吶呐唁尼曰訥㐻㕯𠺶𡗠𧨣,吶:6,stt2: 呐 27 / 内 19; stt4: 呐 41 / 内 5,,,,,
L056_stt2_ma_9ebb_9b54,3,TN,stt2,ma,麻,U+9EBB,魔,U+9B54,11,7,11,7,,,,,,,,0.72,True,True,True,么吗嗎嘛嚒嚜妈媽嫫嬤嬷孖尛庅摩擵攠痲痳磨菻蔴藦蘑靡饝馍駡髍魔麻麼麽㕰䁲䃺䯢𡣥𡭚𡭯𡮡𢉳𢣾𢳀𤹳𥖤𥗂𥗘𦇑𦲬𧀋𪎚𬍄劘厤礳耱蚂螞,,stt4: 麻 1 / 魔 5; stt11: 麻 4 / 魔 9,,,,,
L057_stt4_càng_5f3a_5f37,3,TN,stt4,càng,强,U+5F3A,強,U+5F37,9,7,9,7,,,,,,,,0.39,True,True,True,乾亘岡強强彊犟綱𢏟𣚦𥆁𧈧𧖑𪨈𫋙𮜓󱢥,岡:5,stt2: 强 18 / 強 14; stt11: 强 22 / 強 5,,,,,
L058_stt11_nói_5450_5436,3,TN,stt11,nói,呐,U+5450,吶,U+5436,16,6,16,6,,,,,,,,0.47,True,True,True,內内叻吶呐唁尼曰訥㐻㕯𠺶𡗠𧨣,内:7,stt2: 呐 27 / 吶 1; stt4: 呐 41 / 吶 1,,,,,
L059_stt11_rút_637d_690a,3,CS+TN,stt11,rút,捽,U+637D,椊,U+690A,7,6,7,6,,,,,,,,0.48,True,True,True,咄律挨捽揬枠椊蒓蓴㯜𢪄𢫫𢬪𢯰𪮊𫽹,𢫫:2,stt2: 捽 1 / 椊 3; stt4: 捽 0 / 椊 13,H. KHÔNG GIẢI THÍCH ĐƯỢC – XEM LẠI,,,22,
L060_stt11_tôi_788e_7815,3,TN,stt11,tôi,碎,U+788E,砕,U+7815,110,6,110,6,,,,,,,,0.5,True,True,True,倅晬淬焠熣的睟砕碎㳃𠗚𣅢𤏣𤭢𪝬𫇈𫬮,,stt2: 碎 190 / 砕 6; stt4: 碎 191 / 砕 1,,,,,
L061_stt2_khỏi_584a_7470,3,TN,stt2,khỏi,塊,U+584A,瑰,U+7470,64,6,64,6,,,,,,,,0.5,True,True,True,塊瑰,,stt4: 塊 22 / 瑰 2; stt11: 塊 82 / 瑰 3,,,,,
