id_lop,book,syllable,ma_da_so,ma_thieu_so,n_da_so,n_thieu_so,e3_verdict,quyet,nguoi_ky,ngay,xuat_xu
L078_stt4_nói_5450_5185,stt4,nói,呐,内,41,5,,,,,
L079_stt4_sa_6c99_6284,stt4,sa,沙,抄,7,5,,,,,
L080_stt11_câu_62d8_67b8,stt11,câu,拘,枸,17,4,,,,,
L081_stt11_dối_5bfe_5bf9,stt11,dối,対,对,9,4,,,,,
L082_stt11_khăn_4e2d_5dfe,stt11,khăn,中,巾,6,4,,,,,
L083_stt11_ma_9b54_9ebb,stt11,ma,魔,麻,9,4,,,,,
L084_stt11_tra_67fb_67e5,stt11,tra,査,查,5,4,,,,,
L085_stt2_ai_57c3_6328,stt2,ai,埃,挨,26,4,,,,,
L086_stt2_bạc_6cca_767d,stt2,bạc,泊,白,9,4,,,,,
L087_stt2_lên_9023_84ee,stt2,lên,連,蓮,44,4,,,,,
L088_stt2_lộc_797f_7984,stt2,lộc,祿,禄,5,4,,,,,
L089_stt2_trước_7565_7567,stt2,trước,略,畧,7,4,,,,,
L090_stt4_ai_57c3_5509,stt4,ai,埃,唉,8,4,,,,,
L091_stt4_dối_5bfe_5bf9,stt4,dối,対,对,4,4,,,,,
L092_stt4_liên_9023_84ee,stt4,liên,連,蓮,29,4,,,,,
L093_stt4_lần_541d_5404,stt4,lần,吝,各,34,4,,,,,
L094_stt4_tay_601d_816e,stt4,tay,思,腮,9,4,,,,,
L095_stt4_thành_57ce_6210,stt4,thành,城,成,49,4,,,,,
L096_stt4_trên_9023_84ee,stt4,trên,連,蓮,63,4,,,,,
L097_stt4_đã_340c_62d6,stt4,đã,㐌,拖,74,4,,,,,
L098_stt4_đẹp_67bc_8449,stt4,đẹp,枼,葉,5,4,,,,,
L099_stt11_khỏi_584a_7470,stt11,khỏi,塊,瑰,82,3,,,,,
L100_stt11_làm_4e44_722a,stt11,làm,乄,爪,10,3,,,,,
L101_stt11_lành_51b7_4ee4,stt11,lành,冷,令,39,3,,,,,
L102_stt11_phạt_7f70_7f78,stt11,phạt,罰,罸,28,3,,,,,
L103_stt11_rừng_68f1_697c,stt11,rừng,棱,楼,4,3,,,,,
L104_stt11_sau_5a04_697c,stt11,sau,娄,楼,58,3,,,,,
L105_stt2_chước_65ab_65ae,stt2,chước,斫,斮,19,3,,,,,
L106_stt2_cùng_5171_62f1,stt2,cùng,共,拱,262,3,,,,,
L107_stt2_cả_5947_7ad2,stt2,cả,奇,竒,53,3,,,,,
L108_stt2_gọi_5672_2819d,stt2,gọi,噲,𨆝,4,3,,,,,
L109_stt2_liên_9023_84ee,stt2,liên,連,蓮,64,3,,,,,
L110_stt2_liệt_5217_70c8,stt2,liệt,列,烈,10,3,,,,,
L111_stt2_lần_541d_5404,stt2,lần,吝,各,13,3,,,,,
L112_stt2_ru_7531_6cb9,stt2,ru,由,油,7,3,,,,,
L113_stt2_thưa_8e08_758e,stt2,thưa,踈,疎,9,3,,,,,
L114_stt2_đã_340c_62d6,stt2,đã,㐌,拖,28,3,,,,,
L115_stt4_cô_59d1_4f30,stt4,cô,姑,估,9,3,,,,,
L116_stt4_hãy_5509_77e3,stt4,hãy,唉,矣,9,3,,,,,
L117_stt4_lành_51b7_4ee4,stt4,lành,冷,令,37,3,,,,,
L118_stt4_lâu_697c_5a04,stt4,lâu,楼,娄,13,3,,,,,
L119_stt4_ma_9b54_6469,stt4,ma,魔,摩,5,3,,,,,
L120_stt4_mừng_660e_7700,stt4,mừng,明,眀,12,3,,,,,
L121_stt4_nhiêu_9952_50e5,stt4,nhiêu,饒,僥,12,3,,,,,
L122_stt4_ru_6cb9_7531,stt4,ru,油,由,4,3,,,,,
