nom_char,unicode,count,weight_balanced,bucket
支,U+652F,288,0.0509,HAN_BASIC
之,U+4E4B,282,0.052,HAN_BASIC
年,U+5E74,277,0.053,HAN_BASIC
中,U+4E2D,274,0.0535,HAN_BASIC
匕,U+5315,274,0.0535,HAN_BASIC
天,U+5929,274,0.0535,HAN_BASIC
各,U+5404,269,0.0545,HAN_BASIC
柴,U+67F4,269,0.0545,HAN_BASIC
庒,U+5E92,269,0.0545,HAN_BASIC
徳,U+5FB3,260,0.0564,HAN_BASIC
高,U+9AD8,260,0.0564,HAN_BASIC
官,U+5B98,254,0.0577,HAN_BASIC
陼,U+967C,254,0.0577,HAN_BASIC
些,U+4E9B,249,0.0589,HAN_BASIC
其,U+5176,247,0.0594,HAN_BASIC
末,U+672B,244,0.0601,HAN_BASIC
除,U+9664,241,0.0609,HAN_BASIC
召,U+53EC,238,0.0616,HAN_BASIC
衣,U+8863,235,0.0624,HAN_BASIC
号,U+53F7,230,0.0638,HAN_BASIC
生,U+751F,222,0.0661,HAN_BASIC
重,U+91CD,218,0.0673,HAN_BASIC
㐌,U+340C,213,0.0689,CJK_EXT_A
𠫾,U+20AFE,207,0.0709,NOM_EXT_B_PLUS
𡑺,U+2147A,204,0.0719,NOM_EXT_B_PLUS
秋,U+79CB,196,0.0748,HAN_BASIC
代,U+4EE3,194,0.0756,HAN_BASIC
沛,U+6C9B,192,0.0764,HAN_BASIC
庫,U+5EAB,191,0.0768,HAN_BASIC
出,U+51FA,189,0.0776,HAN_BASIC
多,U+591A,187,0.0784,HAN_BASIC
為,U+70BA,186,0.0789,HAN_BASIC
炷,U+70B7,184,0.0797,HAN_BASIC
如,U+5982,182,0.0806,HAN_BASIC
𦲿,U+26CBF,178,0.0824,NOM_EXT_B_PLUS
双,U+53CC,178,0.0824,HAN_BASIC
没,U+6CA1,177,0.0829,HAN_BASIC
罢,U+7F62,176,0.0833,HAN_BASIC
皚,U+769A,174,0.0843,HAN_BASIC
蓮,U+84EE,174,0.0843,HAN_BASIC
歇,U+6B47,173,0.0848,HAN_BASIC
茹,U+8339,173,0.0848,HAN_BASIC
䙷,U+4677,172,0.0853,CJK_EXT_A
弄,U+5F04,166,0.0884,HAN_BASIC
安,U+5B89,164,0.0894,HAN_BASIC
法,U+6CD5,163,0.09,HAN_BASIC
曰,U+66F0,162,0.0905,HAN_BASIC
𠺞,U+20E9E,162,0.0905,NOM_EXT_B_PLUS
城,U+57CE,160,0.0917,HAN_BASIC
沒,U+6C92,160,0.0917,HAN_BASIC
痗,U+75D7,160,0.0917,HAN_BASIC
折,U+6298,158,0.0928,HAN_BASIC
喒,U+5592,155,0.0946,HAN_BASIC
默,U+9ED8,155,0.0946,HAN_BASIC
塕,U+5855,153,0.0959,HAN_BASIC
𪪳,U+2AAB3,152,0.0965,NOM_EXT_B_PLUS
𣈜,U+2321C,151,0.0971,NOM_EXT_B_PLUS
𠸠,U+20E20,150,0.0978,NOM_EXT_B_PLUS
𠳒,U+20CD2,149,0.0984,NOM_EXT_B_PLUS
先,U+5148,148,0.0991,HAN_BASIC
巴,U+5DF4,148,0.0991,HAN_BASIC
离,U+79BB,147,0.0998,HAN_BASIC
君,U+541B,146,0.1005,HAN_BASIC
每,U+6BCF,145,0.1012,HAN_BASIC
賴,U+8CF4,145,0.1012,HAN_BASIC
傌,U+508C,145,0.1012,HAN_BASIC
古,U+53E4,142,0.1033,HAN_BASIC
灠,U+7060,141,0.104,HAN_BASIC
把,U+628A,141,0.104,HAN_BASIC
罪,U+7F6A,139,0.1055,HAN_BASIC
囉,U+56C9,137,0.1071,HAN_BASIC
南,U+5357,137,0.1071,HAN_BASIC
邰,U+90B0,134,0.1095,HAN_BASIC
奇,U+5947,132,0.1111,HAN_BASIC
𦤾,U+2693E,129,0.1137,NOM_EXT_B_PLUS
灵,U+7075,128,0.1146,HAN_BASIC
邁,U+9081,128,0.1146,HAN_BASIC
吒,U+5412,127,0.1155,HAN_BASIC
箸,U+7BB8,126,0.1164,HAN_BASIC
買,U+8CB7,126,0.1164,HAN_BASIC
明,U+660E,125,0.1173,HAN_BASIC
德,U+5FB7,124,0.1183,HAN_BASIC
喡,U+55A1,122,0.1202,HAN_BASIC
眉,U+7709,122,0.1202,HAN_BASIC
真,U+771F,122,0.1202,HAN_BASIC
福,U+798F,122,0.1202,HAN_BASIC
别,U+522B,118,0.1243,HAN_BASIC
偺,U+507A,118,0.1243,HAN_BASIC
畧,U+7567,118,0.1243,HAN_BASIC
𬈋,U+2C20B,116,0.1264,NOM_EXT_B_PLUS
宜,U+5B9C,116,0.1264,HAN_BASIC
朝,U+671D,115,0.1275,HAN_BASIC
𪵯,U+2AD6F,113,0.1298,NOM_EXT_B_PLUS
本,U+672C,112,0.131,HAN_BASIC
那,U+90A3,111,0.1321,HAN_BASIC
𡗶,U+215F6,111,0.1321,NOM_EXT_B_PLUS
包,U+5305,111,0.1321,HAN_BASIC
容,U+5BB9,110,0.1333,HAN_BASIC
矯,U+77EF,110,0.1333,HAN_BASIC
群,U+7FA4,110,0.1333,HAN_BASIC
䁟,U+405F,109,0.1346,CJK_EXT_A
埃,U+57C3,109,0.1346,HAN_BASIC
自,U+81EA,108,0.1358,HAN_BASIC
理,U+7406,107,0.1371,HAN_BASIC
張,U+5F35,107,0.1371,HAN_BASIC
下,U+4E0B,106,0.1384,HAN_BASIC
提,U+63D0,106,0.1384,HAN_BASIC
同,U+540C,105,0.1397,HAN_BASIC
𠬋,U+20B0B,104,0.141,NOM_EXT_B_PLUS
諸,U+8AF8,102,0.1438,HAN_BASIC
哙,U+54D9,102,0.1438,HAN_BASIC
㗂,U+35C2,100,0.1467,CJK_EXT_A
空,U+7A7A,100,0.1467,HAN_BASIC
焒,U+7112,100,0.1467,HAN_BASIC
補,U+88DC,99,0.1482,HAN_BASIC
囖,U+56D6,98,0.1497,HAN_BASIC
壳,U+58F3,98,0.1497,HAN_BASIC
㓟,U+34DF,98,0.1497,CJK_EXT_A
𠼱,U+20F31,97,0.1512,NOM_EXT_B_PLUS
帝,U+5E1D,97,0.1512,HAN_BASIC
嬈,U+5B08,96,0.1528,HAN_BASIC
別,U+5225,95,0.1544,HAN_BASIC
噫,U+566B,95,0.1544,HAN_BASIC
傳,U+50B3,94,0.156,HAN_BASIC
牢,U+7262,93,0.1577,HAN_BASIC
燒,U+71D2,93,0.1577,HAN_BASIC
間,U+9593,92,0.1594,HAN_BASIC
蜍,U+870D,92,0.1594,HAN_BASIC
藍,U+85CD,92,0.1594,HAN_BASIC
𠄩,U+20129,92,0.1594,NOM_EXT_B_PLUS
黎,U+9ECE,91,0.1612,HAN_BASIC
𠽬,U+20F6C,90,0.163,NOM_EXT_B_PLUS
迈,U+8FC8,90,0.163,HAN_BASIC
𠰺,U+20C3A,90,0.163,NOM_EXT_B_PLUS
𣎏,U+2338F,89,0.1648,NOM_EXT_B_PLUS
饒,U+9952,89,0.1648,HAN_BASIC
打,U+6253,86,0.1706,HAN_BASIC
袩,U+88A9,86,0.1706,HAN_BASIC
悶,U+60B6,86,0.1706,HAN_BASIC
渚,U+6E1A,85,0.1726,HAN_BASIC
坦,U+5766,85,0.1726,HAN_BASIC
𢆥,U+221A5,85,0.1726,NOM_EXT_B_PLUS
恪,U+606A,85,0.1726,HAN_BASIC
断,U+65AD,85,0.1726,HAN_BASIC
冷,U+51B7,85,0.1726,HAN_BASIC
㼈,U+3F08,84,0.1746,CJK_EXT_A
差,U+5DEE,84,0.1746,HAN_BASIC
填,U+586B,84,0.1746,HAN_BASIC
欣,U+6B23,84,0.1746,HAN_BASIC
烏,U+70CF,83,0.1767,HAN_BASIC
扒,U+6252,83,0.1767,HAN_BASIC
悲,U+60B2,82,0.1789,HAN_BASIC
廾,U+5EFE,82,0.1789,HAN_BASIC
邛,U+909B,81,0.1811,HAN_BASIC
鬼,U+9B3C,81,0.1811,HAN_BASIC
晨,U+6668,80,0.1834,HAN_BASIC
𧗱,U+275F1,79,0.1857,NOM_EXT_B_PLUS
𠲥,U+20CA5,79,0.1857,NOM_EXT_B_PLUS
功,U+529F,78,0.1881,HAN_BASIC
𪭽,U+2AB7D,78,0.1881,NOM_EXT_B_PLUS
仕,U+4ED5,77,0.1905,HAN_BASIC
願,U+9858,76,0.193,HAN_BASIC
車,U+8ECA,75,0.1956,HAN_BASIC
徛,U+5F9B,75,0.1956,HAN_BASIC
朗,U+6717,75,0.1956,HAN_BASIC
行,U+884C,74,0.1982,HAN_BASIC
敬,U+656C,74,0.1982,HAN_BASIC
𠵴,U+20D74,74,0.1982,NOM_EXT_B_PLUS
爫,U+722B,74,0.1982,HAN_BASIC
与,U+4E0E,74,0.1982,HAN_BASIC
底,U+5E95,74,0.1982,HAN_BASIC
神,U+795E,74,0.1982,HAN_BASIC
𩵽,U+29D7D,73,0.2009,NOM_EXT_B_PLUS
死,U+6B7B,72,0.2037,HAN_BASIC
曳,U+66F3,72,0.2037,HAN_BASIC
求,U+6C42,72,0.2037,HAN_BASIC
熣,U+71A3,71,0.2066,HAN_BASIC
例,U+4F8B,71,0.2066,HAN_BASIC
峕,U+5CD5,71,0.2066,HAN_BASIC
罰,U+7F70,71,0.2066,HAN_BASIC
禮,U+79AE,70,0.2095,HAN_BASIC
圣,U+5723,70,0.2095,HAN_BASIC
咮,U+54AE,69,0.2126,HAN_BASIC
沙,U+6C99,69,0.2126,HAN_BASIC
嗔,U+55D4,69,0.2126,HAN_BASIC
悳,U+60B3,69,0.2126,HAN_BASIC
魂,U+9B42,68,0.2157,HAN_BASIC
埏,U+57CF,68,0.2157,HAN_BASIC
困,U+56F0,67,0.2189,HAN_BASIC
忍,U+5FCD,67,0.2189,HAN_BASIC
皮,U+76AE,67,0.2189,HAN_BASIC
位,U+4F4D,66,0.2222,HAN_BASIC
蘇,U+8607,66,0.2222,HAN_BASIC
呐,U+5450,65,0.2257,HAN_BASIC
極,U+6975,65,0.2257,HAN_BASIC
待,U+5F85,65,0.2257,HAN_BASIC
實,U+5BE6,65,0.2257,HAN_BASIC
怒,U+6012,65,0.2257,HAN_BASIC
墓,U+5893,65,0.2257,HAN_BASIC
𪽡,U+2AF61,64,0.2292,NOM_EXT_B_PLUS
徐,U+5F90,64,0.2292,HAN_BASIC
俼,U+4FFC,64,0.2292,HAN_BASIC
恩,U+6069,64,0.2292,HAN_BASIC
蔑,U+8511,63,0.2328,HAN_BASIC
鴆,U+9D06,63,0.2328,HAN_BASIC
阿,U+963F,62,0.2366,HAN_BASIC
𦝄,U+26744,62,0.2366,NOM_EXT_B_PLUS
芇,U+8287,62,0.2366,HAN_BASIC
貝,U+8C9D,62,0.2366,HAN_BASIC
䛏,U+46CF,62,0.2366,CJK_EXT_A
吝,U+541D,62,0.2366,HAN_BASIC
凜,U+51DC,61,0.2405,HAN_BASIC
尋,U+5C0B,61,0.2405,HAN_BASIC
対,U+5BFE,61,0.2405,HAN_BASIC
㵭,U+3D6D,61,0.2405,CJK_EXT_A
佇,U+4F47,60,0.2445,HAN_BASIC
唭,U+552D,60,0.2445,HAN_BASIC
坭,U+576D,60,0.2445,HAN_BASIC
模,U+6A21,60,0.2445,HAN_BASIC
剚,U+525A,60,0.2445,HAN_BASIC
釪,U+91EA,59,0.2486,HAN_BASIC
信,U+4FE1,59,0.2486,HAN_BASIC
外,U+5916,59,0.2486,HAN_BASIC
郎,U+90CE,58,0.2529,HAN_BASIC
乙,U+4E59,58,0.2529,HAN_BASIC
波,U+6CE2,58,0.2529,HAN_BASIC
曊,U+66CA,58,0.2529,HAN_BASIC
伂,U+4F02,57,0.2573,HAN_BASIC
赦,U+8D66,57,0.2573,HAN_BASIC
枝,U+679D,57,0.2573,HAN_BASIC
調,U+8ABF,57,0.2573,HAN_BASIC
保,U+4FDD,57,0.2573,HAN_BASIC
分,U+5206,57,0.2573,HAN_BASIC
美,U+7F8E,57,0.2573,HAN_BASIC
窖,U+7A96,56,0.2619,HAN_BASIC
拱,U+62F1,56,0.2619,HAN_BASIC
黙,U+9ED9,56,0.2619,HAN_BASIC
茄,U+8304,56,0.2619,HAN_BASIC
濫,U+6FEB,55,0.2667,HAN_BASIC
𠘭,U+2062D,55,0.2667,NOM_EXT_B_PLUS
𢃊,U+220CA,55,0.2667,NOM_EXT_B_PLUS
油,U+6CB9,54,0.2716,HAN_BASIC
創,U+5275,54,0.2716,HAN_BASIC
呌,U+544C,54,0.2716,HAN_BASIC
𠮥,U+20BA5,54,0.2716,NOM_EXT_B_PLUS
勧,U+52E7,54,0.2716,HAN_BASIC
葩,U+8469,54,0.2716,HAN_BASIC
唐,U+5510,54,0.2716,HAN_BASIC
樞,U+6A1E,53,0.2768,HAN_BASIC
娑,U+5A11,53,0.2768,HAN_BASIC
𠶋,U+20D8B,53,0.2768,NOM_EXT_B_PLUS
平,U+5E73,53,0.2768,HAN_BASIC
娄,U+5A04,53,0.2768,HAN_BASIC
東,U+6771,52,0.2821,HAN_BASIC
𠅜,U+2015C,52,0.2821,NOM_EXT_B_PLUS
腰,U+8170,52,0.2821,HAN_BASIC
飭,U+98ED,52,0.2821,HAN_BASIC
拮,U+62EE,52,0.2821,HAN_BASIC
𬠩,U+2C829,51,0.2876,NOM_EXT_B_PLUS
荘,U+8358,51,0.2876,HAN_BASIC
計,U+8A08,51,0.2876,HAN_BASIC
羅,U+7F85,51,0.2876,HAN_BASIC
藜,U+85DC,51,0.2876,HAN_BASIC
內,U+5167,51,0.2876,HAN_BASIC
蒔,U+8494,50,0.2934,HAN_BASIC
悇,U+6087,50,0.2934,HAN_BASIC
𥙷,U+25677,50,0.2934,NOM_EXT_B_PLUS
改,U+6539,50,0.2934,HAN_BASIC
𫴾,U+2BD3E,50,0.2934,NOM_EXT_B_PLUS
𡰻,U+21C3B,50,0.2934,NOM_EXT_B_PLUS
卒,U+5352,50,0.2934,HAN_BASIC
䋈,U+42C8,50,0.2934,CJK_EXT_A
婫,U+5A6B,50,0.2934,HAN_BASIC
用,U+7528,50,0.2934,HAN_BASIC
𠺥,U+20EA5,49,0.2993,NOM_EXT_B_PLUS
爪,U+722A,48,0.3056,HAN_BASIC
儻,U+513B,48,0.3056,HAN_BASIC
堵,U+5835,48,0.3056,HAN_BASIC
滥,U+6EE5,48,0.3056,HAN_BASIC
役,U+5F79,48,0.3056,HAN_BASIC
祝,U+795D,48,0.3056,HAN_BASIC
也,U+4E5F,48,0.3056,HAN_BASIC
堂,U+5802,48,0.3056,HAN_BASIC
庋,U+5E8B,48,0.3056,HAN_BASIC
斫,U+65AB,48,0.3056,HAN_BASIC
台,U+53F0,47,0.3121,HAN_BASIC
蚤,U+86A4,47,0.3121,HAN_BASIC
𠱋,U+20C4B,47,0.3121,NOM_EXT_B_PLUS
孛,U+5B5B,47,0.3121,HAN_BASIC
聀,U+8040,47,0.3121,HAN_BASIC
鯈,U+9BC8,47,0.3121,HAN_BASIC
傷,U+50B7,47,0.3121,HAN_BASIC
𠇍,U+201CD,47,0.3121,NOM_EXT_B_PLUS
蛩,U+86E9,47,0.3121,HAN_BASIC
笹,U+7B39,47,0.3121,HAN_BASIC
𠄻,U+2013B,47,0.3121,NOM_EXT_B_PLUS
撜,U+649C,47,0.3121,HAN_BASIC
揮,U+63EE,47,0.3121,HAN_BASIC
𠁀,U+20040,47,0.3121,NOM_EXT_B_PLUS
哭,U+54ED,46,0.3189,HAN_BASIC
邵,U+90B5,46,0.3189,HAN_BASIC
仳,U+4EF3,46,0.3189,HAN_BASIC
遣,U+9063,46,0.3189,HAN_BASIC
𥘉,U+25609,46,0.3189,NOM_EXT_B_PLUS
嗄,U+55C4,46,0.3189,HAN_BASIC
婆,U+5A46,45,0.326,HAN_BASIC
𠱭,U+20C6D,45,0.326,NOM_EXT_B_PLUS
𡶀,U+21D80,45,0.326,NOM_EXT_B_PLUS
时,U+65F6,45,0.326,HAN_BASIC
搘,U+6418,45,0.326,HAN_BASIC
孾,U+5B7E,45,0.326,HAN_BASIC
蓊,U+84CA,45,0.326,HAN_BASIC
搫,U+642B,45,0.326,HAN_BASIC
襖,U+8956,45,0.326,HAN_BASIC
媄,U+5A84,45,0.326,HAN_BASIC
藭,U+85ED,45,0.326,HAN_BASIC
袄,U+8884,45,0.326,HAN_BASIC
批,U+6279,44,0.3334,HAN_BASIC
𠯆,U+20BC6,44,0.3334,NOM_EXT_B_PLUS
穌,U+7A4C,44,0.3334,HAN_BASIC
踈,U+8E08,44,0.3334,HAN_BASIC
施,U+65BD,44,0.3334,HAN_BASIC
閍,U+958D,43,0.3411,HAN_BASIC
𫗒,U+2B5D2,43,0.3411,NOM_EXT_B_PLUS
𤽗,U+24F57,43,0.3411,NOM_EXT_B_PLUS
𡗊,U+215CA,43,0.3411,NOM_EXT_B_PLUS
陣,U+9663,43,0.3411,HAN_BASIC
媸,U+5AB8,43,0.3411,HAN_BASIC
𨓐,U+284D0,43,0.3411,NOM_EXT_B_PLUS
𠮦,U+20BA6,43,0.3411,NOM_EXT_B_PLUS
坡,U+5761,43,0.3411,HAN_BASIC
噲,U+5672,42,0.3492,HAN_BASIC
妈,U+5988,42,0.3492,HAN_BASIC
阁,U+9601,42,0.3492,HAN_BASIC
穷,U+7A77,42,0.3492,HAN_BASIC
頭,U+982D,42,0.3492,HAN_BASIC
廪,U+5EEA,42,0.3492,HAN_BASIC
𨑗,U+28457,42,0.3492,NOM_EXT_B_PLUS
𠦓,U+20993,42,0.3492,NOM_EXT_B_PLUS
童,U+7AE5,42,0.3492,HAN_BASIC
喝,U+559D,42,0.3492,HAN_BASIC
四,U+56DB,41,0.3578,HAN_BASIC
努,U+52AA,41,0.3578,HAN_BASIC
𠇮,U+201EE,41,0.3578,NOM_EXT_B_PLUS
俆,U+4FC6,41,0.3578,HAN_BASIC
拽,U+62FD,41,0.3578,HAN_BASIC
挨,U+6328,41,0.3578,HAN_BASIC
实,U+5B9E,41,0.3578,HAN_BASIC
壩,U+58E9,41,0.3578,HAN_BASIC
咍,U+548D,41,0.3578,HAN_BASIC
鄧,U+9127,40,0.3667,HAN_BASIC
王,U+738B,40,0.3667,HAN_BASIC
亊,U+4E8A,40,0.3667,HAN_BASIC
省,U+7701,40,0.3667,HAN_BASIC
闭,U+95ED,40,0.3667,HAN_BASIC
餘,U+9918,40,0.3667,HAN_BASIC
𦔳,U+26533,40,0.3667,NOM_EXT_B_PLUS
儀,U+5100,40,0.3667,HAN_BASIC
低,U+4F4E,40,0.3667,HAN_BASIC
嚕,U+5695,39,0.3761,HAN_BASIC
㕚,U+355A,39,0.3761,CJK_EXT_A
啉,U+5549,39,0.3761,HAN_BASIC
𫙔,U+2B654,39,0.3761,NOM_EXT_B_PLUS
筭,U+7B6D,39,0.3761,HAN_BASIC
𢌬,U+2232C,39,0.3761,NOM_EXT_B_PLUS
衛,U+885B,39,0.3761,HAN_BASIC
𢃄,U+220C4,39,0.3761,NOM_EXT_B_PLUS
且,U+4E14,39,0.3761,HAN_BASIC
稿,U+7A3F,38,0.386,HAN_BASIC
𪅨,U+2A168,38,0.386,NOM_EXT_B_PLUS
軍,U+8ECD,38,0.386,HAN_BASIC
氏,U+6C0F,38,0.386,HAN_BASIC
結,U+7D50,38,0.386,HAN_BASIC
沈,U+6C88,38,0.386,HAN_BASIC
姑,U+59D1,38,0.386,HAN_BASIC
𫴮,U+2BD2E,38,0.386,NOM_EXT_B_PLUS
店,U+5E97,38,0.386,HAN_BASIC
判,U+5224,38,0.386,HAN_BASIC
𠦙,U+20999,37,0.3964,NOM_EXT_B_PLUS
殖,U+6B96,37,0.3964,HAN_BASIC
憶,U+61B6,37,0.3964,HAN_BASIC
𡂄,U+21084,37,0.3964,NOM_EXT_B_PLUS
强,U+5F3A,37,0.3964,HAN_BASIC
磊,U+78CA,37,0.3964,HAN_BASIC
地,U+5730,37,0.3964,HAN_BASIC
奏,U+594F,36,0.4074,HAN_BASIC
𠱩,U+20C69,36,0.4074,NOM_EXT_B_PLUS
𡬈,U+21B08,36,0.4074,NOM_EXT_B_PLUS
講,U+8B1B,36,0.4074,HAN_BASIC
扵,U+6275,36,0.4074,HAN_BASIC
咱,U+54B1,36,0.4074,HAN_BASIC
𢬦,U+22B26,36,0.4074,NOM_EXT_B_PLUS
百,U+767E,36,0.4074,HAN_BASIC
渃,U+6E03,35,0.4191,HAN_BASIC
戈,U+6208,35,0.4191,HAN_BASIC
卢,U+5362,35,0.4191,HAN_BASIC
和,U+548C,35,0.4191,HAN_BASIC
𡛤,U+216E4,35,0.4191,NOM_EXT_B_PLUS
綿,U+7DBF,35,0.4191,HAN_BASIC
炧,U+70A7,35,0.4191,HAN_BASIC
市,U+5E02,35,0.4191,HAN_BASIC
幾,U+5E7E,35,0.4191,HAN_BASIC
婁,U+5A41,35,0.4191,HAN_BASIC
𡥵,U+21975,35,0.4191,NOM_EXT_B_PLUS
𤰞,U+24C1E,34,0.4314,NOM_EXT_B_PLUS
故,U+6545,34,0.4314,HAN_BASIC
𡐬,U+2142C,34,0.4314,NOM_EXT_B_PLUS
假,U+5047,34,0.4314,HAN_BASIC
珠,U+73E0,34,0.4314,HAN_BASIC
林,U+6797,34,0.4314,HAN_BASIC
扲,U+6272,34,0.4314,HAN_BASIC
𢚸,U+226B8,34,0.4314,NOM_EXT_B_PLUS
堊,U+580A,34,0.4314,HAN_BASIC
迻,U+8FFB,34,0.4314,HAN_BASIC
思,U+601D,34,0.4314,HAN_BASIC
閉,U+9589,34,0.4314,HAN_BASIC
強,U+5F37,33,0.4445,HAN_BASIC
㥀,U+3940,33,0.4445,CJK_EXT_A
寔,U+5BD4,33,0.4445,HAN_BASIC
𠸗,U+20E17,33,0.4445,NOM_EXT_B_PLUS
火,U+706B,33,0.4445,HAN_BASIC
更,U+66F4,33,0.4445,HAN_BASIC
澆,U+6F86,33,0.4445,HAN_BASIC
亟,U+4E9F,33,0.4445,HAN_BASIC
誠,U+8AA0,33,0.4445,HAN_BASIC
瑨,U+7468,33,0.4445,HAN_BASIC
塘,U+5858,33,0.4445,HAN_BASIC
楼,U+697C,33,0.4445,HAN_BASIC
唉,U+5509,33,0.4445,HAN_BASIC
無,U+7121,32,0.4584,HAN_BASIC
噖,U+5656,32,0.4584,HAN_BASIC
冝,U+519D,32,0.4584,HAN_BASIC
瑰,U+7470,32,0.4584,HAN_BASIC
𠵲,U+20D72,32,0.4584,NOM_EXT_B_PLUS
形,U+5F62,32,0.4584,HAN_BASIC
次,U+6B21,32,0.4584,HAN_BASIC
𣄒,U+23112,32,0.4584,NOM_EXT_B_PLUS
摺,U+647A,32,0.4584,HAN_BASIC
𥙩,U+25669,32,0.4584,NOM_EXT_B_PLUS
坺,U+577A,32,0.4584,HAN_BASIC
娎,U+5A0E,32,0.4584,HAN_BASIC
攲,U+6532,32,0.4584,HAN_BASIC
另,U+53E6,32,0.4584,HAN_BASIC
客,U+5BA2,32,0.4584,HAN_BASIC
𠱰,U+20C70,32,0.4584,NOM_EXT_B_PLUS
混,U+6DF7,32,0.4584,HAN_BASIC
𧡊,U+2784A,32,0.4584,NOM_EXT_B_PLUS
𤎔,U+24394,32,0.4584,NOM_EXT_B_PLUS
喨,U+55A8,31,0.4732,HAN_BASIC
盃,U+76C3,31,0.4732,HAN_BASIC
合,U+5408,31,0.4732,HAN_BASIC
丑,U+4E11,31,0.4732,HAN_BASIC
常,U+5E38,31,0.4732,HAN_BASIC
淩,U+6DE9,31,0.4732,HAN_BASIC
哴,U+54F4,31,0.4732,HAN_BASIC
𫶸,U+2BDB8,31,0.4732,NOM_EXT_B_PLUS
囚,U+56DA,31,0.4732,HAN_BASIC
曵,U+66F5,31,0.4732,HAN_BASIC
掱,U+63B1,31,0.4732,HAN_BASIC
倘,U+5018,31,0.4732,HAN_BASIC
獄,U+7344,31,0.4732,HAN_BASIC
蹉,U+8E49,31,0.4732,HAN_BASIC
退,U+9000,31,0.4732,HAN_BASIC
圬,U+572C,31,0.4732,HAN_BASIC
乄,U+4E44,31,0.4732,HAN_BASIC
殁,U+6B81,31,0.4732,HAN_BASIC
𢯠,U+22BE0,30,0.4889,NOM_EXT_B_PLUS
宐,U+5B90,30,0.4889,HAN_BASIC
𡰱,U+21C31,30,0.4889,NOM_EXT_B_PLUS
圭,U+572D,30,0.4889,HAN_BASIC
受,U+53D7,30,0.4889,HAN_BASIC
㧅,U+39C5,30,0.4889,CJK_EXT_A
算,U+7B97,30,0.4889,HAN_BASIC
娘,U+5A18,30,0.4889,HAN_BASIC
𠯌,U+20BCC,30,0.4889,NOM_EXT_B_PLUS
叹,U+53F9,30,0.4889,HAN_BASIC
列,U+5217,30,0.4889,HAN_BASIC
副,U+526F,30,0.4889,HAN_BASIC
愨,U+6128,30,0.4889,HAN_BASIC
𪞷,U+2A7B7,30,0.4889,NOM_EXT_B_PLUS
禁,U+7981,30,0.4889,HAN_BASIC
逐,U+9010,30,0.4889,HAN_BASIC
禄,U+7984,30,0.4889,HAN_BASIC
詐,U+8A50,30,0.4889,HAN_BASIC
𥡳,U+25873,30,0.4889,NOM_EXT_B_PLUS
路,U+8DEF,30,0.4889,HAN_BASIC
叵,U+53F5,30,0.4889,HAN_BASIC
斈,U+6588,30,0.4889,HAN_BASIC
锻,U+953B,29,0.5058,HAN_BASIC
竆,U+7AC6,29,0.5058,HAN_BASIC
慣,U+6163,29,0.5058,HAN_BASIC
正,U+6B63,29,0.5058,HAN_BASIC
昝,U+661D,29,0.5058,HAN_BASIC
易,U+6613,29,0.5058,HAN_BASIC
匙,U+5319,29,0.5058,HAN_BASIC
祠,U+7960,29,0.5058,HAN_BASIC
夷,U+5937,29,0.5058,HAN_BASIC
匿,U+533F,29,0.5058,HAN_BASIC
