source,page,column,char_idx,char,confidence
CacThanhTruyen2,page_0014,1,8,德,0.921
CacThanhTruyen2,page_0014,1,9,主,0.738
CacThanhTruyen2,page_0014,1,10,奉,0.121
CacThanhTruyen2,page_0014,1,11,都,0.766
CacThanhTruyen2,page_0014,1,12,年,0.979
CacThanhTruyen2,page_0014,1,13,秦,0.247
CacThanhTruyen2,page_0014,1,14,P,0.422
CacThanhTruyen2,page_0014,1,15,共,0.295
CacThanhTruyen2,page_0014,1,16,内,0.111
CacThanhTruyen2,page_0014,1,17,,0.000
CacThanhTruyen2,page_0014,1,18,图,0.057
CacThanhTruyen2,page_0014,1,19,沃,0.107
CacThanhTruyen2,page_0014,1,20,,0.000
CacThanhTruyen2,page_0014,1,21,\,0.131
CacThanhTruyen2,page_0014,1,22,美,0.230
CacThanhTruyen2,page_0014,2,0,[,0.391
CacThanhTruyen2,page_0014,2,1,,0.000
CacThanhTruyen2,page_0014,2,2,,0.000
CacThanhTruyen2,page_0014,2,3,Y,0.307
CacThanhTruyen2,page_0014,3,0,医,0.487
CacThanhTruyen2,page_0014,3,1,麻,0.816
CacThanhTruyen2,page_0014,3,2,清,0.609
CacThanhTruyen2,page_0014,3,3,2,0.931
CacThanhTruyen2,page_0014,3,4,之,0.569
CacThanhTruyen2,page_0014,3,5,有,0.220
CacThanhTruyen2,page_0014,3,6,观,0.284
CacThanhTruyen2,page_0014,3,7,事,0.754
CacThanhTruyen2,page_0014,3,8,尼,0.212
CacThanhTruyen2,page_0014,3,9,新,0.730
CacThanhTruyen2,page_0014,3,10,详,0.241
CacThanhTruyen2,page_0014,3,11,专,0.134
CacThanhTruyen2,page_0014,3,12,本,0.059
CacThanhTruyen2,page_0014,3,13,店,0.112
CacThanhTruyen2,page_0014,3,14,期,0.206
CacThanhTruyen2,page_0014,3,15,女,0.223
CacThanhTruyen2,page_0014,3,16,每,0.889
CacThanhTruyen2,page_0014,3,17,事,0.263
CacThanhTruyen2,page_0014,3,18,中,0.031
CacThanhTruyen2,page_0014,3,19,平,0.380
CacThanhTruyen2,page_0014,3,20,天,0.063
CacThanhTruyen2,page_0014,4,0,有,0.086
CacThanhTruyen2,page_0014,4,1,前,0.116
CacThanhTruyen2,page_0014,4,2,音,0.530
CacThanhTruyen2,page_0014,4,3,店,0.314
CacThanhTruyen2,page_0014,4,4,,0.000
CacThanhTruyen2,page_0014,4,5,,0.000
CacThanhTruyen2,page_0014,4,6,白,0.296
CacThanhTruyen2,page_0014,4,7,蛋,0.078
CacThanhTruyen2,page_0014,4,8,\,0.091
CacThanhTruyen2,page_0014,4,9,名,0.162
CacThanhTruyen2,page_0014,4,10,芝,0.265
CacThanhTruyen2,page_0014,4,11,眉,0.921
CacThanhTruyen2,page_0014,4,12,下,0.033
CacThanhTruyen2,page_0014,4,13,,0.000
CacThanhTruyen2,page_0014,4,14,宗,0.308
CacThanhTruyen2,page_0014,4,15,寺,0.351
CacThanhTruyen2,page_0014,4,16,全,0.078
CacThanhTruyen2,page_0014,4,17,有,0.132
CacThanhTruyen2,page_0014,4,18,有,0.039
CacThanhTruyen2,page_0014,4,19,,0.000
CacThanhTruyen2,page_0014,4,20,麻,0.174
CacThanhTruyen2,page_0014,5,0,乐,0.352
CacThanhTruyen2,page_0014,5,1,我,0.328
CacThanhTruyen2,page_0014,5,2,2,0.136
CacThanhTruyen2,page_0014,5,3,社,0.680
CacThanhTruyen2,page_0014,5,4,奇,0.907
CacThanhTruyen2,page_0014,5,5,公,0.251
CacThanhTruyen2,page_0014,5,6,2,0.040
CacThanhTruyen2,page_0014,5,7,¥,0.072
CacThanhTruyen2,page_0014,5,8,货,0.115
CacThanhTruyen2,page_0014,5,9,A,0.064
CacThanhTruyen2,page_0014,5,10,限,0.157
CacThanhTruyen2,page_0014,5,11,我,0.713
CacThanhTruyen2,page_0014,5,12,衣,0.615
CacThanhTruyen2,page_0014,5,13,我,0.360
CacThanhTruyen2,page_0014,5,14,事,0.865
CacThanhTruyen2,page_0014,5,15,重,0.997
CacThanhTruyen2,page_0014,5,16,双,0.629
CacThanhTruyen2,page_0014,5,17,房,0.082
CacThanhTruyen2,page_0014,5,18,2,0.093
CacThanhTruyen2,page_0014,5,19,困,0.932
CacThanhTruyen2,page_0014,5,20,灵,0.799
CacThanhTruyen2,page_0014,5,21,识,0.206
CacThanhTruyen2,page_0014,5,22,元,0.518
CacThanhTruyen2,page_0014,6,0,合,0.146
CacThanhTruyen2,page_0014,6,1,共,0.952
CacThanhTruyen2,page_0014,6,2,π,0.463
CacThanhTruyen2,page_0014,6,3,本,0.596
CacThanhTruyen2,page_0014,6,4,国,0.231
CacThanhTruyen2,page_0014,6,5,进,0.188
CacThanhTruyen2,page_0014,6,6,常,0.042
CacThanhTruyen2,page_0014,6,7,\,0.092
CacThanhTruyen2,page_0014,6,8,,0.000
CacThanhTruyen2,page_0014,6,9,9,0.034
CacThanhTruyen2,page_0014,6,10,江,0.254
CacThanhTruyen2,page_0014,6,11,欢,0.032
CacThanhTruyen2,page_0014,6,12,,0.000
CacThanhTruyen2,page_0014,6,13,国,0.062
CacThanhTruyen2,page_0014,6,14,要,0.324
CacThanhTruyen2,page_0014,6,15,成,0.737
CacThanhTruyen2,page_0014,6,16,2,0.053
CacThanhTruyen2,page_0014,6,17,茂,0.571
CacThanhTruyen2,page_0014,6,18,2,0.195
CacThanhTruyen2,page_0014,6,19,信,0.069
CacThanhTruyen2,page_0014,6,20,自,0.744
CacThanhTruyen2,page_0014,6,21,家,0.084
CacThanhTruyen2,page_0014,6,22,德,0.411
CacThanhTruyen2,page_0014,7,0,本,0.148
CacThanhTruyen2,page_0014,7,1,,0.000
CacThanhTruyen2,page_0014,7,2,华,0.234
CacThanhTruyen2,page_0014,7,3,库,0.475
CacThanhTruyen2,page_0014,7,4,售,0.141
CacThanhTruyen2,page_0014,7,5,,0.000
CacThanhTruyen2,page_0014,7,6,鸡,0.600
CacThanhTruyen2,page_0014,7,7,体,0.828
CacThanhTruyen2,page_0014,7,8,,0.000
CacThanhTruyen2,page_0014,7,9,不,0.455
CacThanhTruyen2,page_0014,7,10,中,0.063
CacThanhTruyen2,page_0014,7,11,中,0.242
CacThanhTruyen2,page_0014,7,12,学,0.040
CacThanhTruyen2,page_0014,7,13,不,0.322
CacThanhTruyen2,page_0014,7,14,茶,0.104
CacThanhTruyen2,page_0014,7,15,百,0.309
CacThanhTruyen2,page_0014,7,16,代,0.224
CacThanhTruyen2,page_0014,7,17,智,0.370
CacThanhTruyen2,page_0014,7,18,A,0.114
CacThanhTruyen2,page_0014,7,19,秀,0.275
CacThanhTruyen2,page_0014,7,20,为,0.171
CacThanhTruyen2,page_0014,7,21,一,0.896
CacThanhTruyen2,page_0014,7,22,玛,0.822
CacThanhTruyen2,page_0014,8,0,補,0.360
CacThanhTruyen2,page_0014,8,1,朱,0.666
CacThanhTruyen2,page_0014,8,2,,0.000
CacThanhTruyen2,page_0014,8,3,字,0.064
CacThanhTruyen2,page_0014,8,4,y,0.179
CacThanhTruyen2,page_0014,8,5,兹,0.093
CacThanhTruyen2,page_0014,8,6,卓,0.057
CacThanhTruyen2,page_0014,8,7,可,0.085
CacThanhTruyen2,page_0014,8,8,中,0.493
CacThanhTruyen2,page_0014,8,9,华,0.135
CacThanhTruyen2,page_0014,8,10,保,0.128
CacThanhTruyen2,page_0014,8,11,Q,0.068
CacThanhTruyen2,page_0014,8,12,器,0.076
CacThanhTruyen2,page_0014,8,13,原,0.092
CacThanhTruyen2,page_0014,8,14,你,0.096
CacThanhTruyen2,page_0014,8,15,华,0.146
CacThanhTruyen2,page_0014,8,16,保,0.076
CacThanhTruyen2,page_0014,8,17,\,0.562
CacThanhTruyen2,page_0014,8,18,共,0.055
CacThanhTruyen2,page_0014,8,19,或,0.164
CacThanhTruyen2,page_0014,8,20,郎,0.343
CacThanhTruyen2,page_0014,8,21,谷,0.626
CacThanhTruyen2,page_0014,9,0,本,0.834
CacThanhTruyen2,page_0014,9,1,道,0.967
CacThanhTruyen2,page_0014,9,2,藏,0.213
CacThanhTruyen2,page_0014,9,3,黄,0.229
CacThanhTruyen2,page_0014,9,4,可,0.056
CacThanhTruyen2,page_0014,9,5,写,0.097
CacThanhTruyen2,page_0014,9,6,其,0.773
CacThanhTruyen2,page_0014,9,7,天,0.138
CacThanhTruyen2,page_0014,9,8,\,0.093
CacThanhTruyen2,page_0014,9,9,敬,0.198
CacThanhTruyen2,page_0014,9,10,民,0.281
CacThanhTruyen2,page_0014,9,11,命,0.935
CacThanhTruyen2,page_0014,9,12,卓,0.222
CacThanhTruyen2,page_0014,9,13,景,0.128
CacThanhTruyen2,page_0014,9,14,香,0.131
CacThanhTruyen2,page_0014,9,15,,0.000
CacThanhTruyen2,page_0014,9,16,安,0.127
CacThanhTruyen2,page_0014,9,17,茶,0.109
CacThanhTruyen2,page_0014,9,18,众,0.106
CacThanhTruyen2,page_0014,9,19,草,0.064
CacThanhTruyen2,page_0014,9,20,巴,0.072
CacThanhTruyen2,page_0014,9,21,卢,0.108
