pdf_page	book_page_qn	facing_nom_page	qn_image_file
278	p278	page_0277	qn_page_0278.png
280	p280	page_0279	qn_page_0280.png
282	p282	page_0281	qn_page_0282.png
284	p284	page_0283	qn_page_0284.png
286	p286	page_0285	qn_page_0286.png
288	p288	page_0287	qn_page_0288.png
290	p290	page_0289	qn_page_0290.png
292	p292	page_0291	qn_page_0292.png
294	p294	page_0293	qn_page_0294.png
296	p296	page_0295	qn_page_0296.png
298	p298	page_0297	qn_page_0298.png
300	p300	page_0299	qn_page_0300.png
302	p302	page_0301	qn_page_0302.png
304	p304	page_0303	qn_page_0304.png
306	p306	page_0305	qn_page_0306.png
308	p308	page_0307	qn_page_0308.png
310	p310	page_0309	qn_page_0310.png
312	p312	page_0311	qn_page_0312.png
314	p314	page_0313	qn_page_0314.png
316	p316	page_0315	qn_page_0316.png
318	p318	page_0317	qn_page_0318.png
320	p320	page_0319	qn_page_0320.png
