image,image_v2,book,page,column,nom_idx,syl_idx,tier,tier_v3,qd01_locked,bbox,bbox_v2,bbox_v2_win,crop_mode,guard_reason,prior_used,recenter_shift,pitch,image_md5,image_md5_v2,ink_pct_v2,crop_w_v2,crop_h_v2,crop_quality_flag_v2,stray_ink_v2,border_ink_v2
gold/stt11_page_0010_c02_019.png,gold/stt11_page_0010_c02_019.png,stt11,page_0010,2,12,13,GOLD,CHAR_A,0,"[1308, 1674, 1425, 1796]","[1308, 1675, 1425, 1767]","[1308, 1665, 1425, 1777]",f3g,,1,-0.1466,95.5,19efbc1ad7de,7537d1142a8f,0.2493,108,99,ok,0.0,0.0
gold/stt11_page_0010_c02_020.png,gold/stt11_page_0010_c02_020.png,stt11,page_0010,2,13,14,GOLD,CHAR_A,0,"[1307, 1770, 1427, 1891]","[1307, 1766, 1427, 1863]","[1307, 1756, 1427, 1873]",f3g,,1,-0.1675,95.5,f3c0d009320c,b5f350d80dcf,0.2152,117,96,ok,0.0,0.0
gold/stt11_page_0010_c02_021.png,gold/stt11_page_0010_c02_021.png,stt11,page_0010,2,14,15,GOLD,CHAR_A,0,"[1308, 1875, 1425, 1995]","[1308, 1859, 1425, 1954]","[1308, 1849, 1425, 1964]",f3g,,1,-0.2984,95.5,ae2a6ed705dd,19c1ee721c1a,0.2343,115,95,ok,0.0,0.0
gold/stt11_page_0010_c02_022.png,gold/stt11_page_0010_c02_022.png,stt11,page_0010,2,15,16,GOLD,CHAR_A,0,"[1308, 1969, 1424, 2091]","[1308, 1954, 1424, 2051]","[1308, 1944, 1424, 2061]",f3g,,1,-0.288,95.5,70b73cf06a3b,22f5a6ea528f,0.2415,116,102,ok,0.0,0.0
gold/stt11_page_0010_c02_023.png,gold/stt11_page_0010_c02_023.png,stt11,page_0010,2,16,17,GOLD,CHAR_A,0,"[1308, 2063, 1423, 2187]","[1308, 2051, 1423, 2150]","[1308, 2041, 1423, 2160]",f3g,,1,-0.2565,95.5,83606fb44d5c,cde2eeac574f,0.321,102,104,ok,0.0,0.0
gold/stt11_page_0010_c02_024.png,gold/stt11_page_0010_c02_024.png,stt11,page_0010,2,17,18,GOLD,CHAR_A,0,"[1320, 2160, 1432, 2282]","[1320, 2159, 1432, 2257]","[1320, 2149, 1432, 2267]",f3g,,1,-0.1361,95.5,fd3b52d93928,9db110da9c68,0.2838,112,102,ok,0.0,0.0
gold/stt11_page_0010_c02_025.png,gold/stt11_page_0010_c02_025.png,stt11,page_0010,2,18,19,GOLD,CHAR_A,0,"[1298, 2267, 1413, 2384]","[1298, 2257, 1413, 2356]","[1298, 2247, 1413, 2366]",f3g,,1,-0.199,95.5,2a4253c93907,873bc2268a9d,0.3197,85,102,ok,0.0,0.0
gold/stt11_page_0010_c03_027.png,gold/stt11_page_0010_c03_027.png,stt11,page_0010,3,0,0,GOLD,CHAR_A,0,"[1153, 415, 1263, 526]","[1153, 418, 1263, 523]","[1153, 408, 1263, 533]",f3g,,0,0.0,102.5,f6861f67466e,8fa7d1b3bbe2,0.2358,114,97,ok,0.0,0.0
gold/stt11_page_0010_c03_029.png,gold/stt11_page_0010_c03_029.png,stt11,page_0010,3,2,2,GOLD,CHAR_A,0,"[1153, 599, 1262, 720]","[1153, 607, 1262, 712]","[1153, 597, 1262, 722]",f3g,,1,0.0,102.5,3bd8ed13a825,44c8c81ed0f3,0.1958,103,90,ok,0.0,0.0
gold/stt11_page_0010_c03_030.png,gold/stt11_page_0010_c03_030.png,stt11,page_0010,3,3,3,GOLD,CHAR_B,0,"[1151, 695, 1262, 815]","[1151, 704, 1262, 808]","[1151, 694, 1262, 818]",f3g,,1,0.0098,102.5,0188402dba16,3bc3a0eb9de0,0.2188,106,103,ok,0.0,0.0
gold/stt11_page_0010_c03_031.png,gold/stt11_page_0010_c03_031.png,stt11,page_0010,3,4,4,GOLD,CHAR_A,0,"[1152, 797, 1260, 918]","[1152, 801, 1260, 906]","[1152, 791, 1260, 916]",f3g,,1,-0.039,102.5,134fec6a1dd2,17a846805a6d,0.2204,110,100,ok,0.0,0.0
gold/stt11_page_0010_c03_032.png,gold/stt11_page_0010_c03_032.png,stt11,page_0010,3,5,5,GOLD,CHAR_A,0,"[1151, 886, 1264, 1004]","[1151, 905, 1264, 1010]","[1151, 895, 1264, 1020]",f3g,,1,0.122,102.5,4beed111ca33,8649d4e982f5,0.2364,113,108,ok,0.0,0.0
gold/stt11_page_0010_c03_033.png,gold/stt11_page_0010_c03_033.png,stt11,page_0010,3,6,6,GOLD,CHAR_A,0,"[1150, 1019, 1268, 1142]","[1150, 1018, 1268, 1122]","[1150, 1008, 1268, 1132]",f3g,,1,-0.1024,102.5,e1e0595506fa,1548bdda83ba,0.1901,109,102,ok,0.0,0.0
gold/stt11_page_0010_c03_035.png,gold/stt11_page_0010_c03_035.png,stt11,page_0010,3,8,8,GOLD,CHAR_B,0,"[1150, 1225, 1268, 1348]","[1150, 1266, 1268, 1372]","[1150, 1256, 1268, 1382]",f3g,,1,0.3171,102.5,3c738b2baa25,a733022d853b,0.2646,103,122,ok,0.0,0.0
gold/stt11_page_0010_c03_036.png,gold/stt11_page_0010_c03_036.png,stt11,page_0010,3,9,9,GOLD,CHAR_A,0,"[1150, 1328, 1268, 1451]","[1150, 1328, 1268, 1451]","[1150, 1328, 1268, 1451]",fallback,guard,1,0.4049,102.5,2112459a099f,2112459a099f,0.2403,89,151,truncated,0.0,0.2022
gold/stt11_page_0010_c03_038.png,gold/stt11_page_0010_c03_038.png,stt11,page_0010,3,11,11,GOLD,CHAR_A,0,"[1150, 1533, 1268, 1656]","[1150, 1533, 1268, 1656]","[1150, 1533, 1268, 1656]",fallback,guard,1,-0.4146,102.5,e9e28d974a0a,e9e28d974a0a,0.1907,126,151,ok,0.0,0.0159
gold/stt11_page_0010_c03_040.png,gold/stt11_page_0010_c03_040.png,stt11,page_0010,3,13,13,GOLD,CHAR_A,0,"[1161, 1719, 1275, 1835]","[1161, 1719, 1275, 1835]","[1161, 1719, 1275, 1835]",fallback,guard,1,0.4049,102.5,deb6fab60786,deb6fab60786,0.259,85,142,ok,0.0,0.0882
gold/stt11_page_0010_c03_042.png,gold/stt11_page_0010_c03_042.png,stt11,page_0010,3,15,15,GOLD,CHAR_A,0,"[1154, 1982, 1262, 2101]","[1154, 2001, 1262, 2107]","[1154, 1991, 1262, 2117]",f3g,,0,0.122,102.5,9bc6f4faa59e,cf31a3125136,0.1614,114,122,ok,0.0,0.0
gold/stt11_page_0010_c03_044.png,gold/stt11_page_0010_c03_044.png,stt11,page_0010,3,17,17,GOLD,CHAR_A,0,"[1155, 2175, 1260, 2290]","[1155, 2187, 1260, 2292]","[1155, 2177, 1260, 2302]",f3g,,1,0.0683,102.5,139616809b28,2f6ada81b2d7,0.1883,109,96,ok,0.0015,0.0092
gold/stt11_page_0010_c04_047.png,gold/stt11_page_0010_c04_047.png,stt11,page_0010,4,0,0,GOLD,CHAR_A,0,"[1013, 412, 1125, 523]","[1013, 418, 1125, 516]","[1013, 408, 1125, 526]",f3g,,0,-0.0052,96.0,158eddb32bd0,158eddb32bd0,0.2769,114,87,ok,0.0,0.0
gold/stt11_page_0010_c04_048.png,gold/stt11_page_0010_c04_048.png,stt11,page_0010,4,1,1,GOLD,CHAR_A,0,"[1011, 502, 1125, 625]","[1011, 501, 1125, 598]","[1011, 491, 1125, 608]",f3g,,1,-0.1458,96.0,c8ea7d91d66b,05ef662b5714,0.2299,136,79,ok,0.0,0.0
gold/stt11_page_0010_c04_049.png,gold/stt11_page_0010_c04_049.png,stt11,page_0010,4,2,2,GOLD,CHAR_A,0,"[1004, 599, 1117, 720]","[1004, 598, 1117, 695]","[1004, 588, 1117, 705]",f3g,,1,-0.1354,96.0,84c46f542a48,6e035908308b,0.2371,112,103,ok,0.0,0.0
gold/stt11_page_0010_c04_050.png,gold/stt11_page_0010_c04_050.png,stt11,page_0010,4,3,3,GOLD,CHAR_A,0,"[1003, 695, 1115, 815]","[1003, 724, 1115, 825]","[1003, 714, 1115, 835]",f3g,,1,0.2031,96.0,e2e0523f18c8,e32aa4903911,0.23,125,117,ok,0.0,0.016
gold/stt11_page_0010_c04_051.png,gold/stt11_page_0010_c04_051.png,stt11,page_0010,4,5,4,GOLD,CHAR_A,0,"[1003, 798, 1115, 920]","[1003, 826, 1115, 921]","[1003, 816, 1115, 931]",f3g,,1,0.151,96.0,1fab191ce205,2029fa14c18e,0.2473,110,106,ok,0.0,0.0
gold/stt11_page_0010_c04_052.png,gold/stt11_page_0010_c04_052.png,stt11,page_0010,4,6,5,GOLD,CHAR_A,0,"[1003, 902, 1116, 1026]","[1003, 949, 1116, 1044]","[1003, 939, 1116, 1054]",f3g,,1,0.3385,96.0,5d764247bfde,6fa9e85ab43f,0.2324,99,110,ok,0.002,0.0
gold/stt11_page_0010_c04_053.png,gold/stt11_page_0010_c04_053.png,stt11,page_0010,4,7,6,GOLD,CHAR_A,0,"[1004, 997, 1116, 1124]","[1004, 1044, 1116, 1142]","[1004, 1034, 1116, 1152]",f3g,,1,0.3385,96.0,4ecd1fb9fb42,d221a0829607,0.2773,114,94,ok,0.0,0.0
gold/stt11_page_0010_c04_055.png,gold/stt11_page_0010_c04_055.png,stt11,page_0010,4,9,8,GOLD,CHAR_A,0,"[1004, 1199, 1115, 1322]","[1004, 1215, 1115, 1313]","[1004, 1205, 1115, 1323]",f3g,,1,0.0365,96.0,c644eec6fb9a,084b1572db90,0.2914,93,106,ok,0.0,0.0
gold/stt11_page_0010_c04_056.png,gold/stt11_page_0010_c04_056.png,stt11,page_0010,4,10,9,GOLD,CHAR_A,0,"[1004, 1294, 1116, 1417]","[1004, 1310, 1116, 1408]","[1004, 1300, 1116, 1418]",f3g,,1,0.0365,96.0,e53992425e7e,c98d4c152510,0.1589,106,106,ok,0.0034,0.0
gold/stt11_page_0010_c04_059.png,gold/stt11_page_0010_c04_059.png,stt11,page_0010,4,13,12,GOLD,CHAR_A,0,"[1004, 1590, 1116, 1711]","[1004, 1619, 1116, 1725]","[1004, 1609, 1116, 1735]",f3g,,1,0.224,96.0,c225242f4fdb,68bf09308feb,0.2318,98,118,ok,0.0,0.0
gold/stt11_page_0010_c04_060.png,gold/stt11_page_0010_c04_060.png,stt11,page_0010,4,14,13,GOLD,CHAR_A,0,"[1003, 1686, 1117, 1804]","[1003, 1727, 1117, 1822]","[1003, 1717, 1117, 1832]",f3g,,1,0.3073,96.0,9db35f0551cb,1a4cd59dd347,0.1901,109,91,ok,0.0,0.0
gold/stt11_page_0010_c04_062.png,gold/stt11_page_0010_c04_062.png,stt11,page_0010,4,16,15,GOLD,CHAR_A,0,"[995, 1888, 1105, 2005]","[995, 1913, 1105, 2011]","[995, 1903, 1105, 2021]",f3g,,1,0.1615,96.0,9791a7af1dde,54d24de945ae,0.2354,106,104,ok,0.0,0.0
gold/stt11_page_0010_c04_064.png,gold/stt11_page_0010_c04_064.png,stt11,page_0010,4,18,17,GOLD,CHAR_A,0,"[994, 2088, 1105, 2203]","[994, 2125, 1105, 2221]","[994, 2115, 1105, 2231]",f3g,,1,0.2865,96.0,f14a98eef331,ca161d2abaf3,0.2417,98,96,ok,0.0,0.0
gold/stt11_page_0010_c04_065.png,gold/stt11_page_0010_c04_065.png,stt11,page_0010,4,19,18,GOLD,CHAR_A,0,"[1003, 2183, 1116, 2298]","[1003, 2225, 1116, 2326]","[1003, 2215, 1116, 2336]",f3g,,1,0.3646,96.0,508f01ac3c38,f3faa849e8fc,0.2687,99,93,ok,0.0,0.0
gold/stt11_page_0010_c04_066.png,gold/stt11_page_0010_c04_066.png,stt11,page_0010,4,20,19,GOLD,CHAR_A,0,"[1005, 2278, 1115, 2395]","[1005, 2326, 1115, 2419]","[1005, 2316, 1115, 2429]",f3g,,1,0.375,96.0,26553f4cd44b,f79aa235de43,0.1939,126,86,ok,0.0,0.0
gold/stt11_page_0010_c04_067.png,gold/stt11_page_0010_c04_067.png,stt11,page_0010,4,21,20,GOLD,CHAR_A,0,"[1014, 2376, 1126, 2483]","[1014, 2404, 1126, 2500]","[1014, 2394, 1126, 2510]",f3g,,0,0.2344,96.0,c4eed5b936d7,bcd699f9980b,0.2055,111,79,ok,0.0,0.0
gold/stt11_page_0010_c05_070.png,gold/stt11_page_0010_c05_070.png,stt11,page_0010,5,2,2,GOLD,CHAR_A,0,"[858, 607, 965, 733]","[858, 631, 965, 736]","[858, 621, 965, 746]",f3g,,1,0.1406,96.0,9f18bc66a2ed,094247216b86,0.3073,83,114,ok,0.0,0.0
gold/stt11_page_0010_c05_071.png,gold/stt11_page_0010_c05_071.png,stt11,page_0010,5,3,3,GOLD,CHAR_A,0,"[857, 705, 966, 827]","[857, 739, 966, 839]","[857, 729, 966, 849]",f3g,,1,0.2396,96.0,97b657dd26dd,df6161b57376,0.3208,83,100,ok,0.0,0.0
gold/stt11_page_0010_c05_072.png,gold/stt11_page_0010_c05_072.png,stt11,page_0010,5,4,4,GOLD,CHAR_A,0,"[855, 806, 966, 935]","[855, 820, 966, 912]","[855, 810, 966, 922]",f3g,,1,-0.0469,96.0,7b9c2d365529,a8a8fd79ba00,0.2266,89,109,ok,0.0,0.0
gold/stt11_page_0010_c05_073.png,gold/stt11_page_0010_c05_073.png,stt11,page_0010,5,5,5,GOLD,CHAR_A,0,"[856, 913, 965, 1038]","[856, 966, 965, 1061]","[856, 956, 965, 1071]",f3g,,1,0.3958,96.0,f61369d43a94,23b594aa149a,0.1931,100,109,ok,0.0024,0.0
gold/stt11_page_0010_c05_074.png,gold/stt11_page_0010_c05_074.png,stt11,page_0010,5,6,6,GOLD,CHAR_A,0,"[856, 1019, 966, 1143]","[856, 1019, 966, 1143]","[856, 1019, 966, 1143]",fallback,guard,1,-0.4531,96.0,9174fa47a9e3,9174fa47a9e3,0.1883,114,147,ok,0.0,0.0877
gold/stt11_page_0010_c05_077.png,gold/stt11_page_0010_c05_077.png,stt11,page_0010,5,9,9,GOLD,CHAR_B,0,"[856, 1326, 968, 1447]","[856, 1326, 968, 1447]","[856, 1326, 968, 1447]",fallback,guard,1,0.4167,96.0,cd0fe3e2a6bf,cd0fe3e2a6bf,0.2581,112,149,ok,0.0,0.0804
gold/stt11_page_0010_c05_078.png,gold/stt11_page_0010_c05_078.png,stt11,page_0010,5,10,10,GOLD,CHAR_A,0,"[857, 1412, 966, 1532]","[857, 1387, 966, 1488]","[857, 1377, 966, 1498]",f3g,,1,-0.3594,96.0,ec3feef4323c,8fb4c8714174,0.2463,123,106,ok,0.0,0.0569
gold/stt11_page_0010_c05_079.png,gold/stt11_page_0010_c05_079.png,stt11,page_0010,5,11,11,GOLD,CHAR_A,0,"[849, 1508, 955, 1625]","[849, 1504, 955, 1603]","[849, 1494, 955, 1613]",f3g,,1,-0.1354,96.0,14923bfefad5,1eda7e69fdb4,0.3654,82,98,ok,0.0,0.0
gold/stt11_page_0010_c05_082.png,gold/stt11_page_0010_c05_082.png,stt11,page_0010,5,14,14,GOLD,CHAR_A,0,"[846, 1810, 958, 1934]","[846, 1810, 958, 1934]","[846, 1810, 958, 1934]",fallback,guard,1,0.4219,96.0,28ba4c0ad882,28ba4c0ad882,0.2354,115,151,ok,0.0,0.0
gold/stt11_page_0010_c05_084.png,gold/stt11_page_0010_c05_084.png,stt11,page_0010,5,16,16,GOLD,CHAR_A,0,"[844, 2014, 960, 2133]","[844, 2014, 960, 2133]","[844, 2014, 960, 2133]",fallback,guard,1,0.4219,96.0,bd73f6e1a497,bd73f6e1a497,0.1914,129,147,ok,0.0,0.031
gold/stt11_page_0010_c05_085.png,gold/stt11_page_0010_c05_085.png,stt11,page_0010,5,17,17,GOLD,CHAR_A,0,"[848, 2111, 957, 2224]","[848, 2111, 957, 2224]","[848, 2111, 957, 2224]",fallback,guard,1,-0.4688,96.0,8c5428a3d806,8c5428a3d806,0.1792,128,139,ok,0.0,0.0469
gold/stt11_page_0010_c05_086.png,gold/stt11_page_0010_c05_086.png,stt11,page_0010,5,18,18,GOLD,CHAR_A,0,"[858, 2206, 966, 2320]","[858, 2212, 966, 2307]","[858, 2202, 966, 2317]",f3g,,1,-0.0365,96.0,9ff25c0f33a7,f4d71314d854,0.2781,67,109,ok,0.0,0.0448
gold/stt11_page_0010_c06_089.png,gold/stt11_page_0010_c06_089.png,stt11,page_0010,6,0,0,GOLD,CHAR_A,0,"[697, 412, 808, 527]","[697, 403, 808, 506]","[697, 393, 808, 516]",f3g,,0,-0.1463,102.5,ab15065c391f,f675e38880d1,0.2411,106,79,ok,0.0,0.0
gold/stt11_page_0010_c06_093.png,gold/stt11_page_0010_c06_093.png,stt11,page_0010,6,4,5,GOLD,CHAR_A,0,"[686, 822, 803, 922]","[686, 842, 803, 949]","[686, 832, 803, 959]",f3g,,1,0.2293,102.5,42b9cf17f394,4c3ad1be2214,0.2067,115,105,ok,0.0,0.0
gold/stt11_page_0010_c06_094.png,gold/stt11_page_0010_c06_094.png,stt11,page_0010,6,5,6,GOLD,CHAR_A,0,"[690, 905, 802, 1025]","[690, 905, 802, 1025]","[690, 905, 802, 1025]",fallback,guard,1,0.4683,102.5,a1b7c0ae075e,a1b7c0ae075e,0.1759,128,144,ok,0.0,0.0547
gold/stt11_page_0010_c06_095.png,gold/stt11_page_0010_c06_095.png,stt11,page_0010,6,6,7,GOLD,CHAR_A,0,"[697, 1026, 802, 1148]","[697, 1043, 802, 1149]","[697, 1033, 802, 1159]",f3g,,1,0.0878,102.5,05b529eb739a,47dd05e660ca,0.2273,105,118,ok,0.0,0.0
gold/stt11_page_0010_c06_096.png,gold/stt11_page_0010_c06_096.png,stt11,page_0010,6,7,8,GOLD,CHAR_A,0,"[697, 1128, 802, 1251]","[697, 1149, 802, 1253]","[697, 1139, 802, 1263]",f3g,,1,0.1122,102.5,74a163aaf5e1,71d14187a7cb,0.3007,84,116,ok,0.0,0.0
gold/stt11_page_0010_c06_097.png,gold/stt11_page_0010_c06_097.png,stt11,page_0010,6,8,9,GOLD,CHAR_A,0,"[697, 1230, 802, 1354]","[697, 1269, 802, 1375]","[697, 1259, 802, 1385]",f3g,,1,0.2927,102.5,b6f184dcb624,f9dce4faa341,0.2869,111,98,ok,0.0,0.0
gold/stt11_page_0010_c06_098.png,gold/stt11_page_0010_c06_098.png,stt11,page_0010,6,9,10,GOLD,CHAR_A,0,"[690, 1370, 798, 1487]","[690, 1375, 798, 1479]","[690, 1365, 798, 1489]",f3g,,1,-0.0146,102.5,328e47087725,f552ec840957,0.3155,89,96,ok,0.0,0.0
gold/stt11_page_0010_c06_099.png,gold/stt11_page_0010_c06_099.png,stt11,page_0010,6,10,11,GOLD,CHAR_A,0,"[690, 1464, 798, 1584]","[690, 1475, 798, 1577]","[690, 1465, 798, 1587]",f3g,,1,0.0195,102.5,23c4db352a30,0f36204d2ce7,0.1609,117,106,ok,0.0,0.0171
gold/stt11_page_0010_c06_100.png,gold/stt11_page_0010_c06_100.png,stt11,page_0010,6,11,12,GOLD,CHAR_A,0,"[697, 1570, 809, 1690]","[697, 1553, 809, 1659]","[697, 1543, 809, 1669]",f3g,,1,-0.2341,102.5,5e2b6e4d1e60,097455d60410,0.2607,108,105,ok,0.0,0.0
gold/stt11_page_0010_c06_101.png,gold/stt11_page_0010_c06_101.png,stt11,page_0010,6,12,13,GOLD,CHAR_A,1,"[699, 1676, 808, 1793]","[699, 1662, 808, 1768]","[699, 1652, 808, 1778]",f3g,,0,-0.1902,102.5,d7204c246924,af358160ff93,0.2111,97,106,ok,0.0,0.0
gold/stt11_page_0010_c06_103.png,gold/stt11_page_0010_c06_103.png,stt11,page_0010,6,14,15,GOLD,CHAR_A,0,"[697, 1846, 802, 1968]","[697, 1853, 802, 1958]","[697, 1843, 802, 1968]",f3g,,1,-0.0146,102.5,afd1319999a8,44634d3009f7,0.2513,87,103,ok,0.0,0.0
gold/stt11_page_0010_c06_105.png,gold/stt11_page_0010_c06_105.png,stt11,page_0010,6,16,18,GOLD,CHAR_A,0,"[699, 2088, 808, 2204]","[699, 2097, 808, 2201]","[699, 2087, 808, 2211]",f3g,,1,0.0293,102.5,05bd1e6f5565,bd9fbdba2596,0.2273,115,111,ok,0.0,0.0
gold/stt11_page_0010_c06_106.png,gold/stt11_page_0010_c06_106.png,stt11,page_0010,6,17,19,GOLD,CHAR_A,0,"[701, 2183, 806, 2299]","[701, 2196, 806, 2299]","[701, 2186, 806, 2309]",f3g,,1,0.0634,102.5,f1ca4e4afd78,8e055fbcd12d,0.2141,113,115,ok,0.0,0.0
gold/stt11_page_0010_c06_107.png,gold/stt11_page_0010_c06_107.png,stt11,page_0010,6,18,20,GOLD,CHAR_A,0,"[703, 2280, 805, 2392]","[703, 2282, 805, 2381]","[703, 2272, 805, 2391]",f3g,,1,-0.0439,102.5,b4f463b01a52,f5bad3bc0293,0.1754,105,101,ok,0.0,0.0
gold/stt11_page_0010_c06_108.png,gold/stt11_page_0010_c06_108.png,stt11,page_0010,6,19,21,GOLD,CHAR_A,0,"[692, 2369, 795, 2474]","[692, 2376, 795, 2480]","[692, 2366, 795, 2490]",f3g,,0,0.0634,102.5,f9160020ab4d,e4c3f71b9c41,0.1936,95,94,ok,0.0,0.0
gold/stt11_page_0010_c07_109.png,gold/stt11_page_0010_c07_109.png,stt11,page_0010,7,0,0,GOLD,CHAR_A,0,"[541, 416, 653, 525]","[541, 421, 653, 517]","[541, 412, 653, 526]",f3g,,0,-0.016,94.0,31580ad79565,9ab1cb576a01,0.228,110,86,ok,0.0,0.0
gold/stt11_page_0010_c07_112.png,gold/stt11_page_0010_c07_112.png,stt11,page_0010,7,3,3,GOLD,CHAR_A,0,"[545, 688, 647, 802]","[545, 699, 647, 795]","[545, 690, 647, 804]",f3g,,1,0.0213,94.0,1bba2841b12a,a59412d12eb0,0.2313,89,91,ok,0.0,0.0
gold/stt11_page_0010_c07_118.png,gold/stt11_page_0010_c07_118.png,stt11,page_0010,7,9,9,GOLD,CHAR_A,0,"[542, 1235, 649, 1350]","[542, 1257, 649, 1352]","[542, 1248, 649, 1361]",f3g,,1,0.1277,94.0,baabadc5d80e,7ac20319adf2,0.1672,113,101,ok,0.0,0.0
gold/stt11_page_0010_c07_119.png,gold/stt11_page_0010_c07_119.png,stt11,page_0010,7,10,10,GOLD,CHAR_A,0,"[542, 1329, 649, 1443]","[542, 1345, 649, 1440]","[542, 1336, 649, 1449]",f3g,,1,0.0691,94.0,46a56e20bed7,4b8d2a71f2da,0.1692,96,101,ok,0.0,0.0
gold/stt11_page_0010_c07_120.png,gold/stt11_page_0010_c07_120.png,stt11,page_0010,7,11,11,GOLD,CHAR_A,0,"[532, 1424, 639, 1538]","[532, 1437, 639, 1532]","[532, 1428, 639, 1541]",f3g,,1,0.0372,94.0,d0d84c428bc2,c14d805a7c7e,0.1975,101,96,ok,0.0,0.0
gold/stt11_page_0010_c07_121.png,gold/stt11_page_0010_c07_121.png,stt11,page_0010,7,12,12,GOLD,CHAR_A,0,"[542, 1510, 648, 1625]","[542, 1535, 648, 1632]","[542, 1526, 648, 1641]",f3g,,1,0.1702,94.0,5ff999f690fc,5add846b9886,0.3093,76,98,ok,0.0,0.0
gold/stt11_page_0010_c07_122.png,gold/stt11_page_0010_c07_122.png,stt11,page_0010,7,13,13,GOLD,CHAR_A,0,"[542, 1605, 649, 1720]","[542, 1632, 649, 1726]","[542, 1623, 649, 1735]",f3g,,1,0.1755,94.0,f2f73608f126,4d392ac25645,0.122,114,104,ok,0.0,0.0
gold/stt11_page_0010_c07_123.png,gold/stt11_page_0010_c07_123.png,stt11,page_0010,7,14,14,GOLD,CHAR_A,0,"[542, 1690, 649, 1804]","[542, 1724, 649, 1818]","[542, 1715, 649, 1827]",f3g,,1,0.2553,94.0,b3a1bdd0852d,3f8b2095d9c4,0.1868,123,85,ok,0.0,0.0
