Codepoint,Character,kDefinition
U+350C,㔌,"to cut off; to mince, to cut up firewood"
U+350D,㔍,"a hinged shear or long knife for cutting fodder; sheet-iron; etc., to cut up; to mince"
U+350E,㔎,to cut apart; to divide
U+350F,㔏,"(same as 剆) to cut open, to strike against; to clash together"
U+3510,㔐,(corrupted form) to cut; to mince
U+3511,㔑,(same as 㓼) an incised wound; cuts
U+3512,㔒,"to cut; to cut out; to pick out; to scoop out, to cut short; to spare"
U+3513,㔓,to stammer
U+3515,㔕,with purpose; with ambition; with the determination and courage to get ahead
U+3517,㔗,"strong; healthy, to clasp under the arm, to persecute; to oppress, vigorous"
U+3518,㔘,"(same as 黜) to degrade; to dismiss, to reject; to dispel"
U+3519,㔙,great strength; great power
U+351A,㔚,to exert oneself; to make strenuous effort
U+351C,㔜,(non-classical form of 勃) sudden; suddenly; quick; to change as the countenance
U+351D,㔝,"strong resistance; lazy, reluctant"
U+351E,㔞,vigorous; with great strength
U+3520,㔠,"industry, sound of making strenuous efforts"
U+3521,㔡,"greatly; deeply, with great strength; vigorous"
U+3522,㔢,"to break something, to drag; to pull"
U+3523,㔣,"in ancient times to fight against the enemy by pushing down the big rocks from up high; to throw over, to urge; to exert oneself, to carry in the bosom"
U+3524,㔤,to exert one's strength
U+3525,㔥,"(non-classical form of 疲) full of anger; fierce anger, tired; weary; exhausted"
U+3526,㔦,to encourage; to stimulate; to exhort to action; to encourage by rewards
U+3527,㔧,"to incite; to urge, to aid; to help; to assist, to approve; to acquiesce"
U+3528,㔨,name of a person
U+3529,㔩,hair ornaments used in old time
U+352A,㔪,to crawl; to crawl on hands and knees
U+352C,㔬,"(ancient form of 卓) to establish, to surpass, eminent; lofty; profound"
U+352D,㔭,"(same as 匙) a spoon, a key"
U+352E,㔮,a kind of animal which looks like a rat
U+352F,㔯,"(same as 匴) a large basket for holding cooked rice, a kind of tray made of bamboo used in ancient time"
U+3530,㔰,(ancient form of 恆) constant; regular; continually; persevering
U+3531,㔱,"(same as 庾) a stack of grain, a measure of 16 dǒu"
U+3533,㔳,"(ancient form of 簋) a square basket of bamboo for holding grain used at sacrifices, feasts, etc."
U+3534,㔴,"agricultural implement; farm tools, a big sacrificial vessel; a tripod of bronze with two ears; a caldron"
U+3535,㔵,a kind of vessel
U+3536,㔶,"a small cup, a box; a chest, a granary, cover of a vessel"
U+3537,㔷,"(ancient form of 陋) to secrete; to hide, a kind of basket"
U+3538,㔸,(interchangeable 榹) a tray; a kind of dumbwaiter
U+3539,㔹,"(standard form of 仂) a surplus or excess, a tithe, a great stock of merit"
U+353A,㔺,"(ancient form of 世) an age, a generation of thirty years, from generation to generation"
U+353B,㔻,(same as 丕) great; distinguished
U+353C,㔼,"(non-classical form of 榫) to fit into, a tenon, connected"
U+353D,㔽,(non-classical form of 卣) a kind of wine pot or jar used in ancient time
U+353E,㔾,"(same as 筄) last name; Kangxi radical 26; a joint, a seal, (ancient form of 節)"
U+353F,㔿,"a tally, like fitting the two halves of a tally, to petition the emperor that ..., to play music; to beat time"
U+3541,㕁,"(non-classical form of 卻) still; but; yet; etc., to refuse to accept, to retreat; to withdraw"
U+3542,㕂,"(ancient form of 吟) to hum; to intone, to moan, to sigh, high ridges of cliffs, pebble ground"
U+3543,㕃,to fall over; rolling on the ground
U+3544,㕄,"(same as 厎 砥) to apply knowledge to final causes; to extend knowledge to the utmost, equally; average, smooth"
U+3545,㕅,big; extremely; great; vast; extensive; tall
U+3546,㕆,fine stone; fine jade
U+3547,㕇,"rocks collapsing (descriptive of sound), big pieces of rocks"
U+3548,㕈,"(interchangeable 庡) to linger; to walk to and from, to conceal; to cover up; to secrete; to hide; to cover over"
U+3549,㕉,to dig a hole; to tuck in; to put the finger into
U+354A,㕊,"to slant; intricate; describe a writer's pen, lofty rocks; protruded rocks; resolute"
U+354B,㕋,rock land
U+354C,㕌,"to raise the curtain, a kind of rock"
U+354D,㕍,"(same as 堆) to heap up; to pile, a heap; a pile; a mass; a crowd"
U+354E,㕎,"caves; grottos on the mountain side, collapsed in ruins; destroyed; to clash; to bump against"
U+354F,㕏,"(corrupted form of 廚) a kitchen, a sideboard with cupboard and drawers"
U+3550,㕐,"inclined; slanting, to upset; to be overthrown, to collapse, to fall flat"
U+3551,㕑,"(non-classical form of 厨) a kitchen, a sideboard with cupboard and drawers"
U+3552,㕒,a lofty peak; a mountain peak
U+3554,㕔,(non-classical form of 廳) a hall; a court; a lodge; a room
U+3555,㕕,(ancient form of 幻) deception; sleight of hand; magic
U+3556,㕖,"(ancient form of 素) plain; unornamented, white, ordinary, simple"
U+3557,㕗,(same as 誘) to induce; to entice; to mislead; to lead on
U+3558,㕘,"to take part in; to visit; to counsel, one of the 28 lunar mansions; ginseng"
U+3559,㕙,a wily rabbit; a cunning hare
U+355A,㕚,"(ancient form of 爪) claws of birds or animals, feet, to scratch, to claw, to grasp"
U+355B,㕛,"(ancient form of 友) a friend; a companion; an associate, friendly, to make friends of, brotherly regard"
U+355C,㕜,(ancient form of 史) history; chronicles; annals
U+355E,㕞,"(same as 刷) a brush, to brush; to clean; to scrub, to print, especially from blocks"
U+355F,㕟,"(same as 喟) to sign; to lament, to stop, to cut off; to sever; to interrupt"
U+3560,㕠,"(same as 雙) a pair; a couple, both, two, double, even"
U+3561,㕡,"(same as 壑) the bed of a torrent; a gully, a pool"
U+3562,㕢,"profound significance, just now; then; in that case"
U+3563,㕣,"a marsh at the foot of the hills, (interchangeable 湢 沇) name of a river"
U+3564,㕤,"a proud temper, military equipment; a long spear"
U+3565,㕥,"by means of; thereby, therefore; in order to"
U+3566,㕦,"loud; clamour; hubbub, big mouth, to brag"
U+3567,㕧,used to represent sound; to hum; to groan
U+3569,㕩,"(non-classical form) sound of tapping; sound of striking, opposing voices"
U+356A,㕪,"birds' chirps; gabbling, sound in high pitch; to roar; aloud"
U+356B,㕫,"(same as 仿 方) to imitate, like; resembling; according to, a measurement for sound effect"
U+356C,㕬,"public opinion, (same as 訟) to go to law, to dispute, to demand justice; (Cant.) classifier for ears of corn"
U+356D,㕭,"(same as 咬) to bark as a dog, obscene expressions, an interjection; implying surprise"
U+356E,㕮,"to chew; to masticate, to dwell on, Chinese medicine term"
U+356F,㕯,"slow-tongued; to stammer, to shout in triumph; the noise of shouting in battle"
U+3570,㕰,"sound angrily; roaring with rage, (same as 嘛) (a dialect) what; the tone implying to remind"
U+3571,㕱,to bark (said of a dog)
U+3572,㕲,"to gag or bribe; to satisfy one's appetite; name of an old book; (Cant.) to guess, reckon mentally; to bud"
U+3573,㕳,(of a crowd) noisy; to brawl; to scold
U+3576,㕶,"(Cant.) an expletive, exclamation"
U+3577,㕷,"(corrupted form 咟) to call, to yell, anxious, dazed, image sound, an exclamation expressing sound (such as clap hands; to fire a gun; to strike; sound of firecracker etc.)"
U+3578,㕸,sound of rolling a boat
U+3579,㕹,a buckler; a shield
U+357A,㕺,"(corrupted form of 囂) looks big outside but empty inside, to yell; voice of anger, hubbub; clamour"
U+357B,㕻,"to refuse, to repel"
U+357C,㕼,"to brawl; to scold, noise from a crowd; hubbub; noisy; loud noise"
U+357D,㕽,a phonetic
U+3580,㖀,sound
U+3581,㖁,"(non-classical form of 吝) stingy, sparing of; closefisted, to regret, to shame; to insult"
U+3582,㖂,"(same as 詍) loquacity; to talk incessantly and tediously, to laugh, joy"
U+3583,㖃,"(interchangeable 吼) to roar of animals, angry tones, (interchangeable 詬) a sense of shame; to shame, to vomit"
U+3584,㖄,"sound of calling chickens, to curse; to swear"
U+3585,㖅,"sound of a whistle, to blow"
U+3586,㖆,"to condemn; to sentence, to hold a hearing (on a legal case); to interrogate or question a prisoner, to whisper"
U+3587,㖇,the lips; (Cant.) to sip
U+358A,㖊,fathom
U+358F,㖏,"angry, to scold with loud voice, to slander; to defame"
U+3590,㖐,sound of calling ducks
U+3591,㖑,"to shout at, (same as 欸) to backbite, to dislike, sound of oars; the creaking or swishing sound of oars or sweeps in rowing"
U+3592,㖒,"(non-classical form of 啼) to cry; to mourn; to howl, to twitter; to crow, to sneeze; a running at the nose"
U+3593,㖓,"(corrupted form) to shout; to scold with loud voice, din; noise; a confused noise"
U+3594,㖔,"silly, foolish; doting; idiotic"
U+3595,㖕,"to spit out; to blame, name of an organic compounds"
U+3596,㖖,"(standard form) to spit out; to blame, name of an organic compounds"
U+3597,㖗,(corrupted form) high ridges of cliffs
U+3598,㖘,"(same as 唇) to startle, to alarm; afraid; scared, to be surprised; to be amazed"
U+359E,㖞,(simplified form of 喎) a wry mouth
U+359F,㖟,"to deliver over to personally, to communicate orally with one's own mouth"
U+35A0,㖠,"(same as 那 哪) an auxiliary (in grammar), that, there, a final particle."
U+35A1,㖡,the birds singing during the night; (Cant.) interjection to indicate the speaker is thinking
U+35A2,㖢,(same as 飺) to reject food
U+35A3,㖣,(same as 咅) to spit out; (Cant.) the sound of spitting
U+35A4,㖤,wrath; anger
U+35A5,㖥,to spit; to vomit; (Cant.) to gnaw (on bones)
U+35A6,㖦,loquacity
U+35A7,㖧,"can not see clear, (ancient form of 吻) lips"
U+35A8,㖨,"Indistinct nasal utterance, laugh, sound of birds"
U+35A9,㖩,"not pure, immodest, to urge, (same as 嗾) to set a dog on"
U+35AA,㖪,"sound of surprising, to laugh loudly, to flow off, loquacious, sound; voice; tone"
U+35AB,㖫,(sound transcription) used in names for minority ethnic group in ancient China
U+35AD,㖭,(same as 舔) to lick; to taste; (Cant.) even; in addition
U+35AE,㖮,an interjection used in poems and songs
U+35B6,㖶,"(same as 捗) to swallow; to gulp, to be choked with food, (same as 諲) respectful; venerable"
U+35B7,㖷,"bird singing, (same as 啼) to cry; to mourn; to howl, to twitter; to crow"
U+35B8,㖸,"(same as 噱) to laugh heartily; to roar with laughter, (in Shanghai dialect) a promotional gimmick, tone (of one's speech)"
U+35B9,㖹,"(non-classical form of噴) to spurt; to blow out; to puff out, to snort, sound of flowing water"
U+35BA,㖺,to blow; to breath; to puff
U+35BB,㖻,"whisper, bad language"
U+35BC,㖼,"(same as 謀) to scheme; to plot; to devise, a device"
U+35BD,㖽,(corrupted form of 嘖) to call out; to make an uproar
U+35BE,㖾,"(same as 咢) to beat a drum; to startle, to argue; to debate; to dispute, (interchangeable 愕) to be surprised; to be amazed; to marvel, (interchangeable 鍔) the blade or edge of a sword, beams of a house"
U+35BF,㖿,"a sound; a voice; a tone, an interjection; to hesitate; to harbour doubts"
U+35C0,㗀,"(same as 呦 嚘) the bleating of the deer, sound of insects"
U+35C1,㗁,"(same as 齶) the roof of the mouth, the palate"
U+35C2,㗂,"to keep the mouth shut; to be careful how one speak, (non-classical form of 省) to examine; to watch; (Cant.) to scour"
U+35C3,㗃,"(same as 吻) the lip, the tone of one's speech, to kiss; a kiss"
U+35C4,㗄,(non-classical form of 謾) to deceive; to insult
U+35C5,㗅,"(same as 胡) angry, the throat, what? how? why? which?"
U+35C6,㗆,"sound of the ringed pheasant, cackling of fowls, (same as 嗝) to gag, to vomit, (a dialect) an auxiliary verb (almost same as 的)"
U+35C7,㗇,"to swallow; to gulp, an auxiliary; usually at the end of a sentence to beg or request for something"
U+35C8,㗈,"(same as 曼) long; extended, large"
U+35C9,㗉,"incisive, (the large seal type 籀) to brand criminals on the face, to rob; to plunder, an edge, a two-edged weapon; a sword"
U+35CA,㗊,"public opinion; clamour; noise, (ancient form of 雷); thunder, an organic compound (porphin); (porphyrins)"
U+35CB,㗋,(standard form of 喉) the throat; the gullet; guttural
U+35CC,㗌,"(non-classical form) to scold with loud voice, to talk out of control; loquacious"
U+35CD,㗍,"(non-classical form) to gnaw; to bite; to masticate, sound of biting"
U+35CE,㗎,(Cant.) final particle indicating emphasis or surprise; phonetic
U+35D1,㗑,a grammatical particle indicating an assertion
U+35D2,㗒,(in grammar) interjection; to express sadness; sorrow and emotional excitement
U+35D3,㗓,mouthful
U+35D4,㗔,(a dialect) joy; happiness
U+35D5,㗕,"(same as 雊) the crowing of a pheasant, loud and noise"
U+35D6,㗖,"(non-classical form of 啗) to eat; to chew; to bite. to entice; to lure, to contain; to, comprise"
U+35D7,㗗,"to separate; to part, to split; to crack, to rend; to rip open"
U+35D8,㗘,to bite the hard and solid food
U+35D9,㗙,"to shout or bawl, talking manner of a mean person, (same as 謅) to jest; to joke; to quip"
U+35DA,㗚,vexingly verbose or wordy; prosy; complicated; annoying
U+35DB,㗛,"(same as 笑) to laugh; to smile, to laugh at; to ridicule"
U+35DC,㗜,"(same as 嗅) to smell, to scent"
U+35E2,㗢,"loquacious, the sound of singing, to sing in a loud voice, loud"
U+35E3,㗣,(same as 嚏) to sneeze; a running at the nose
U+35E4,㗤,"ashamed, restless; fidgeting; (a dialect) bashful, grievous; mournful; sad"
U+35E5,㗥,"sound of striking, slow expiration of the breath, a deep sign"
U+35E6,㗦,a loud and confused noise
U+35E7,㗧,"to scold with loud voice, to talk out of control; loquacious"
U+35E8,㗨,"to laugh; to smile, to laugh at; to ridicule, sound of laughter"
U+35E9,㗩,sound made when cold (brrr); to endure cold
U+35EA,㗪,(corrupted form) mouthful
U+35EB,㗫,to whisper; to talk in a soft and low voice
U+35EC,㗬,"thick lips, to talk slowly"
U+35ED,㗭,a sound; an echo
U+35F0,㗰,"used in transliteration; the traditional drama of Vietnam; (Cant.) all, entire, completely"
U+35F1,㗱,"to suck; to chew, to smear the mouth with the blood of a victim when taking an oath"
U+35F2,㗲,to call; to summon; (Cant.) eloquent
U+35F3,㗳,"forgetful; having a bad memory, disgraced; shy; sensitive to shame; ashamed; (Cant.) to lower one's head"
U+35F4,㗴,"dogs fighting, to go to law; an indictment"
U+35F5,㗵,"breath, air, steam, not clear; not quite sure"
U+35F6,㗶,to expel the breath
U+35F7,㗷,"(simplified form) to eat; to bite; to gnaw, a dialect, usually used at the end of a sentence"
U+35FB,㗻,"baby's answering, (baby talk) eat; (Cant.) a particle implying doubt; slow, troublesome"
U+35FC,㗼,"eating or talking, moving of the mouth"
U+35FD,㗽,"(standard form 響) an echo; to answer; to consent, noise; sound, to make a noise"
U+35FE,㗾,"to give vent to the feelings; (Cant.) to hiss, boo, jeer"
U+35FF,㗿,"to laugh loudly, to blame; to reprimand, entrance to a cave or to a gorge"
U+3600,㘀,"to sound, a sound, the cry of a bird or animal"
U+3601,㘁,"to call; to scream; to whistle, name of a stream"
U+3602,㘂,ashamed; bashful
U+3605,㘅,(same as 銜 啣) to hold in the mouth
U+3606,㘆,"to laugh at; to deride; to jeer at, to snore"
U+3608,㘈,"able to take a correct view of things; to response correctly (said of small children), sound; echo"
U+3609,㘉,"to make sound; to speak; (Cant.) to tickle, squeeze"
U+360A,㘊,the abrupt and hasty sound of the crowd
U+360B,㘋,"sound; echo, difficult; troublesome"
U+360C,㘌,"(non-classical form of 噱) to laugh without stopping, loud laughter"
U+360D,㘍,sound of rat; sound of insects
U+360E,㘎,(simplified form) the roars of a tiger
U+3610,㘐,loud; to roar
